year,age,population
1990,0,512.861
1990,1,488.589
1990,2,466.228
1990,3,445.618
1990,4,426.603
1990,5,409.031
1990,6,392.742
1990,7,377.587
1990,8,363.405
1990,9,350.041
1990,10,337.557
1990,11,326.001
1990,12,314.167
1990,13,301.472
1990,14,288.396
1990,15,275.989
1990,16,264.021
1990,17,252.684
1990,18,242.162
1990,19,232.315
1990,20,222.810
1990,21,213.727
1990,22,205.005
1990,23,196.585
1990,24,188.524
1990,25,180.882
1990,26,173.574
1990,27,166.953
1990,28,161.174
1990,29,156.033
1990,30,151.166
1990,31,146.645
1990,32,142.176
1990,33,137.576
1990,34,132.968
1990,35,128.528
1990,36,124.068
1990,37,120.170
1990,38,117.093
1990,39,114.448
1990,40,111.757
1990,41,109.313
1990,42,105.652
1990,43,100.064
1990,44,93.292
1990,45,86.776
1990,46,80.195
1990,47,74.378
1990,48,69.869
1990,49,66.261
1990,50,62.606
1990,51,59.105
1990,52,55.734
1990,53,52.390
1990,54,49.157
1990,55,46.171
1990,56,43.334
1990,57,40.959
1990,58,39.191
1990,59,37.836
1990,60,36.545
1990,61,35.367
1990,62,34.106
1990,63,32.620
1990,64,30.978
1990,65,29.425
1990,66,27.956
1990,67,26.259
1990,68,24.218
1990,69,21.970
1990,70,19.777
1990,71,17.595
1990,72,15.550
1990,73,13.740
1990,74,12.110
1990,75,10.518
1990,76,8.984
1990,77,7.600
1990,78,6.387
1990,79,5.326
1990,80,4.358
1990,81,3.481
1990,82,2.738
1990,83,2.130
1990,84,1.644
1990,85,1.237
1990,86,0.901
1990,87,0.645
1990,88,0.456
1990,89,0.323
1990,90,0.242
1990,91,0.213
1990,92,0.184
1990,93,0.135
1990,94,0.080
1990,95,0.050
1990,96,0.039
1990,97,0.031
1990,98,0.021
1990,99,0.007
1990,100,0.010
1991,0,538.701
1991,1,518.623
1991,2,494.668
1991,3,472.610
1991,4,452.277
1991,5,433.502
1991,6,416.151
1991,7,400.082
1991,8,384.987
1991,9,370.632
1991,10,356.943
1991,11,344.125
1991,12,332.203
1991,13,320.043
1991,14,307.119
1991,15,293.875
1991,16,281.268
1991,17,269.091
1991,18,257.555
1991,19,246.848
1991,20,236.827
1991,21,227.150
1991,22,217.895
1991,23,209.014
1991,24,200.457
1991,25,192.267
1991,26,184.496
1991,27,177.065
1991,28,170.289
1991,29,164.302
1991,30,158.920
1991,31,153.823
1991,32,149.075
1991,33,144.384
1991,34,139.568
1991,35,134.755
1991,36,130.119
1991,37,125.471
1991,38,121.419
1991,39,118.234
1991,40,115.520
1991,41,112.768
1991,42,110.268
1991,43,106.592
1991,44,101.039
1991,45,94.336
1991,46,87.892
1991,47,81.391
1991,48,75.625
1991,49,71.115
1991,50,67.470
1991,51,63.779
1991,52,60.235
1991,53,56.817
1991,54,53.429
1991,55,50.146
1991,56,47.100
1991,57,44.199
1991,58,41.728
1991,59,39.823
1991,60,38.303
1991,61,36.848
1991,62,35.509
1991,63,34.084
1991,64,32.437
1991,65,30.641
1991,66,28.937
1991,67,27.323
1991,68,25.515
1991,69,23.418
1991,70,21.152
1991,71,18.947
1991,72,16.764
1991,73,14.734
1991,74,12.953
1991,75,11.364
1991,76,9.823
1991,77,8.350
1991,78,7.023
1991,79,5.858
1991,80,4.840
1991,81,3.918
1991,82,3.090
1991,83,2.394
1991,84,1.839
1991,85,1.404
1991,86,1.047
1991,87,0.759
1991,88,0.542
1991,89,0.378
1991,90,0.261
1991,91,0.192
1991,92,0.175
1991,93,0.155
1991,94,0.113
1991,95,0.066
1991,96,0.036
1991,97,0.034
1991,98,0.023
1991,99,0.010
1991,100,0.010
1992,0,581.997
1992,1,553.905
1992,2,531.840
1992,3,507.856
1992,4,485.781
1992,5,465.431
1992,6,446.625
1992,7,429.245
1992,8,413.164
1992,9,397.911
1992,10,383.177
1992,11,368.965
1992,12,355.632
1992,13,343.172
1992,14,330.513
1992,15,317.174
1992,16,303.570
1992,17,290.584
1992,18,278.022
1992,19,266.122
1992,20,255.076
1992,21,244.738
1992,22,234.749
1992,23,225.189
1992,24,216.024
1992,25,207.203
1992,26,198.770
1992,27,190.757
1992,28,183.097
1992,29,176.067
1992,30,169.788
1992,31,164.089
1992,32,158.686
1992,33,153.646
1992,34,148.665
1992,35,143.565
1992,36,138.479
1992,37,133.579
1992,38,128.677
1992,39,124.413
1992,40,121.076
1992,41,118.253
1992,42,115.400
1992,43,112.808
1992,44,109.064
1992,45,103.467
1992,46,96.736
1992,47,90.270
1992,48,83.756
1992,49,77.959
1992,50,73.381
1992,51,69.648
1992,52,65.867
1992,53,62.230
1992,54,58.715
1992,55,55.233
1992,56,51.856
1992,57,48.705
1992,58,45.698
1992,59,43.096
1992,60,41.026
1992,61,39.320
1992,62,37.682
1992,63,36.162
1992,64,34.554
1992,65,32.721
1992,66,30.745
1992,67,28.868
1992,68,27.084
1992,69,25.142
1992,70,22.957
1992,71,20.641
1992,72,18.393
1992,73,16.176
1992,74,14.132
1992,75,12.355
1992,76,10.785
1992,77,9.272
1992,78,7.837
1992,79,6.548
1992,80,5.415
