year,age,population
1990,0,23679.225
1990,1,22796.275
1990,2,21968.637
1990,3,21191.944
1990,4,20461.765
1990,5,19773.735
1990,6,19123.457
1990,7,18506.507
1990,8,17918.528
1990,9,17355.101
1990,10,16817.851
1990,11,16308.387
1990,12,15792.247
1990,13,15253.035
1990,14,14704.362
1990,15,14176.738
1990,16,13664.568
1990,17,13169.433
1990,18,12695.335
1990,19,12240.321
1990,20,11797.021
1990,21,11365.244
1990,22,10955.651
1990,23,10572.234
1990,24,10210.022
1990,25,9859.472
1990,26,9521.855
1990,27,9193.382
1990,28,8870.999
1990,29,8555.861
1990,30,8252.257
1990,31,7959.435
1990,32,7672.861
1990,33,7390.761
1990,34,7114.442
1990,35,6847.123
1990,36,6588.214
1990,37,6337.480
1990,38,6095.167
1990,39,5861.176
1990,40,5635.445
1990,41,5418.380
1990,42,5208.654
1990,43,5005.775
1990,44,4810.572
1990,45,4623.353
1990,46,4442.759
1990,47,4275.738
1990,48,4125.401
1990,49,3987.827
1990,50,3854.811
1990,51,3726.397
1990,52,3604.101
1990,53,3487.396
1990,54,3374.409
1990,55,3264.405
1990,56,3158.173
1990,57,3045.342
1990,58,2920.918
1990,59,2789.079
1990,60,2659.299
1990,61,2529.941
1990,62,2401.200
1990,63,2274.202
1990,64,2148.551
1990,65,2023.157
1990,66,1898.788
1990,67,1774.737
1990,68,1650.678
1990,69,1527.622
1990,70,1407.186
1990,71,1289.515
1990,72,1175.036
1990,73,1064.272
1990,74,957.551
1990,75,854.875
1990,76,756.415
1990,77,663.927
1990,78,578.323
1990,79,499.250
1990,80,425.222
1990,81,356.240
1990,82,294.703
1990,83,241.574
1990,84,195.790
1990,85,154.848
1990,86,118.523
1990,87,88.757
1990,88,66.013
1990,89,49.017
1990,90,35.612
1990,91,25.877
1990,92,18.316
1990,93,11.971
1990,94,6.928
1990,95,4.368
1990,96,3.355
1990,97,2.555
1990,98,1.556
1990,99,0.527
1990,100,0.984
1991,0,23986.240
1991,1,23300.928
1991,2,22481.042
1991,3,21710.170
1991,4,20983.823
1991,5,20297.409
1991,6,19647.860
1991,7,19032.067
1991,8,18438.218
1991,9,17858.881
1991,10,17293.841
1991,11,16752.294
1991,12,16234.670
1991,13,15711.413
1991,14,15169.439
1991,15,14620.628
1991,16,14090.381
1991,17,13574.029
1991,18,13076.305
1991,19,12602.233
1991,20,12149.063
1991,21,11707.468
1991,22,11277.531
1991,23,10870.298
1991,24,10489.708
1991,25,10130.699
1991,26,9783.529
1991,27,9449.452
1991,28,9124.404
1991,29,8805.161
1991,30,8492.905
1991,31,8192.178
1991,32,7902.300
1991,33,7617.894
1991,34,7336.858
1991,35,7060.868
1991,36,6793.813
1991,37,6534.916
1991,38,6284.532
1991,39,6043.271
1991,40,5810.716
1991,41,5586.151
1991,42,5370.090
1991,43,5161.096
1991,44,4958.515
1991,45,4763.269
1991,46,4575.929
1991,47,4395.103
1991,48,4227.580
1991,49,4076.416
1991,50,3937.760
1991,51,3803.506
1991,52,3673.651
1991,53,3549.962
1991,54,3432.006
1991,55,3317.809
1991,56,3206.490
1991,57,3098.962
1991,58,2984.327
1991,59,2857.332
1991,60,2722.461
1991,61,2589.802
1991,62,2457.608
1991,63,2326.399
1991,64,2197.544
1991,65,2070.500
1991,66,1943.900
1991,67,1818.569
1991,68,1693.874
1991,69,1569.476
1991,70,1446.443
1991,71,1326.411
1991,72,1209.492
1991,73,1096.402
