year,age,population
1990,0,81.344
1990,1,79.374
1990,2,77.555
1990,3,75.880
1990,4,74.340
1990,5,72.933
1990,6,71.650
1990,7,70.485
1990,8,69.431
1990,9,68.483
1990,10,67.618
1990,11,66.817
1990,12,66.147
1990,13,65.628
1990,14,65.215
1990,15,64.847
1990,16,64.560
1990,17,64.149
1990,18,63.511
1990,19,62.748
1990,20,61.989
1990,21,61.129
1990,22,60.569
1990,23,60.500
1990,24,60.680
1990,25,60.725
1990,26,60.753
1990,27,60.283
1990,28,59.047
1990,29,57.282
1990,30,55.518
1990,31,53.690
1990,32,51.729
1990,33,49.661
1990,34,47.529
1990,35,45.361
1990,36,43.185
1990,37,41.075
1990,38,39.078
1990,39,37.209
1990,40,35.390
1990,41,33.593
1990,42,32.170
1990,43,31.272
1990,44,30.736
1990,45,30.220
1990,46,29.760
1990,47,29.342
1990,48,28.918
1990,49,28.472
1990,50,28.081
1990,51,27.774
1990,52,27.185
1990,53,26.151
1990,54,24.844
1990,55,23.566
1990,56,22.227
1990,57,21.119
1990,58,20.412
1990,59,19.950
1990,60,19.433
1990,61,18.961
1990,62,18.284
1990,63,17.269
1990,64,16.052
1990,65,14.899
1990,66,13.731
1990,67,12.763
1990,68,12.121
1990,69,11.687
1990,70,11.227
1990,71,10.788
1990,72,10.292
1990,73,9.675
1990,74,8.984
1990,75,8.333
1990,76,7.702
1990,77,7.066
1990,78,6.425
1990,79,5.784
1990,80,5.160
1990,81,4.561
1990,82,3.963
1990,83,3.367
1990,84,2.785
1990,85,2.235
1990,86,1.705
1990,87,1.276
1990,88,0.987
1990,89,0.801
1990,90,0.635
1990,91,0.505
1990,92,0.393
1990,93,0.284
1990,94,0.184
1990,95,0.075
1990,96,0.061
1990,97,0.045
1990,98,0.031
1990,99,0.015
1990,100,0.020
1991,0,79.510
1991,1,79.699
1991,2,78.141
1991,3,76.623
1991,4,75.148
1991,5,73.723
1991,6,72.348
1991,7,71.011
1991,8,69.789
1991,9,68.710
1991,10,67.747
1991,11,66.821
1991,12,65.931
1991,13,65.127
1991,14,64.413
1991,15,63.765
1991,16,63.167
1991,17,62.651
1991,18,62.024
1991,19,61.204
1991,20,60.285
1991,21,59.381
1991,22,58.381
1991,23,57.752
1991,24,57.716
1991,25,58.001
1991,26,58.158
1991,27,58.318
1991,28,57.984
1991,29,56.878
1991,30,55.238
1991,31,53.612
1991,32,51.934
1991,33,50.110
1991,34,48.164
1991,35,46.137
1991,36,44.077
1991,37,42.005
1991,38,39.991
1991,39,38.080
1991,40,36.289
1991,41,34.541
1991,42,32.811
1991,43,31.449
1991,44,30.608
1991,45,30.124
1991,46,29.654
1991,47,29.237
1991,48,28.855
1991,49,28.464
1991,50,28.045
1991,51,27.679
1991,52,27.391
1991,53,26.819
1991,54,25.799
1991,55,24.504
1991,56,23.234
1991,57,21.901
1991,58,20.795
1991,59,20.083
1991,60,19.613
1991,61,19.086
1991,62,18.600
1991,63,17.913
1991,64,16.892
1991,65,15.672
1991,66,14.513
1991,67,13.341
1991,68,12.361
1991,69,11.699
1991,70,11.239
1991,71,10.755
1991,72,10.294
1991,73,9.777
1991,74,9.144
1991,75,8.440
1991,76,7.780
1991,77,7.142
1991,78,6.506
1991,79,5.878
1991,80,5.257
1991,81,4.655
1991,82,4.081
1991,83,3.516
1991,84,2.966
1991,85,2.439
1991,86,1.943
1991,87,1.469
1991,88,1.089
1991,89,0.832
1991,90,0.671
1991,91,0.528
1991,92,0.421
1991,93,0.329
1991,94,0.236
1991,95,0.150
1991,96,0.063
1991,97,0.046
1991,98,0.031
1991,99,0.015
1991,100,0.020
1992,0,75.608
1992,1,75.593
1992,2,77.532
1992,3,76.399
1992,4,75.192
1992,5,73.927
1992,6,72.629
1992,7,71.292
1992,8,69.912
1992,9,68.639
1992,10,67.543
1992,11,66.570
1992,12,65.588
1992,13,64.617
1992,14,63.682
1992,15,62.776
1992,16,61.899
1992,17,61.073
1992,18,60.328
1992,19,59.492
1992,20,58.492
1992,21,57.424
1992,22,56.379
1992,23,55.244
1992,24,54.553
1992,25,54.548
1992,26,54.936
1992,27,55.207
1992,28,55.496
1992,29,55.302
1992,30,54.332
1992,31,52.830
1992,32,51.354
1992,33,49.834
1992,34,48.163
1992,35,46.348
1992,36,44.443
1992,37,42.503
1992,38,40.549
1992,39,38.645
1992,40,36.832
1992,41,35.130
1992,42,33.466
1992,43,31.814
1992,44,30.523
1992,45,29.743
1992,46,29.314
1992,47,28.896
