year,age,population
1990,0,795.385
1990,1,800.395
1990,2,802.007
1990,3,800.455
1990,4,795.970
1990,5,788.789
1990,6,779.147
1990,7,767.275
1990,8,753.407
1990,9,737.780
1990,10,720.671
1990,11,702.364
1990,12,682.857
1990,13,662.290
1990,14,641.040
1990,15,619.343
1990,16,597.157
1990,17,576.099
1990,18,557.005
1990,19,539.324
1990,20,521.506
1990,21,503.660
1990,22,486.924
1990,23,471.641
1990,24,457.305
1990,25,443.292
1990,26,430.011
1990,27,415.460
1990,28,398.667
1990,29,380.672
1990,30,362.992
1990,31,344.741
1990,32,329.352
1990,33,318.501
1990,34,310.259
1990,35,301.785
1990,36,294.556
1990,37,282.586
1990,38,262.903
1990,39,238.751
1990,40,216.084
1990,41,193.392
1990,42,175.307
1990,43,164.636
1990,44,159.062
1990,45,153.287
1990,46,148.149
1990,47,143.997
1990,48,140.403
1990,49,137.345
1990,50,135.114
1990,51,133.511
1990,52,131.938
1990,53,130.074
1990,54,127.941
1990,55,125.960
1990,56,124.158
1990,57,121.300
1990,58,116.844
1990,59,111.306
1990,60,105.857
1990,61,100.406
1990,62,94.712
1990,63,88.819
1990,64,82.895
1990,65,76.906
1990,66,70.678
1990,67,65.657
1990,68,62.501
1990,69,60.517
1990,70,58.449
1990,71,56.667
1990,72,54.023
1990,73,49.861
1990,74,44.781
1990,75,40.027
1990,76,35.317
1990,77,31.129
1990,78,27.810
1990,79,25.087
1990,80,22.370
1990,81,19.828
1990,82,17.220
1990,83,14.379
1990,84,11.486
1990,85,8.843
1990,86,6.341
1990,87,4.368
1990,88,3.135
1990,89,2.435
1990,90,1.833
1990,91,1.396
1990,92,1.047
1990,93,0.692
1990,94,0.368
1990,95,0.125
1990,96,0.100
1990,97,0.075
1990,98,0.050
1990,99,0.025
1990,100,0.017
1991,0,785.855
1991,1,792.970
1991,2,797.997
1991,3,799.751
1991,4,798.435
1991,5,794.251
1991,6,787.441
1991,7,778.244
1991,8,766.680
1991,9,752.877
1991,10,737.150
1991,11,719.970
1991,12,701.592
1991,13,681.972
1991,14,661.250
1991,15,639.819
1991,16,617.926
1991,17,595.534
1991,18,574.285
1991,19,555.033
1991,20,537.223
1991,21,519.278
1991,22,501.310
1991,23,484.501
1991,24,469.213
1991,25,454.922
1991,26,440.962
1991,27,427.745
1991,28,413.279
1991,29,396.594
1991,30,378.721
1991,31,361.170
1991,32,343.058
1991,33,327.787
1991,34,317.012
1991,35,308.820
1991,36,300.398
1991,37,293.218
1991,38,281.300
1991,39,261.677
1991,40,237.590
1991,41,214.980
1991,42,192.346
1991,43,174.298
1991,44,163.638
1991,45,158.057
1991,46,152.275
1991,47,147.117
1991,48,142.966
1991,49,139.403
1991,50,136.393
1991,51,134.200
1991,52,132.629
1991,53,131.067
1991,54,129.185
1991,55,127.010
1991,56,124.985
1991,57,123.138
1991,58,120.211
1991,59,115.655
1991,60,109.996
1991,61,104.422
1991,62,98.831
1991,63,93.030
1991,64,87.081
1991,65,81.130
1991,66,75.113
1991,67,68.868
1991,68,63.777
1991,69,60.464
1991,70,58.273
1991,71,56.019
1991,72,54.050
1991,73,51.287
1991,74,47.105
1991,75,42.079
1991,76,37.382
1991,77,32.753
1991,78,28.643
1991,79,25.387
1991,80,22.724
1991,81,20.088
1991,82,17.629
1991,83,15.167
1991,84,12.569
1991,85,9.975
1991,86,7.622
1991,87,5.419
1991,88,3.691
1991,89,2.614
1991,90,2.008
1991,91,1.502
1991,92,1.156
1991,93,0.878
1991,94,0.580
1991,95,0.298
1991,96,0.115
1991,97,0.086
1991,98,0.057
1991,99,0.028
1991,100,0.018
1992,0,774.443
1992,1,784.915
1992,2,790.467
1992,3,795.509
1992,4,797.404
1992,5,796.326
1992,6,792.442
1992,7,786.004
1992,8,777.255
1992,9,765.998
1992,10,752.262
1992,11,736.437
1992,12,719.189
1992,13,700.741
1992,14,681.010
1992,15,660.137
1992,16,638.525
1992,17,616.440
1992,18,593.843
1992,19,572.407
1992,20,552.998
1992,21,535.061
1992,22,516.991
1992,23,498.904
1992,24,482.023
1992,25,466.732
1992,26,452.487
1992,27,438.582
1992,28,425.430
1992,29,411.053
1992,30,394.476
1992,31,376.726
1992,32,359.307
1992,33,341.337
1992,34,326.185
1992,35,315.487
1992,36,307.345
1992,37,298.978
1992,38,291.847
1992,39,279.981
1992,40,260.421
1992,41,236.402
1992,42,213.854
1992,43,191.276
1992,44,173.270
1992,45,162.621
1992,46,157.035
1992,47,151.244
1992,48,146.070
1992,49,141.918
1992,50,138.387
1992,51,135.427
1992,52,133.270
1992,53,131.731
1992,54,130.182
1992,55,128.281
1992,56,126.064
1992,57,123.996
1992,58,122.104
1992,59,119.109
1992,60,114.451
1992,61,108.674
1992,62,102.975
1992,63,97.246
1992,64,91.336
1992,65,85.332
1992,66,79.357
1992,67,73.310
1992,68,67.051
1992,69,61.890
1992,70,58.419
1992,71,56.022
1992,72,53.581
1992,73,51.428
1992,74,48.543
1992,75,44.344
1992,76,39.371
1992,77,34.733
1992,78,30.183
1992,79,26.154
1992,80,22.961
1992,81,20.359
1992,82,17.803
1992,83,15.426
1992,84,13.113
1992,85,10.757
1992,86,8.461
1992,87,6.401
1992,88,4.496
1992,89,3.014
