year,age,population
1990,0,499.439
1990,1,468.052
1990,2,439.915
1990,3,414.769
1990,4,392.349
1990,5,372.400
1990,6,354.659
1990,7,338.865
1990,8,324.761
1990,9,312.083
1990,10,300.837
1990,11,291.029
1990,12,281.072
1990,13,270.179
1990,14,258.881
1990,15,248.491
1990,16,238.738
1990,17,229.434
1990,18,220.620
1990,19,212.253
1990,20,204.223
1990,21,196.516
1990,22,189.224
1990,23,182.370
1990,24,175.891
1990,25,169.687
1990,26,163.767
1990,27,158.037
1990,28,152.441
1990,29,146.998
1990,30,141.695
1990,31,136.435
1990,32,131.550
1990,33,127.178
1990,34,123.085
1990,35,119.103
1990,36,115.505
1990,37,110.850
1990,38,104.482
1990,39,97.167
1990,40,90.204
1990,41,83.173
1990,42,77.649
1990,43,74.491
1990,44,72.905
1990,45,71.224
1990,46,69.771
1990,47,68.122
1990,48,65.895
1990,49,63.331
1990,50,61.059
1990,51,58.955
1990,52,56.826
1990,53,54.638
1990,54,52.419
1990,55,50.233
1990,56,48.060
1990,57,45.928
1990,58,43.859
1990,59,41.830
1990,60,39.815
1990,61,37.820
1990,62,35.825
1990,63,33.819
1990,64,31.812
1990,65,29.837
1990,66,27.897
1990,67,25.965
1990,68,24.039
1990,69,22.132
1990,70,20.274
1990,71,18.466
1990,72,16.705
1990,73,14.992
1990,74,13.340
1990,75,11.758
1990,76,10.246
1990,77,8.847
1990,78,7.582
1990,79,6.439
1990,80,5.376
1990,81,4.393
1990,82,3.541
1990,83,2.836
1990,84,2.256
1990,85,1.749
1990,86,1.317
1990,87,0.966
1990,88,0.697
1990,89,0.494
1990,90,0.346
1990,91,0.249
1990,92,0.176
1990,93,0.109
1990,94,0.052
1990,95,0.029
1990,96,0.027
1990,97,0.022
1990,98,0.015
1990,99,0.003
1990,100,0.005
1991,0,512.483
1991,1,485.357
1991,2,456.244
1991,3,430.141
1991,4,406.794
1991,5,385.943
1991,6,367.364
1991,7,350.822
1991,8,335.935
1991,9,322.399
1991,10,310.029
1991,11,298.975
1991,12,289.227
1991,13,279.297
1991,14,268.469
1991,15,257.246
1991,16,246.847
1991,17,237.020
1991,18,227.662
1991,19,218.839
1991,20,210.493
1991,21,202.464
1991,22,194.746
1991,23,187.454
1991,24,180.617
1991,25,174.168
1991,26,167.992
1991,27,162.103
1991,28,156.403
1991,29,150.835
1991,30,145.420
1991,31,140.147
1991,32,134.920
1991,33,130.064
1991,34,125.710
1991,35,121.630
1991,36,117.663
1991,37,114.074
1991,38,109.446
1991,39,103.135
1991,40,95.894
1991,41,88.998
1991,42,82.037
1991,43,76.559
1991,44,73.413
1991,45,71.814
1991,46,70.121
1991,47,68.652
1991,48,66.989
1991,49,64.753
1991,50,62.181
1991,51,59.897
1991,52,57.778
1991,53,55.632
1991,54,53.425
1991,55,51.187
1991,56,48.980
1991,57,46.788
1991,58,44.633
1991,59,42.538
1991,60,40.483
1991,61,38.441
1991,62,36.425
1991,63,34.407
1991,64,32.380
1991,65,30.356
1991,66,28.367
1991,67,26.418
1991,68,24.486
1991,69,22.568
1991,70,20.680
1991,71,18.847
1991,72,17.067
1991,73,15.351
1991,74,13.699
1991,75,12.123
1991,76,10.621
1991,77,9.191
1991,78,7.880
1991,79,6.711
1991,80,5.666
1991,81,4.701
1991,82,3.817
1991,83,3.056
1991,84,2.430
1991,85,1.920
1991,86,1.480
1991,87,1.111
1991,88,0.813
1991,89,0.583
1991,90,0.407
1991,91,0.284
1991,92,0.206
1991,93,0.145
1991,94,0.091
1991,95,0.042
1991,96,0.027
1991,97,0.025
1991,98,0.014
1991,99,0.003
1991,100,0.005
1992,0,527.889
1992,1,495.206
1992,2,472.818
1992,3,445.882
1992,4,421.727
1992,5,400.100
1992,6,380.749
1992,7,363.477
1992,8,348.080
1992,9,334.052
1992,10,321.038
1992,11,308.939
1992,12,298.042
1992,13,288.322
1992,14,278.391
1992,15,267.592
1992,16,256.410
1992,17,245.969
1992,18,236.041
1992,19,226.597
1992,20,217.739
1992,21,209.389
1992,22,201.336
1992,23,193.582
1992,24,186.268
1992,25,179.427
1992,26,172.987
1992,27,166.822
1992,28,160.943
1992,29,155.258
1992,30,149.700
1992,31,144.295
1992,32,139.037
1992,33,133.827
1992,34,128.983
1992,35,124.635
1992,36,120.556
1992,37,116.589
1992,38,112.999
1992,39,108.386
1992,40,102.111
1992,41,94.920
1992,42,88.071
1992,43,81.157
1992,44,75.709
1992,45,72.564
1992,46,70.948
1992,47,69.238
1992,48,67.751
1992,49,66.066
1992,50,63.813
1992,51,61.227
1992,52,58.924
1992,53,56.782
1992,54,54.613
1992,55,52.382
1992,56,50.117
1992,57,47.883
1992,58,45.663
1992,59,43.481
1992,60,41.353
1992,61,39.264
1992,62,37.192
1992,63,35.145
1992,64,33.100
1992,65,31.047
1992,66,28.997
1992,67,26.989
1992,68,25.025
1992,69,23.087
1992,70,21.173
1992,71,19.297
1992,72,17.482
1992,73,15.726
1992,74,14.048
1992,75,12.453
1992,76,10.948
1992,77,9.519
1992,78,8.168
1992,79,6.941
1992,80,5.863
1992,81,4.913
1992,82,4.043
1992,83,3.255
1992,84,2.581
1992,85,2.034
1992,86,1.590
1992,87,1.216
1992,88,0.910
1992,89,0.664
1992,90,0.470
1992,91,0.323
1992,92,0.222
1992,93,0.163
1992,94,0.116
1992,95,0.072
1992,96,0.033
1992,97,0.025
1992,98,0.016
1992,99,0.003
1992,100,0.006
1993,0,544.788
1993,1,511.581
1993,2,481.667
1993,3,460.999
1993,4,436.201
1993,5,413.957
1993,6,394.022
1993,7,376.141
1993,8,360.150
1993,9,345.878
1993,10,332.686
1993,11,320.176
1993,12,308.329
1993,13,297.572
1993,14,287.866
1993,15,277.916
1993,16,267.132
1993,17,255.971
1993,18,245.475
1993,19,235.427
1993,20,225.884
1993,21,216.977
1993,22,208.610
1993,23,200.519
1993,24,192.718
1993,25,185.371
1993,26,178.516
1993,27,172.074
1993,28,165.909
1993,29,160.034
1993,30,154.352
1993,31,148.797
1993,32,143.394
1993,33,138.141
1993,34,132.941
1993,35,128.102
1993,36,123.752
1993,37,119.668
1993,38,115.697
1993,39,112.099
1993,40,107.493
1993,41,101.244
1993,42,94.093
1993,43,87.280
1993,44,80.403
1993,45,74.976
1993,46,71.827
1993,47,70.192
1993,48,68.461
1993,49,66.952
1993,50,65.245
1993,51,62.972
1993,52,60.368
1993,53,58.040
1993,54,55.875
1993,55,53.678
1993,56,51.418
1993,57,49.124
1993,58,46.859
1993,59,44.608
1993,60,42.394
1993,61,40.231
1993,62,38.105
1993,63,35.998
1993,64,33.919
1993,65,31.843
1993,66,29.759
1993,67,27.682
1993,68,25.653
1993,69,23.669
1993,70,21.722
1993,71,19.808
1993,72,17.942
1993,73,16.142
1993,74,14.408
1993,75,12.765
1993,76,11.225
1993,77,9.788
1993,78,8.431
1993,79,7.155
1993,80,6.012
1993,81,5.023
1993,82,4.167
1993,83,3.391
1993,84,2.697
1993,85,2.110
1993,86,1.640
1993,87,1.262
1993,88,0.954
1993,89,0.709
1993,90,0.516
1993,91,0.358
1993,92,0.238
1993,93,0.162
1993,94,0.120
1993,95,0.087
1993,96,0.054
1993,97,0.023
1993,98,0.016
1993,99,0.004
1993,100,0.007
1994,0,562.060
1994,1,528.254
1994,2,497.719
1994,3,470.216
1994,4,449.101
1994,5,426.449
1994,6,406.125
1994,7,387.885
1994,8,371.483
1994,9,356.779
1994,10,343.635
1994,11,331.283
1994,12,319.280
1994,13,307.686
1994,14,297.071
1994,15,287.380
1994,16,277.412
1994,17,266.644
1994,18,255.507
1994,19,244.954
1994,20,234.788
1994,21,225.146
1994,22,216.192
1994,23,207.808
1994,24,199.680
1994,25,191.833
1994,26,184.453
1994,27,177.583
1994,28,171.142
1994,29,164.978
1994,30,159.106
1994,31,153.428
1994,32,147.876
1994,33,142.476
1994,34,137.230
1994,35,132.038
1994,36,127.207
1994,37,122.855
1994,38,118.765
1994,39,114.790
1994,40,111.186
1994,41,106.585
1994,42,100.365
1994,43,93.255
1994,44,86.478
1994,45,79.639
1994,46,74.232
1994,47,71.082
1994,48,69.426
1994,49,67.676
1994,50,66.145
1994,51,64.415
1994,52,62.122
1994,53,59.499
1994,54,57.150
1994,55,54.958
1994,56,52.736
1994,57,50.446
1994,58,48.122
1994,59,45.828
1994,60,43.546
1994,61,41.300
1994,62,39.101
1994,63,36.939
1994,64,34.797
1994,65,32.687
1994,66,30.580
1994,67,28.464
1994,68,26.361
1994,69,24.308
1994,70,22.308
1994,71,20.351
1994,72,18.437
1994,73,16.581
1994,74,14.798
1994,75,13.084
1994,76,11.477
1994,77,9.993
1994,78,8.623
1994,79,7.340
1994,80,6.139
1994,81,5.079
1994,82,4.181
1994,83,3.417
1994,84,2.737
1994,85,2.137
1994,86,1.637
1994,87,1.245
1994,88,0.934
1994,89,0.690
1994,90,0.508
1994,91,0.367
1994,92,0.246
1994,93,0.153
1994,94,0.101
1994,95,0.077
1994,96,0.057
1994,97,0.036
1994,98,0.014
1994,99,0.003
1994,100,0.008
1995,0,579.039
1995,1,544.461
1995,2,513.185
1995,3,484.968
1995,4,459.570
1995,5,436.754
1995,6,416.273
1995,7,397.892
1995,8,381.370
1995,9,366.462
1995,10,353.063
1995,11,341.060
1995,12,329.563
1995,13,318.078
1995,14,306.750
1995,15,296.287
1995,16,286.619
1995,17,276.644
1995,18,265.901
1995,19,254.799
1995,20,244.199
1995,21,233.925
1995,22,224.193
1995,23,215.199
1995,24,206.806
1995,25,198.650
1995,26,190.764
1995,27,183.358
1995,28,176.480
1995,29,170.045
1995,30,163.888
1995,31,158.025
1995,32,152.357
1995,33,146.813
1995,34,141.421
1995,35,136.186
1995,36,131.009
1995,37,126.188
1995,38,121.839
1995,39,117.748
1995,40,113.772
1995,41,110.165
1995,42,105.576
1995,43,99.389
1995,44,92.326
1995,45,85.592
1995,46,78.797
1995,47,73.418
1995,48,70.267
1995,49,68.593
1995,50,66.825
1995,51,65.273
1995,52,63.522
1995,53,61.212
1995,54,58.573
1995,55,56.202
1995,56,53.988
1995,57,51.741
1995,58,49.425
1995,59,47.074
1995,60,44.750
1995,61,42.441
1995,62,40.165
1995,63,37.932
1995,64,35.736
1995,65,33.561
1995,66,31.421
1995,67,29.284
1995,68,27.141
1995,69,25.012
1995,70,22.939
1995,71,20.922
1995,72,18.959
1995,73,17.046
1995,74,15.202
1995,75,13.436
1995,76,11.746
1995,77,10.176
1995,78,8.748
1995,79,7.449
1995,80,6.239
1995,81,5.116
1995,82,4.140
1995,83,3.332
1995,84,2.664
1995,85,2.078
1995,86,1.574
1995,87,1.163
1995,88,0.847
1995,89,0.604
1995,90,0.426
1995,91,0.306
1995,92,0.217
1995,93,0.134
1995,94,0.068
1995,95,0.039
1995,96,0.034
1995,97,0.028
1995,98,0.018
1995,99,0.004
1995,100,0.008
1996,0,594.988
1996,1,563.397
1996,2,531.038
1996,3,501.804
1996,4,475.442
1996,5,451.708
1996,6,430.392
1996,7,411.286
1996,8,393.942
1996,9,378.032
1996,10,363.426
1996,11,350.229
1996,12,338.299
1996,13,326.844
1996,14,315.441
1996,15,304.205
1996,16,293.746
1996,17,284.015
1996,18,273.993
1996,19,263.252
1996,20,252.182
1996,21,241.593
1996,22,231.317
1996,23,221.596
1996,24,212.633
1996,25,204.284
1996,26,196.173
1996,27,188.334
1996,28,180.977
1996,29,174.149
1996,30,167.763
1996,31,161.658
1996,32,155.850
1996,33,150.235
1996,34,144.744
1996,35,139.403
1996,36,134.221
1996,37,129.097
1996,38,124.326
1996,39,120.020
1996,40,115.967
1996,41,112.029
1996,42,108.453
1996,43,103.909
1996,44,97.791
1996,45,90.807
1996,46,84.148
1996,47,77.426
1996,48,72.096
1996,49,68.956
1996,50,67.267
1996,51,65.485
1996,52,63.913
1996,53,62.143
1996,54,59.816
1996,55,57.162
1996,56,54.772
1996,57,52.536
1996,58,50.266
1996,59,47.928
1996,60,45.555
1996,61,43.211
1996,62,40.883
1996,63,38.589
1996,64,36.337
1996,65,34.125
1996,66,31.938
1996,67,29.791
1996,68,27.655
1996,69,25.523
1996,70,23.415
1996,71,21.368
1996,72,19.384
1996,73,17.467
1996,74,15.619
1996,75,13.857
1996,76,12.173
1996,77,10.571
1996,78,9.096
1996,79,7.771
1996,80,6.578
1996,81,5.477
1996,82,4.461
1996,83,3.586
1996,84,2.866
1996,85,2.276
1996,86,1.765
1996,87,1.333
1996,88,0.982
1996,89,0.710
1996,90,0.500
1996,91,0.350
1996,92,0.253
1996,93,0.182
1996,94,0.111
1996,95,0.055
1996,96,0.036
1996,97,0.030
1996,98,0.018
1996,99,0.004
1996,100,0.008
1997,0,611.056
1997,1,574.421
1997,2,547.748
1997,3,517.605
1997,4,490.408
1997,5,465.900
1997,6,443.824
1997,7,424.010
1997,8,406.273
1997,9,389.965
1997,10,374.668
1997,11,360.364
1997,12,347.369
1997,13,335.515
1997,14,324.101
1997,15,312.780
1997,16,301.639
1997,17,291.184
1997,18,281.392
1997,19,271.324
1997,20,260.585
1997,21,249.549
1997,22,238.971
1997,23,228.694
1997,24,218.985
1997,25,210.054
1997,26,201.751
1997,27,193.684
1997,28,185.893
1997,29,178.586
1997,30,171.807
1997,31,165.472
1997,32,159.420
1997,33,153.666
1997,34,148.105
1997,35,142.667
1997,36,137.378
1997,37,132.248
1997,38,127.179
1997,39,122.458
1997,40,118.193
1997,41,114.181
1997,42,110.280
1997,43,106.736
1997,44,102.237
1997,45,96.188
1997,46,89.285
1997,47,82.700
1997,48,76.051
1997,49,70.771
1997,50,67.642
1997,51,65.940
1997,52,64.142
1997,53,62.552
1997,54,60.761
1997,55,58.418
1997,56,55.750
1997,57,53.342
1997,58,51.083
1997,59,48.791
1997,60,46.431
1997,61,44.036
1997,62,41.671
1997,63,39.326
1997,64,37.014
1997,65,34.744
1997,66,32.515
1997,67,30.316
1997,68,28.163
1997,69,26.029
1997,70,23.908
1997,71,21.821
1997,72,19.800
1997,73,17.848
1997,74,15.977
1997,75,14.196
1997,76,12.513
1997,77,10.914
1997,78,9.399
1997,79,8.018
1997,80,6.795
1997,81,5.711
1997,82,4.716
1997,83,3.808
1997,84,3.033
1997,85,2.401
1997,86,1.889
1997,87,1.452
1997,88,1.093
1997,89,0.802
1997,90,0.573
1997,91,0.397
1997,92,0.274
1997,93,0.200
1997,94,0.146
1997,95,0.090
1997,96,0.041
1997,97,0.035
1997,98,0.021
1997,99,0.002
1997,100,0.009
1998,0,628.183
1998,1,590.338
1998,2,556.169
1998,3,532.551
1998,4,504.596
1998,5,479.411
1998,6,456.732
1998,7,436.298
1998,8,417.962
1998,9,401.581
1998,10,386.293
1998,11,371.596
1998,12,357.582
1998,13,344.780
1998,14,332.991
1998,15,321.611
1998,16,310.363
1998,17,299.307
1998,18,288.849
1998,19,278.988
1998,20,268.866
1998,21,258.123
1998,22,247.111
1998,23,236.537
1998,24,226.250
1998,25,216.547
1998,26,207.640
1998,27,199.376
1998,28,191.349
1998,29,183.599
1998,30,176.335
1998,31,169.601
1998,32,163.312
1998,33,157.308
1998,34,151.603
1998,35,146.092
1998,36,140.703
1998,37,135.462
1998,38,130.381
1998,39,125.362
1998,40,120.687
1998,41,116.461
1998,42,112.485
1998,43,108.619
1998,44,105.103
1998,45,100.648
1998,46,94.661
1998,47,87.834
1998,48,81.318
1998,49,74.738
1998,50,69.502
1998,51,66.383
1998,52,64.665
1998,53,62.851
1998,54,61.241
1998,55,59.428
1998,56,57.070
1998,57,54.383
1998,58,51.954
1998,59,49.673
1998,60,47.356
1998,61,44.973
1998,62,42.554
1998,63,40.167
1998,64,37.803
1998,65,35.470
1998,66,33.181
1998,67,30.934
1998,68,28.722
1998,69,26.560
1998,70,24.425
1998,71,22.315
1998,72,20.247
1998,73,18.251
1998,74,16.329
1998,75,14.503
1998,76,12.788
1998,77,11.182
1998,78,9.666
1998,79,8.235
1998,80,6.950
1998,81,5.827
1998,82,4.849
1998,83,3.961
1998,84,3.160
1998,85,2.484
1998,86,1.938
1998,87,1.504
1998,88,1.142
1998,89,0.853
1998,90,0.623
1998,91,0.438
1998,92,0.294
1998,93,0.197
1998,94,0.149
1998,95,0.110
1998,96,0.068
1998,97,0.028
1998,98,0.022
1998,99,0.001
1998,100,0.009
1999,0,647.576
1999,1,608.547
1999,2,573.308
1999,3,541.579
1999,4,518.267
1999,5,492.453
1999,6,469.235
1999,7,448.350
1999,8,429.519
1999,9,412.632
1999,10,397.578
1999,11,383.286
1999,12,369.161
1999,13,355.415
1999,14,342.782
1999,15,331.039
1999,16,319.673
1999,17,308.479
1999,18,297.490
1999,19,287.010
1999,20,277.063
1999,21,266.870
1999,22,256.103
1999,23,245.098
1999,24,234.508
1999,25,224.196
1999,26,214.480
1999,27,205.583
1999,28,197.343
1999,29,189.342
1999,30,181.620
1999,31,174.388
1999,32,167.686
1999,33,161.433
1999,34,155.465
1999,35,149.801
1999,36,144.330
1999,37,138.981
1999,38,133.779
1999,39,128.736
1999,40,123.760
1999,41,119.123
1999,42,114.930
1999,43,110.982
1999,44,107.144
1999,45,103.651
1999,46,99.231
1999,47,93.297
1999,48,86.534
1999,49,80.075
1999,50,73.553
1999,51,68.353
1999,52,65.238
1999,53,63.500
1999,54,61.669
1999,55,60.034
1999,56,58.199
1999,57,55.817
1999,58,53.110
1999,59,50.657
1999,60,48.347
1999,61,46.003
1999,62,43.591
1999,63,41.145
1999,64,38.733
1999,65,36.343
1999,66,33.988
1999,67,31.675
1999,68,29.406
1999,69,27.176
1999,70,25.003
1999,71,22.864
1999,72,20.760
1999,73,18.707
1999,74,16.733
1999,75,14.839
1999,76,13.054
1999,77,11.400
1999,78,9.871
1999,79,8.433
1999,80,7.087
1999,81,5.892
1999,82,4.870
1999,83,3.996
1999,84,3.212
1999,85,2.516
1999,86,1.939
1999,87,1.480
1999,88,1.121
1999,89,0.834
1999,90,0.616
1999,91,0.444
1999,92,0.303
1999,93,0.191
1999,94,0.123
1999,95,0.096
1999,96,0.075
1999,97,0.046
1999,98,0.015
1999,99,0.005
1999,100,0.010
2000,0,669.920
2000,1,629.819
2000,2,593.555
2000,3,560.848
2000,4,531.417
2000,5,504.981
2000,6,481.263
2000,7,459.975
2000,8,440.845
2000,9,423.586
2000,10,408.121
2000,11,394.367
2000,12,381.044
2000,13,367.468
2000,14,353.960
2000,15,341.474
2000,16,329.751
2000,17,318.377
2000,18,307.215
2000,19,296.269
2000,20,285.747
2000,21,275.693
2000,22,265.409
2000,23,254.596
2000,24,243.574
2000,25,232.949
2000,26,222.588
2000,27,212.841
2000,28,203.935
2000,29,195.704
2000,30,187.712
2000,31,180.002
2000,32,172.787
2000,33,166.105
2000,34,159.873
2000,35,153.932
2000,36,148.296
2000,37,142.855
2000,38,137.534
2000,39,132.360
2000,40,127.348
2000,41,122.403
2000,42,117.795
2000,43,113.625
2000,44,109.699
2000,45,105.882
2000,46,102.404
2000,47,98.009
2000,48,92.118
2000,49,85.404
2000,50,78.991
2000,51,72.512
2000,52,67.339
2000,53,64.220
2000,54,62.461
2000,55,60.606
2000,56,58.946
2000,57,57.082
2000,58,54.674
2000,59,51.940
2000,60,49.456
2000,61,47.115
2000,62,44.738
2000,63,42.293
2000,64,39.814
2000,65,37.371
2000,66,34.953
2000,67,32.569
2000,68,30.227
2000,69,27.931
2000,70,25.680
2000,71,23.490
2000,72,21.344
2000,73,19.241
2000,74,17.200
2000,75,15.242
2000,76,13.373
2000,77,11.626
2000,78,10.030
2000,79,8.575
2000,80,7.214
2000,81,5.948
2000,82,4.843
2000,83,3.918
2000,84,3.147
2000,85,2.467
2000,86,1.876
2000,87,1.396
2000,88,1.022
2000,89,0.740
2000,90,0.525
2000,91,0.379
2000,92,0.266
2000,93,0.168
2000,94,0.089
2000,95,0.047
2000,96,0.044
2000,97,0.040
2000,98,0.024
2000,99,0.002
2000,100,0.010
2001,0,689.956
2001,1,655.800
2001,2,618.171
2001,3,584.047
2001,4,553.166
2001,5,525.269
2001,6,500.107
2001,7,477.429
2001,8,456.930
2001,9,438.335
2001,10,421.411
2001,11,406.130
2001,12,392.415
2001,13,379.100
2001,14,365.576
2001,15,352.131
2001,16,339.625
2001,17,327.822
2001,18,316.375
2001,19,305.172
2001,20,294.205
2001,21,283.644
2001,22,273.540
2001,23,263.222
2001,24,252.403
2001,25,241.393
2001,26,230.780
2001,27,220.435
2001,28,210.710
2001,29,201.828
2001,30,193.624
2001,31,185.665
2001,32,177.990
2001,33,170.814
2001,34,164.175
2001,35,157.988
2001,36,152.092
2001,37,146.503
2001,38,141.109
2001,39,135.835
2001,40,130.707
2001,41,125.743
2001,42,120.846
2001,43,116.277
2001,44,112.135
2001,45,108.227
2001,46,104.427
2001,47,100.960
2001,48,96.590
2001,49,90.746
2001,50,84.091
2001,51,77.730
2001,52,71.303
2001,53,66.157
2001,54,63.027
2001,55,61.231
2001,56,59.340
2001,57,57.640
