year,age,population
1990,0,1.077
1990,1,1.247
1990,2,1.365
1990,3,1.435
1990,4,1.463
1990,5,1.457
1990,6,1.424
1990,7,1.368
1990,8,1.298
1990,9,1.218
1990,10,1.126
1990,11,1.026
1990,12,0.957
1990,13,0.947
1990,14,0.976
1990,15,0.999
1990,16,1.021
1990,17,1.060
1990,18,1.123
1990,19,1.198
1990,20,1.270
1990,21,1.349
1990,22,1.398
1990,23,1.403
1990,24,1.379
1990,25,1.356
1990,26,1.328
1990,27,1.290
1990,28,1.234
1990,29,1.170
1990,30,1.102
1990,31,1.026
1990,32,0.964
1990,33,0.923
1990,34,0.895
1990,35,0.866
1990,36,0.839
1990,37,0.805
1990,38,0.761
1990,39,0.711
1990,40,0.664
1990,41,0.615
1990,42,0.580
1990,43,0.561
1990,44,0.556
1990,45,0.548
1990,46,0.545
1990,47,0.531
1990,48,0.503
1990,49,0.464
1990,50,0.430
1990,51,0.399
1990,52,0.371
1990,53,0.345
1990,54,0.324
1990,55,0.303
1990,56,0.278
1990,57,0.275
1990,58,0.302
1990,59,0.347
1990,60,0.390
1990,61,0.438
1990,62,0.462
1990,63,0.443
1990,64,0.399
1990,65,0.359
1990,66,0.316
1990,67,0.285
1990,68,0.280
1990,69,0.289
1990,70,0.295
1990,71,0.298
1990,72,0.297
1990,73,0.285
1990,74,0.267
1990,75,0.250
1990,76,0.233
1990,77,0.215
1990,78,0.199
1990,79,0.183
1990,80,0.166
1990,81,0.150
1990,82,0.130
1990,83,0.112
1990,84,0.092
1990,85,0.072
1990,86,0.052
1990,87,0.037
1990,88,0.028
1990,89,0.023
1990,90,0.018
1990,91,0.014
1990,92,0.012
1990,93,0.007
1990,94,0.006
1990,95,0.004
1990,96,0.002
1990,97,0.001
1990,98,0.001
1990,99,0.000
1990,100,0.001
1991,0,1.036
1991,1,1.122
1991,2,1.261
1991,3,1.360
1991,4,1.418
1991,5,1.442
1991,6,1.439
1991,7,1.415
1991,8,1.366
1991,9,1.295
1991,10,1.211
1991,11,1.117
1991,12,1.018
1991,13,0.950
1991,14,0.940
1991,15,0.970
1991,16,0.994
1991,17,1.018
1991,18,1.057
1991,19,1.119
1991,20,1.193
1991,21,1.265
1991,22,1.341
1991,23,1.390
1991,24,1.395
1991,25,1.368
1991,26,1.346
1991,27,1.316
1991,28,1.278
1991,29,1.223
1991,30,1.161
1991,31,1.096
1991,32,1.021
1991,33,0.961
1991,34,0.922
1991,35,0.894
1991,36,0.865
1991,37,0.840
1991,38,0.806
1991,39,0.761
1991,40,0.711
1991,41,0.664
1991,42,0.614
1991,43,0.579
1991,44,0.561
1991,45,0.555
1991,46,0.548
1991,47,0.546
1991,48,0.532
1991,49,0.504
1991,50,0.463
1991,51,0.428
1991,52,0.396
1991,53,0.368
1991,54,0.342
1991,55,0.324
1991,56,0.305
1991,57,0.282
1991,58,0.280
1991,59,0.304
1991,60,0.345
1991,61,0.385
1991,62,0.428
1991,63,0.449
1991,64,0.430
1991,65,0.387
1991,66,0.348
1991,67,0.306
1991,68,0.276
1991,69,0.270
1991,70,0.277
1991,71,0.283
1991,72,0.284
1991,73,0.283
1991,74,0.272
1991,75,0.254
1991,76,0.238
1991,77,0.222
1991,78,0.205
1991,79,0.188
1991,80,0.171
1991,81,0.152
1991,82,0.135
1991,83,0.115
1991,84,0.097
1991,85,0.081
1991,86,0.062
1991,87,0.045
1991,88,0.032
1991,89,0.024
1991,90,0.019
1991,91,0.016
1991,92,0.011
1991,93,0.010
1991,94,0.006
1991,95,0.005
1991,96,0.002
1991,97,0.001
1991,98,0.001
1991,99,0.000
1991,100,0.001
1992,0,1.034
1992,1,1.191
1992,2,1.172
1992,3,1.283
1992,4,1.362
1992,5,1.410
1992,6,1.430
1992,7,1.429
1992,8,1.414
1992,9,1.371
1992,10,1.300
1992,11,1.211
1992,12,1.115
1992,13,1.016
1992,14,0.948
1992,15,0.939
1992,16,0.970
1992,17,0.995
1992,18,1.020
1992,19,1.060
1992,20,1.123
1992,21,1.195
1992,22,1.266
1992,23,1.342
1992,24,1.390
1992,25,1.394
1992,26,1.366
1992,27,1.343
1992,28,1.312
1992,29,1.274
1992,30,1.220
1992,31,1.159
1992,32,1.094
1992,33,1.023
1992,34,0.964
1992,35,0.926
1992,36,0.898
1992,37,0.870
1992,38,0.845
1992,39,0.811
1992,40,0.766
1992,41,0.716
1992,42,0.666
1992,43,0.618
1992,44,0.581
1992,45,0.563
1992,46,0.559
1992,47,0.551
1992,48,0.550
1992,49,0.536
1992,50,0.507
1992,51,0.465
1992,52,0.429
1992,53,0.395
1992,54,0.366
1992,55,0.343
1992,56,0.325
1992,57,0.308
1992,58,0.289
1992,59,0.286
1992,60,0.307
1992,61,0.346
1992,62,0.381
1992,63,0.421
1992,64,0.439
1992,65,0.420
1992,66,0.377
1992,67,0.340
1992,68,0.297
1992,69,0.268
1992,70,0.262
1992,71,0.268
1992,72,0.272
1992,73,0.273
1992,74,0.271
1992,75,0.259
1992,76,0.243
1992,77,0.228
1992,78,0.213
1992,79,0.196
1992,80,0.179
1992,81,0.159
1992,82,0.139
1992,83,0.121
1992,84,0.100
1992,85,0.085
1992,86,0.069
1992,87,0.053
1992,88,0.039
1992,89,0.026
1992,90,0.021
1992,91,0.016
1992,92,0.012
1992,93,0.010
1992,94,0.008
1992,95,0.004
1992,96,0.004
1992,97,0.002
1992,98,0.001
1992,99,0.000
1992,100,0.001
1993,0,1.065
1993,1,1.180
1993,2,1.268
1993,3,1.228
1993,4,1.311
1993,5,1.372
1993,6,1.409
1993,7,1.425
1993,8,1.426
1993,9,1.421
1993,10,1.384
1993,11,1.311
1993,12,1.217
1993,13,1.119
1993,14,1.018
1993,15,0.951
1993,16,0.943
1993,17,0.975
1993,18,1.002
1993,19,1.027
1993,20,1.068
1993,21,1.132
1993,22,1.203
1993,23,1.274
1993,24,1.349
1993,25,1.397
1993,26,1.401
1993,27,1.371
1993,28,1.347
1993,29,1.315
1993,30,1.275
1993,31,1.223
1993,32,1.163
1993,33,1.100
1993,34,1.030
1993,35,0.971
1993,36,0.934
1993,37,0.907
1993,38,0.880
1993,39,0.853
1993,40,0.821
1993,41,0.776
1993,42,0.723
1993,43,0.673
1993,44,0.624
1993,45,0.586
1993,46,0.569
1993,47,0.564
1993,48,0.558
1993,49,0.557
1993,50,0.543
1993,51,0.512
1993,52,0.470
1993,53,0.431
1993,54,0.397
1993,55,0.366
1993,56,0.344
1993,57,0.330
1993,58,0.312
1993,59,0.296
1993,60,0.294
1993,61,0.313
1993,62,0.347
1993,63,0.380
1993,64,0.416
1993,65,0.431
1993,66,0.412
1993,67,0.370
1993,68,0.332
1993,69,0.291
1993,70,0.262
1993,71,0.254
1993,72,0.261
1993,73,0.262
1993,74,0.263
1993,75,0.260
1993,76,0.248
1993,77,0.234
1993,78,0.218
1993,79,0.205
1993,80,0.189
1993,81,0.169
1993,82,0.149
1993,83,0.127
1993,84,0.107
1993,85,0.087
1993,86,0.071
1993,87,0.059
1993,88,0.044
1993,89,0.032
1993,90,0.022
1993,91,0.017
1993,92,0.012
1993,93,0.010
1993,94,0.008
1993,95,0.006
1993,96,0.003
1993,97,0.003
1993,98,0.001
1993,99,0.001
1993,100,0.001
1994,0,1.120
1994,1,1.189
1994,2,1.247
1994,3,1.296
1994,4,1.288
1994,5,1.344
1994,6,1.386
1994,7,1.412
1994,8,1.425
1994,9,1.428
1994,10,1.432
1994,11,1.401
1994,12,1.327
1994,13,1.226
1994,14,1.127
1994,15,1.024
1994,16,0.957
1994,17,0.950
1994,18,0.983
1994,19,1.011
1994,20,1.038
1994,21,1.081
1994,22,1.143
1994,23,1.215
1994,24,1.287
1994,25,1.361
1994,26,1.408
1994,27,1.412
1994,28,1.381
1994,29,1.355
1994,30,1.322
1994,31,1.281
1994,32,1.230
1994,33,1.170
1994,34,1.109
1994,35,1.040
1994,36,0.982
1994,37,0.946
1994,38,0.918
1994,39,0.892
1994,40,0.866
1994,41,0.833
1994,42,0.787
1994,43,0.733
1994,44,0.682
1994,45,0.633
1994,46,0.593
1994,47,0.576
1994,48,0.572
1994,49,0.566
1994,50,0.565
1994,51,0.551
1994,52,0.521
1994,53,0.475
1994,54,0.436
1994,55,0.399
1994,56,0.368
1994,57,0.346
1994,58,0.334
1994,59,0.319
1994,60,0.304
1994,61,0.302
1994,62,0.320
1994,63,0.350
1994,64,0.380
1994,65,0.412
1994,66,0.425
1994,67,0.405
1994,68,0.363
1994,69,0.327
1994,70,0.284
1994,71,0.257
1994,72,0.248
1994,73,0.253
1994,74,0.254
1994,75,0.253
1994,76,0.250
1994,77,0.239
1994,78,0.224
1994,79,0.210
1994,80,0.198
1994,81,0.181
1994,82,0.161
1994,83,0.139
1994,84,0.115
1994,85,0.094
1994,86,0.073
1994,87,0.058
1994,88,0.048
1994,89,0.036
1994,90,0.026
1994,91,0.017
1994,92,0.013
1994,93,0.009
1994,94,0.008
1994,95,0.005
1994,96,0.004
1994,97,0.002
1994,98,0.002
1994,99,0.001
1994,100,0.001
1995,0,1.188
1995,1,1.219
1995,2,1.251
1995,3,1.285
1995,4,1.319
1995,5,1.350
1995,6,1.378
1995,7,1.400
1995,8,1.417
1995,9,1.425
1995,10,1.432
1995,11,1.444
1995,12,1.419
1995,13,1.344
1995,14,1.237
1995,15,1.135
1995,16,1.031
1995,17,0.964
1995,18,0.957
1995,19,0.992
1995,20,1.021
1995,21,1.050
1995,22,1.093
1995,23,1.157
1995,24,1.228
1995,25,1.300
1995,26,1.374
1995,27,1.421
1995,28,1.424
1995,29,1.391
1995,30,1.364
1995,31,1.330
1995,32,1.289
1995,33,1.237
1995,34,1.179
1995,35,1.118
1995,36,1.051
1995,37,0.994
1995,38,0.958
1995,39,0.931
1995,40,0.904
1995,41,0.879
1995,42,0.846
1995,43,0.799
1995,44,0.744
1995,45,0.692
1995,46,0.641
1995,47,0.601
1995,48,0.584
1995,49,0.580
1995,50,0.574
1995,51,0.574
1995,52,0.561
1995,53,0.528
1995,54,0.482
1995,55,0.440
1995,56,0.402
1995,57,0.370
1995,58,0.349
1995,59,0.339
1995,60,0.325
1995,61,0.313
1995,62,0.311
1995,63,0.326
1995,64,0.354
1995,65,0.380
1995,66,0.408
1995,67,0.419
1995,68,0.398
1995,69,0.357
1995,70,0.321
1995,71,0.279
1995,72,0.251
1995,73,0.242
1995,74,0.246
1995,75,0.245
