year,age,population
1990,0,729.700
1990,1,697.895
1990,2,675.129
1990,3,660.152
1990,4,651.727
1990,5,648.606
1990,6,649.545
1990,7,653.300
1990,8,658.628
1990,9,664.284
1990,10,671.523
1990,11,681.597
1990,12,680.773
1990,13,662.810
1990,14,633.956
1990,15,606.679
1990,16,578.454
1990,17,554.438
1990,18,538.448
1990,19,527.897
1990,20,516.127
1990,21,504.170
1990,22,494.403
1990,23,487.242
1990,24,481.995
1990,25,477.439
1990,26,473.707
1990,27,469.992
1990,28,465.725
1990,29,461.128
1990,30,456.921
1990,31,452.885
1990,32,448.605
1990,33,443.924
1990,34,438.845
1990,35,433.592
1990,36,428.197
1990,37,421.933
1990,38,414.480
1990,39,406.160
1990,40,397.758
1990,41,389.302
1990,42,380.287
1990,43,370.606
1990,44,360.583
1990,45,350.676
1990,46,340.813
1990,47,331.739
1990,48,323.884
1990,49,316.990
1990,50,310.225
1990,51,303.582
1990,52,298.016
1990,53,293.861
1990,54,290.651
1990,55,287.420
1990,56,284.160
1990,57,281.002
1990,58,277.854
1990,59,274.499
1990,60,270.939
1990,61,267.321
1990,62,262.046
1990,63,254.361
1990,64,244.974
1990,65,235.459
1990,66,225.640
1990,67,215.379
1990,68,204.805
1990,69,194.028
1990,70,182.953
1990,71,171.523
1990,72,160.787
1990,73,151.245
1990,74,142.452
1990,75,133.567
1990,76,124.874
1990,77,115.670
1990,78,105.558
1990,79,94.965
1990,80,84.787
1990,81,74.943
1990,82,65.437
1990,83,56.398
1990,84,47.872
1990,85,39.736
1990,86,31.958
1990,87,25.280
1990,88,20.041
1990,89,15.934
1990,90,12.238
1990,91,9.017
1990,92,6.448
1990,93,4.531
1990,94,3.149
1990,95,2.168
1990,96,1.581
1990,97,1.136
1990,98,0.694
1990,99,0.294
1990,100,0.633
1991,0,737.896
1991,1,721.972
1991,2,695.350
1991,3,675.858
1991,4,662.562
1991,5,654.539
1991,6,650.547
1991,7,649.345
1991,8,651.557
1991,9,656.878
1991,10,663.441
1991,11,670.954
1991,12,680.975
1991,13,680.112
1991,14,662.139
1991,15,633.292
1991,16,606.015
1991,17,577.785
1991,18,553.766
1991,19,537.774
1991,20,527.219
1991,21,515.447
1991,22,503.485
1991,23,493.709
1991,24,486.538
1991,25,481.275
1991,26,476.702
1991,27,472.950
1991,28,469.208
1991,29,464.909
1991,30,460.273
1991,31,456.023
1991,32,451.941
1991,33,447.611
1991,34,442.876
1991,35,437.738
1991,36,432.424
1991,37,426.964
1991,38,420.630
1991,39,413.108
1991,40,404.715
1991,41,396.235
1991,42,387.696
1991,43,378.596
1991,44,368.828
1991,45,358.716
1991,46,348.712
1991,47,338.745
1991,48,329.559
1991,49,321.584
1991,50,314.559
1991,51,307.656
1991,52,300.866
1991,53,295.137
1991,54,290.803
1991,55,287.398
1991,56,283.966
1991,57,280.501
1991,58,277.116
1991,59,273.716
1991,60,270.091
1991,61,266.262
1991,62,262.374
1991,63,256.836
1991,64,248.902
1991,65,239.278
1991,66,229.529
1991,67,219.478
1991,68,209.010
1991,69,198.261
1991,70,187.334
1991,71,176.128
1991,72,164.605
1991,73,153.737
1991,74,143.992
1991,75,134.969
1991,76,125.906
1991,77,117.068
1991,78,107.824
1991,79,97.817
1991,80,87.444
1991,81,77.512
1991,82,67.932
1991,83,58.827
1991,84,50.367
1991,85,42.536
1991,86,35.100
1991,87,28.044
1991,88,22.028
1991,89,17.337
1991,90,13.692
1991,91,10.460
1991,92,7.693
1991,93,5.494
1991,94,3.832
1991,95,2.622
1991,96,1.714
1991,97,1.225
1991,98,0.746
1991,99,0.327
1991,100,0.696
1992,0,736.207
1992,1,708.439
1992,2,714.866
1992,3,693.400
1992,4,677.163
1992,5,665.535
1992,6,657.909
1992,7,653.042
1992,8,649.700
1992,9,650.371
1992,10,655.688
1992,11,663.166
1992,12,670.958
1992,13,680.934
1992,14,680.032
1992,15,662.033
1992,16,633.169
1992,17,605.868
1992,18,577.610
1992,19,553.568
1992,20,537.559
1992,21,526.992
1992,22,515.206
1992,23,503.230
1992,24,493.438
1992,25,486.249
1992,26,480.967
1992,27,476.371
1992,28,472.597
1992,29,468.826
1992,30,464.489
1992,31,459.811
1992,32,455.515
1992,33,451.384
1992,34,446.999
1992,35,442.206
1992,36,437.007
1992,37,431.625
1992,38,426.095
1992,39,419.687
1992,40,412.089
1992,41,403.616
1992,42,395.051
1992,43,386.422
1992,44,377.229
1992,45,367.366
1992,46,357.156
1992,47,347.047
1992,48,336.967
1992,49,327.662
1992,50,319.559
1992,51,312.398
1992,52,305.351
1992,53,298.408
1992,54,292.512
1992,55,287.994
1992,56,284.393
1992,57,280.756
1992,58,277.082
1992,59,273.470
1992,60,269.813
1992,61,265.916
1992,62,261.814
1992,63,257.655
1992,64,251.848
1992,65,243.659
1992,66,233.789
1992,67,223.797
1992,68,213.507
1992,69,202.822
1992,70,191.890
1992,71,180.803
1992,72,169.458
1992,73,157.830
1992,74,146.822
1992,75,136.866
1992,76,127.605
1992,77,118.356
1992,78,109.368
1992,79,100.074
1992,80,90.163
1992,81,80.001
1992,82,70.307
1992,83,60.983
1992,84,52.270
1992,85,44.383
1992,86,37.239
1992,87,30.497
1992,88,24.156
1992,89,18.795
1992,90,14.650
1992,91,11.464
1992,92,8.692
1992,93,6.376
1992,94,4.544
1992,95,3.137
1992,96,2.097
1992,97,1.324
1992,98,0.809
1992,99,0.365
1992,100,0.766
1993,0,727.321
1993,1,709.642
1993,2,695.694
1993,3,708.045
1993,4,691.731
1993,5,678.745
1993,6,668.783
1993,7,661.549
1993,8,655.805
1993,9,650.320
1993,10,649.450
1993,11,654.765
1993,12,663.161
1993,13,671.235
1993,14,681.172
1993,15,680.228
1993,16,662.197
1993,17,633.304
1993,18,605.969
1993,19,577.670
1993,20,553.595
1993,21,537.562
1993,22,526.981
1993,23,515.175
1993,24,503.180
1993,25,493.367
1993,26,486.159
1993,27,480.854
1993,28,476.236
1993,29,472.436
1993,30,468.634
1993,31,464.259
1993,32,459.536
1993,33,455.193
1993,34,451.009
1993,35,446.569
1993,36,441.716
1993,37,436.453
1993,38,431.003
1993,39,425.399
1993,40,418.914
1993,41,411.238
1993,42,402.680
1993,43,394.028
1993,44,385.304
1993,45,376.015
1993,46,366.053
1993,47,355.740
1993,48,345.522
1993,49,335.325
1993,50,325.897
1993,51,317.663
1993,52,310.364
1993,53,303.168
1993,54,296.069
1993,55,290.005
1993,56,285.302
1993,57,281.501
1993,58,277.658
1993,59,273.774
1993,60,269.932
1993,61,266.017
1993,62,261.847
1993,63,257.470
1993,64,253.036
1993,65,246.960
1993,66,238.510
1993,67,228.392
1993,68,218.152
1993,69,207.619
1993,70,196.713
1993,71,185.592
1993,72,174.342
1993,73,162.851
1993,74,151.115
1993,75,139.961
1993,76,129.791
1993,77,120.288
1993,78,110.849
1993,79,101.706
1993,80,92.359
1993,81,82.540
