year,age,population
1990,0,76.421
1990,1,77.731
1990,2,78.380
1990,3,78.439
1990,4,77.973
1990,5,77.052
1990,6,75.744
1990,7,74.117
1990,8,72.237
1990,9,70.174
1990,10,67.983
1990,11,65.713
1990,12,63.510
1990,13,61.467
1990,14,59.610
1990,15,57.874
1990,16,56.275
1990,17,55.123
1990,18,54.562
1990,19,54.504
1990,20,54.541
1990,21,54.547
1990,22,55.469
1990,23,57.675
1990,24,60.631
1990,25,63.425
1990,26,66.221
1990,27,68.237
1990,28,68.990
1990,29,68.775
1990,30,68.483
1990,31,68.064
1990,32,66.735
1990,33,64.238
1990,34,60.920
1990,35,57.438
1990,36,53.715
1990,37,50.033
1990,38,46.616
1990,39,43.392
1990,40,40.245
1990,41,37.418
1990,42,34.336
1990,43,30.780
1990,44,27.198
1990,45,23.852
1990,46,20.193
1990,47,19.248
1990,48,22.393
1990,49,28.019
1990,50,33.399
1990,51,39.383
1990,52,42.804
1990,53,41.911
1990,54,38.294
1990,55,35.121
1990,56,31.539
1990,57,29.319
1990,58,29.589
1990,59,31.292
1990,60,32.424
1990,61,33.602
1990,62,33.268
1990,63,30.518
1990,64,26.253
1990,65,22.293
1990,66,18.280
1990,67,14.902
1990,68,12.678
1990,69,11.271
1990,70,9.726
1990,71,8.119
1990,72,7.136
1990,73,6.983
1990,74,7.366
1990,75,7.818
1990,76,8.477
1990,77,8.697
1990,78,8.125
1990,79,7.059
1990,80,6.146
1990,81,5.253
1990,82,4.484
1990,83,3.961
1990,84,3.599
1990,85,3.199
1990,86,2.807
1990,87,2.417
1990,88,2.009
1990,89,1.604
1990,90,1.239
1990,91,0.897
1990,92,0.630
1990,93,0.463
1990,94,0.370
1990,95,0.292
1990,96,0.240
1990,97,0.196
1990,98,0.149
1990,99,0.101
1990,100,0.277
1991,0,72.123
1991,1,75.063
1991,2,76.358
1991,3,76.976
1991,4,76.989
1991,5,76.465
1991,6,75.476
1991,7,74.089
1991,8,72.390
1991,9,70.456
1991,10,68.350
1991,11,66.111
1991,12,63.794
1991,13,61.541
1991,14,59.448
1991,15,57.540
1991,16,55.757
1991,17,54.121
1991,18,52.927
1991,19,52.317
1991,20,52.211
1991,21,52.206
1991,22,52.174
1991,23,53.088
1991,24,55.330
1991,25,58.355
1991,26,61.220
1991,27,64.095
1991,28,66.186
1991,29,66.996
1991,30,66.830
1991,31,66.593
1991,32,66.232
1991,33,64.972
1991,34,62.564
1991,35,59.344
1991,36,55.960
1991,37,52.337
1991,38,48.740
1991,39,45.383
1991,40,42.201
1991,41,39.098
1991,42,36.309
1991,43,33.278
1991,44,29.796
1991,45,26.300
1991,46,23.032
1991,47,19.446
1991,48,18.561
1991,49,21.743
1991,50,27.390
1991,51,32.789
1991,52,38.792
1991,53,42.213
1991,54,41.299
1991,55,37.645
1991,56,34.435
1991,57,30.814
1991,58,28.565
1991,59,28.822
1991,60,30.527
1991,61,31.659
1991,62,32.838
1991,63,32.517
1991,64,29.794
1991,65,25.568
1991,66,21.645
1991,67,17.669
1991,68,14.333
1991,69,12.160
1991,70,10.806
1991,71,9.314
1991,72,7.765
1991,73,6.805
1991,74,6.623
1991,75,6.943
1991,76,7.338
1991,77,7.933
1991,78,8.118
1991,79,7.554
1991,80,6.527
1991,81,5.646
1991,82,4.789
1991,83,4.054
1991,84,3.558
1991,85,3.219
1991,86,2.847
1991,87,2.482
1991,88,2.126
1991,89,1.758
1991,90,1.395
1991,91,1.072
1991,92,0.772
1991,93,0.538
1991,94,0.391
1991,95,0.311
1991,96,0.229
1991,97,0.178
1991,98,0.130
1991,99,0.086
1991,100,0.260
1992,0,66.234
1992,1,70.080
1992,2,73.233
1992,3,74.506
1992,4,75.088
1992,5,75.054
1992,6,74.477
1992,7,73.425
1992,8,71.966
1992,9,70.207
1992,10,68.230
1992,11,66.094
1992,12,63.822
1992,13,61.470
1992,14,59.183
1992,15,57.051
1992,16,55.103
1992,17,53.287
1992,18,51.621
1992,19,50.393
1992,20,49.739
1992,21,49.584
1992,22,49.538
1992,23,49.467
1992,24,50.367
1992,25,52.634
1992,26,55.707
1992,27,58.625
1992,28,61.564
1992,29,63.715
1992,30,64.577
1992,31,64.462
1992,32,64.282
1992,33,63.981
1992,34,62.799
1992,35,60.494
1992,36,57.394
1992,37,54.128
1992,38,50.629
1992,39,47.139
1992,40,43.862
1992,41,40.744
1992,42,37.704
1992,43,34.970
1992,44,32.009
1992,45,28.623
1992,46,25.234
1992,47,22.065
1992,48,18.576
1992,49,17.755
1992,50,20.957
1992,51,26.588
1992,52,31.974
1992,53,37.957
1992,54,41.358
1992,55,40.427
1992,56,36.759
1992,57,33.534
1992,58,29.894
1992,59,27.629
1992,60,27.874
1992,61,29.569
1992,62,30.695
1992,63,31.867
1992,64,31.561
1992,65,28.882
1992,66,24.721
1992,67,20.861
1992,68,16.946
1992,69,13.672
1992,70,11.564
1992,71,10.273
1992,72,8.842
1992,73,7.361
1992,74,6.431
1992,75,6.220
1992,76,6.475
1992,77,6.810
1992,78,7.338
1992,79,7.486
1992,80,6.935
1992,81,5.951
1992,82,5.110
1992,83,4.293
1992,84,3.597
1992,85,3.131
1992,86,2.818
1992,87,2.475
1992,88,2.141
1992,89,1.821
1992,90,1.494
1992,91,1.177
1992,92,0.898
1992,93,0.641
1992,94,0.442
1992,95,0.318
1992,96,0.249
1992,97,0.163
1992,98,0.112
1992,99,0.075
1992,100,0.240
1993,0,59.593
1993,1,64.527
1993,2,68.288
1993,3,71.191
1993,4,72.436
1993,5,72.981
1993,6,72.902
1993,7,72.272
1993,8,71.163
1993,9,69.636
1993,10,67.821
1993,11,65.808
1993,12,63.650
1993,13,61.350
1993,14,58.972
1993,15,56.656
1993,16,54.494
1993,17,52.513
1993,18,50.667
1993,19,48.978
1993,20,47.719
1993,21,47.022
1993,22,46.821
1993,23,46.734
1993,24,46.624
1993,25,47.508
1993,26,49.790
1993,27,52.904
1993,28,55.866
1993,29,58.858
1993,30,61.064
1993,31,61.976
1993,32,61.909
1993,33,61.789
1993,34,61.547
1993,35,60.447
1993,36,58.251
1993,37,55.279
1993,38,52.141
1993,39,48.777
1993,40,45.403
1993,41,42.216
1993,42,39.170
1993,43,36.202
1993,44,33.532
1993,45,30.650
1993,46,27.369
1993,47,24.098
1993,48,21.037
1993,49,17.652
1993,50,16.901
1993,51,20.109
1993,52,25.711
1993,53,31.065
1993,54,37.011
1993,55,40.382
1993,56,39.437
1993,57,35.767
1993,58,32.534
1993,59,28.889
1993,60,26.615
1993,61,26.845
1993,62,28.526
1993,63,29.643
1993,64,30.804
1993,65,30.514
1993,66,27.888
1993,67,23.803
1993,68,20.017
1993,69,16.175
1993,70,12.974
1993,71,10.936
1993,72,9.711
1993,73,8.345
1993,74,6.938
1993,75,6.039
1993,76,5.800
1993,77,5.990
1993,78,6.264
1993,79,6.724
1993,80,6.835
1993,81,6.297
1993,82,5.360
1993,83,4.562
1993,84,3.787
1993,85,3.131
1993,86,2.697
1993,87,2.410
1993,88,2.097
1993,89,1.797
1993,90,1.510
1993,91,1.228
1993,92,0.957
1993,93,0.722
1993,94,0.508
1993,95,0.346
1993,96,0.244
1993,97,0.186
1993,98,0.100
1993,99,0.067
1993,100,0.222
1994,0,53.243
1994,1,58.953
1994,2,63.454
1994,3,66.844
1994,4,69.275
1994,5,70.498
1994,6,71.006
1994,7,70.881
1994,8,70.199
1994,9,69.029
1994,10,67.434
1994,11,65.561
1994,12,63.509
1994,13,61.324
1994,14,58.993
1994,15,56.586
1994,16,54.238
1994,17,52.041
1994,18,50.024
1994,19,48.146
1994,20,46.431
1994,21,45.141
1994,22,44.399
1994,23,44.152
1994,24,44.023
1994,25,43.875
1994,26,44.744
1994,27,47.047
1994,28,50.205
1994,29,53.215
1994,30,56.265
1994,31,58.529
1994,32,59.491
1994,33,59.474
1994,34,59.410
1994,35,59.230
1994,36,58.207
1994,37,56.117
1994,38,53.267
1994,39,50.252
1994,40,47.014
1994,41,43.753
1994,42,40.649
1994,43,37.670
1994,44,34.768
1994,45,32.158
1994,46,29.349
1994,47,26.167
1994,48,23.008
1994,49,20.049
1994,50,16.765
1994,51,16.079
1994,52,19.300
1994,53,24.879
1994,54,30.213
1994,55,36.131
1994,56,39.477
1994,57,38.517
1994,58,34.839
1994,59,31.594
1994,60,27.937
1994,61,25.650
1994,62,25.867
1994,63,27.536
1994,64,28.645
1994,65,29.798
1994,66,29.523
1994,67,26.945
1994,68,22.930
1994,69,19.211
1994,70,15.435
1994,71,12.301
1994,72,10.330
1994,73,9.168
1994,74,7.866
1994,75,6.528
1994,76,5.660
1994,77,5.393
1994,78,5.517
1994,79,5.731
1994,80,6.126
1994,81,6.198
1994,82,5.674
1994,83,4.783
1994,84,4.024
1994,85,3.290
1994,86,2.674
1994,87,2.270
1994,88,2.009
1994,89,1.726
1994,90,1.456
1994,91,1.205
1994,92,0.965
1994,93,0.739
1994,94,0.548
1994,95,0.379
1994,96,0.251
1994,97,0.169
1994,98,0.125
1994,99,0.064
1994,100,0.206
1995,0,47.896
1995,1,53.978
1995,2,58.919
1995,3,62.804
1995,4,65.713
1995,5,67.729
1995,6,68.933
1995,7,69.409
1995,8,69.237
1995,9,68.499
1995,10,67.262
1995,11,65.590
1995,12,63.649
1995,13,61.547
1995,14,59.324
1995,15,56.950
1995,16,54.500
1995,17,52.108
1995,18,49.865
1995,19,47.801
1995,20,45.880
1995,21,44.132
1995,22,42.801
1995,23,42.013
1995,24,41.716
1995,25,41.546
1995,26,41.359
1995,27,42.218
1995,28,44.553
1995,29,47.772
1995,30,50.847
1995,31,53.971
1995,32,56.305
1995,33,57.322
1995,34,57.355
1995,35,57.348
1995,36,57.226
1995,37,56.277
1995,38,54.281
1995,39,51.539
1995,40,48.629
1995,41,45.502
1995,42,42.334
1995,43,39.298
1995,44,36.370
1995,45,33.520
1995,46,30.954
1995,47,28.204
1995,48,25.104
1995,49,22.041
1995,50,19.167
1995,51,15.966
1995,52,15.342
1995,53,18.594
1995,54,24.181
1995,55,29.520
1995,56,35.444
1995,57,38.782
1995,58,37.802
1995,59,34.096
1995,60,30.821
1995,61,27.133
1995,62,24.822
1995,63,25.026
1995,64,26.693
1995,65,27.799
1995,66,28.950
1995,67,28.689
1995,68,26.145
1995,69,22.179
1995,70,18.507
1995,71,14.777
1995,72,11.694
1995,73,9.779
1995,74,8.674
1995,75,7.428
1995,76,6.153
1995,77,5.310
1995,78,5.014
1995,79,5.075
1995,80,5.229
1995,81,5.559
1995,82,5.595
1995,83,5.081
1995,84,4.230
1995,85,3.507
1995,86,2.811
1995,87,2.231
1995,88,1.855
1995,89,1.618
1995,90,1.364
1995,91,1.123
1995,92,0.907
1995,93,0.707
1995,94,0.526
1995,95,0.377
1995,96,0.250
1995,97,0.157
1995,98,0.097
1995,99,0.064
1995,100,0.193
1996,0,42.923
1996,1,47.597
1996,2,53.066
1996,3,57.617
1996,4,61.295
1996,5,64.147
1996,6,66.252
1996,7,67.695
1996,8,68.338
1996,9,68.155
1996,10,67.297
1996,11,66.015
1996,12,64.335
1996,13,62.390
1996,14,60.289
1996,15,58.069
1996,16,55.698
1996,17,53.248
1996,18,50.858
1996,19,48.617
1996,20,46.554
1996,21,44.634
1996,22,42.889
1996,23,41.546
1996,24,40.723
1996,25,40.377
1996,26,40.161
1996,27,39.926
1996,28,40.750
1996,29,43.072
1996,30,46.290
1996,31,49.367
1996,32,52.498
1996,33,54.835
1996,34,55.847
1996,35,55.871
1996,36,55.862
1996,37,55.738
1996,38,54.812
1996,39,52.875
1996,40,50.215
1996,41,47.388
1996,42,44.349
1996,43,41.253
1996,44,38.264
1996,45,35.365
1996,46,32.545
1996,47,29.999
1996,48,27.291
1996,49,24.263
1996,50,21.288
1996,51,18.494
1996,52,15.377
1996,53,14.781
1996,54,17.980
1996,55,23.462
1996,56,28.701
1996,57,34.512
1996,58,37.771
1996,59,36.763
1996,60,33.066
1996,61,29.794
1996,62,26.117
1996,63,23.796
1996,64,23.950
1996,65,25.547
1996,66,26.597
1996,67,27.688
1996,68,27.422
1996,69,24.956
1996,70,21.119
1996,71,17.570
1996,72,13.968
1996,73,10.995
1996,74,9.152
1996,75,8.093
1996,76,6.901
1996,77,5.685
1996,78,4.875
1996,79,4.570
1996,80,4.602
1996,81,4.725
1996,82,5.019
1996,83,5.043
1996,84,4.564
1996,85,3.776
1996,86,3.110
1996,87,2.471
1996,88,1.942
1996,89,1.603
1996,90,1.393
1996,91,1.169
1996,92,0.958
1996,93,0.770
1996,94,0.597
1996,95,0.441
1996,96,0.262
1996,97,0.169
1996,98,0.108
1996,99,0.069
1996,100,0.184
1997,0,39.011
1997,1,44.382
1997,2,47.534
1997,3,52.424
1997,4,56.611
1997,5,60.102
1997,6,62.910
1997,7,65.116
1997,8,66.802
1997,9,67.614
1997,10,67.418
1997,11,66.437
1997,12,65.104
1997,13,63.410
1997,14,61.450
1997,15,59.339
1997,16,57.112
1997,17,54.732
1997,18,52.270
1997,19,49.870
1997,20,47.621
1997,21,45.548
1997,22,43.620
1997,23,41.869
1997,24,40.507
1997,25,39.646
1997,26,39.250
1997,27,38.987
1997,28,38.704
1997,29,39.498
1997,30,41.816
1997,31,45.051
1997,32,48.144
1997,33,51.297
1997,34,53.650
1997,35,54.660
1997,36,54.677
1997,37,54.666
1997,38,54.538
1997,39,53.630
1997,40,51.744
1997,41,49.151
1997,42,46.392
1997,43,43.424
1997,44,40.387
1997,45,37.428
1997,46,34.543
1997,47,31.740
1997,48,29.202
1997,49,26.519
1997,50,23.550
1997,51,20.648
1997,52,17.919
1997,53,14.868
1997,54,14.299
1997,55,17.461
1997,56,22.866
1997,57,28.029
1997,58,33.761
1997,59,36.954
1997,60,35.916
1997,61,32.209
1997,62,28.922
1997,63,25.240
1997,64,22.897
1997,65,23.002
1997,66,24.540
1997,67,25.537
1997,68,26.575
1997,69,26.303
1997,70,23.900
1997,71,20.173
1997,72,16.729
1997,73,13.237
1997,74,10.355
1997,75,8.577
1997,76,7.559
1997,77,6.413
1997,78,5.250
1997,79,4.466
1997,80,4.155
1997,81,4.155
1997,82,4.251
1997,83,4.508
1997,84,4.522
1997,85,4.074
1997,86,3.345
1997,87,2.731
1997,88,2.147
1997,89,1.666
1997,90,1.361
1997,91,1.177
1997,92,0.982
1997,93,0.799
1997,94,0.639
1997,95,0.491
1997,96,0.358
1997,97,0.190
1997,98,0.127
1997,99,0.082
1997,100,0.180
1998,0,36.262
1998,1,40.750
1998,2,44.947
1998,3,47.672
1998,4,52.003
1998,5,55.844
1998,6,59.163
1998,7,61.941
1998,8,64.254
1998,9,66.191
1998,10,67.175
1998,11,66.965
1998,12,65.858
1998,13,64.469
1998,14,62.752
1998,15,60.769
1998,16,58.641
1998,17,56.396
1998,18,53.996
1998,19,51.514
1998,20,49.093
1998,21,46.825
1998,22,44.736
1998,23,42.790
1998,24,41.026
1998,25,39.640
1998,26,38.736
1998,27,38.289
1998,28,37.979
1998,29,37.646
1998,30,38.412
1998,31,40.738
1998,32,44.002
1998,33,47.125
1998,34,50.314
1998,35,52.692
1998,36,53.704
1998,37,53.714
1998,38,53.700
1998,39,53.569
1998,40,52.677
1998,41,50.830
1998,42,48.295
1998,43,45.592
1998,44,42.683
1998,45,39.691
1998,46,36.751
1998,47,33.868
1998,48,31.068
1998,49,28.528
1998,50,25.862
1998,51,22.935
1998,52,20.096
1998,53,17.420
1998,54,14.423
1998,55,13.876
1998,56,17.017
1998,57,22.365
1998,58,27.478
1998,59,33.151
1998,60,36.294
1998,61,35.221
1998,62,31.487
1998,63,28.175
1998,64,24.470
1998,65,22.094
1998,66,22.153
1998,67,23.635
1998,68,24.586
1998,69,25.576
1998,70,25.294
1998,71,22.946
1998,72,19.314
1998,73,15.959
1998,74,12.561
1998,75,9.761
1998,76,8.039
1998,77,7.055
1998,78,5.953
1998,79,4.837
1998,80,4.078
1998,81,3.756
1998,82,3.728
1998,83,3.793
1998,84,4.017
1998,85,4.021
1998,86,3.602
1998,87,2.928
1998,88,2.365
1998,89,1.832
1998,90,1.397
1998,91,1.125
1998,92,0.967
1998,93,0.798
1998,94,0.644
1998,95,0.511
1998,96,0.386
1998,97,0.278
1998,98,0.150
1998,99,0.094
1998,100,0.180
1999,0,34.760
1999,1,38.120
1999,2,41.564
1999,3,45.023
1999,4,47.921
1999,5,51.701
1999,6,55.202
1999,7,58.356
1999,8,61.109
1999,9,63.538
1999,10,65.730
1999,11,66.890
1999,12,66.665
1999,13,65.429
1999,14,63.979
1999,15,62.236
1999,16,60.226
1999,17,58.074
1999,18,55.807
1999,19,53.383
1999,20,50.872
1999,21,48.425
1999,22,46.135
1999,23,44.022
1999,24,42.055
1999,25,40.274
1999,26,38.860
1999,27,37.912
1999,28,37.411
1999,29,37.053
1999,30,36.669
1999,31,37.410
1999,32,39.749
1999,33,43.050
1999,34,46.209
1999,35,49.443
1999,36,51.849
1999,37,52.869
1999,38,52.870
1999,39,52.854
1999,40,52.719
1999,41,51.839
1999,42,50.030
1999,43,47.547
1999,44,44.894
1999,45,42.037
1999,46,39.083
1999,47,36.155
1999,48,33.267
1999,49,30.466
1999,50,27.917
1999,51,25.259
1999,52,22.372
1999,53,19.587
1999,54,16.958
1999,55,14.008
1999,56,13.485
1999,57,16.608
1999,58,21.915
1999,59,26.987
1999,60,32.615
1999,61,35.715
1999,62,34.604
1999,63,30.835
1999,64,27.487
1999,65,23.752
1999,66,21.340
1999,67,21.349
1999,68,22.781
1999,69,23.686
1999,70,24.630
1999,71,24.340
1999,72,22.040
1999,73,18.494
1999,74,15.222
1999,75,11.911
1999,76,9.186
1999,77,7.515
1999,78,6.567
1999,79,5.504
1999,80,4.433
1999,81,3.697
1999,82,3.364
1999,83,3.306
1999,84,3.342
1999,85,3.533
1999,86,3.525
1999,87,3.136
1999,88,2.516
1999,89,2.003
1999,90,1.519
1999,91,1.129
1999,92,0.891
1999,93,0.757
1999,94,0.616
1999,95,0.490
1999,96,0.382
1999,97,0.283
1999,98,0.197
1999,99,0.108
1999,100,0.183
2000,0,34.522
2000,1,36.601
2000,2,39.106
2000,3,41.942
2000,4,45.005
2000,5,48.200
2000,6,51.425
2000,7,54.586
2000,8,57.576
2000,9,60.305
2000,10,62.851
2000,11,65.302
2000,12,66.640
2000,13,66.401
2000,14,65.033
2000,15,63.522
2000,16,61.750
2000,17,59.713
2000,18,57.535
2000,19,55.245
2000,20,52.794
2000,21,50.254
2000,22,47.780
2000,23,45.464
2000,24,43.327
2000,25,41.338
2000,26,39.538
2000,27,38.095
2000,28,37.102
2000,29,36.548
2000,30,36.140
2000,31,35.705
2000,32,36.420
2000,33,38.773
2000,34,42.114
2000,35,45.313
2000,36,48.591
2000,37,51.030
2000,38,52.056
2000,39,52.049
2000,40,52.030
2000,41,51.892
2000,42,51.024
2000,43,49.251
2000,44,46.819
2000,45,44.215
2000,46,41.410
2000,47,38.492
2000,48,35.574
2000,49,32.681
2000,50,29.875
2000,51,27.316
2000,52,24.667
2000,53,21.816
2000,54,19.084
2000,55,16.502
2000,56,13.599
2000,57,13.097
2000,58,16.206
2000,59,21.473
2000,60,26.506
2000,61,32.093
2000,62,35.151
2000,63,34.001
2000,64,30.195
2000,65,26.810
2000,66,23.042
2000,67,20.590
2000,68,20.551
2000,69,21.933
2000,70,22.792
2000,71,23.690
2000,72,23.390
2000,73,21.140
2000,74,17.677
2000,75,14.488
2000,76,11.262
2000,77,8.611
2000,78,6.992
2000,79,6.077
2000,80,5.054
2000,81,4.028
2000,82,3.315
2000,83,2.971
2000,84,2.882
2000,85,2.890
2000,86,3.046
2000,87,3.028
2000,88,2.667
2000,89,2.102
2000,90,1.638
2000,91,1.205
2000,92,0.860
2000,93,0.655
2000,94,0.546
2000,95,0.433
2000,96,0.334
2000,97,0.253
2000,98,0.179
2000,99,0.116
2000,100,0.191
2001,0,35.545
2001,1,34.895
2001,2,36.766
2001,3,39.110
2001,4,41.825
2001,5,44.800
2001,6,47.940
2001,7,51.142
2001,8,54.271
2001,9,57.200
2001,10,59.852
2001,11,62.342
2001,12,64.753
2001,13,66.045
2001,14,65.747
2001,15,64.317
2001,16,62.753
2001,17,60.930
2001,18,58.872
2001,19,56.721
2001,20,54.486
2001,21,52.092
2001,22,49.617
2001,23,47.201
2001,24,44.931
2001,25,42.831
2001,26,40.880
2001,27,39.114
2001,28,37.715
2001,29,36.785
2001,30,36.302
2001,31,35.956
2001,32,35.583
2001,33,36.315
2001,34,38.612
2001,35,41.851
2001,36,44.952
2001,37,48.127
2001,38,50.471
2001,39,51.422
2001,40,51.354
2001,41,51.273
2001,42,51.074
2001,43,50.162
2001,44,48.372
2001,45,45.945
2001,46,43.349
2001,47,40.562
2001,48,37.673
2001,49,34.796
2001,50,31.955
2001,51,29.197
2001,52,26.673
2001,53,24.094
2001,54,21.366
2001,55,18.779
2001,56,16.336
2001,57,13.590
2001,58,13.120
2001,59,16.066
2001,60,21.053
2001,61,25.817
2001,62,31.106
2001,63,33.983
2001,64,32.851
2001,65,29.184
2001,66,25.920
2001,67,22.297
2001,68,19.891
2001,69,19.725
2001,70,20.882
2001,71,21.548
2001,72,22.245
2001,73,21.865
2001,74,19.734
2001,75,16.514
2001,76,13.548
2001,77,10.555
2001,78,8.087
2001,79,6.556
2001,80,5.665
2001,81,4.685
2001,82,3.706
2001,83,3.022
2001,84,2.683
2001,85,2.586
2001,86,2.581
2001,87,2.713
2001,88,2.692
2001,89,2.363
2001,90,1.849
2001,91,1.431
2001,92,1.044
2001,93,0.736
2001,94,0.556
2001,95,0.461
2001,96,0.349
2001,97,0.252
2001,98,0.176
2001,99,0.117
2001,100,0.203
2002,0,37.841
2002,1,36.893
2002,2,35.264
2002,3,36.925
2002,4,39.109
2002,5,41.703
2002,6,44.589
2002,7,47.674
2002,8,50.851
2002,9,53.949
2002,10,56.817
2002,11,59.391
2002,12,61.824
2002,13,64.196
2002,14,65.440
2002,15,65.084
2002,16,63.593
2002,17,61.975
2002,18,60.101
2002,19,58.024
2002,20,55.898
2002,21,53.720
2002,22,51.383
2002,23,48.973
2002,24,46.617
2002,25,44.391
2002,26,42.329
2002,27,40.417
2002,28,38.684
2002,29,37.329
2002,30,36.463
2002,31,36.051
2002,32,35.767
2002,33,35.458
2002,34,36.204
2002,35,38.446
2002,36,41.582
2002,37,44.585
2002,38,47.657
2002,39,49.905
2002,40,50.781
2002,41,50.652
2002,42,50.509
2002,43,50.248
2002,44,49.293
2002,45,47.488
2002,46,45.063
2002,47,42.478
2002,48,39.708
2002,49,36.849
2002,50,34.013
2002,51,31.224
2002,52,28.515
2002,53,26.027
2002,54,23.517
2002,55,20.913
2002,56,18.473
2002,57,16.165
2002,58,13.580
2002,59,13.142
2002,60,15.925
2002,61,20.629
2002,62,25.124
2002,63,30.114
2002,64,32.810
2002,65,31.696
2002,66,28.171
2002,67,25.024
2002,68,21.550
2002,69,19.189
2002,70,18.896
2002,71,19.828
2002,72,20.302
2002,73,20.796
2002,74,20.337
2002,75,18.325
2002,76,15.349
2002,77,12.606
2002,78,9.846
2002,79,7.562
2002,80,6.118
2002,81,5.254
2002,82,4.314
2002,83,3.384
2002,84,2.727
2002,85,2.396
2002,86,2.289
2002,87,2.271
2002,88,2.381
2002,89,2.356
2002,90,2.056
2002,91,1.597
2002,92,1.223
2002,93,0.883
2002,94,0.613
2002,95,0.455
2002,96,0.377
2002,97,0.241
2002,98,0.163
2002,99,0.114
2002,100,0.218
2003,0,40.820
2003,1,38.372
2003,2,37.139
2003,3,35.626
2003,4,37.079
2003,5,39.100
2003,6,41.571
2003,7,44.371
2003,8,47.397
2003,9,50.552
2003,10,53.616
2003,11,56.422
2003,12,58.920
2003,13,61.294
2003,14,63.625
2003,15,64.823
2003,16,64.409
2003,17,62.856
2003,18,61.187
2003,19,59.260
2003,20,57.164
2003,21,55.065
2003,22,52.943
