year,age,population
1990,0,1.034
1990,1,1.069
1990,2,1.091
1990,3,1.102
1990,4,1.102
1990,5,1.094
1990,6,1.077
1990,7,1.056
1990,8,1.031
1990,9,1.003
1990,10,0.972
1990,11,0.936
1990,12,0.910
1990,13,0.894
1990,14,0.886
1990,15,0.880
1990,16,0.875
1990,17,0.872
1990,18,0.868
1990,19,0.862
1990,20,0.863
1990,21,0.863
1990,22,0.879
1990,23,0.910
1990,24,0.956
1990,25,0.999
1990,26,1.042
1990,27,1.086
1990,28,1.135
1990,29,1.183
1990,30,1.227
1990,31,1.271
1990,32,1.293
1990,33,1.280
1990,34,1.244
1990,35,1.207
1990,36,1.165
1990,37,1.121
1990,38,1.076
1990,39,1.032
1990,40,0.985
1990,41,0.937
1990,42,0.887
1990,43,0.843
1990,44,0.797
1990,45,0.755
1990,46,0.711
1990,47,0.680
1990,48,0.666
1990,49,0.664
1990,50,0.660
1990,51,0.657
1990,52,0.653
1990,53,0.648
1990,54,0.642
1990,55,0.635
1990,56,0.633
1990,57,0.613
1990,58,0.569
1990,59,0.506
1990,60,0.447
1990,61,0.387
1990,62,0.340
1990,63,0.318
1990,64,0.312
1990,65,0.304
1990,66,0.294
1990,67,0.289
1990,68,0.284
1990,69,0.277
1990,70,0.274
1990,71,0.272
1990,72,0.266
1990,73,0.253
1990,74,0.236
1990,75,0.218
1990,76,0.200
1990,77,0.184
1990,78,0.175
1990,79,0.168
1990,80,0.161
1990,81,0.155
1990,82,0.144
1990,83,0.128
1990,84,0.109
1990,85,0.088
1990,86,0.070
1990,87,0.055
1990,88,0.042
1990,89,0.035
1990,90,0.026
1990,91,0.017
1990,92,0.011
1990,93,0.007
1990,94,0.005
1990,95,0.003
1990,96,0.003
1990,97,0.002
1990,98,0.001
1990,99,0.001
1990,100,0.000
1991,0,1.044
1991,1,1.067
1991,2,1.091
1991,3,1.106
1991,4,1.113
1991,5,1.110
1991,6,1.102
1991,7,1.088
1991,8,1.069
1991,9,1.041
1991,10,1.009
1991,11,0.976
1991,12,0.939
1991,13,0.913
1991,14,0.899
1991,15,0.895
1991,16,0.892
1991,17,0.890
1991,18,0.895
1991,19,0.903
1991,20,0.913
1991,21,0.929
1991,22,0.944
1991,23,0.971
1991,24,1.007
1991,25,1.051
1991,26,1.095
1991,27,1.136
1991,28,1.176
1991,29,1.217
1991,30,1.253
1991,31,1.287
1991,32,1.318
1991,33,1.330
1991,34,1.314
1991,35,1.278
1991,36,1.239
1991,37,1.196
1991,38,1.152
1991,39,1.105
1991,40,1.059
1991,41,1.011
1991,42,0.962
1991,43,0.912
1991,44,0.868
1991,45,0.823
1991,46,0.782
1991,47,0.740
1991,48,0.707
1991,49,0.690
1991,50,0.682
1991,51,0.674
1991,52,0.666
1991,53,0.658
1991,54,0.647
1991,55,0.635
1991,56,0.624
1991,57,0.616
1991,58,0.593
1991,59,0.552
1991,60,0.495
1991,61,0.442
1991,62,0.387
1991,63,0.345
1991,64,0.322
1991,65,0.314
1991,66,0.303
1991,67,0.292
1991,68,0.284
1991,69,0.276
1991,70,0.267
1991,71,0.260
1991,72,0.256
1991,73,0.248
1991,74,0.235
1991,75,0.221
1991,76,0.205
1991,77,0.189
1991,78,0.175
1991,79,0.165
1991,80,0.156
1991,81,0.147
1991,82,0.140
1991,83,0.128
1991,84,0.112
1991,85,0.096
1991,86,0.076
1991,87,0.060
1991,88,0.046
1991,89,0.035
1991,90,0.029
1991,91,0.022
1991,92,0.014
1991,93,0.009
1991,94,0.006
1991,95,0.004
1991,96,0.004
1991,97,0.001
1991,98,0.003
1991,99,0.000
1991,100,0.000
1992,0,1.127
1992,1,1.139
1992,2,1.116
1992,3,1.130
1992,4,1.139
1992,5,1.139
1992,6,1.136
1992,7,1.127
1992,8,1.116
1992,9,1.097
1992,10,1.067
1992,11,1.030
1992,12,0.995
1992,13,0.957
1992,14,0.930
1992,15,0.918
1992,16,0.917
1992,17,0.918
1992,18,0.919
1992,19,0.931
1992,20,0.951
1992,21,0.978
1992,22,1.008
1992,23,1.040
1992,24,1.077
1992,25,1.116
1992,26,1.163
1992,27,1.205
1992,28,1.247
1992,29,1.284
1992,30,1.316
1992,31,1.342
1992,32,1.366
1992,33,1.384
1992,34,1.388
1992,35,1.368
1992,36,1.330
1992,37,1.290
1992,38,1.246
1992,39,1.199
1992,40,1.151
1992,41,1.103
1992,42,1.052
1992,43,1.001
1992,44,0.951
1992,45,0.906
1992,46,0.862
1992,47,0.820
1992,48,0.779
1992,49,0.745
1992,50,0.724
1992,51,0.712
1992,52,0.698
1992,53,0.685
1992,54,0.672
1992,55,0.656
1992,56,0.639
1992,57,0.622
1992,58,0.608
1992,59,0.583
1992,60,0.543
1992,61,0.492
1992,62,0.444
1992,63,0.394
1992,64,0.355
1992,65,0.331
1992,66,0.320
1992,67,0.307
1992,68,0.294
1992,69,0.283
1992,70,0.273
1992,71,0.261
1992,72,0.251
1992,73,0.243
1992,74,0.234
1992,75,0.222
1992,76,0.209
1992,77,0.195
1992,78,0.182
1992,79,0.168
1992,80,0.158
1992,81,0.146
1992,82,0.136
1992,83,0.126
1992,84,0.114
1992,85,0.099
1992,86,0.084
1992,87,0.066
1992,88,0.051
1992,89,0.038
1992,90,0.029
1992,91,0.024
