year,age,population
1990,0,85489.618
1990,1,83245.944
1990,2,81021.462
1990,3,78839.618
1990,4,76723.866
1990,5,74697.670
1990,6,72784.485
1990,7,71007.760
1990,8,69390.961
1990,9,67957.536
1990,10,66617.567
1990,11,65281.063
1990,12,64538.537
1990,13,64640.198
1990,14,65269.327
1990,15,65849.137
1990,16,66483.254
1990,17,66794.316
1990,18,66532.072
1990,19,65847.072
1990,20,65189.719
1990,21,64529.514
1990,22,63479.411
1990,23,61910.763
1990,24,59992.071
1990,25,58049.000
1990,26,56050.692
1990,27,54092.727
1990,28,52266.875
1990,29,50559.561
1990,30,48784.609
1990,31,46882.297
1990,32,45449.153
1990,33,44732.569
1990,34,44432.903
1990,35,44081.453
1990,36,43865.775
1990,37,43019.376
1990,38,41143.340
1990,39,38633.947
1990,40,36283.172
1990,41,33928.864
1990,42,31896.832
1990,43,30427.936
1990,44,29356.400
1990,45,28240.105
1990,46,27124.896
1990,47,26250.741
1990,48,25679.183
1990,49,25310.063
1990,50,24981.167
1990,51,24724.350
1990,52,24361.514
1990,53,23787.226
1990,54,23070.951
1990,55,22394.202
1990,56,21728.472
1990,57,21003.346
1990,58,20204.409
1990,59,19352.089
1990,60,18489.246
1990,61,17616.793
1990,62,16727.288
1990,63,15824.465
1990,64,14919.003
1990,65,14013.097
1990,66,13100.613
1990,67,12251.273
1990,68,11498.241
1990,69,10811.498
1990,70,10130.232
1990,71,9469.461
1990,72,8801.420
1990,73,8107.107
1990,74,7403.169
1990,75,6729.720
1990,76,6084.076
1990,77,5451.166
1990,78,4829.257
1990,79,4226.909
1990,80,3649.822
1990,81,3105.734
1990,82,2615.670
1990,83,2194.131
1990,84,1829.960
1990,85,1496.733
1990,86,1193.327
1990,87,935.904
1990,88,727.899
1990,89,561.475
1990,90,422.435
1990,91,310.112
1990,92,221.464
1990,93,152.409
1990,94,100.764
1990,95,67.117
1990,96,50.562
1990,97,38.101
1990,98,23.528
1990,99,9.179
1990,100,21.196
1991,0,83391.426
1991,1,84583.156
1991,2,82715.324
1991,3,80746.865
1991,4,78719.594
1991,5,76675.309
1991,6,74638.990
1991,7,72635.561
1991,8,70791.211
1991,9,69181.527
1991,10,67797.684
1991,11,66466.643
1991,12,65116.518
1991,13,64357.431
1991,14,64441.566
1991,15,65052.954
1991,16,65612.991
1991,17,66224.990
1991,18,66522.152
1991,19,66259.103
1991,20,65582.188
1991,21,64932.233
1991,22,64280.065
1991,23,63239.461
1991,24,61681.021
1991,25,59772.928
1991,26,57841.244
1991,27,55855.005
