year,age,population
1990,0,302.899
1990,1,307.102
1990,2,309.380
1990,3,310.068
1990,4,309.488
1990,5,307.967
1990,6,305.834
1990,7,303.410
1990,8,301.025
1990,9,299.003
1990,10,296.623
1990,11,293.161
1990,12,294.187
1990,13,302.119
1990,14,314.141
1990,15,325.583
1990,16,338.056
1990,17,345.441
1990,18,344.433
1990,19,338.184
1990,20,332.815
1990,21,326.714
1990,22,323.623
1990,23,325.894
1990,24,331.420
1990,25,335.747
1990,26,339.779
1990,27,342.400
1990,28,342.620
1990,29,341.119
1990,30,339.790
1990,31,338.508
1990,32,335.941
1990,33,331.701
1990,34,326.395
1990,35,320.546
1990,36,313.449
1990,37,308.663
1990,38,307.812
1990,39,308.987
1990,40,309.270
1990,41,309.991
1990,42,305.768
1990,43,293.869
1990,44,277.155
1990,45,261.160
1990,46,244.701
1990,47,230.706
1990,48,221.161
1990,49,214.640
1990,50,207.749
1990,51,201.195
1990,52,195.179
1990,53,189.473
1990,54,184.266
1990,55,179.669
1990,56,175.277
1990,57,172.732
1990,58,172.742
1990,59,174.305
1990,60,175.690
1990,61,177.210
1990,62,177.458
1990,63,175.548
1990,64,172.020
1990,65,168.574
1990,66,165.198
1990,67,160.055
1990,68,152.504
1990,69,143.425
1990,70,134.179
1990,71,124.287
1990,72,115.927
1990,73,110.249
1990,74,106.206
1990,75,101.727
1990,76,97.374
1990,77,91.948
1990,78,84.679
1990,79,76.298
1990,80,68.330
1990,81,60.528
1990,82,53.125
1990,83,46.403
1990,84,40.257
1990,85,34.262
1990,86,28.466
1990,87,23.390
1990,88,19.241
1990,89,15.828
1990,90,12.727
1990,91,9.971
1990,92,7.677
1990,93,5.845
1990,94,4.405
1990,95,3.263
1990,96,2.415
1990,97,1.738
1990,98,1.162
1990,99,0.695
1990,100,1.084
1991,0,304.938
1991,1,306.470
1991,2,309.685
1991,3,311.345
1991,4,311.723
1991,5,311.080
1991,6,309.732
1991,7,307.999
1991,8,305.890
1991,9,303.568
1991,10,301.454
1991,11,299.098
1991,12,295.741
1991,13,296.748
1991,14,304.460
1991,15,316.144
1991,16,327.281
1991,17,339.450
1991,18,346.629
1991,19,345.578
1991,20,339.404
1991,21,334.089
1991,22,328.017
1991,23,325.085
1991,24,327.701
1991,25,333.671
1991,26,338.430
1991,27,342.938
1991,28,345.806
1991,29,345.910
1991,30,344.066
1991,31,342.411
1991,32,340.756
1991,33,337.938
1991,34,333.674
1991,35,328.475
1991,36,322.683
1991,37,315.650
1991,38,310.794
1991,39,309.662
1991,40,310.425
1991,41,310.324
1991,42,310.652
1991,43,306.123
1991,44,294.065
1991,45,277.290
1991,46,261.218
1991,47,244.686
1991,48,230.630
1991,49,221.036
1991,50,214.472
1991,51,207.545
1991,52,200.954
1991,53,194.898
1991,54,189.145
1991,55,183.879
1991,56,179.216
1991,57,174.758
1991,58,172.093
1991,59,171.906
1991,60,173.220
1991,61,174.354
1991,62,175.610
1991,63,175.605
1991,64,173.467
1991,65,169.728
1991,66,166.063
1991,67,162.471
1991,68,157.107
1991,69,149.326
1991,70,140.019
1991,71,130.556
1991,72,120.466
1991,73,111.918
1991,74,106.064
1991,75,101.862
1991,76,97.251
1991,77,92.793
1991,78,87.301
1991,79,80.005
1991,80,71.642
1991,81,63.719
1991,82,55.980
1991,83,48.727
1991,84,42.271
1991,85,36.472
1991,86,30.830
1991,87,25.406
1991,88,20.695
1991,89,16.888
1991,90,13.794
1991,91,11.019
1991,92,8.587
1991,93,6.575
1991,94,4.964
1991,95,3.696
1991,96,2.524
1991,97,1.827
1991,98,1.227
1991,99,0.734
1991,100,1.163
1992,0,309.815
1992,1,314.315
1992,2,309.755
1992,3,311.966
1992,4,312.996
1992,5,313.055
1992,6,312.345
1992,7,311.170
1992,8,309.839
1992,9,308.043
1992,10,305.793
1992,11,303.588
1992,12,301.258
1992,13,298.018
1992,14,299.003
1992,15,306.490
1992,16,317.821
1992,17,328.642
1992,18,340.493
1992,19,347.460
1992,20,346.363
1992,21,340.266
1992,22,335.011
1992,23,328.972
1992,24,326.203
1992,25,329.157
1992,26,335.567
1992,27,340.754
1992,28,345.729
1992,29,348.843
1992,30,348.833
1992,31,346.647
1992,32,344.667
1992,33,342.641
1992,34,339.573
1992,35,335.287
1992,36,330.199
1992,37,324.466
1992,38,317.501
1992,39,312.579
1992,40,311.167
1992,41,311.517
1992,42,311.033
1992,43,310.967
1992,44,306.138
1992,45,293.933
1992,46,277.119
1992,47,260.987
1992,48,244.400
1992,49,230.300
1992,50,220.667
1992,51,214.066
1992,52,207.108
1992,53,200.487
1992,54,194.402
1992,55,188.606
1992,56,183.289
1992,57,178.567
1992,58,174.051
1992,59,171.271
1992,60,170.885
1992,61,171.946
1992,62,172.822
1992,63,173.813
1992,64,173.552
1992,65,171.188
1992,66,167.242
1992,67,163.362
1992,68,159.559
1992,69,153.979
1992,70,145.978
1992,71,136.452
1992,72,126.784
1992,73,116.506
1992,74,107.779
1992,75,101.756
1992,76,97.400
1992,77,92.661
1992,78,88.106
1992,79,82.548
1992,80,75.238
1992,81,66.901
1992,82,59.031
1992,83,51.364
1992,84,44.268
1992,85,38.086
1992,86,32.641
1992,87,27.359
1992,88,22.312
1992,89,17.973
1992,90,14.510
1992,91,11.743
1992,92,9.294
1992,93,7.192
1992,94,5.465
1992,95,4.075
1992,96,2.981
1992,97,1.905
1992,98,1.278
1992,99,0.765
1992,100,1.255
1993,0,315.741
1993,1,317.892
1993,2,318.830
1993,3,312.783
1993,4,313.985
1993,5,314.382
1993,6,314.121
1993,7,313.341
1993,8,312.337
1993,9,311.408
1993,10,309.928
1993,11,307.748
1993,12,305.459
1993,13,303.160
1993,14,300.037
1993,15,301.004
1993,16,308.255
1993,17,319.226
1993,18,329.716
1993,19,341.241
1993,20,347.986
1993,21,346.845
1993,22,340.833
1993,23,335.640
1993,24,329.639
1993,25,327.034
1993,26,330.327
1993,27,337.170
1993,28,342.780
1993,29,348.220
1993,30,351.576
1993,31,351.453
1993,32,348.924
1993,33,346.621
1993,34,344.226
1993,35,340.911
1993,36,336.605
1993,37,331.630
1993,38,325.961
1993,39,319.069
1993,40,314.085
1993,41,312.393
1993,42,312.330
1993,43,311.464
1993,44,311.005
1993,45,305.880
1993,46,293.541
1993,47,276.699
