year,age,population
1990,0,244.420
1990,1,250.391
1990,2,254.231
1990,3,256.268
1990,4,256.821
1990,5,256.218
1990,6,254.783
1990,7,252.836
1990,8,250.705
1990,9,248.711
1990,10,246.265
1990,11,242.779
1990,12,243.142
1990,13,249.507
1990,14,259.456
1990,15,268.865
1990,16,279.090
1990,17,285.293
1990,18,284.813
1990,19,280.164
1990,20,276.241
1990,21,271.747
1990,22,269.644
1990,23,271.800
1990,24,276.524
1990,25,280.296
1990,26,283.862
1990,27,286.152
1990,28,286.297
1990,29,284.936
1990,30,283.711
1990,31,282.453
1990,32,280.401
1990,33,277.396
1990,34,273.763
1990,35,269.609
1990,36,264.444
1990,37,260.916
1990,38,260.205
1990,39,260.872
1990,40,260.837
1990,41,261.149
1990,42,257.349
1990,43,247.210
1990,44,233.100
1990,45,219.539
1990,46,205.539
1990,47,193.703
1990,48,185.755
1990,49,180.430
1990,50,174.791
1990,51,169.493
1990,52,164.438
1990,53,159.305
1990,54,154.397
1990,55,150.046
1990,56,145.819
1990,57,143.441
1990,58,143.685
1990,59,145.529
1990,60,147.169
1990,61,148.952
1990,62,149.489
1990,63,147.902
1990,64,144.753
1990,65,141.719
1990,66,138.745
1990,67,134.288
1990,68,127.839
1990,69,120.127
1990,70,112.253
1990,71,103.825
1990,72,96.708
1990,73,91.882
1990,74,88.460
1990,75,84.673
1990,76,81.003
1990,77,76.438
1990,78,70.331
1990,79,63.295
1990,80,56.616
1990,81,50.079
1990,82,43.907
1990,83,38.356
1990,84,33.313
1990,85,28.397
1990,86,23.657
1990,87,19.486
1990,88,16.037
1990,89,13.170
1990,90,10.569
1990,91,8.252
1990,92,6.333
1990,93,4.824
1990,94,3.655
1990,95,2.730
1990,96,2.047
1990,97,1.497
1990,98,1.013
1990,99,0.608
1990,100,0.890
1991,0,246.251
1991,1,247.974
1991,2,252.756
1991,3,255.856
1991,4,257.523
1991,5,258.003
1991,6,257.622
1991,7,256.702
1991,8,255.129
1991,9,253.006
1991,10,250.803
1991,11,248.292
1991,12,244.812
1991,13,245.168
1991,14,251.501
1991,15,261.403
1991,16,270.772
1991,17,280.971
1991,18,287.119
1991,19,286.541
1991,20,281.775
1991,21,277.738
1991,22,273.108
1991,23,270.989
1991,24,273.320
1991,25,278.329
1991,26,282.365
1991,27,286.215
1991,28,288.665
1991,29,288.767
1991,30,287.233
1991,31,285.847
1991,32,284.406
1991,33,282.214
1991,34,279.156
1991,35,275.518
1991,36,271.334
1991,37,266.139
1991,38,262.507
1991,39,261.576
1991,40,261.955
1991,41,261.643
1991,42,261.668
1991,43,257.649
1991,44,247.404
1991,45,233.260
1991,46,219.659
1991,47,205.631
1991,48,193.746
1991,49,185.708
1991,50,180.271
1991,51,174.528
1991,52,169.111
1991,53,163.999
1991,54,158.906
1991,55,154.089
1991,56,149.812
1991,57,145.671
1991,58,143.264
1991,59,143.298
1991,60,144.818
1991,61,146.145
1991,62,147.601
1991,63,147.854
1991,64,146.071
1991,65,142.780
1991,66,139.588
1991,67,136.457
1991,68,131.839
1991,69,125.215
1991,70,117.326
1991,71,109.289
1991,72,100.715
1991,73,93.456
1991,74,88.491
1991,75,84.939
1991,76,81.044
1991,77,77.288
1991,78,72.666
1991,79,66.535
1991,80,59.509
1991,81,52.862
1991,82,46.372
1991,83,40.316
1991,84,34.976
1991,85,30.210
1991,86,25.576
1991,87,21.133
1991,88,17.256
1991,89,14.089
1991,90,11.488
1991,91,9.158
1991,92,7.112
1991,93,5.428
1991,94,4.098
1991,95,3.068
1991,96,2.136
1991,97,1.570
1991,98,1.066
1991,99,0.640
1991,100,0.961
1992,0,250.912
1992,1,256.003
1992,2,251.084
1992,3,254.667
1992,4,257.017
1992,5,258.310
1992,6,258.716
1992,7,258.559
1992,8,258.159
1992,9,256.960
1992,10,254.853
1992,11,252.441
1992,12,249.870
1992,13,246.404
1992,14,246.751
1992,15,253.042
1992,16,262.876
1992,17,272.189
1992,18,282.344
1992,19,288.427
1992,20,287.749
1992,21,282.874
1992,22,278.732
1992,23,273.973
1992,24,271.844
1992,25,274.343
1992,26,279.631
1992,27,283.924
1992,28,288.050
1992,29,290.657
1992,30,290.716
1992,31,289.012
1992,32,287.466
1992,33,285.845
1992,34,283.516
1992,35,280.411
1992,36,276.775
1992,37,272.566
1992,38,267.352
1992,39,263.623
1992,40,262.474
1992,41,262.561
1992,42,261.973
1992,43,261.710
1992,44,257.479
1992,45,247.145
1992,46,232.996
1992,47,219.377
1992,48,205.347
1992,49,193.435
1992,50,185.322
1992,51,179.782
1992,52,173.944
1992,53,168.419
1992,54,163.260
1992,55,158.215
1992,56,153.499
1992,57,149.303
1992,58,145.257
1992,59,142.824
1992,60,142.649
1992,61,143.840
1992,62,144.851
1992,63,145.976
1992,64,145.945
1992,65,143.967
1992,66,140.541
1992,67,137.196
1992,68,133.914
1992,69,129.141
1992,70,122.356
1992,71,114.302
1992,72,106.117
1992,73,97.412
1992,74,90.024
1992,75,84.929
1992,76,81.253
1992,77,77.257
1992,78,73.423
1992,79,68.749
1992,80,62.607
1992,81,55.605
1992,82,49.001
1992,83,42.569
1992,84,36.642
1992,85,31.523
1992,86,27.043
1992,87,22.701
1992,88,18.562
1992,89,14.990
1992,90,12.108
1992,91,9.782
1992,92,7.725
1992,93,5.957
1992,94,4.511
1992,95,3.362
1992,96,2.473
1992,97,1.620
1992,98,1.095
1992,99,0.658
1992,100,1.046
1993,0,256.765
1993,1,258.905
1993,2,260.138
1993,3,253.879
1993,4,256.260
1993,5,257.858
1993,6,258.775
1993,7,259.107
1993,8,259.173
1993,9,259.293
