year,age,population
1990,0,78.544
1990,1,83.444
1990,2,86.890
1990,3,89.082
1990,4,90.224
1990,5,90.515
1990,6,90.154
1990,7,89.348
1990,8,88.291
1990,9,87.187
1990,10,85.955
1990,11,84.510
1990,12,84.472
1990,13,86.611
1990,14,90.274
1990,15,93.819
1990,16,97.301
1990,17,101.638
1990,18,107.038
1990,19,112.983
1990,20,118.768
1990,21,124.546
1990,22,129.049
1990,23,131.580
1990,24,132.625
1990,25,133.470
1990,26,133.991
1990,27,133.460
1990,28,131.684
1990,29,128.974
1990,30,126.050
1990,31,123.022
1990,32,119.387
1990,33,115.045
1990,34,110.421
1990,35,105.875
1990,36,101.154
1990,37,98.199
1990,38,97.953
1990,39,99.538
1990,40,100.907
1990,41,102.221
1990,42,103.975
1990,43,106.130
1990,44,108.362
1990,45,110.590
1990,46,113.064
1990,47,113.605
1990,48,111.191
1990,49,106.833
1990,50,102.667
1990,51,98.400
1990,52,94.253
1990,53,90.588
1990,54,87.348
1990,55,83.967
1990,56,80.385
1990,57,78.069
1990,58,77.636
1990,59,78.440
1990,60,78.983
1990,61,79.295
1990,62,79.902
1990,63,80.835
1990,64,81.696
1990,65,82.612
1990,66,84.213
1990,67,82.505
1990,68,75.721
1990,69,65.948
1990,70,56.565
1990,71,46.337
1990,72,40.100
1990,73,40.420
1990,74,44.805
1990,75,48.341
1990,76,52.189
1990,77,53.819
1990,78,51.535
1990,79,46.713
1990,80,42.506
1990,81,38.382
1990,82,34.196
1990,83,30.220
1990,84,26.410
1990,85,22.446
1990,86,18.396
1990,87,14.806
1990,88,11.922
1990,89,9.582
1990,90,7.347
1990,91,5.262
1990,92,3.608
1990,93,2.472
1990,94,1.734
1990,95,1.167
1990,96,0.795
1990,97,0.524
1990,98,0.277
1990,99,0.076
1990,100,0.207
1991,0,80.922
1991,1,81.365
1991,2,85.328
1991,3,88.175
1991,4,90.047
1991,5,91.094
1991,6,91.521
1991,7,91.530
1991,8,90.966
1991,9,89.847
1991,10,88.502
1991,11,87.153
1991,12,85.650
1991,13,85.605
1991,14,87.808
1991,15,91.587
1991,16,95.242
1991,17,98.833
1991,18,103.301
1991,19,108.862
1991,20,114.981
1991,21,120.932
1991,22,126.871
1991,23,131.478
1991,24,134.020
1991,25,135.009
1991,26,135.790
1991,27,136.234
1991,28,135.594
1991,29,133.675
1991,30,130.799
1991,31,127.691
1991,32,124.460
1991,33,120.628
1991,34,116.107
1991,35,111.313
1991,36,106.590
1991,37,101.694
1991,38,98.543
1991,39,98.071
1991,40,99.414
1991,41,100.550
1991,42,101.632
1991,43,103.192
1991,44,105.209
1991,45,107.344
1991,46,109.480
1991,47,111.877
1991,48,112.339
1991,49,109.837
1991,50,105.387
1991,51,101.149
1991,52,96.819
1991,53,92.637
1991,54,88.978
1991,55,85.772
1991,56,82.425
1991,57,78.873
1991,58,76.613
1991,59,76.268
1991,60,77.175
1991,61,77.817
1991,62,78.236
1991,63,78.885
1991,64,79.754
1991,65,80.484
1991,66,81.268
1991,67,82.712
1991,68,80.893
1991,69,74.080
1991,70,64.324
1991,71,54.939
1991,72,44.724
1991,73,38.402
1991,74,38.486
1991,75,42.546
1991,76,45.785
1991,77,49.343
1991,78,50.754
1991,79,48.366
1991,80,43.527
1991,81,39.311
1991,82,35.191
1991,83,31.079
1991,84,27.261
1991,85,23.671
1991,86,19.944
1991,87,16.142
1991,88,12.824
1991,89,10.224
1991,90,8.175
1991,91,6.233
1991,92,4.447
1991,93,3.036
1991,94,2.058
1991,95,1.417
1991,96,0.856
1991,97,0.558
1991,98,0.298
1991,99,0.084
1991,100,0.221
1992,0,85.949
1992,1,88.456
1992,2,84.159
1992,3,87.182
1992,4,89.425
1992,5,90.979
1992,6,91.929
1992,7,92.492
1992,8,92.871
1992,9,92.552
1992,10,91.369
1992,11,89.784
1992,12,88.319
1992,13,86.759
1992,14,86.704
1992,15,88.972
1992,16,92.866
1992,17,96.631
1992,18,100.327
1992,19,104.925
1992,20,110.648
1992,21,116.936
1992,22,123.050
1992,23,129.152
1992,24,133.858
1992,25,136.411
1992,26,137.343
1992,27,138.061
1992,28,138.426
1992,29,137.677
1992,30,135.618
1992,31,132.574
1992,32,129.283
1992,33,125.852
1992,34,121.823
1992,35,117.125
1992,36,112.162
1992,37,107.263
1992,38,102.193
1992,39,98.848
1992,40,98.150
1992,41,99.249
1992,42,100.152
1992,43,101.002
1992,44,102.365
1992,45,104.244
1992,46,106.281
1992,47,108.324
1992,48,110.642
1992,49,111.026
1992,50,108.435
1992,51,103.898
1992,52,99.586
1992,53,95.196
1992,54,90.981
1992,55,87.329
1992,56,84.158
1992,57,80.845
1992,58,77.328
1992,59,75.123
1992,60,74.867
1992,61,75.876
1992,62,76.617
1992,63,77.144
1992,64,77.833
1992,65,78.639
1992,66,79.237
1992,67,79.889
1992,68,81.176
1992,69,79.244
