year,age,population
1990,0,195.566
1990,1,192.577
1990,2,188.817
1990,3,184.434
1990,4,179.568
1990,5,174.368
1990,6,168.978
1990,7,163.544
1990,8,158.210
1990,9,153.121
1990,10,148.093
1990,11,142.941
1990,12,139.463
1990,13,138.465
1990,14,139.102
1990,15,139.795
1990,16,140.954
1990,17,141.409
1990,18,140.447
1990,19,138.675
1990,20,137.135
1990,21,135.299
1990,22,134.706
1990,23,136.123
1990,24,138.594
1990,25,140.542
1990,26,142.465
1990,27,142.344
1990,28,139.071
1990,29,133.637
1990,30,128.177
1990,31,122.315
1990,32,116.335
1990,33,110.615
1990,34,104.968
1990,35,99.131
1990,36,93.504
1990,37,86.993
1990,38,79.136
1990,39,70.724
1990,40,62.820
1990,41,54.995
1990,42,49.645
1990,43,48.007
1990,44,48.956
1990,45,49.859
1990,46,50.921
1990,47,52.861
1990,48,55.663
1990,49,58.892
1990,50,62.310
1990,51,66.191
1990,52,68.065
1990,53,66.745
1990,54,63.339
1990,55,60.033
1990,56,56.265
1990,57,53.237
1990,58,51.724
1990,59,51.035
1990,60,49.910
1990,61,48.851
1990,62,46.497
1990,63,42.122
1990,64,36.556
1990,65,31.271
1990,66,25.878
1990,67,21.697
1990,68,19.505
1990,69,18.655
1990,70,17.607
1990,71,16.536
1990,72,15.824
1990,73,15.470
1990,74,15.283
1990,75,15.301
1990,76,15.770
1990,77,14.977
1990,78,12.151
1990,79,8.160
1990,80,0.891
1990,81,0.713
1990,82,0.534
1990,83,0.357
1990,84,0.178
1990,85,2.661
1990,86,4.747
1990,87,5.955
1990,88,5.572
1990,89,4.192
1990,90,3.116
1990,91,2.077
1990,92,1.266
1990,93,0.910
1990,94,0.846
1990,95,0.685
1990,96,0.500
1990,97,0.358
1990,98,0.254
1990,99,0.181
1990,100,0.585
1991,0,193.094
1991,1,194.300
1991,2,191.745
1991,3,188.281
1991,4,184.076
1991,5,179.287
1991,6,174.071
1991,7,168.575
1991,8,163.030
1991,9,157.623
1991,10,152.477
1991,11,147.356
1991,12,142.088
1991,13,138.493
1991,14,137.383
1991,15,137.917
1991,16,138.515
1991,17,139.582
1991,18,140.000
1991,19,139.084
1991,20,137.418
1991,21,135.985
1991,22,134.259
1991,23,133.811
1991,24,135.414
1991,25,138.096
1991,26,140.250
1991,27,142.383
1991,28,142.420
1991,29,139.222
1991,30,133.803
1991,31,128.354
1991,32,122.494
1991,33,116.483
1991,34,110.692
1991,35,104.945
1991,36,98.996
1991,37,93.244
1991,38,86.615
1991,39,78.663
1991,40,70.168
1991,41,62.179
1991,42,54.270
1991,43,48.830
1991,44,47.085
1991,45,47.923
1991,46,48.723
1991,47,49.683
1991,48,51.562
1991,49,54.370
1991,50,57.646
1991,51,61.107
1991,52,65.034
1991,53,66.949
1991,54,65.660
1991,55,62.273
1991,56,58.993
1991,57,55.262
1991,58,52.224
1991,59,50.625
1991,60,49.807
1991,61,48.561
1991,62,47.369
1991,63,44.940
1991,64,40.585
1991,65,35.101
1991,66,29.886
1991,67,24.568
1991,68,20.438
1991,69,18.253
1991,70,17.379
1991,71,16.327
1991,72,15.276
1991,73,14.551
1991,74,14.134
1991,75,13.865
1991,76,13.804
1991,77,14.162
1991,78,13.412
1991,79,10.866
1991,80,7.296
1991,81,0.784
1991,82,0.628
1991,83,0.470
1991,84,0.314
1991,85,0.156
1991,86,2.274
1991,87,4.099
1991,88,5.154
1991,89,4.815
1991,90,3.600
1991,91,2.657
1991,92,1.747
1991,93,1.041
1991,94,0.738
1991,95,0.691
1991,96,0.487
1991,97,0.301
1991,98,0.197
1991,99,0.152
1991,100,0.544
1992,0,188.358
1992,1,190.555
1992,2,193.292
1992,3,191.166
1992,4,187.994
1992,5,183.961
1992,6,179.243
1992,7,174.003
1992,8,168.396
1992,9,162.732
1992,10,157.243
1992,11,152.036
