year,age,population
1990,0,5.080
1990,1,5.504
1990,2,5.799
1990,3,5.979
1990,4,6.063
1990,5,6.064
1990,6,5.998
1990,7,5.880
1990,8,5.726
1990,9,5.552
1990,10,5.344
1990,11,5.088
1990,12,4.945
1990,13,4.984
1990,14,5.136
1990,15,5.271
1990,16,5.418
1990,17,5.494
1990,18,5.434
1990,19,5.294
1990,20,5.171
1990,21,5.025
1990,22,4.957
1990,23,5.017
1990,24,5.149
1990,25,5.254
1990,26,5.365
1990,27,5.367
1990,28,5.201
1990,29,4.925
1990,30,4.660
1990,31,4.387
1990,32,4.137
1990,33,3.944
1990,34,3.792
1990,35,3.622
1990,36,3.448
1990,37,3.288
1990,38,3.147
1990,39,3.020
1990,40,2.900
1990,41,2.791
1990,42,2.678
1990,43,2.559
1990,44,2.438
1990,45,2.325
1990,46,2.211
1990,47,2.121
1990,48,2.065
1990,49,2.032
1990,50,1.998
1990,51,1.971
1990,52,1.920
1990,53,1.830
1990,54,1.716
1990,55,1.608
1990,56,1.499
1990,57,1.406
1990,58,1.340
1990,59,1.292
1990,60,1.241
1990,61,1.194
1990,62,1.140
1990,63,1.071
1990,64,0.999
1990,65,0.928
1990,66,0.862
1990,67,0.801
1990,68,0.752
1990,69,0.710
1990,70,0.668
1990,71,0.626
1990,72,0.589
1990,73,0.563
1990,74,0.541
1990,75,0.519
1990,76,0.502
1990,77,0.472
1990,78,0.423
1990,79,0.362
1990,80,0.305
1990,81,0.247
1990,82,0.200
1990,83,0.169
1990,84,0.150
1990,85,0.128
1990,86,0.111
1990,87,0.094
1990,88,0.077
1990,89,0.064
1990,90,0.051
1990,91,0.040
1990,92,0.032
1990,93,0.024
1990,94,0.017
1990,95,0.012
1990,96,0.009
1990,97,0.006
1990,98,0.004
1990,99,0.002
1990,100,0.004
1991,0,5.250
1991,1,5.200
1991,2,5.538
1991,3,5.778
1991,4,5.934
1991,5,6.014
1991,6,6.035
1991,7,6.010
1991,8,5.923
1991,9,5.768
