year,age,population
1990,0,14.327
1990,1,13.743
1990,2,13.172
1990,3,12.617
1990,4,12.080
1990,5,11.560
1990,6,11.062
1990,7,10.587
1990,8,10.134
1990,9,9.709
1990,10,9.322
1990,11,8.986
1990,12,8.648
1990,13,8.287
1990,14,7.937
1990,15,7.648
1990,16,7.405
1990,17,7.307
1990,18,7.407
1990,19,7.659
1990,20,7.931
1990,21,8.211
1990,22,8.639
1990,23,9.257
1990,24,9.984
1990,25,10.685
1990,26,11.377
1990,27,11.936
1990,28,12.281
1990,29,12.454
1990,30,12.587
1990,31,12.677
1990,32,12.561
1990,33,12.186
1990,34,11.614
1990,35,11.002
1990,36,10.345
1990,37,9.596
1990,38,8.752
1990,39,7.856
1990,40,6.949
1990,41,6.021
1990,42,5.231
1990,43,4.668
1990,44,4.269
1990,45,3.870
1990,46,3.486
1990,47,3.201
1990,48,3.028
1990,49,2.933
1990,50,2.870
1990,51,2.856
1990,52,2.782
1990,53,2.588
1990,54,2.326
1990,55,2.097
1990,56,1.870
1990,57,1.705
1990,58,1.639
1990,59,1.633
1990,60,1.620
1990,61,1.619
1990,62,1.577
1990,63,1.468
1990,64,1.316
1990,65,1.179
1990,66,1.042
1990,67,0.923
1990,68,0.827
1990,69,0.748
1990,70,0.671
1990,71,0.593
1990,72,0.526
1990,73,0.473
1990,74,0.430
1990,75,0.393
1990,76,0.356
1990,77,0.328
1990,78,0.304
1990,79,0.285
1990,80,0.268
1990,81,0.257
1990,82,0.239
1990,83,0.212
1990,84,0.178
1990,85,0.147
1990,86,0.119
1990,87,0.093
1990,88,0.072
1990,89,0.053
1990,90,0.037
1990,91,0.019
1990,92,0.009
1990,93,0.002
1990,94,0.001
1990,95,0.002
1990,96,0.002
1990,97,0.003
1990,98,0.002
1990,99,0.000
1990,100,0.001
1991,0,14.082
1991,1,13.767
1991,2,13.272
1991,3,12.788
1991,4,12.313
1991,5,11.850
1991,6,11.405
1991,7,10.991
1991,8,10.560
1991,9,10.091
1991,10,9.616
1991,11,9.184
1991,12,8.791
1991,13,8.463
1991,14,8.218
1991,15,8.051
1991,16,7.927
1991,17,7.844
1991,18,7.884
1991,19,8.077
1991,20,8.389
1991,21,8.719
1991,22,9.055
1991,23,9.486
1991,24,10.035
1991,25,10.643
1991,26,11.220
1991,27,11.780
1991,28,12.209
1991,29,12.437
1991,30,12.503
1991,31,12.529
1991,32,12.511
1991,33,12.305
1991,34,11.861
1991,35,11.239
1991,36,10.584
1991,37,9.885
1991,38,9.134
1991,39,8.346
1991,40,7.542
1991,41,6.725
1991,42,5.897
1991,43,5.182
1991,44,4.649
1991,45,4.251
1991,46,3.858
1991,47,3.485
1991,48,3.197
1991,49,3.001
1991,50,2.876
1991,51,2.778
1991,52,2.724
1991,53,2.629
1991,54,2.452
1991,55,2.228
1991,56,2.031
1991,57,1.841
1991,58,1.695
1991,59,1.621
1991,60,1.587
1991,61,1.553
1991,62,1.528
1991,63,1.474
1991,64,1.370
1991,65,1.237
1991,66,1.115
1991,67,0.993
1991,68,0.887
1991,69,0.797
1991,70,0.722
1991,71,0.648
1991,72,0.576
1991,73,0.511
1991,74,0.456
1991,75,0.408
1991,76,0.367
1991,77,0.324
1991,78,0.294
1991,79,0.273
1991,80,0.259
1991,81,0.249
1991,82,0.242
1991,83,0.229
1991,84,0.201
1991,85,0.166
1991,86,0.129
1991,87,0.103
1991,88,0.079
1991,89,0.060
1991,90,0.044
1991,91,0.031
1991,92,0.016
1991,93,0.007
1991,94,0.002
1991,95,0.001
1991,96,0.002
1991,97,0.004
1991,98,0.002
1991,99,0.001
1991,100,0.001
1992,0,13.715
1992,1,13.196
1992,2,13.228
1992,3,12.822
1992,4,12.421
1992,5,12.027
1992,6,11.636
1992,7,11.265
1992,8,10.935
1992,9,10.547
1992,10,10.061
1992,11,9.536
1992,12,9.059
1992,13,8.610
1992,14,8.289
1992,15,8.160
1992,16,8.174
1992,17,8.215
1992,18,8.291
1992,19,8.467
1992,20,8.755
1992,21,9.126
1992,22,9.513
1992,23,9.906
1992,24,10.341
1992,25,10.822
1992,26,11.311
1992,27,11.768
1992,28,12.196
1992,29,12.495
1992,30,12.609
1992,31,12.569
1992,32,12.486
1992,33,12.363
1992,34,12.066
1992,35,11.552
1992,36,10.882
1992,37,10.181
1992,38,9.441
1992,39,8.687
1992,40,7.952
1992,41,7.238
1992,42,6.513
1992,43,5.781
1992,44,5.139
1992,45,4.637
1992,46,4.237
1992,47,3.853
1992,48,3.489
1992,49,3.195
1992,50,2.980
1992,51,2.821
1992,52,2.691
1992,53,2.595
1992,54,2.482
1992,55,2.320
1992,56,2.132
1992,57,1.969
1992,58,1.814
1992,59,1.688
1992,60,1.604
1992,61,1.545
1992,62,1.487
1992,63,1.440
1992,64,1.373
1992,65,1.275
1992,66,1.160
1992,67,1.052
1992,68,0.947
1992,69,0.851
1992,70,0.769
1992,71,0.696
1992,72,0.627
1992,73,0.559
1992,74,0.496
1992,75,0.440
1992,76,0.387
1992,77,0.341
1992,78,0.294
1992,79,0.260
1992,80,0.242
1992,81,0.235
1992,82,0.229
1992,83,0.229
1992,84,0.218
1992,85,0.191
1992,86,0.154
1992,87,0.112
1992,88,0.086
1992,89,0.066
1992,90,0.048
1992,91,0.035
1992,92,0.024
1992,93,0.013
1992,94,0.006
1992,95,0.002
1992,96,0.001
1992,97,0.003
1992,98,0.001
1992,99,0.000
1992,100,0.001
1993,0,13.302
1993,1,12.816
1993,2,12.388
1993,3,12.720
1993,4,12.399
1993,5,12.083
1993,6,11.767
1993,7,11.448
1993,8,11.151
1993,9,10.902
1993,10,10.558
1993,11,10.053
1993,12,9.477
1993,13,8.954
