year,age,population
1990,0,3391.147
1990,1,3339.281
1990,2,3286.806
1990,3,3233.518
1990,4,3179.225
1990,5,3123.720
1990,6,3066.810
1990,7,3008.290
1990,8,2947.965
1990,9,2885.633
1990,10,2823.330
1990,11,2763.088
1990,12,2693.541
1990,13,2610.016
1990,14,2519.019
1990,15,2429.221
1990,16,2335.890
1990,17,2261.498
1990,18,2217.149
1990,19,2191.277
1990,20,2161.056
1990,21,2130.873
1990,22,2091.012
1990,23,2034.269
1990,24,1965.202
1990,25,1897.592
1990,26,1831.128
1990,27,1752.381
1990,28,1656.828
1990,29,1550.879
1990,30,1447.690
1990,31,1347.308
1990,32,1248.619
1990,33,1153.279
1990,34,1063.900
1990,35,977.784
1990,36,891.086
1990,37,835.261
1990,38,824.306
1990,39,842.797
1990,40,861.173
1990,41,885.177
1990,42,899.467
1990,43,893.364
1990,44,873.752
1990,45,859.057
1990,46,846.627
1990,47,827.795
1990,48,800.420
1990,49,767.363
1990,50,733.622
1990,51,698.190
1990,52,665.263
1990,53,637.442
1990,54,612.979
1990,55,587.378
1990,56,561.359
1990,57,536.493
1990,58,513.066
1990,59,490.632
1990,60,468.499
1990,61,446.832
1990,62,424.748
1990,63,401.745
1990,64,378.195
1990,65,355.121
1990,66,332.494
1990,67,309.538
1990,68,286.022
1990,69,262.348
1990,70,239.220
1990,71,216.602
1990,72,194.833
1990,73,174.197
1990,74,154.641
1990,75,135.866
1990,76,117.952
1990,77,101.367
1990,78,86.322
1990,79,72.706
1990,80,60.104
1990,81,48.479
1990,82,38.510
1990,83,30.452
1990,84,23.970
1990,85,18.365
1990,86,13.654
1990,87,9.871
1990,88,6.922
1990,89,4.701
1990,90,3.139
1990,91,2.188
1990,92,1.490
1990,93,0.838
1990,94,0.282
1990,95,0.202
1990,96,0.161
1990,97,0.122
1990,98,0.080
1990,99,0.041
1990,100,0.024
1991,0,3390.530
1991,1,3360.120
1991,2,3312.883
1991,3,3264.633
1991,4,3215.124
1991,5,3164.123
1991,6,3111.572
1991,7,3057.426
1991,8,3000.488
1991,9,2940.145
1991,10,2876.719
1991,11,2813.211
1991,12,2751.469
1991,13,2680.772
1991,14,2596.871
1991,15,2506.006
1991,16,2416.134
1991,17,2322.625
1991,18,2248.320
1991,19,2204.420
1991,20,2179.239
1991,21,2149.740
1991,22,2120.360
1991,23,2081.198
1991,24,2024.942
1991,25,1956.234
1991,26,1889.030
1991,27,1822.967
1991,28,1744.697
1991,29,1649.753
1991,30,1544.478
1991,31,1441.903
1991,32,1342.083
1991,33,1243.887
1991,34,1148.942
1991,35,1059.862
1991,36,974.002
1991,37,887.548
1991,38,831.712
1991,39,820.390
1991,40,838.278
1991,41,856.048
1991,42,879.395
1991,43,893.120
1991,44,886.632
1991,45,866.760
1991,46,851.759
1991,47,838.986
1991,48,819.932
1991,49,792.511
1991,50,759.510
1991,51,725.805
1991,52,690.419
1991,53,657.423
1991,54,629.342
1991,55,604.485
1991,56,578.502
1991,57,552.106
1991,58,526.780
1991,59,502.784
1991,60,479.718
1991,61,456.967
1991,62,434.686
1991,63,412.047
1991,64,388.584
1991,65,364.657
1991,66,341.248
1991,67,318.346
1991,68,295.195
1991,69,271.575
1991,70,247.893
1991,71,224.836
1991,72,202.355
1991,73,180.895
1991,74,160.783
1991,75,141.915
1991,76,123.875
1991,77,106.738
1991,78,91.037
1991,79,76.994
1991,80,64.452
1991,81,52.931
1991,82,42.400
1991,83,33.437
1991,84,26.234
1991,85,20.488
1991,86,15.601
1991,87,11.578
1991,88,8.359
1991,89,5.818
1991,90,3.883
1991,91,2.580
1991,92,1.806
1991,93,1.233
1991,94,0.698
1991,95,0.240
1991,96,0.174
1991,97,0.131
1991,98,0.088
1991,99,0.043
1991,100,0.026
1992,0,3381.031
1992,1,3342.003
1992,2,3329.392
1992,3,3286.776
1992,4,3242.742
1992,5,3197.008
1992,6,3149.292
1992,7,3099.690
1992,8,3048.300
1992,9,2992.940
1992,10,2932.573
1992,11,2868.050
1992,12,2803.330
1992,13,2740.085
1992,14,2668.233
1992,15,2583.949
1992,16,2493.209
1992,17,2403.255
1992,18,2309.561
1992,19,2235.336
1992,20,2191.882
1992,21,2167.389
1992,22,2138.609
1992,23,2110.028
1992,24,2071.563
1992,25,2015.789
1992,26,1947.433
1992,27,1880.631
1992,28,1814.961
1992,29,1737.162
1992,30,1642.819
1992,31,1538.210
1992,32,1436.238
1992,33,1336.973
1992,34,1239.259
1992,35,1144.705
1992,36,1055.912
1992,37,970.304
1992,38,884.086
1992,39,828.234
1992,40,816.544
1992,41,833.832
1992,42,850.996
1992,43,873.691
1992,44,886.851
1992,45,879.977
1992,46,859.843
1992,47,844.536
1992,48,831.419
1992,49,812.144
1992,50,784.672
1992,51,751.724
1992,52,718.053
1992,53,682.710
1992,54,649.643
1992,55,621.299
1992,56,596.045
1992,57,569.680
1992,58,542.906
1992,59,517.116
1992,60,492.549
1992,61,468.852
1992,62,445.478
1992,63,422.584
1992,64,399.389
1992,65,375.463
1992,66,351.158
1992,67,327.413
1992,68,304.232
1992,69,280.886
1992,70,257.159
1992,71,233.467
1992,72,210.479
1992,73,188.135
1992,74,166.981
1992,75,147.390
1992,76,129.208
1992,77,111.902
1992,78,95.540
1992,79,80.721
1992,80,67.679
1992,81,56.208
1992,82,45.767
1992,83,36.328
1992,84,28.369
1992,85,22.021
1992,86,17.011
1992,87,12.840
1992,88,9.503
1992,89,6.849
1992,90,4.715
1992,91,3.067
1992,92,2.021
1992,93,1.424
1992,94,0.978
1992,95,0.558
1992,96,0.197
1992,97,0.143
1992,98,0.095
1992,99,0.048
1992,100,0.029
1993,0,3368.214
1993,1,3337.814
1993,2,3306.707
1993,3,3299.300
1993,4,3261.295
1993,5,3221.470
1993,6,3179.498
1993,7,3135.060
1993,8,3088.394
1993,9,3039.750
1993,10,2985.957
1993,11,2925.554
1993,12,2859.923
1993,13,2793.980
1993,14,2729.220
1993,15,2656.200
1993,16,2571.517
1993,17,2480.885
1993,18,2390.832
1993,19,2296.936
1993,20,2222.777
1993,21,2179.759
1993,22,2155.951
1993,23,2127.884
1993,24,2100.097
1993,25,2062.319
1993,26,2007.019
1993,27,1939.001
1993,28,1872.587
1993,29,1807.300
1993,30,1729.957
1993,31,1636.195
1993,32,1532.233
1993,33,1430.847
1993,34,1332.114
1993,35,1234.868
1993,36,1140.682
1993,37,1052.164
1993,38,966.788
1993,39,880.792
1993,40,824.913
1993,41,812.853
1993,42,829.544
1993,43,846.106
