year,age,population
1990,0,3.926
1990,1,4.052
1990,2,4.139
1990,3,4.191
1990,4,4.216
1990,5,4.221
1990,6,4.212
1990,7,4.193
1990,8,4.174
1990,9,4.160
1990,10,4.137
1990,11,4.093
1990,12,4.131
1990,13,4.301
1990,14,4.544
1990,15,4.777
1990,16,5.026
1990,17,5.185
1990,18,5.192
1990,19,5.108
1990,20,5.033
1990,21,4.941
1990,22,4.902
1990,23,4.963
1990,24,5.079
1990,25,5.167
1990,26,5.247
1990,27,5.279
1990,28,5.238
1990,29,5.147
1990,30,5.051
1990,31,4.949
1990,32,4.818
1990,33,4.660
1990,34,4.477
1990,35,4.284
1990,36,4.079
1990,37,3.880
1990,38,3.708
1990,39,3.545
1990,40,3.382
1990,41,3.227
1990,42,3.048
1990,43,2.827
1990,44,2.586
1990,45,2.359
1990,46,2.130
1990,47,1.964
1990,48,1.892
1990,49,1.884
1990,50,1.877
1990,51,1.887
1990,52,1.878
1990,53,1.832
1990,54,1.766
1990,55,1.714
1990,56,1.660
1990,57,1.638
1990,58,1.657
1990,59,1.704
1990,60,1.745
1990,61,1.797
1990,62,1.807
1990,63,1.758
1990,64,1.669
1990,65,1.586
1990,66,1.500
1990,67,1.438
1990,68,1.420
1990,69,1.432
1990,70,1.431
1990,71,1.430
1990,72,1.419
1990,73,1.391
1990,74,1.355
1990,75,1.316
1990,76,1.277
1990,77,1.221
1990,78,1.142
1990,79,1.045
1990,80,0.951
1990,81,0.854
1990,82,0.756
1990,83,0.658
1990,84,0.563
1990,85,0.469
1990,86,0.374
1990,87,0.294
1990,88,0.236
1990,89,0.193
1990,90,0.153
1990,91,0.118
1990,92,0.088
1990,93,0.064
1990,94,0.041
1990,95,0.014
1990,96,0.010
1990,97,0.009
1990,98,0.006
1990,99,0.003
1990,100,0.004
1991,0,3.854
1991,1,3.947
1991,2,4.054
1991,3,4.127
1991,4,4.172
1991,5,4.195
1991,6,4.201
1991,7,4.199
1991,8,4.184
1991,9,4.163
1991,10,4.141
1991,11,4.114
1991,12,4.067
1991,13,4.101
1991,14,4.260
1991,15,4.492
1991,16,4.714
1991,17,4.951
1991,18,5.103
1991,19,5.108
1991,20,5.028
1991,21,4.955
1991,22,4.867
1991,23,4.831
1991,24,4.893
1991,25,5.010
1991,26,5.100
1991,27,5.182
1991,28,5.217
1991,29,5.178
1991,30,5.091
1991,31,4.998
1991,32,4.900
1991,33,4.772
1991,34,4.617
1991,35,4.438
1991,36,4.249
1991,37,4.046
1991,38,3.852
1991,39,3.684
1991,40,3.528
1991,41,3.370
1991,42,3.222
1991,43,3.046
1991,44,2.827
1991,45,2.587
1991,46,2.360
1991,47,2.131
1991,48,1.965
1991,49,1.894
1991,50,1.889
1991,51,1.882
1991,52,1.893
1991,53,1.885
1991,54,1.842
1991,55,1.777
1991,56,1.728
1991,57,1.675
1991,58,1.653
1991,59,1.669
1991,60,1.709
1991,61,1.745
1991,62,1.789
1991,63,1.795
1991,64,1.743
1991,65,1.652
1991,66,1.568
1991,67,1.480
1991,68,1.414
1991,69,1.392
1991,70,1.398
1991,71,1.390
1991,72,1.383
1991,73,1.368
1991,74,1.342
1991,75,1.308
1991,76,1.273
1991,77,1.240
1991,78,1.183
1991,79,1.096
1991,80,0.985
1991,81,0.879
1991,82,0.769
1991,83,0.666
1991,84,0.572
1991,85,0.490
1991,86,0.406
1991,87,0.324
1991,88,0.254
1991,89,0.202
1991,90,0.163
1991,91,0.129
1991,92,0.099
1991,93,0.074
1991,94,0.053
1991,95,0.034
1991,96,0.013
1991,97,0.010
1991,98,0.007
1991,99,0.002
1991,100,0.004
1992,0,3.838
1992,1,3.975
1992,2,3.967
1992,3,4.053
1992,4,4.114
1992,5,4.151
1992,6,4.172
1992,7,4.181
1992,8,4.184
1992,9,4.173
1992,10,4.149
1992,11,4.121
1992,12,4.090
1992,13,4.039
1992,14,4.068
1992,15,4.218
1992,16,4.437
1992,17,4.649
1992,18,4.875
1992,19,5.018
1992,20,5.023
1992,21,4.945
1992,22,4.876
1992,23,4.790
1992,24,4.757
1992,25,4.822
1992,26,4.939
1992,27,5.031
1992,28,5.115
1992,29,5.152
1992,30,5.117
1992,31,5.032
1992,32,4.943
1992,33,4.848
1992,34,4.725
1992,35,4.572
1992,36,4.398
1992,37,4.211
1992,38,4.011
1992,39,3.822
1992,40,3.660
1992,41,3.509
1992,42,3.357
1992,43,3.214
1992,44,3.043
1992,45,2.827
1992,46,2.586
1992,47,2.359
1992,48,2.131
1992,49,1.966
1992,50,1.897
1992,51,1.891
1992,52,1.888
1992,53,1.898
1992,54,1.891
1992,55,1.850
1992,56,1.789
1992,57,1.740
1992,58,1.690
1992,59,1.667
1992,60,1.680
1992,61,1.714
1992,62,1.743
1992,63,1.782
1992,64,1.782
1992,65,1.726
1992,66,1.636
1992,67,1.548
1992,68,1.459
1992,69,1.390
1992,70,1.363
1992,71,1.363
1992,72,1.350
1992,73,1.334
1992,74,1.317
1992,75,1.292
1992,76,1.261
1992,77,1.230
1992,78,1.202
1992,79,1.145
1992,80,1.048
1992,81,0.925
1992,82,0.807
1992,83,0.684
1992,84,0.574
1992,85,0.487
1992,86,0.416
1992,87,0.344
1992,88,0.273
1992,89,0.214
1992,90,0.168
1992,91,0.134
1992,92,0.104
1992,93,0.080
1992,94,0.060
1992,95,0.042
1992,96,0.027
1992,97,0.012
1992,98,0.008
1992,99,0.003
1992,100,0.003
1993,0,3.851
1993,1,3.951
1993,2,4.022
1993,3,3.986
1993,4,4.052
1993,5,4.100
1993,6,4.129
1993,7,4.149
1993,8,4.158
1993,9,4.169
1993,10,4.162
1993,11,4.135
1993,12,4.099
1993,13,4.065
1993,14,4.011
1993,15,4.035
1993,16,4.174
1993,17,4.383
1993,18,4.583
1993,19,4.796
1993,20,4.934
1993,21,4.937
1993,22,4.861
1993,23,4.795
1993,24,4.713
1993,25,4.683
1993,26,4.750
1993,27,4.867
1993,28,4.961
1993,29,5.047
1993,30,5.086
1993,31,5.055
1993,32,4.972
1993,33,4.888
1993,34,4.796
1993,35,4.676
1993,36,4.527
1993,37,4.356
1993,38,4.173
1993,39,3.975
1993,40,3.792
1993,41,3.634
1993,42,3.490
1993,43,3.344
1993,44,3.206
1993,45,3.040
1993,46,2.825
1993,47,2.585
1993,48,2.359
1993,49,2.130
1993,50,1.966
1993,51,1.898
1993,52,1.895
1993,53,1.892
1993,54,1.903
1993,55,1.897
1993,56,1.859
1993,57,1.798
1993,58,1.753
1993,59,1.704
1993,60,1.682
1993,61,1.690
1993,62,1.718
1993,63,1.742
1993,64,1.773
1993,65,1.769
1993,66,1.711
1993,67,1.617
1993,68,1.529
1993,69,1.438
1993,70,1.366
1993,71,1.334
1993,72,1.327
1993,73,1.309
1993,74,1.287
1993,75,1.265
1993,76,1.241
1993,77,1.214
1993,78,1.187
1993,79,1.163
1993,80,1.107
1993,81,1.001
1993,82,0.865
1993,83,0.734
1993,84,0.599
1993,85,0.483
1993,86,0.401
1993,87,0.343
1993,88,0.281
1993,89,0.223
1993,90,0.173
1993,91,0.135
1993,92,0.104
1993,93,0.080
1993,94,0.060
1993,95,0.045
1993,96,0.032
1993,97,0.020
1993,98,0.006
1993,99,0.001
1993,100,0.004
1994,0,3.863
1994,1,3.922
1994,2,3.972
1994,3,4.011
1994,4,4.006
1994,5,4.052
1994,6,4.086
1994,7,4.110
1994,8,4.126
1994,9,4.137
1994,10,4.156
1994,11,4.151
1994,12,4.121
1994,13,4.080
1994,14,4.041
1994,15,3.984
1994,16,4.002
1994,17,4.132
1994,18,4.330
1994,19,4.519
1994,20,4.720
1994,21,4.849
1994,22,4.853
1994,23,4.779
1994,24,4.716
1994,25,4.637
1994,26,4.610
1994,27,4.678
1994,28,4.798
1994,29,4.892
1994,30,4.980
1994,31,5.022
1994,32,4.994
1994,33,4.915
1994,34,4.833
1994,35,4.745
1994,36,4.629
1994,37,4.483
1994,38,4.315
1994,39,4.136
1994,40,3.942
1994,41,3.762
1994,42,3.609
1994,43,3.472
1994,44,3.331
1994,45,3.200
1994,46,3.037
1994,47,2.824
1994,48,2.585
1994,49,2.359
1994,50,2.131
1994,51,1.966
1994,52,1.900
1994,53,1.899
1994,54,1.897
1994,55,1.908
1994,56,1.904
1994,57,1.868
1994,58,1.809
1994,59,1.765
1994,60,1.720
1994,61,1.696
1994,62,1.701
1994,63,1.723
1994,64,1.740
1994,65,1.766
1994,66,1.756
1994,67,1.695
1994,68,1.601
1994,69,1.510
1994,70,1.417
1994,71,1.342
1994,72,1.305
1994,73,1.293
1994,74,1.268
1994,75,1.239
1994,76,1.214
1994,77,1.191
1994,78,1.167
1994,79,1.144
1994,80,1.125
1994,81,1.069
1994,82,0.954
1994,83,0.805
1994,84,0.662
1994,85,0.514
1994,86,0.392
1994,87,0.316
1994,88,0.269
1994,89,0.219
1994,90,0.172
1994,91,0.133
1994,92,0.101
1994,93,0.074
1994,94,0.056
1994,95,0.041
1994,96,0.031
1994,97,0.021
1994,98,0.013
1994,99,0.003
1994,100,0.004
1995,0,3.840
1995,1,3.887
1995,2,3.929
1995,3,3.967
1995,4,4.000
1995,5,4.028
1995,6,4.054
1995,7,4.075
1995,8,4.091
1995,9,4.105
1995,10,4.119
1995,11,4.143
1995,12,4.143
1995,13,4.110
1995,14,4.062
1995,15,4.018
1995,16,3.959
1995,17,3.972
1995,18,4.092
1995,19,4.278
1995,20,4.456
1995,21,4.646
1995,22,4.768
1995,23,4.770
1995,24,4.699
1995,25,4.639
1995,26,4.563
1995,27,4.540
1995,28,4.609
1995,29,4.729
1995,30,4.826
1995,31,4.916
1995,32,4.960
1995,33,4.935
1995,34,4.859
1995,35,4.781
1995,36,4.696
1995,37,4.584
1995,38,4.441
1995,39,4.277
1995,40,4.101
1995,41,3.909
1995,42,3.735
1995,43,3.586
1995,44,3.455
1995,45,3.320
1995,46,3.195
1995,47,3.035
1995,48,2.825
1995,49,2.586
1995,50,2.360
1995,51,2.132
1995,52,1.968
1995,53,1.903
1995,54,1.903
1995,55,1.903
1995,56,1.914
1995,57,1.912
1995,58,1.877
1995,59,1.821
1995,60,1.779
1995,61,1.735
1995,62,1.712
1995,63,1.713
1995,64,1.728
1995,65,1.740
1995,66,1.759
1995,67,1.744
1995,68,1.680
1995,69,1.584
1995,70,1.492
1995,71,1.397
1995,72,1.319
1995,73,1.277
1995,74,1.258
1995,75,1.228
1995,76,1.192
1995,77,1.163
1995,78,1.142
1995,79,1.121
1995,80,1.101
1995,81,1.088
1995,82,1.031
1995,83,0.908
1995,84,0.745
1995,85,0.590
1995,86,0.429
1995,87,0.302
1995,88,0.230
1995,89,0.196
1995,90,0.156
1995,91,0.122
1995,92,0.093
1995,93,0.067
1995,94,0.045
1995,95,0.031
1995,96,0.022
1995,97,0.017
1995,98,0.010
1995,99,0.006
1995,100,0.004
1996,0,3.779
1996,1,3.876
1996,2,3.922
1996,3,3.959
1996,4,3.990
1996,5,4.016
1996,6,4.035
1996,7,4.050
1996,8,4.062
1996,9,4.076
1996,10,4.092
1996,11,4.105
1996,12,4.130
1996,13,4.129
1996,14,4.093
1996,15,4.041
1996,16,3.993
1996,17,3.932
1996,18,3.940
1996,19,4.050
1996,20,4.225
1996,21,4.391
1996,22,4.569
1996,23,4.684
1996,24,4.685
1996,25,4.617
1996,26,4.560
1996,27,4.487
1996,28,4.467
1996,29,4.538
1996,30,4.658
1996,31,4.758
1996,32,4.849
1996,33,4.896
1996,34,4.874
1996,35,4.801
1996,36,4.726
1996,37,4.645
1996,38,4.536
1996,39,4.398
1996,40,4.236
1996,41,4.064
