year,age,population
1990,0,145.664
1990,1,153.566
1990,2,159.265
1990,3,163.001
1990,4,165.019
1990,5,165.552
1990,6,164.849
1990,7,163.143
1990,8,160.677
1990,9,157.693
1990,10,154.057
1990,11,149.641
1990,12,146.538
1990,13,145.733
1990,14,146.350
1990,15,146.864
1990,16,147.970
1990,17,147.624
1990,18,144.780
1990,19,140.677
1990,20,137.172
1990,21,133.373
1990,22,132.950
1990,23,137.751
1990,24,145.821
1990,25,153.244
1990,26,160.661
1990,27,166.815
1990,28,170.635
1990,29,172.640
1990,30,174.672
1990,31,176.663
1990,32,176.338
1990,33,172.841
1990,34,167.163
1990,35,161.130
1990,36,154.352
1990,37,148.076
1990,38,143.102
1990,39,138.863
1990,40,134.593
1990,41,131.165
1990,42,125.741
1990,43,117.070
1990,44,106.985
1990,45,97.558
1990,46,87.168
1990,47,83.828
1990,48,91.350
1990,49,105.512
1990,50,118.852
1990,51,133.561
1990,52,142.291
1990,53,140.859
1990,54,133.021
1990,55,126.256
1990,56,118.520
1990,57,113.983
1990,58,115.294
1990,59,119.923
1990,60,123.017
1990,61,125.934
1990,62,125.353
1990,63,119.250
1990,64,109.517
1990,65,100.373
1990,66,91.368
1990,67,82.035
1990,68,72.697
1990,69,63.680
1990,70,54.514
1990,71,44.726
1990,72,38.630
1990,73,38.156
1990,74,41.225
1990,75,44.012
1990,76,47.484
1990,77,48.743
1990,78,46.019
1990,79,40.774
1990,80,36.252
1990,81,31.827
1990,82,27.785
1990,83,24.599
1990,84,21.983
1990,85,19.194
1990,86,16.397
1990,87,13.776
1990,88,11.347
1990,89,9.127
1990,90,7.071
1990,91,5.146
1990,92,3.626
1990,93,2.630
1990,94,2.024
1990,95,1.534
1990,96,1.202
1990,97,0.929
1990,98,0.640
1990,99,0.365
1990,100,0.567
1991,0,135.538
1991,1,146.449
1991,2,153.920
1991,3,159.341
1991,4,162.924
1991,5,164.888
1991,6,165.466
1991,7,164.898
1991,8,163.292
1991,9,160.824
1991,10,157.776
1991,11,154.124
1991,12,149.732
1991,13,146.588
1991,14,145.636
1991,15,146.047
1991,16,146.370
1991,17,147.274
1991,18,146.815
1991,19,144.002
1991,20,140.020
1991,21,136.624
1991,22,132.936
1991,23,132.609
1991,24,137.467
1991,25,145.569
1991,26,153.030
1991,27,160.492
1991,28,166.658
1991,29,170.442
1991,30,172.381
1991,31,174.343
1991,32,176.259
1991,33,175.864
1991,34,172.316
1991,35,166.596
1991,36,160.519
1991,37,153.692
1991,38,147.371
1991,39,142.351
1991,40,138.067
1991,41,133.749
1991,42,130.261
1991,43,124.804
1991,44,116.148
1991,45,106.098
1991,46,96.699
1991,47,86.348
1991,48,82.966
1991,49,90.320
1991,50,104.236
1991,51,117.338
1991,52,131.787
1991,53,140.329
1991,54,138.826
1991,55,130.992
1991,56,124.216
1991,57,116.489
1991,58,111.888
1991,59,113.009
1991,60,117.380
1991,61,120.242
