year,age,population
1990,0,115.987
1990,1,117.846
1990,2,119.170
1990,3,120.039
1990,4,120.534
1990,5,120.735
1990,6,120.719
1990,7,120.571
1990,8,120.369
1990,9,120.194
1990,10,120.023
1990,11,119.831
1990,12,120.217
1990,13,121.464
1990,14,123.346
1990,15,125.313
1990,16,127.433
1990,17,129.843
1990,18,132.540
1990,19,135.469
1990,20,138.401
1990,21,141.169
1990,22,144.464
1990,23,148.539
1990,24,152.931
1990,25,157.029
1990,26,161.076
1990,27,163.654
1990,28,164.032
1990,29,162.866
1990,30,161.681
1990,31,160.338
1990,32,158.468
1990,33,156.097
1990,34,153.440
1990,35,150.346
1990,36,146.434
1990,37,144.222
1990,38,144.816
1990,39,146.908
1990,40,148.638
1990,41,151.050
1990,42,149.762
1990,43,142.622
1990,44,131.996
1990,45,122.140
1990,46,111.876
1990,47,105.018
1990,48,103.792
1990,49,106.263
1990,50,108.165
1990,51,110.226
1990,52,112.178
1990,53,113.421
1990,54,114.179
1990,55,115.398
1990,56,117.029
1990,57,117.682
1990,58,116.795
1990,59,114.942
1990,60,112.811
1990,61,109.747
1990,62,108.397
1990,63,109.987
1990,64,112.981
1990,65,115.441
1990,66,118.743
1990,67,116.734
1990,68,106.464
1990,69,91.274
1990,70,76.825
1990,71,61.259
1990,72,51.290
1990,73,50.602
1990,74,55.727
1990,75,59.688
1990,76,64.080
1990,77,65.844
1990,78,62.817
1990,79,56.721
1990,80,51.514
1990,81,46.480
1990,82,41.534
1990,83,37.048
1990,84,32.885
1990,85,28.544
1990,86,24.144
1990,87,20.109
1990,88,16.606
1990,89,13.553
1990,90,10.655
1990,91,7.930
1990,92,5.708
1990,93,4.110
1990,94,2.996
1990,95,2.070
1990,96,1.356
1990,97,0.832
1990,98,0.442
1990,99,0.173
1990,100,0.394
1991,0,116.804
1991,1,117.255
1991,2,118.756
1991,3,119.815
1991,4,120.501
1991,5,120.882
1991,6,121.037
1991,7,121.046
1991,8,120.906
1991,9,120.652
1991,10,120.395
1991,11,120.183
1991,12,119.967
1991,13,120.366
1991,14,121.678
1991,15,123.656
1991,16,125.720
1991,17,127.937
1991,18,130.435
1991,19,133.199
1991,20,136.179
1991,21,139.159
1991,22,141.977
1991,23,145.282
1991,24,149.314
1991,25,153.625
1991,26,157.641
1991,27,161.598
1991,28,164.088
1991,29,164.391
1991,30,163.156
1991,31,161.898
1991,32,160.476
1991,33,158.542
1991,34,156.128
1991,35,153.442
1991,36,150.321
1991,37,146.383
1991,38,144.140
1991,39,144.692
1991,40,146.735
1991,41,148.418
1991,42,150.784
1991,43,149.457
1991,44,142.292
1991,45,131.649
1991,46,121.774
1991,47,111.487
1991,48,104.602
1991,49,103.335
1991,50,105.758
1991,51,107.609
1991,52,109.615
1991,53,111.507
1991,54,112.684
1991,55,113.369
1991,56,114.509
1991,57,116.050
1991,58,116.614
1991,59,115.644
1991,60,113.707
1991,61,111.491
1991,62,108.363
1991,63,106.883
1991,64,108.245
1991,65,110.960
1991,66,113.145
1991,67,116.138
1991,68,113.973
1991,69,103.793
1991,70,88.835
1991,71,74.595
1991,72,59.273
1991,73,49.366
1991,74,48.438
1991,75,53.139
1991,76,56.725
1991,77,60.747
1991,78,62.229
1991,79,59.076
1991,80,52.968
1991,81,47.745
1991,82,42.707
1991,83,37.828
1991,84,33.493
1991,85,29.546
1991,86,25.440
1991,87,21.293
1991,88,17.545
1991,89,14.367
1991,90,11.658
1991,91,9.106
1991,92,6.735
1991,93,4.813
1991,94,3.430
1991,95,2.467
1991,96,1.462
1991,97,0.891
1991,98,0.474
1991,99,0.197
1991,100,0.417
1992,0,118.383
1992,1,119.731
1992,2,118.539
1992,3,119.679
1992,4,120.475
1992,5,120.979
1992,6,121.245
1992,7,121.354
1992,8,121.387
1992,9,121.256
1992,10,120.950
1992,11,120.612
1992,12,120.356
1992,13,120.117
1992,14,120.530
1992,15,121.907
1992,16,123.983
1992,17,126.141
1992,18,128.457
1992,19,131.043
1992,20,133.875
1992,21,136.905
1992,22,139.935
1992,23,142.801
1992,24,146.120
1992,25,150.107
1992,26,154.339
1992,27,158.271
1992,28,162.140
1992,29,164.543
1992,30,164.769
1992,31,163.467
1992,32,162.134
1992,33,160.634
1992,34,158.635
1992,35,156.178
1992,36,153.464
1992,37,150.312
1992,38,146.350
1992,39,144.076
1992,40,144.586
1992,41,146.579
1992,42,148.217
1992,43,150.535
1992,44,149.170
1992,45,141.980
1992,46,131.318
1992,47,121.421
1992,48,111.113
1992,49,104.197
1992,50,102.892
1992,51,105.265
1992,52,107.066
1992,53,109.017
1992,54,110.849
1992,55,111.960
1992,56,112.573
1992,57,113.633
1992,58,115.085
1992,59,115.560
1992,60,114.507
1992,61,112.483
1992,62,110.186
1992,63,106.990
1992,64,105.382
1992,65,106.516
1992,66,108.950
1992,67,110.862
1992,68,113.546
1992,69,111.225
1992,70,101.133
1992,71,86.406
1992,72,72.372
1992,73,57.294
1992,74,47.447
1992,75,46.279
1992,76,50.556
1992,77,53.767
1992,78,57.419
1992,79,58.620
1992,80,55.341
1992,81,49.220
1992,82,43.979
1992,83,38.938
1992,84,34.125
1992,85,29.941
1992,86,26.209
1992,87,22.337
1992,88,18.443
1992,89,14.983
1992,90,12.128
1992,91,9.763
1992,92,7.557
1992,93,5.540
1992,94,3.918
1992,95,2.750
1992,96,1.940
1992,97,0.965
1992,98,0.525
1992,99,0.228
1992,100,0.440
1993,0,120.085
1993,1,120.873
1993,2,121.410
1993,3,119.810
1993,4,120.591
1993,5,121.122
1993,6,121.443
1993,7,121.595
1993,8,121.658
1993,9,121.717
1993,10,121.592
1993,11,121.235
1993,12,120.815
1993,13,120.518
1993,14,120.255
1993,15,120.681
1993,16,122.122
1993,17,124.296
1993,18,126.549
1993,19,128.965
1993,20,131.637
1993,21,134.537
1993,22,137.616
1993,23,140.696
1993,24,143.612
1993,25,146.940
1993,26,150.886
1993,27,155.035
1993,28,158.886
1993,29,162.665
1993,30,164.979
1993,31,165.131
1993,32,163.760
1993,33,162.353
1993,34,160.775
1993,35,158.711
1993,36,156.211
1993,37,153.469
1993,38,150.289
1993,39,146.301
1993,40,143.996
1993,41,144.464
1993,42,146.408
1993,43,147.999
1993,44,150.270
1993,45,148.868
1993,46,141.651
1993,47,130.973
1993,48,121.056
1993,49,110.726
1993,50,103.781
1993,51,102.437
1993,52,104.760
1993,53,106.511
1993,54,108.407
1993,55,110.179
1993,56,111.224
1993,57,111.765
1993,58,112.745
1993,59,114.107
1993,60,114.492
1993,61,113.357
1993,62,111.248
1993,63,108.866
1993,64,105.606
1993,65,103.869
1993,66,104.774
1993,67,106.929
1993,68,108.565
1993,69,110.941
1993,70,108.464
1993,71,98.460
1993,72,83.966
1993,73,70.142
1993,74,55.307
1993,75,45.521
1993,76,44.115
1993,77,47.966
1993,78,50.803
1993,79,54.083
1993,80,55.003
1993,81,51.598
1993,82,45.464
1993,83,40.208
1993,84,35.163
1993,85,30.416
1993,86,26.383
1993,87,22.867
1993,88,19.231
1993,89,15.589
1993,90,12.418
1993,91,9.887
1993,92,7.866
1993,93,6.007
1993,94,4.345
1993,95,3.022
1993,96,2.069
1993,97,1.411
1993,98,0.583
1993,99,0.269
1993,100,0.468
1994,0,121.017
1994,1,121.463
1994,2,121.771
1994,3,121.963
1994,4,121.045
1994,5,121.464
1994,6,121.732
1994,7,121.870
1994,8,121.906
1994,9,121.925
1994,10,122.008
1994,11,121.891
1994,12,121.482
1994,13,120.981
1994,14,120.641
1994,15,120.355
1994,16,120.794
1994,17,122.300
1994,18,124.570
1994,19,126.918
1994,20,129.431
1994,21,132.190
1994,22,135.157
1994,23,138.286
1994,24,141.413
1994,25,144.377
1994,26,147.716
1994,27,151.616
1994,28,155.684
1994,29,159.451
1994,30,163.138
1994,31,165.366
1994,32,165.439
1994,33,164.003
1994,34,162.522
1994,35,160.864
1994,36,158.738
1994,37,156.196
1994,38,153.425
1994,39,150.219
1994,40,146.206
1994,41,143.872
1994,42,144.297
1994,43,146.190
1994,44,147.736
1994,45,149.958
1994,46,148.518
1994,47,141.279
1994,48,130.587
1994,49,120.653
1994,50,110.304
1994,51,103.334
1994,52,101.949
1994,53,104.223
1994,54,105.923
1994,55,107.763
1994,56,109.475
1994,57,110.452
1994,58,110.921
1994,59,111.822
1994,60,113.093
1994,61,113.390
1994,62,112.170
1994,63,109.978
1994,64,107.514
1994,65,104.189
1994,66,102.322
1994,67,103.000
1994,68,104.874
1994,69,106.234
1994,70,108.300
1994,71,105.669
1994,72,95.758
1994,73,81.499
1994,74,67.889
1994,75,53.303
1994,76,43.582
1994,77,41.935
1994,78,45.361
1994,79,47.823
1994,80,50.730
1994,81,51.369
1994,82,47.838
1994,83,41.694
1994,84,36.423
1994,85,31.376
1994,86,26.698
1994,87,22.817
1994,88,19.519
1994,89,16.118
1994,90,12.730
1994,91,9.848
1994,92,7.643
1994,93,5.967
1994,94,4.455
1994,95,3.147
1994,96,2.125
1994,97,1.389
1994,98,0.882
1994,99,0.311
1994,100,0.500
1995,0,120.596
1995,1,121.137
1995,2,121.561
1995,3,121.873
1995,4,122.090
1995,5,122.225
1995,6,122.285
1995,7,122.288
1995,8,122.244
1995,9,122.165
1995,10,122.138
1995,11,122.245
1995,12,122.137
1995,13,121.676
1995,14,121.094
1995,15,120.712
1995,16,120.403
1995,17,120.855
1995,18,122.424
1995,19,124.790
1995,20,127.232
1995,21,129.841
1995,22,132.685
1995,23,135.718
1995,24,138.894
1995,25,142.068
1995,26,145.079
1995,27,148.427
1995,28,152.281
1995,29,156.264
1995,30,159.946
1995,31,163.541
1995,32,165.679
1995,33,165.677
1995,34,164.173
1995,35,162.620
1995,36,160.885
1995,37,158.695
1995,38,156.113
1995,39,153.315
1995,40,150.083
1995,41,146.048
1995,42,143.685
1995,43,144.067
1995,44,145.910
1995,45,147.408
1995,46,149.582
1995,47,148.104
1995,48,140.845
1995,49,130.145
1995,50,120.197
1995,51,109.835
1995,52,102.841
1995,53,101.418
1995,54,103.641
1995,55,105.289
1995,56,107.073
1995,57,108.723
1995,58,109.634
1995,59,110.030
1995,60,110.850
1995,61,112.031
1995,62,112.238
1995,63,110.937
1995,64,108.661
1995,65,106.115
1995,66,102.727
1995,67,100.733
1995,68,101.182
1995,69,102.774
1995,70,103.859
1995,71,105.615
1995,72,102.829
1995,73,93.015
1995,74,79.000
1995,75,65.607
1995,76,51.277
1995,77,41.625
1995,78,39.740
1995,79,42.738
1995,80,44.823
1995,81,47.358
1995,82,47.714
1995,83,44.061
1995,84,37.908
1995,85,32.625
