year,age,population
1990,0,6.163
1990,1,6.154
1990,2,6.110
1990,3,6.037
1990,4,5.935
1990,5,5.815
1990,6,5.675
1990,7,5.521
1990,8,5.358
1990,9,5.191
1990,10,5.015
1990,11,4.829
1990,12,4.670
1990,13,4.560
1990,14,4.477
1990,15,4.392
1990,16,4.313
1990,17,4.219
1990,18,4.101
1990,19,3.967
1990,20,3.837
1990,21,3.698
1990,22,3.588
1990,23,3.516
1990,24,3.471
1990,25,3.417
1990,26,3.372
1990,27,3.272
1990,28,3.086
1990,29,2.845
1990,30,2.616
1990,31,2.381
1990,32,2.186
1990,33,2.063
1990,34,1.986
1990,35,1.903
1990,36,1.826
1990,37,1.742
1990,38,1.641
1990,39,1.534
1990,40,1.436
1990,41,1.348
1990,42,1.265
1990,43,1.183
1990,44,1.107
1990,45,1.037
1990,46,0.969
1990,47,0.922
1990,48,0.905
1990,49,0.912
1990,50,0.916
1990,51,0.928
1990,52,0.929
1990,53,0.911
1990,54,0.882
1990,55,0.854
1990,56,0.826
1990,57,0.804
1990,58,0.791
1990,59,0.781
1990,60,0.769
1990,61,0.760
1990,62,0.737
1990,63,0.701
1990,64,0.650
1990,65,0.604
1990,66,0.553
1990,67,0.514
1990,68,0.487
1990,69,0.469
1990,70,0.450
1990,71,0.432
1990,72,0.411
1990,73,0.388
1990,74,0.361
1990,75,0.337
1990,76,0.313
1990,77,0.289
1990,78,0.273
1990,79,0.255
1990,80,0.239
1990,81,0.224
1990,82,0.205
1990,83,0.179
1990,84,0.150
1990,85,0.122
1990,86,0.093
1990,87,0.072
1990,88,0.058
1990,89,0.053
1990,90,0.046
1990,91,0.044
1990,92,0.037
1990,93,0.030
1990,94,0.023
1990,95,0.015
1990,96,0.008
1990,97,0.005
1990,98,0.003
1990,99,0.001
1990,100,0.004
1991,0,6.187
1991,1,6.101
1991,2,6.083
1991,3,6.041
1991,4,5.977
1991,5,5.891
1991,6,5.792
1991,7,5.680
1991,8,5.542
1991,9,5.372
1991,10,5.183
1991,11,4.988
1991,12,4.785
1991,13,4.607
1991,14,4.482
1991,15,4.385
1991,16,4.286
1991,17,4.194
1991,18,4.089
1991,19,3.962
1991,20,3.823
1991,21,3.689
1991,22,3.545
1991,23,3.441
1991,24,3.390
1991,25,3.375
1991,26,3.350
1991,27,3.336
1991,28,3.260
1991,29,3.082
1991,30,2.841
1991,31,2.612
1991,32,2.377
1991,33,2.182
1991,34,2.060
1991,35,1.983
1991,36,1.902
1991,37,1.822
1991,38,1.738
1991,39,1.638
1991,40,1.534
1991,41,1.439
1991,42,1.353
1991,43,1.270
1991,44,1.188
1991,45,1.111
1991,46,1.039
1991,47,0.969
1991,48,0.920
1991,49,0.902
1991,50,0.908
1991,51,0.911
1991,52,0.922
1991,53,0.922
1991,54,0.900
1991,55,0.867
1991,56,0.835
1991,57,0.803
1991,58,0.779
1991,59,0.769
1991,60,0.764
1991,61,0.757
1991,62,0.753
1991,63,0.733
1991,64,0.697
1991,65,0.644
1991,66,0.597
1991,67,0.544
1991,68,0.502
1991,69,0.473
1991,70,0.452
1991,71,0.430
1991,72,0.408
1991,73,0.386
1991,74,0.365
1991,75,0.344
1991,76,0.325
1991,77,0.307
1991,78,0.286
1991,79,0.268
1991,80,0.245
1991,81,0.224
1991,82,0.205
1991,83,0.184
1991,84,0.159
1991,85,0.133
1991,86,0.107
1991,87,0.083
1991,88,0.063
1991,89,0.051
1991,90,0.046
1991,91,0.039
1991,92,0.037
1991,93,0.032
1991,94,0.026
1991,95,0.019
1991,96,0.009
1991,97,0.006
1991,98,0.004
1991,99,0.002
1991,100,0.004
1992,0,6.255
1992,1,6.171
1992,2,6.025
1992,3,5.998
1992,4,5.957
1992,5,5.903
1992,6,5.833
1992,7,5.754
1992,8,5.672
1992,9,5.550
1992,10,5.373
1992,11,5.162
1992,12,4.949
1992,13,4.728
1992,14,4.534
1992,15,4.393
1992,16,4.283
1992,17,4.171
1992,18,4.064
1992,19,3.950
1992,20,3.814
1992,21,3.670
1992,22,3.532
1992,23,3.385
1992,24,3.286
1992,25,3.257
1992,26,3.270
1992,27,3.276
1992,28,3.293
1992,29,3.240
1992,30,3.071
1992,31,2.829
1992,32,2.602
1992,33,2.367
1992,34,2.172
1992,35,2.052
1992,36,1.977
1992,37,1.894
1992,38,1.814
1992,39,1.730
1992,40,1.632
1992,41,1.530
1992,42,1.438
1992,43,1.354
1992,44,1.273
1992,45,1.190
1992,46,1.112
1992,47,1.038
1992,48,0.967
1992,49,0.916
1992,50,0.897
1992,51,0.901
1992,52,0.904
1992,53,0.915
1992,54,0.911
1992,55,0.888
1992,56,0.849
1992,57,0.815
1992,58,0.778
1992,59,0.752
1992,60,0.745
1992,61,0.745
1992,62,0.744
1992,63,0.744
1992,64,0.728
1992,65,0.692
1992,66,0.636
1992,67,0.587
1992,68,0.534
1992,69,0.490
1992,70,0.458
1992,71,0.434
1992,72,0.409
1992,73,0.382
1992,74,0.360
1992,75,0.342
1992,76,0.326
1992,77,0.313
1992,78,0.300
1992,79,0.282
1992,80,0.262
1992,81,0.234
1992,82,0.210
1992,83,0.186
1992,84,0.162
1992,85,0.138
1992,86,0.115
1992,87,0.094
1992,88,0.071
1992,89,0.054
1992,90,0.044
1992,91,0.038
1992,92,0.033
1992,93,0.031
1992,94,0.027
1992,95,0.020
1992,96,0.016
1992,97,0.007
1992,98,0.004
1992,99,0.004
1992,100,0.004
1993,0,6.370
1993,1,6.203
1993,2,6.061
1993,3,5.953
1993,4,5.917
1993,5,5.877
1993,6,5.834
1993,7,5.778
1993,8,5.720
1993,9,5.668
1993,10,5.560
1993,11,5.377
1993,12,5.145
1993,13,4.914
1993,14,4.674
1993,15,4.464
1993,16,4.308
1993,17,4.184
1993,18,4.058
1993,19,3.939
1993,20,3.813
1993,21,3.670
1993,22,3.520
1993,23,3.379
1993,24,3.227
1993,25,3.133
1993,26,3.127
1993,27,3.169
1993,28,3.203
1993,29,3.252
1993,30,3.223
1993,31,3.061
1993,32,2.819
1993,33,2.594
1993,34,2.358
1993,35,2.165
1993,36,2.045
1993,37,1.971
1993,38,1.889
1993,39,1.807
1993,40,1.722
1993,41,1.627
1993,42,1.527
1993,43,1.438
1993,44,1.356
1993,45,1.277
1993,46,1.193
1993,47,1.114
1993,48,1.038
1993,49,0.964
1993,50,0.912
1993,51,0.893
1993,52,0.896
1993,53,0.897
1993,54,0.907
1993,55,0.903
1993,56,0.875
1993,57,0.833
1993,58,0.794
1993,59,0.754
1993,60,0.726
1993,61,0.721
1993,62,0.727
1993,63,0.731
1993,64,0.736
1993,65,0.723
1993,66,0.687
1993,67,0.629
1993,68,0.578
1993,69,0.524
1993,70,0.478
1993,71,0.444
1993,72,0.416
1993,73,0.388
1993,74,0.358
1993,75,0.333
1993,76,0.319
1993,77,0.309
1993,78,0.300
1993,79,0.294
1993,80,0.279
1993,81,0.256
1993,82,0.223
1993,83,0.196
1993,84,0.166
1993,85,0.141
1993,86,0.118
1993,87,0.098
1993,88,0.079
1993,89,0.060
1993,90,0.046
1993,91,0.037
1993,92,0.031
1993,93,0.026
1993,94,0.025
1993,95,0.021
1993,96,0.016
1993,97,0.012
1993,98,0.006
1993,99,0.004
1993,100,0.005
1994,0,6.539
1994,1,6.294
1994,2,6.104
1994,3,5.957
1994,4,5.905
1994,5,5.859
1994,6,5.822
1994,7,5.787
1994,8,5.747
1994,9,5.710
1994,10,5.685
1994,11,5.594
1994,12,5.402
1994,13,5.147
1994,14,4.898
1994,15,4.641
1994,16,4.412
1994,17,4.239
1994,18,4.102
1994,19,3.962
1994,20,3.828
1994,21,3.693
1994,22,3.540
1994,23,3.385
1994,24,3.239
1994,25,3.083
1994,26,2.994
1994,27,3.009
1994,28,3.080
1994,29,3.144
1994,30,3.224
1994,31,3.217
1994,32,3.064
1994,33,2.821
1994,34,2.596
1994,35,2.359
1994,36,2.166
1994,37,2.045
1994,38,1.973
1994,39,1.892
1994,40,1.807
1994,41,1.722
1994,42,1.627
1994,43,1.531
1994,44,1.443
1994,45,1.365
1994,46,1.285
1994,47,1.200
1994,48,1.121
1994,49,1.041
1994,50,0.967
1994,51,0.912
1994,52,0.892
1994,53,0.893
1994,54,0.894
1994,55,0.904
1994,56,0.897
1994,57,0.867
1994,58,0.819
1994,59,0.777
1994,60,0.733
1994,61,0.703
1994,62,0.701
1994,63,0.712
1994,64,0.720
1994,65,0.730
1994,66,0.723
1994,67,0.684
1994,68,0.624
1994,69,0.572
1994,70,0.516
1994,71,0.468
1994,72,0.431
1994,73,0.400
1994,74,0.369
1994,75,0.334
1994,76,0.309
1994,77,0.298
1994,78,0.292
1994,79,0.289
1994,80,0.288
1994,81,0.277
1994,82,0.252
1994,83,0.213
1994,84,0.182
1994,85,0.148
1994,86,0.120
1994,87,0.098
1994,88,0.082
1994,89,0.064
1994,90,0.050
1994,91,0.037
1994,92,0.030
1994,93,0.024
1994,94,0.020
1994,95,0.018
1994,96,0.016
1994,97,0.011
1994,98,0.009
1994,99,0.004
1994,100,0.005
1995,0,6.745
1995,1,6.466
1995,2,6.249
1995,3,6.086
1995,4,5.967
1995,5,5.885
1995,6,5.831
1995,7,5.794
1995,8,5.769
1995,9,5.744
1995,10,5.727
1995,11,5.731
1995,12,5.655
1995,13,5.455
1995,14,5.176
1995,15,4.906
1995,16,4.629
1995,17,4.381
1995,18,4.192
1995,19,4.040
1995,20,3.884
1995,21,3.737
1995,22,3.589
1995,23,3.427
1995,24,3.266
1995,25,3.114
1995,26,2.953
1995,27,2.868
1995,28,2.905
1995,29,3.006
1995,30,3.100
1995,31,3.212
1995,32,3.228
1995,33,3.082
1995,34,2.837
1995,35,2.610
1995,36,2.372
1995,37,2.177
1995,38,2.057
1995,39,1.985
1995,40,1.903
1995,41,1.816
1995,42,1.730
1995,43,1.637
1995,44,1.542
1995,45,1.456
1995,46,1.379
1995,47,1.300
1995,48,1.214
1995,49,1.132
1995,50,1.051
1995,51,0.973
1995,52,0.917
1995,53,0.896
1995,54,0.895
1995,55,0.895
1995,56,0.905
1995,57,0.896
1995,58,0.862
1995,59,0.810
1995,60,0.764
1995,61,0.715
1995,62,0.683
1995,63,0.684
1995,64,0.700
1995,65,0.714
1995,66,0.728
1995,67,0.724
1995,68,0.685
1995,69,0.623
1995,70,0.568
1995,71,0.511
1995,72,0.460
1995,73,0.420
1995,74,0.386
1995,75,0.352
1995,76,0.312
1995,77,0.286
1995,78,0.277
1995,79,0.278
1995,80,0.279
1995,81,0.284
1995,82,0.276
1995,83,0.248
1995,84,0.205
1995,85,0.169
1995,86,0.130
1995,87,0.099
1995,88,0.079
1995,89,0.065
1995,90,0.051
1995,91,0.039
1995,92,0.029
1995,93,0.023
1995,94,0.017
1995,95,0.013
1995,96,0.012
1995,97,0.011
1995,98,0.007
1995,99,0.005
1995,100,0.005
1996,0,6.894
1996,1,6.799
1996,2,6.546
1996,3,6.337
1996,4,6.170
1996,5,6.038
1996,6,5.931
1996,7,5.845
1996,8,5.781
1996,9,5.743
1996,10,5.712
1996,11,5.689
1996,12,5.684
1996,13,5.606
1996,14,5.413
1996,15,5.147
1996,16,4.890
1996,17,4.628
1996,18,4.398
1996,19,4.232
1996,20,4.106
1996,21,3.975
1996,22,3.853
1996,23,3.720
1996,24,3.563
1996,25,3.397
1996,26,3.240
1996,27,3.076
1996,28,2.975
1996,29,2.981
1996,30,3.041
1996,31,3.095
1996,32,3.164
1996,33,3.153
1996,34,3.006
1996,35,2.778
1996,36,2.564
1996,37,2.342
1996,38,2.158
1996,39,2.039
1996,40,1.960
1996,41,1.875
1996,42,1.786
1996,43,1.698
1996,44,1.607
1996,45,1.514
1996,46,1.429
1996,47,1.354
1996,48,1.276
1996,49,1.192
1996,50,1.112
1996,51,1.033
