year,age,population
1990,0,204.476
1990,1,194.410
1990,2,185.157
1990,3,176.659
1990,4,168.859
1990,5,161.694
1990,6,155.109
1990,7,149.042
1990,8,143.437
1990,9,138.232
1990,10,133.424
1990,11,129.005
1990,12,124.650
1990,13,120.196
1990,14,115.739
1990,15,111.537
1990,16,107.522
1990,17,103.675
1990,18,100.004
1990,19,96.482
1990,20,93.070
1990,21,89.774
1990,22,86.527
1990,23,83.288
1990,24,80.083
1990,25,76.987
1990,26,73.994
1990,27,71.049
1990,28,68.122
1990,29,65.252
1990,30,62.477
1990,31,59.788
1990,32,57.251
1990,33,54.905
1990,34,52.716
1990,35,50.632
1990,36,48.683
1990,37,46.779
1990,38,44.872
1990,39,43.022
1990,40,41.261
1990,41,39.505
1990,42,38.157
1990,43,37.404
1990,44,37.009
1990,45,36.611
1990,46,36.333
1990,47,35.636
1990,48,34.227
1990,49,32.376
1990,50,30.637
1990,51,28.893
1990,52,27.334
1990,53,26.107
1990,54,25.105
1990,55,24.067
1990,56,23.040
1990,57,22.058
1990,58,21.117
1990,59,20.212
1990,60,19.347
1990,61,18.512
1990,62,17.716
1990,63,16.962
1990,64,16.237
1990,65,15.523
1990,66,14.827
1990,67,14.103
1990,68,13.328
1990,69,12.520
1990,70,11.723
1990,71,10.942
1990,72,10.127
1990,73,9.270
1990,74,8.390
1990,75,7.530
1990,76,6.690
1990,77,5.878
1990,78,5.112
1990,79,4.387
1990,80,3.694
1990,81,3.034
1990,82,2.450
1990,83,1.961
1990,84,1.553
1990,85,1.181
1990,86,0.850
1990,87,0.586
1990,88,0.400
1990,89,0.277
1990,90,0.185
1990,91,0.128
1990,92,0.086
1990,93,0.048
1990,94,0.012
1990,95,0.010
1990,96,0.008
1990,97,0.007
1990,98,0.004
1990,99,0.003
1990,100,0.001
1991,0,210.731
1991,1,201.470
1991,2,191.931
1991,3,183.144
1991,4,175.057
1991,5,167.612
1991,6,160.757
1991,7,154.445
1991,8,148.579
1991,9,143.087
1991,10,137.933
1991,11,133.153
1991,12,128.728
1991,13,124.392
1991,14,120.012
1991,15,115.661
1991,16,111.543
1991,17,107.598
1991,18,103.813
1991,19,100.196
1991,20,96.718
1991,21,93.346
1991,22,90.086
1991,23,86.862
1991,24,83.624
1991,25,80.409
1991,26,77.298
1991,27,74.285
1991,28,71.316
1991,29,68.366
1991,30,65.469
1991,31,62.664
1991,32,59.944
1991,33,57.374
1991,34,55.001
1991,35,52.786
1991,36,50.674
1991,37,48.698
1991,38,46.768
1991,39,44.841
1991,40,42.973
1991,41,41.193
1991,42,39.421
1991,43,38.053
1991,44,37.275
1991,45,36.851
1991,46,36.426
1991,47,36.120
1991,48,35.400
1991,49,33.976
1991,50,32.115
1991,51,30.365
1991,52,28.610
1991,53,27.039
1991,54,25.797
1991,55,24.777
1991,56,23.721
1991,57,22.677
1991,58,21.676
1991,59,20.715
1991,60,19.789
1991,61,18.903
1991,62,18.046
1991,63,17.227
1991,64,16.446
1991,65,15.692
1991,66,14.952
1991,67,14.231
1991,68,13.484
1991,69,12.683
1991,70,11.853
1991,71,11.038
1991,72,10.241
1991,73,9.419
1991,74,8.569
1991,75,7.704
1991,76,6.863
1991,77,6.045
1991,78,5.267
1991,79,4.544
1991,80,3.873
1991,81,3.236
1991,82,2.633
1991,83,2.105
1991,84,1.670
1991,85,1.313
1991,86,0.993
1991,87,0.712
1991,88,0.489
1991,89,0.331
1991,90,0.224
1991,91,0.151
1991,92,0.105
1991,93,0.070
1991,94,0.040
1991,95,0.010
1991,96,0.008
1991,97,0.007
1991,98,0.006
1991,99,0.001
1991,100,0.001
1992,0,217.742
1992,1,207.203
1992,2,198.911
1992,3,189.876
1992,4,181.536
1992,5,173.842
1992,6,166.734
1992,7,160.174
1992,8,154.122
1992,9,148.443
1992,10,143.052
1992,11,137.938
1992,12,133.174
1992,13,128.735
1992,14,124.407
1992,15,120.092
1992,16,115.838
1992,17,111.794
1992,18,107.909
1992,19,104.181
1992,20,100.607
1992,21,97.167
1992,22,93.826
1992,23,90.597
1992,24,87.386
1992,25,84.145
1992,26,80.911
1992,27,77.777
1992,28,74.740
1992,29,71.740
1992,30,68.758
1992,31,65.830
1992,32,62.990
1992,33,60.230
1992,34,57.624
1992,35,55.217
1992,36,52.972
1992,37,50.829
1992,38,48.819
1992,39,46.861
1992,40,44.908
1992,41,43.017
1992,42,41.216
1992,43,39.424
1992,44,38.033
1992,45,37.228
1992,46,36.775
1992,47,36.320
1992,48,35.986
1992,49,35.243
1992,50,33.800
1992,51,31.925
1992,52,30.160
1992,53,28.391
1992,54,26.804
1992,55,25.543
1992,56,24.504
1992,57,23.428
1992,58,22.363
1992,59,21.343
1992,60,20.359
1992,61,19.410
1992,62,18.500
1992,63,17.621
1992,64,16.776
1992,65,15.967
1992,66,15.183
1992,67,14.414
1992,68,13.667
1992,69,12.894
1992,70,12.068
1992,71,11.213
1992,72,10.377
1992,73,9.563
1992,74,8.734
1992,75,7.886
1992,76,7.036
1992,77,6.213
1992,78,5.414
1992,79,4.667
1992,80,3.987
1992,81,3.369
1992,82,2.786
1992,83,2.237
1992,84,1.764
1992,85,1.384
1992,86,1.076
1992,87,0.807
1992,88,0.576
1992,89,0.393
1992,90,0.263
1992,91,0.173
1992,92,0.117
1992,93,0.081
1992,94,0.055
1992,95,0.032
1992,96,0.008
1992,97,0.008
1992,98,0.005
1992,99,0.002
1992,100,0.001
1993,0,225.049
1993,1,214.277
1993,2,204.336
1993,3,196.509
1993,4,187.971
1993,5,180.073
1993,6,172.766
1993,7,165.990
1993,8,159.719
1993,9,153.923
1993,10,148.428
1993,11,143.133
1993,12,138.055
1993,13,133.304
1993,14,128.846
1993,15,124.524
1993,16,120.269
1993,17,116.110
1993,18,112.136
1993,19,108.309
1993,20,104.633
1993,21,101.101
1993,22,97.695
1993,23,94.384
1993,24,91.182
1993,25,87.982
1993,26,84.735
1993,27,81.480
1993,28,78.321
1993,29,75.255
1993,30,72.223
1993,31,69.209
1993,32,66.244
1993,33,63.367
1993,34,60.566
1993,35,57.922
1993,36,55.478
1993,37,53.201
1993,38,51.024
1993,39,48.981
1993,40,46.991
1993,41,45.012
1993,42,43.098
1993,43,41.273
1993,44,39.458
1993,45,38.044
1993,46,37.210
1993,47,36.728
1993,48,36.245
1993,49,35.882
1993,50,35.113
1993,51,33.651
1993,52,31.760
1993,53,29.980
1993,54,28.194
1993,55,26.590
1993,56,25.310
1993,57,24.250
1993,58,23.153
1993,59,22.068
1993,60,21.027
1993,61,20.018
1993,62,19.047
1993,63,18.111
1993,64,17.209
1993,65,16.338
1993,66,15.500
1993,67,14.685
1993,68,13.887
1993,69,13.113
1993,70,12.314
1993,71,11.461
1993,72,10.581
1993,73,9.724
1993,74,8.891
1993,75,8.054
1993,76,7.209
1993,77,6.373
1993,78,5.566
1993,79,4.786
1993,80,4.070
1993,81,3.432
1993,82,2.866
1993,83,2.337
1993,84,1.843
1993,85,1.425
1993,86,1.098
1993,87,0.840
1993,88,0.621
1993,89,0.439
1993,90,0.298
1993,91,0.195
1993,92,0.121
1993,93,0.083
1993,94,0.059
1993,95,0.040
1993,96,0.022
1993,97,0.007
1993,98,0.006
1993,99,0.003
1993,100,0.001
1994,0,232.057
1994,1,221.148
1994,2,211.054
1994,3,201.721
1994,4,193.967
1994,5,185.933
1994,6,178.483
1994,7,171.569
1994,8,165.130
1994,9,159.155
1994,10,153.618
1994,11,148.310
1994,12,143.116
1994,13,138.078
1994,14,133.342
1994,15,128.869
1994,16,124.555
1994,17,120.365
1994,18,116.302
1994,19,112.401
1994,20,108.637
1994,21,105.013
1994,22,101.527
1994,23,98.157
1994,24,94.879
1994,25,91.704
1994,26,88.520
1994,27,85.267
1994,28,81.994
1994,29,78.813
1994,30,75.721
1994,31,72.657
1994,32,69.612
1994,33,66.614
1994,34,63.702
1994,35,60.861
1994,36,58.179
1994,37,55.703
1994,38,53.393
1994,39,51.186
1994,40,49.109
1994,41,47.090
1994,42,45.085
1994,43,43.148
1994,44,41.301
1994,45,39.466
1994,46,38.029
1994,47,37.167
1994,48,36.656
1994,49,36.144
1994,50,35.753
1994,51,34.959
1994,52,33.479
1994,53,31.573
1994,54,29.778
1994,55,27.977
1994,56,26.358
1994,57,25.059
1994,58,23.979
1994,59,22.862
1994,60,21.757
1994,61,20.695
1994,62,19.663
1994,63,18.670
1994,64,17.709
1994,65,16.785
1994,66,15.888
1994,67,15.021
1994,68,14.175
1994,69,13.350
1994,70,12.549
1994,71,11.724
1994,72,10.845
