year,age,population
1990,0,19.483
1990,1,18.652
1990,2,17.912
1990,3,17.257
1990,4,16.677
1990,5,16.158
1990,6,15.690
1990,7,15.267
1990,8,14.873
1990,9,14.501
1990,10,14.157
1990,11,13.845
1990,12,13.473
1990,13,12.993
1990,14,12.446
1990,15,11.922
1990,16,11.407
1990,17,10.908
1990,18,10.444
1990,19,10.008
1990,20,9.576
1990,21,9.154
1990,22,8.766
1990,23,8.420
1990,24,8.109
1990,25,7.814
1990,26,7.533
1990,27,7.283
1990,28,7.069
1990,29,6.882
1990,30,6.711
1990,31,6.568
1990,32,6.404
1990,33,6.203
1990,34,5.984
1990,35,5.778
1990,36,5.567
1990,37,5.427
1990,38,5.395
1990,39,5.428
1990,40,5.451
1990,41,5.484
1990,42,5.451
1990,43,5.298
1990,44,5.074
1990,45,4.860
1990,46,4.642
1990,47,4.434
1990,48,4.254
1990,49,4.090
1990,50,3.915
1990,51,3.738
1990,52,3.568
1990,53,3.408
1990,54,3.259
1990,55,3.108
1990,56,2.963
1990,57,2.816
1990,58,2.669
1990,59,2.521
1990,60,2.376
1990,61,2.237
1990,62,2.096
1990,63,1.958
1990,64,1.824
1990,65,1.689
1990,66,1.562
1990,67,1.437
1990,68,1.320
1990,69,1.209
1990,70,1.099
1990,71,0.998
1990,72,0.899
1990,73,0.808
1990,74,0.720
1990,75,0.638
1990,76,0.561
1990,77,0.491
1990,78,0.426
1990,79,0.368
1990,80,0.312
1990,81,0.264
1990,82,0.220
1990,83,0.181
1990,84,0.150
1990,85,0.121
1990,86,0.096
1990,87,0.076
1990,88,0.058
1990,89,0.045
1990,90,0.034
1990,91,0.025
1990,92,0.019
1990,93,0.013
1990,94,0.009
1990,95,0.007
1990,96,0.005
1990,97,0.003
1990,98,0.002
1990,99,0.000
1990,100,0.002
1991,0,19.051
1991,1,18.873
1991,2,18.163
1991,3,17.504
1991,4,16.899
1991,5,16.342
1991,6,15.818
1991,7,15.323
1991,8,14.874
1991,9,14.471
1991,10,14.097
1991,11,13.742
1991,12,13.413
1991,13,13.027
1991,14,12.536
1991,15,11.986
1991,16,11.455
1991,17,10.932
1991,18,10.442
1991,19,10.015
1991,20,9.630
1991,21,9.249
1991,22,8.883
1991,23,8.530
1991,24,8.182
1991,25,7.848
1991,26,7.532
1991,27,7.227
1991,28,6.969
1991,29,6.773
1991,30,6.621
1991,31,6.480
1991,32,6.365
1991,33,6.218
1991,34,6.013
1991,35,5.776
1991,36,5.555
1991,37,5.330
1991,38,5.173
1991,39,5.120
1991,40,5.130
1991,41,5.130
1991,42,5.140
1991,43,5.097
1991,44,4.955
1991,45,4.755
1991,46,4.566
1991,47,4.374
1991,48,4.190
1991,49,4.023
1991,50,3.869
1991,51,3.706
1991,52,3.540
1991,53,3.383
1991,54,3.237
1991,55,3.101
1991,56,2.964
1991,57,2.832
1991,58,2.695
1991,59,2.553
1991,60,2.408
1991,61,2.264
1991,62,2.128
1991,63,1.988
1991,64,1.854
1991,65,1.723
1991,66,1.592
1991,67,1.468
1991,68,1.347
1991,69,1.233
1991,70,1.127
1991,71,1.021
1991,72,0.923
1991,73,0.830
1991,74,0.742
1991,75,0.659
1991,76,0.581
1991,77,0.509
1991,78,0.443
1991,79,0.382
1991,80,0.330
1991,81,0.278
1991,82,0.236
1991,83,0.195
1991,84,0.161
1991,85,0.132
1991,86,0.107
1991,87,0.084
1991,88,0.067
1991,89,0.050
1991,90,0.039
1991,91,0.030
1991,92,0.021
1991,93,0.016
1991,94,0.012
1991,95,0.007
1991,96,0.005
1991,97,0.003
1991,98,0.002
1991,99,0.002
1991,100,0.002
1992,0,18.065
1992,1,17.748
1992,2,18.135
1992,3,17.550
1992,4,16.979
1992,5,16.427
1992,6,15.895
1992,7,15.373
1992,8,14.852
1992,9,14.380
1992,10,13.970
1992,11,13.599
1992,12,13.234
1992,13,12.890
1992,14,12.492
1992,15,11.996
1992,16,11.444
1992,17,10.912
1992,18,10.383
1992,19,9.907
1992,20,9.517
1992,21,9.188
1992,22,8.859
1992,23,8.553
1992,24,8.235
1992,25,7.889
1992,26,7.533
1992,27,7.200
1992,28,6.873
1992,29,6.607
1992,30,6.432
1992,31,6.316
1992,32,6.204
1992,33,6.120
1992,34,5.990
1992,35,5.782
1992,36,5.529
1992,37,5.295
1992,38,5.057
1992,39,4.884
1992,40,4.810
1992,41,4.798
1992,42,4.776
1992,43,4.761
1992,44,4.708
1992,45,4.578
1992,46,4.405
1992,47,4.242
1992,48,4.077
1992,49,3.916
1992,50,3.767
1992,51,3.621
1992,52,3.472
1992,53,3.319
1992,54,3.174
1992,55,3.044
1992,56,2.923
1992,57,2.800
1992,58,2.682
1992,59,2.556
1992,60,2.420
1992,61,2.278
1992,62,2.138
1992,63,2.003
1992,64,1.868
1992,65,1.737
1992,66,1.611
1992,67,1.484
1992,68,1.365
1992,69,1.247
1992,70,1.138
1992,71,1.037
1992,72,0.936
1992,73,0.843
1992,74,0.754
1992,75,0.672
1992,76,0.594
1992,77,0.520
1992,78,0.453
1992,79,0.391
1992,80,0.337
1992,81,0.289
1992,82,0.243
1992,83,0.205
1992,84,0.170
1992,85,0.140
1992,86,0.114
1992,87,0.091
1992,88,0.072
1992,89,0.057
1992,90,0.043
1992,91,0.032
1992,92,0.025
1992,93,0.017
1992,94,0.014
1992,95,0.009
1992,96,0.006
1992,97,0.004
1992,98,0.003
1992,99,0.000
1992,100,0.002
1993,0,16.846
1993,1,16.893
1993,2,16.847
1993,3,17.373
1993,4,16.912
1993,5,16.428
1993,6,15.929
1993,7,15.424
1993,8,14.903
1993,9,14.359
1993,10,13.865
1993,11,13.450
1993,12,13.080
1993,13,12.708
1993,14,12.350
1993,15,11.940
1993,16,11.439
1993,17,10.886
1993,18,10.355
1993,19,9.821
1993,20,9.358
1993,21,9.008
1993,22,8.733
1993,23,8.458
1993,24,8.209
1993,25,7.929
1993,26,7.584
1993,27,7.209
1993,28,6.858
1993,29,6.509
1993,30,6.237
1993,31,6.083
1993,32,6.002
1993,33,5.921
1993,34,5.865
1993,35,5.754
1993,36,5.543
1993,37,5.274
1993,38,5.028
1993,39,4.778
1993,40,4.589
1993,41,4.494
1993,42,4.460
1993,43,4.417
1993,44,4.378
1993,45,4.314
1993,46,4.197
1993,47,4.051
1993,48,3.912
1993,49,3.776
1993,50,3.639
1993,51,3.505
1993,52,3.370
1993,53,3.234
1993,54,3.093
1993,55,2.964
1993,56,2.847
1993,57,2.741
1993,58,2.632
1993,59,2.528
1993,60,2.414
1993,61,2.284
1993,62,2.146
1993,63,2.009
1993,64,1.876
1993,65,1.745
1993,66,1.618
1993,67,1.497
1993,68,1.376
1993,69,1.259
1993,70,1.146
1993,71,1.043
1993,72,0.945
1993,73,0.851
1993,74,0.762
1993,75,0.678
1993,76,0.601
1993,77,0.527
1993,78,0.460
1993,79,0.396
1993,80,0.341
1993,81,0.290
1993,82,0.248
1993,83,0.209
1993,84,0.174
1993,85,0.144
1993,86,0.118
1993,87,0.096
1993,88,0.077
1993,89,0.059
1993,90,0.047
1993,91,0.035
1993,92,0.026
1993,93,0.020
1993,94,0.014
1993,95,0.010
1993,96,0.008
1993,97,0.004
1993,98,0.002
1993,99,0.001
1993,100,0.002
1994,0,15.798
1994,1,16.155
1994,2,16.351
1994,3,16.406
1994,4,16.699
1994,5,16.359
1994,6,15.960
1994,7,15.512
1994,8,15.031
1994,9,14.508
1994,10,13.939
1994,11,13.420
1994,12,12.997
1994,13,12.628
1994,14,12.246
1994,15,11.872
1994,16,11.450
1994,17,10.941
1994,18,10.386
1994,19,9.850
1994,20,9.310
1994,21,8.858
1994,22,8.546
1994,23,8.323
1994,24,8.100
1994,25,7.908
1994,26,7.663
1994,27,7.318
1994,28,6.921
1994,29,6.551
1994,30,6.180
1994,31,5.900
1994,32,5.764
1994,33,5.720
1994,34,5.668
1994,35,5.641
1994,36,5.546
1994,37,5.333
1994,38,5.046
1994,39,4.787
1994,40,4.523
1994,41,4.319
1994,42,4.203
1994,43,4.146
1994,44,4.080
1994,45,4.019
1994,46,3.944
1994,47,3.839
1994,48,3.718
1994,49,3.605
1994,50,3.494
1994,51,3.382
1994,52,3.261
1994,53,3.137
1994,54,3.013
1994,55,2.885
1994,56,2.767
1994,57,2.666
1994,58,2.573
1994,59,2.479
1994,60,2.388
