year,age,population
1990,0,218.774
1990,1,213.569
1990,2,208.735
1990,3,204.217
1990,4,199.961
1990,5,195.916
1990,6,192.030
1990,7,188.247
1990,8,184.514
1990,9,180.781
1990,10,177.103
1990,11,173.537
1990,12,169.482
1990,13,164.658
1990,14,159.349
1990,15,154.118
1990,16,148.870
1990,17,143.765
1990,18,138.949
1990,19,134.347
1990,20,129.756
1990,21,125.226
1990,22,120.846
1990,23,116.637
1990,24,112.603
1990,25,108.700
1990,26,104.925
1990,27,101.385
1990,28,98.119
1990,29,95.085
1990,30,92.116
1990,31,89.152
1990,32,86.547
1990,33,84.427
1990,34,82.578
1990,35,80.784
1990,36,79.241
1990,37,76.907
1990,38,73.292
1990,39,68.937
1990,40,64.766
1990,41,60.462
1990,42,57.137
1990,43,55.393
1990,44,54.647
1990,45,53.792
1990,46,53.150
1990,47,51.888
1990,48,49.515
1990,49,46.493
1990,50,43.745
1990,51,41.033
1990,52,38.877
1990,53,37.614
1990,54,36.945
1990,55,36.212
1990,56,35.497
1990,57,34.851
1990,58,34.207
1990,59,33.550
1990,60,32.949
1990,61,32.420
1990,62,31.615
1990,63,30.368
1990,64,28.839
1990,65,27.329
1990,66,25.785
1990,67,24.295
1990,68,22.944
1990,69,21.680
1990,70,20.372
1990,71,19.055
1990,72,17.732
1990,73,16.402
1990,74,15.072
1990,75,13.768
1990,76,12.491
1990,77,11.237
1990,78,10.007
1990,79,8.807
1990,80,7.661
1990,81,6.574
1990,82,5.522
1990,83,4.492
1990,84,3.512
1990,85,2.601
1990,86,1.738
1990,87,1.073
1990,88,0.676
1990,89,0.475
1990,90,0.315
1990,91,0.217
1990,92,0.148
1990,93,0.074
1990,94,0.004
1990,95,0.012
1990,96,0.011
1990,97,0.007
1990,98,0.005
1990,99,0.003
1990,100,0.000
1991,0,220.980
1991,1,216.000
1991,2,211.120
1991,3,206.603
1991,4,202.386
1991,5,198.408
1991,6,194.627
1991,7,191.003
1991,8,187.377
1991,9,183.647
1991,10,179.815
1991,11,176.034
1991,12,172.345
1991,13,168.175
1991,14,163.275
1991,15,157.913
1991,16,152.615
1991,17,147.290
1991,18,142.134
1991,19,137.304
1991,20,132.715
1991,21,128.141
1991,22,123.631
1991,23,119.286
1991,24,115.127
1991,25,111.153
1991,26,107.314
1991,27,103.608
1991,28,100.132
1991,29,96.922
1991,30,93.937
1991,31,91.018
1991,32,88.106
1991,33,85.543
1991,34,83.449
1991,35,81.617
1991,36,79.840
1991,37,78.310
1991,38,75.995
1991,39,72.408
1991,40,68.087
1991,41,63.949
1991,42,59.678
1991,43,56.380
1991,44,54.654
1991,45,53.920
1991,46,53.079
1991,47,52.446
1991,48,51.209
1991,49,48.879
1991,50,45.916
1991,51,43.218
1991,52,40.558
1991,53,38.443
1991,54,37.202
1991,55,36.544
1991,56,35.820
1991,57,35.113
1991,58,34.461
1991,59,33.800
1991,60,33.114
1991,61,32.481
1991,62,31.916
1991,63,31.074
1991,64,29.794
1991,65,28.234
1991,66,26.691
1991,67,25.117
1991,68,23.588
1991,69,22.187
1991,70,20.866
1991,71,19.507
1991,72,18.138
1991,73,16.786
1991,74,15.461
1991,75,14.159
1991,76,12.887
1991,77,11.651
1991,78,10.430
1991,79,9.211
1991,80,8.014
1991,81,6.878
1991,82,5.801
1991,83,4.791
1991,84,3.858
1991,85,3.005
1991,86,2.217
1991,87,1.479
1991,88,0.912
1991,89,0.569
1991,90,0.389
1991,91,0.259
1991,92,0.179
1991,93,0.122
1991,94,0.062
1991,95,0.005
1991,96,0.012
1991,97,0.009
1991,98,0.007
1991,99,0.002
1991,100,0.000
1992,0,223.560
1992,1,217.747
1992,2,213.340
1992,3,208.781
1992,4,204.579
1992,5,200.660
1992,6,196.958
1992,7,193.439
1992,8,190.075
1992,9,186.602
1992,10,182.876
1992,11,178.942
1992,12,175.055
1992,13,171.241
1992,14,166.957
1992,15,161.977
1992,16,156.559
1992,17,151.190
1992,18,145.787
1992,19,140.577
1992,20,135.732
1992,21,131.153
1992,22,126.593
1992,23,122.102
1992,24,117.788
1992,25,113.678
1992,26,109.761
1992,27,105.984
1992,28,102.345
1992,29,98.932
1992,30,95.777
1992,31,92.837
1992,32,89.968
1992,33,87.106
1992,34,84.583
1992,35,82.516
1992,36,80.699
1992,37,78.938
1992,38,77.420
1992,39,75.123
1992,40,71.562
1992,41,67.273
1992,42,63.164
1992,43,58.925
1992,44,55.653
1992,45,53.944
1992,46,53.222
1992,47,52.393
1992,48,51.771
1992,49,50.556
1992,50,48.270
1992,51,45.361
1992,52,42.716
1992,53,40.104
1992,54,38.027
1992,55,36.810
1992,56,36.164
1992,57,35.447
1992,58,34.746
1992,59,34.090
1992,60,33.409
1992,61,32.696
1992,62,32.031
1992,63,31.428
1992,64,30.550
1992,65,29.237
1992,66,27.643
1992,67,26.067
1992,68,24.462
1992,69,22.895
1992,70,21.442
1992,71,20.064
1992,72,18.653
1992,73,17.231
1992,74,15.850
1992,75,14.529
1992,76,13.255
1992,77,12.013
1992,78,10.819
1992,79,9.628
1992,80,8.421
1992,81,7.227
1992,82,6.101
1992,83,5.031
1992,84,4.064
1992,85,3.226
1992,86,2.500
1992,87,1.834
1992,88,1.221
1992,89,0.753
1992,90,0.461
1992,91,0.305
1992,92,0.203
1992,93,0.141
1992,94,0.097
1992,95,0.050
1992,96,0.005
1992,97,0.011
1992,98,0.008
1992,99,0.003
1992,100,0.000
1993,0,226.401
1993,1,220.211
1993,2,214.715
1993,3,210.782
1993,4,206.545
1993,5,202.654
1993,6,199.032
1993,7,195.603
1993,8,192.344
1993,9,189.239
1993,10,185.918
1993,11,182.193
1993,12,178.155
1993,13,174.161
1993,14,170.220
1993,15,165.819
1993,16,160.758
1993,17,155.281
1993,18,149.839
1993,19,144.354
1993,20,139.090
1993,21,134.225
1993,22,129.655
1993,23,125.105
1993,24,120.633
1993,25,116.348
1993,26,112.284
1993,27,108.422
1993,28,104.706
1993,29,101.132
1993,30,97.781
1993,31,94.677
1993,32,91.783
1993,33,88.961
1993,34,86.149
1993,35,83.665
1993,36,81.621
1993,37,79.821
1993,38,78.074
1993,39,76.568
1993,40,74.287
1993,41,70.751
1993,42,66.491
1993,43,62.411
1993,44,58.201
1993,45,54.954
1993,46,53.259
1993,47,52.549
1993,48,51.734
1993,49,51.121
1993,50,49.927
1993,51,47.684
1993,52,44.830
1993,53,42.233
1993,54,39.669
1993,55,37.631
1993,56,36.436
1993,57,35.799
1993,58,35.091
1993,59,34.397
