year,age,population
1990,0,63.082
1990,1,68.635
1990,2,72.711
1990,3,75.481
1990,4,77.126
1990,5,77.823
1990,6,77.746
1990,7,77.074
1990,8,75.986
1990,9,74.655
1990,10,72.937
1990,11,70.682
1990,12,69.692
1990,13,70.792
1990,14,73.187
1990,15,75.352
1990,16,77.709
1990,17,79.202
1990,18,79.190
1990,19,78.262
1990,20,77.513
1990,21,76.545
1990,22,76.442
1990,23,77.802
1990,24,79.979
1990,25,81.869
1990,26,83.839
1990,27,84.632
1990,28,83.557
1990,29,81.282
1990,30,79.088
1990,31,76.627
1990,32,74.761
1990,33,74.020
1990,34,73.920
1990,35,73.447
1990,36,72.801
1990,37,71.740
1990,38,70.039
1990,39,67.844
1990,40,65.823
1990,41,64.224
1990,42,61.380
1990,43,56.664
1990,44,51.014
1990,45,45.617
1990,46,39.765
1990,47,36.972
1990,48,38.955
1990,49,43.919
1990,50,48.443
1990,51,53.341
1990,52,56.435
1990,53,56.336
1990,54,54.146
1990,55,52.338
1990,56,50.401
1990,57,48.533
1990,58,47.073
1990,59,45.773
1990,60,44.125
1990,61,42.326
1990,62,40.011
1990,63,36.980
1990,64,33.500
1990,65,30.097
1990,66,26.721
1990,67,23.512
1990,68,20.604
1990,69,17.993
1990,70,15.431
1990,71,12.842
1990,72,11.081
1990,73,10.508
1990,74,10.712
1990,75,10.935
1990,76,11.343
1990,77,11.408
1990,78,10.796
1990,79,9.749
1990,80,8.881
1990,81,8.091
1990,82,7.230
1990,83,6.286
1990,84,5.309
1990,85,4.341
1990,86,3.365
1990,87,2.556
1990,88,2.004
1990,89,1.635
1990,90,1.281
1990,91,0.968
1990,92,0.714
1990,93,0.505
1990,94,0.341
1990,95,0.223
1990,96,0.147
1990,97,0.094
1990,98,0.048
1990,99,0.015
1990,100,0.065
1991,0,58.021
1991,1,61.893
1991,2,66.789
1991,3,70.455
1991,4,73.021
1991,5,74.628
1991,6,75.444
1991,7,75.645
1991,8,75.174
1991,9,74.094
1991,10,72.649
1991,11,70.891
1991,12,68.635
1991,13,67.598
1991,14,68.582
1991,15,70.814
1991,16,72.828
1991,17,75.044
1991,18,76.373
1991,19,76.169
1991,20,75.041
1991,21,74.107
1991,22,72.952
1991,23,72.765
1991,24,74.194
1991,25,76.545
1991,26,78.609
1991,27,80.766
1991,28,81.755
1991,29,80.872
1991,30,78.783
1991,31,76.789
1991,32,74.542
1991,33,72.847
1991,34,72.204
1991,35,72.158
1991,36,71.739
1991,37,71.136
1991,38,70.134
1991,39,68.530
1991,40,66.447
1991,41,64.525
1991,42,63.014
1991,43,60.240
1991,44,55.566
1991,45,49.938
1991,46,44.557
1991,47,38.720
1991,48,35.916
1991,49,37.856
1991,50,42.756
