year,age,population
1990,0,44.438
1990,1,44.787
1990,2,44.895
1990,3,44.773
1990,4,44.445
1990,5,43.927
1990,6,43.242
1990,7,42.399
1990,8,41.429
1990,9,40.340
1990,10,39.160
1990,11,37.908
1990,12,36.588
1990,13,35.214
1990,14,33.815
1990,15,32.399
1990,16,30.960
1990,17,29.641
1990,18,28.508
1990,19,27.513
1990,20,26.531
1990,21,25.582
1990,22,24.692
1990,23,23.852
1990,24,23.066
1990,25,22.320
1990,26,21.605
1990,27,20.956
1990,28,20.384
1990,29,19.863
1990,30,19.345
1990,31,18.820
1990,32,18.312
1990,33,17.827
1990,34,17.334
1990,35,16.850
1990,36,16.425
1990,37,15.752
1990,38,14.697
1990,39,13.425
1990,40,12.203
1990,41,10.950
1990,42,9.990
1990,43,9.501
1990,44,9.324
1990,45,9.116
1990,46,8.941
1990,47,8.739
1990,48,8.444
1990,49,8.094
1990,50,7.795
1990,51,7.526
1990,52,7.240
1990,53,6.923
1990,54,6.583
1990,55,6.258
1990,56,5.947
1990,57,5.619
1990,58,5.270
1990,59,4.912
1990,60,4.563
1990,61,4.200
1990,62,3.926
1990,63,3.784
1990,64,3.724
1990,65,3.657
1990,66,3.611
1990,67,3.486
1990,68,3.225
1990,69,2.881
1990,70,2.562
1990,71,2.246
1990,72,1.960
1990,73,1.735
1990,74,1.547
1990,75,1.361
1990,76,1.176
1990,77,1.018
1990,78,0.890
1990,79,0.788
1990,80,0.696
1990,81,0.617
1990,82,0.541
1990,83,0.465
1990,84,0.389
1990,85,0.325
1990,86,0.269
1990,87,0.218
1990,88,0.171
1990,89,0.129
1990,90,0.093
1990,91,0.060
1990,92,0.036
1990,93,0.021
1990,94,0.014
1990,95,0.010
1990,96,0.009
1990,97,0.008
1990,98,0.005
1990,99,0.002
1990,100,0.002
1991,0,44.368
1991,1,44.477
1991,2,44.742
1991,3,44.802
1991,4,44.665
1991,5,44.346
1991,6,43.861
1991,7,43.235
1991,8,42.435
1991,9,41.471
1991,10,40.366
1991,11,39.182
1991,12,37.932
1991,13,36.614
1991,14,35.248
1991,15,33.857
1991,16,32.450
1991,17,31.017
1991,18,29.703
1991,19,28.572
1991,20,27.575
1991,21,26.591
1991,22,25.640
1991,23,24.746
1991,24,23.900
1991,25,23.106
1991,26,22.351
1991,27,21.628
1991,28,20.971
1991,29,20.389
1991,30,19.860
1991,31,19.332
1991,32,18.800
1991,33,18.283
1991,34,17.790
1991,35,17.289
1991,36,16.799
1991,37,16.366
1991,38,15.688
1991,39,14.635
1991,40,13.366
1991,41,12.149
1991,42,10.899
1991,43,9.942
1991,44,9.451
1991,45,9.268
1991,46,9.055
1991,47,8.875
1991,48,8.670
1991,49,8.372
1991,50,8.020
1991,51,7.719
1991,52,7.448
1991,53,7.160
1991,54,6.841
1991,55,6.498
1991,56,6.171
1991,57,5.857
1991,58,5.527
1991,59,5.177
1991,60,4.819
1991,61,4.470
1991,62,4.107
1991,63,3.831
1991,64,3.682
1991,65,3.613
1991,66,3.537
1991,67,3.483
1991,68,3.352
1991,69,3.092
1991,70,2.752
1991,71,2.436
1991,72,2.124
1991,73,1.843
1991,74,1.623
1991,75,1.441
1991,76,1.260
1991,77,1.082
1991,78,0.931
1991,79,0.808
1991,80,0.710
1991,81,0.622
1991,82,0.548
1991,83,0.478
1991,84,0.407
1991,85,0.338
1991,86,0.280
1991,87,0.231
1991,88,0.186
1991,89,0.144
1991,90,0.109
1991,91,0.077
1991,92,0.050
1991,93,0.030
1991,94,0.018
1991,95,0.011
1991,96,0.009
1991,97,0.008
1991,98,0.005
1991,99,0.002
1991,100,0.002
1992,0,44.352
1992,1,44.709
1992,2,44.508
1992,3,44.688
1992,4,44.701
1992,5,44.549
1992,6,44.239
1992,7,43.788
1992,8,43.220
1992,9,42.463
1992,10,41.506
1992,11,40.385
1992,12,39.198
1992,13,37.947
1992,14,36.634
1992,15,35.275
1992,16,33.895
1992,17,32.494
1992,18,31.070
1992,19,29.759
1992,20,28.630
1992,21,27.632
1992,22,26.647
1992,23,25.694
1992,24,24.795
1992,25,23.944
1992,26,23.141
1992,27,22.380
1992,28,21.647
1992,29,20.981
1992,30,20.391
1992,31,19.852
1992,32,19.318
1992,33,18.775
1992,34,18.251
1992,35,17.750
1992,36,17.242
1992,37,16.744
1992,38,16.303
1992,39,15.622
1992,40,14.571
1992,41,13.305
1992,42,12.091
1992,43,10.847
1992,44,9.892
1992,45,9.398
1992,46,9.210
1992,47,8.993
1992,48,8.808
1992,49,8.599
1992,50,8.298
1992,51,7.945
1992,52,7.641
1992,53,7.369
1992,54,7.079
1992,55,6.757
1992,56,6.412
1992,57,6.082
1992,58,5.766
1992,59,5.435
1992,60,5.083
1992,61,4.725
1992,62,4.376
1992,63,4.013
1992,64,3.734
1992,65,3.580
1992,66,3.500
1992,67,3.417
1992,68,3.354
1992,69,3.218
1992,70,2.958
1992,71,2.622
1992,72,2.309
1992,73,2.001
1992,74,1.726
1992,75,1.510
1992,76,1.335
1992,77,1.159
1992,78,0.989
1992,79,0.843
1992,80,0.725
1992,81,0.632
1992,82,0.548
1992,83,0.480
1992,84,0.413
1992,85,0.349
1992,86,0.288
1992,87,0.235
1992,88,0.192
1992,89,0.153
1992,90,0.119
1992,91,0.088
1992,92,0.061
1992,93,0.040
1992,94,0.024
1992,95,0.014
1992,96,0.009
1992,97,0.007
1992,98,0.004
1992,99,0.001
1992,100,0.002
1993,0,44.378
1993,1,44.637
1993,2,44.793
1993,3,44.521
1993,4,44.619
1993,5,44.583
1993,6,44.417
1993,7,44.115
1993,8,43.698
1993,9,43.190
1993,10,42.476
1993,11,41.524
1993,12,40.390
1993,13,39.198
1993,14,37.950
1993,15,36.641
1993,16,35.289
1993,17,33.919
1993,18,32.526
1993,19,31.111
1993,20,29.805
1993,21,28.678
1993,22,27.679
1993,23,26.692
1993,24,25.738
1993,25,24.836
1993,26,23.979
1993,27,23.169
1993,28,22.399
1993,29,21.658
1993,30,20.984
1993,31,20.385
1993,32,19.838
1993,33,19.295
1993,34,18.744
1993,35,18.212
1993,36,17.703
1993,37,17.188
1993,38,16.683
1993,39,16.235
1993,40,15.550
1993,41,14.500
1993,42,13.239
1993,43,12.030
1993,44,10.791
1993,45,9.838
1993,46,9.342
1993,47,9.149
1993,48,8.927
1993,49,8.738
1993,50,8.524
1993,51,8.221
1993,52,7.867
1993,53,7.561
1993,54,7.287
1993,55,6.994
1993,56,6.671
1993,57,6.324
