year,age,population
1990,0,3388.664
1990,1,3507.691
1990,2,3597.487
1990,3,3660.379
1990,4,3698.690
1990,5,3714.745
1990,6,3710.870
1990,7,3689.387
1990,8,3652.626
1990,9,3602.904
1990,10,3542.405
1990,11,3473.301
1990,12,3398.660
1990,13,3321.101
1990,14,3242.504
1990,15,3161.257
1990,16,3076.632
1990,17,3006.208
1990,18,2958.263
1990,19,2925.821
1990,20,2890.688
1990,21,2852.970
1990,22,2825.188
1990,23,2810.605
1990,24,2802.141
1990,25,2792.261
1990,26,2785.842
1990,27,2753.254
1990,28,2680.052
1990,29,2580.550
1990,30,2482.795
1990,31,2380.338
1990,32,2287.787
1990,33,2214.965
1990,34,2154.155
1990,35,2088.591
1990,36,2022.569
1990,37,1951.462
1990,38,1871.595
1990,39,1786.726
1990,40,1705.199
1990,41,1626.432
1990,42,1549.113
1990,43,1473.787
1990,44,1401.601
1990,45,1331.094
1990,46,1260.071
1990,47,1204.214
1990,48,1170.391
1990,49,1150.571
1990,50,1131.277
1990,51,1116.915
1990,52,1090.908
1990,53,1044.182
1990,54,985.165
1990,55,929.991
1990,56,873.816
1990,57,828.425
1990,58,800.781
1990,59,783.996
1990,60,765.079
1990,61,747.665
1990,62,722.134
1990,63,682.728
1990,64,634.726
1990,65,589.208
1990,66,544.019
1990,67,501.880
1990,68,465.281
1990,69,432.641
1990,70,399.658
1990,71,366.912
1990,72,336.668
1990,73,309.532
1990,74,284.712
1990,75,261.022
1990,76,238.960
1990,77,216.323
1990,78,191.979
1990,79,167.044
1990,80,143.794
1990,81,121.804
1990,82,101.796
1990,83,84.373
1990,84,69.173
1990,85,55.050
1990,86,41.999
1990,87,31.333
1990,88,23.517
1990,89,17.915
1990,90,13.328
1990,91,9.864
1990,92,7.124
1990,93,4.748
1990,94,2.794
1990,95,1.356
1990,96,1.085
1990,97,0.814
1990,98,0.542
1990,99,0.271
1990,100,0.234
1991,0,3345.808
1991,1,3406.141
1991,2,3509.768
1991,3,3590.222
1991,4,3648.790
1991,5,3686.763
1991,6,3706.489
1991,7,3710.318
1991,8,3694.240
1991,9,3657.432
1991,10,3604.352
1991,11,3542.491
1991,12,3472.972
1991,13,3397.900
1991,14,3319.947
1991,15,3240.974
1991,16,3159.297
1991,17,3074.206
1991,18,3003.340
1991,19,2955.006
1991,20,2922.211
1991,21,2886.726
1991,22,2848.666
1991,23,2820.559
1991,24,2805.665
1991,25,2796.911
1991,26,2786.756
1991,27,2780.066
1991,28,2747.274
1991,29,2673.960
1991,30,2574.405
1991,31,2476.599
