year,age,population
1990,0,7.125
1990,1,6.922
1990,2,6.729
1990,3,6.542
1990,4,6.362
1990,5,6.187
1990,6,6.021
1990,7,5.857
1990,8,5.702
1990,9,5.550
1990,10,5.415
1990,11,5.301
1990,12,5.164
1990,13,4.983
1990,14,4.785
1990,15,4.608
1990,16,4.427
1990,17,4.356
1990,18,4.453
1990,19,4.657
1990,20,4.853
1990,21,5.064
1990,22,5.232
1990,23,5.315
1990,24,5.344
1990,25,5.377
1990,26,5.401
1990,27,5.423
1990,28,5.452
1990,29,5.478
1990,30,5.478
1990,31,5.460
1990,32,5.387
1990,33,5.230
1990,34,5.013
1990,35,4.788
1990,36,4.545
1990,37,4.287
1990,38,4.011
1990,39,3.725
1990,40,3.437
1990,41,3.146
1990,42,2.862
1990,43,2.586
1990,44,2.322
1990,45,2.068
1990,46,1.813
1990,47,1.620
1990,48,1.514
1990,49,1.467
1990,50,1.424
1990,51,1.397
1990,52,1.360
1990,53,1.291
1990,54,1.206
1990,55,1.135
1990,56,1.072
1990,57,1.010
1990,58,0.944
1990,59,0.878
1990,60,0.815
1990,61,0.752
1990,62,0.698
1990,63,0.656
1990,64,0.622
1990,65,0.589
1990,66,0.559
1990,67,0.527
1990,68,0.489
1990,69,0.450
1990,70,0.414
1990,71,0.377
1990,72,0.347
1990,73,0.320
1990,74,0.295
1990,75,0.272
1990,76,0.250
1990,77,0.233
1990,78,0.221
1990,79,0.216
1990,80,0.209
1990,81,0.205
1990,82,0.193
1990,83,0.168
1990,84,0.132
1990,85,0.103
1990,86,0.069
1990,87,0.045
1990,88,0.033
1990,89,0.028
1990,90,0.024
1990,91,0.019
1990,92,0.017
1990,93,0.012
1990,94,0.008
1990,95,0.005
1990,96,0.003
1990,97,0.002
1990,98,0.001
1990,99,0.000
1990,100,0.000
1991,0,7.322
1991,1,7.070
1991,2,6.865
1991,3,6.670
1991,4,6.479
1991,5,6.295
1991,6,6.118
1991,7,5.947
1991,8,5.788
1991,9,5.649
1991,10,5.520
1991,11,5.409
1991,12,5.318
1991,13,5.210
1991,14,5.065
1991,15,4.906
1991,16,4.765
1991,17,4.617
1991,18,4.578
1991,19,4.703
1991,20,4.930
1991,21,5.147
1991,22,5.382
1991,23,5.543
1991,24,5.574
1991,25,5.522
1991,26,5.477
1991,27,5.416
1991,28,5.379
1991,29,5.391
1991,30,5.426
1991,31,5.431
1991,32,5.420
1991,33,5.350
1991,34,5.187
1991,35,4.958
1991,36,4.727
1991,37,4.481
1991,38,4.218
1991,39,3.940
1991,40,3.651
1991,41,3.361
1991,42,3.068
1991,43,2.784
1991,44,2.516
1991,45,2.261
1991,46,2.017
1991,47,1.774
1991,48,1.587
1991,49,1.478
1991,50,1.425
1991,51,1.375
1991,52,1.342
1991,53,1.302
1991,54,1.240
1991,55,1.165
1991,56,1.104
1991,57,1.052
1991,58,0.996
1991,59,0.932
1991,60,0.865
1991,61,0.803
1991,62,0.739
1991,63,0.684
1991,64,0.641
1991,65,0.608
1991,66,0.573
1991,67,0.542
1991,68,0.510
1991,69,0.471
1991,70,0.431
1991,71,0.395
1991,72,0.357
1991,73,0.327
1991,74,0.300
1991,75,0.275
1991,76,0.253
1991,77,0.231
1991,78,0.214
1991,79,0.202
1991,80,0.196
1991,81,0.188
1991,82,0.184
1991,83,0.173
1991,84,0.149
1991,85,0.117
1991,86,0.091
1991,87,0.060
1991,88,0.038
1991,89,0.028
1991,90,0.023
1991,91,0.020
1991,92,0.016
1991,93,0.014
1991,94,0.010
1991,95,0.007
1991,96,0.003
1991,97,0.003
1991,98,0.001
1991,99,0.000
1991,100,0.000
1992,0,7.510
1992,1,7.290
1992,2,7.017
1992,3,6.810
1992,4,6.611
1992,5,6.417
1992,6,6.230
1992,7,6.049
1992,8,5.875
1992,9,5.720
1992,10,5.596
1992,11,5.491
1992,12,5.403
1992,13,5.337
1992,14,5.257
1992,15,5.147
1992,16,5.027
1992,17,4.923
1992,18,4.809
1992,19,4.799
1992,20,4.953
1992,21,5.205
1992,22,5.442
1992,23,5.701
1992,24,5.854
1992,25,5.833
1992,26,5.701
1992,27,5.577
1992,28,5.433
1992,29,5.336
1992,30,5.330
1992,31,5.375
1992,32,5.385
1992,33,5.381
1992,34,5.313
1992,35,5.145
1992,36,4.905
1992,37,4.666
1992,38,4.417
1992,39,4.151
1992,40,3.869
1992,41,3.578
1992,42,3.285
1992,43,2.990
1992,44,2.708
1992,45,2.445
1992,46,2.201
1992,47,1.967
1992,48,1.734
1992,49,1.554
1992,50,1.444
1992,51,1.382
1992,52,1.327
1992,53,1.287
1992,54,1.245
1992,55,1.188
1992,56,1.125
1992,57,1.073
1992,58,1.031
1992,59,0.982
1992,60,0.921
1992,61,0.853
1992,62,0.790
1992,63,0.726
1992,64,0.670
1992,65,0.627
1992,66,0.593
1992,67,0.558
1992,68,0.526
1992,69,0.492
1992,70,0.452
1992,71,0.413
1992,72,0.376
1992,73,0.338
1992,74,0.307
1992,75,0.280
1992,76,0.255
1992,77,0.234
1992,78,0.211
1992,79,0.195
1992,80,0.183
1992,81,0.176
1992,82,0.168
1992,83,0.163
1992,84,0.152
1992,85,0.131
1992,86,0.102
1992,87,0.078
1992,88,0.051
1992,89,0.032
1992,90,0.022
1992,91,0.019
1992,92,0.016
1992,93,0.013
1992,94,0.012
1992,95,0.008
1992,96,0.005
1992,97,0.002
1992,98,0.001
1992,99,0.002
1992,100,0.000
1993,0,7.661
1993,1,7.459
1993,2,7.244
1993,3,6.963
1993,4,6.756
1993,5,6.553
1993,6,6.355
1993,7,6.165
1993,8,5.981
1993,9,5.803
1993,10,5.652
1993,11,5.544
1993,12,5.462
1993,13,5.399
1993,14,5.355
1993,15,5.304
1993,16,5.230
1993,17,5.149
1993,18,5.081
1993,19,5.000
1993,20,5.022
1993,21,5.203
1993,22,5.479
1993,23,5.737
1993,24,6.020
1993,25,6.167
1993,26,6.092
1993,27,5.880
1993,28,5.678
1993,29,5.450
1993,30,5.293
1993,31,5.270
1993,32,5.324
1993,33,5.339
1993,34,5.343
1993,35,5.277
1993,36,5.103
1993,37,4.852
1993,38,4.606
1993,39,4.353
1993,40,4.085
1993,41,3.798
1993,42,3.505
1993,43,3.210
1993,44,2.912
1993,45,2.630
1993,46,2.375
1993,47,2.141
1993,48,1.917
1993,49,1.695
1993,50,1.522
1993,51,1.408
1993,52,1.341
1993,53,1.279
1993,54,1.232
1993,55,1.187
1993,56,1.137
1993,57,1.085
1993,58,1.042
1993,59,1.010
1993,60,0.969
1993,61,0.909
1993,62,0.841
1993,63,0.777
1993,64,0.713
1993,65,0.657
1993,66,0.613
1993,67,0.578
1993,68,0.543
1993,69,0.509
1993,70,0.474
1993,71,0.435
1993,72,0.394
1993,73,0.357
1993,74,0.319
1993,75,0.286
1993,76,0.260
1993,77,0.236
1993,78,0.214
1993,79,0.192
1993,80,0.177
1993,81,0.163
1993,82,0.156
1993,83,0.147
1993,84,0.143
1993,85,0.132
1993,86,0.112
1993,87,0.087
1993,88,0.066
1993,89,0.042
1993,90,0.025
1993,91,0.017
1993,92,0.014
1993,93,0.013
1993,94,0.009
1993,95,0.009
1993,96,0.006
1993,97,0.004
1993,98,0.002
1993,99,0.001
1993,100,0.001
1994,0,7.745
1994,1,7.568
1994,2,7.378
1994,3,7.173
1994,4,6.911
1994,5,6.702
1994,6,6.497
1994,7,6.294
1994,8,6.101
1994,9,5.913
1994,10,5.733
1994,11,5.585
1994,12,5.492
1994,13,5.435
1994,14,5.394
1994,15,5.375
1994,16,5.352
1994,17,5.314
1994,18,5.272
1994,19,5.240
1994,20,5.191
1994,21,5.245
1994,22,5.456
1994,23,5.754
1994,24,6.032
1994,25,6.341
1994,26,6.479
1994,27,6.353
1994,28,6.060
1994,29,5.780
1994,30,5.468
1994,31,5.250
1994,32,5.211
1994,33,5.275
1994,34,5.294
1994,35,5.305
1994,36,5.242
1994,37,5.061
1994,38,4.800
1994,39,4.547
1994,40,4.291
1994,41,4.018
1994,42,3.728
1994,43,3.432
1994,44,3.136
1994,45,2.834
1994,46,2.555
1994,47,2.305
1994,48,2.081
1994,49,1.867
1994,50,1.657
1994,51,1.488
1994,52,1.374
1994,53,1.299
1994,54,1.231
1994,55,1.177
1994,56,1.130
1994,57,1.086
1994,58,1.045
1994,59,1.012
1994,60,0.990
1994,61,0.955
1994,62,0.898
1994,63,0.829
1994,64,0.764
1994,65,0.700
1994,66,0.643
1994,67,0.599
1994,68,0.563
1994,69,0.528
1994,70,0.493
1994,71,0.457
1994,72,0.417
1994,73,0.375
1994,74,0.338
1994,75,0.300
1994,76,0.266
1994,77,0.240
1994,78,0.216
1994,79,0.195
1994,80,0.173
1994,81,0.158
1994,82,0.144
1994,83,0.136
1994,84,0.127
1994,85,0.121
1994,86,0.113
1994,87,0.093
1994,88,0.072
1994,89,0.053
1994,90,0.033
1994,91,0.019
1994,92,0.011
1994,93,0.010
1994,94,0.009
1994,95,0.006
1994,96,0.007
1994,97,0.004
1994,98,0.002
1994,99,0.001
1994,100,0.001
1995,0,7.741
1995,1,7.603
1995,2,7.442
1995,3,7.261
1995,4,7.067
1995,5,6.862
1995,6,6.652
1995,7,6.443
1995,8,6.237
1995,9,6.040
1995,10,5.849
1995,11,5.664
1995,12,5.521
1995,13,5.444
1995,14,5.410
1995,15,5.393
1995,16,5.397
1995,17,5.403
1995,18,5.400
1995,19,5.397
1995,20,5.402
1995,21,5.386
1995,22,5.471
1995,23,5.710
1995,24,6.032
1995,25,6.332
1995,26,6.664
1995,27,6.796
1995,28,6.617
1995,29,6.243
1995,30,5.885
1995,31,5.488
1995,32,5.211
1995,33,5.154
1995,34,5.228
1995,35,5.252
1995,36,5.270
1995,37,5.209
1995,38,5.023
1995,39,4.750
1995,40,4.490
1995,41,4.230
1995,42,3.953
1995,43,3.660
1995,44,3.362
1995,45,3.062
1995,46,2.759
1995,47,2.479
1995,48,2.237
1995,49,2.022
1995,50,1.818
1995,51,1.619
1995,52,1.457
1995,53,1.340
1995,54,1.257
1995,55,1.184
1995,56,1.123
1995,57,1.073
1995,58,1.036
1995,59,1.005
1995,60,0.982
1995,61,0.970
1995,62,0.942
1995,63,0.887
1995,64,0.817
1995,65,0.752
1995,66,0.688
1995,67,0.630
1995,68,0.585
1995,69,0.549
1995,70,0.513
1995,71,0.476
1995,72,0.440
1995,73,0.399
1995,74,0.357
1995,75,0.319
1995,76,0.281
1995,77,0.246
1995,78,0.220
1995,79,0.197
1995,80,0.176
1995,81,0.154
1995,82,0.139
1995,83,0.125
1995,84,0.116
1995,85,0.106
1995,86,0.101
1995,87,0.092
1995,88,0.075
1995,89,0.057
1995,90,0.041
1995,91,0.024
1995,92,0.012
1995,93,0.006
1995,94,0.005
1995,95,0.005
1995,96,0.003
1995,97,0.004
1995,98,0.002
1995,99,0.001
1995,100,0.001
1996,0,7.617
1996,1,7.582
1996,2,7.466
1996,3,7.329
1996,4,7.170
1996,5,6.999
1996,6,6.816
1996,7,6.634
1996,8,6.439
1996,9,6.231
1996,10,6.022
1996,11,5.820
1996,12,5.621
1996,13,5.485
1996,14,5.450
1996,15,5.477
1996,16,5.517
1996,17,5.573
1996,18,5.626
1996,19,5.659
1996,20,5.680
1996,21,5.709
1996,22,5.722
1996,23,5.804
1996,24,5.997
1996,25,6.244
1996,26,6.471
1996,27,6.720
1996,28,6.800
1996,29,6.618
1996,30,6.273
1996,31,5.936
1996,32,5.562
1996,33,5.294
1996,34,5.214
1996,35,5.249
1996,36,5.239
1996,37,5.225
1996,38,5.137
1996,39,4.936
1996,40,4.656
1996,41,4.388
1996,42,4.120
1996,43,3.840
1996,44,3.550
1996,45,3.260
1996,46,2.968
1996,47,2.676
1996,48,2.405
1996,49,2.167
1996,50,1.953
1996,51,1.751
1996,52,1.555
1996,53,1.398
1996,54,1.289
1996,55,1.217
1996,56,1.153
1996,57,1.102
1996,58,1.058
1996,59,1.020
1996,60,0.985
1996,61,0.958
1996,62,0.943
1996,63,0.909
1996,64,0.847
1996,65,0.768
1996,66,0.694
1996,67,0.621
1996,68,0.558
1996,69,0.516
1996,70,0.488
1996,71,0.459
1996,72,0.430
1996,73,0.402
1996,74,0.366
1996,75,0.330
1996,76,0.297
1996,77,0.265
1996,78,0.235
1996,79,0.210
1996,80,0.185
1996,81,0.163
1996,82,0.140
1996,83,0.123
1996,84,0.110
1996,85,0.102
1996,86,0.092
1996,87,0.088
1996,88,0.079
1996,89,0.065
1996,90,0.048
1996,91,0.035
1996,92,0.020
1996,93,0.010
1996,94,0.005
1996,95,0.004
1996,96,0.003
1996,97,0.004
1996,98,0.002
1996,99,0.000
1996,100,0.001
1997,0,7.407
1997,1,7.376
1997,2,7.430
1997,3,7.338
1997,4,7.223
1997,5,7.088
1997,6,6.937
1997,7,6.778
1997,8,6.622
1997,9,6.443
1997,10,6.231
1997,11,6.009
1997,12,5.798
1997,13,5.584
1997,14,5.456
1997,15,5.460
1997,16,5.551
1997,17,5.644
1997,18,5.756
1997,19,5.855
1997,20,5.922
1997,21,5.969
1997,22,6.022
1997,23,6.063
1997,24,6.143
1997,25,6.289
1997,26,6.462
1997,27,6.616
1997,28,6.784
1997,29,6.811
1997,30,6.626
1997,31,6.308
1997,32,5.993
1997,33,5.643
1997,34,5.381
1997,35,5.281
1997,36,5.275
1997,37,5.232
1997,38,5.184
