year,age,population
1990,0,114.448
1990,1,111.614
1990,2,110.136
1990,3,109.828
1990,4,110.519
1990,5,112.030
1990,6,114.184
1990,7,116.803
1990,8,119.710
1990,9,122.729
1990,10,125.910
1990,11,129.302
1990,12,131.591
1990,13,132.140
1990,14,131.459
1990,15,130.832
1990,16,130.175
1990,17,128.842
1990,18,126.696
1990,19,124.066
1990,20,121.402
1990,21,118.582
1990,22,116.509
1990,23,115.674
1990,24,115.706
1990,25,115.693
1990,26,115.741
1990,27,116.174
1990,28,117.026
1990,29,118.176
1990,30,119.451
1990,31,120.891
1990,32,122.152
1990,33,123.046
1990,34,123.709
1990,35,124.252
1990,36,124.424
1990,37,125.154
1990,38,126.848
1990,39,128.910
1990,40,130.702
1990,41,132.787
1990,42,132.385
1990,43,128.192
1990,44,121.678
1990,45,115.565
1990,46,109.240
1990,47,104.587
1990,48,102.795
1990,49,102.975
1990,50,102.822
1990,51,102.515
1990,52,103.299
1990,53,105.470
1990,54,108.442
1990,55,111.425
1990,56,114.685
1990,57,116.551
1990,58,116.143
1990,59,114.196
1990,60,112.080
1990,61,109.218
1990,62,107.090
1990,63,106.472
1990,64,106.430
1990,65,105.909
1990,66,105.916
1990,67,101.973
1990,68,92.001
1990,69,78.486
1990,70,65.482
1990,71,51.545
1990,72,42.353
1990,73,40.928
1990,74,44.386
1990,75,46.988
1990,76,50.096
1990,77,50.854
1990,78,47.329
1990,79,41.114
1990,80,35.776
1990,81,30.652
1990,82,25.916
1990,83,22.021
1990,84,18.740
1990,85,15.349
1990,86,11.955
1990,87,9.117
1990,88,7.028
1990,89,5.507
1990,90,4.150
1990,91,2.998
1990,92,2.096
1990,93,1.412
1990,94,0.915
1990,95,0.598
1990,96,0.446
1990,97,0.337
1990,98,0.199
1990,99,0.062
1990,100,0.199
1991,0,108.002
1991,1,111.368
1991,2,109.696
1991,3,108.970
1991,4,109.071
1991,5,109.891
1991,6,111.256
1991,7,112.990
1991,8,115.289
1991,9,118.162
1991,10,121.315
1991,11,124.496
1991,12,127.826
1991,13,130.034
1991,14,130.480
1991,15,129.688
1991,16,128.953
1991,17,128.175
1991,18,126.800
1991,19,124.730
1991,20,122.252
1991,21,119.731
1991,22,117.063
1991,23,115.100
1991,24,114.293
1991,25,114.302
1991,26,114.278
1991,27,114.316
1991,28,114.732
1991,29,115.564
1991,30,116.688
1991,31,117.936
1991,32,119.342
1991,33,120.580
1991,34,121.467
1991,35,122.134
1991,36,122.681
1991,37,122.859
1991,38,123.596
1991,39,125.299
1991,40,127.372
1991,41,129.176
1991,42,131.268
1991,43,130.885
1991,44,126.728
1991,45,120.258
1991,46,114.182
1991,47,107.891
1991,48,103.252
1991,49,101.444
1991,50,101.586
1991,51,101.389
1991,52,101.031
1991,53,101.747
1991,54,103.832
1991,55,106.703
1991,56,109.575
1991,57,112.716
1991,58,114.456
1991,59,113.919
1991,60,111.842
1991,61,109.600
1991,62,106.636
1991,63,104.356
1991,64,103.508
1991,65,103.201
1991,66,102.424
1991,67,102.140
1991,68,98.095
1991,69,88.316
1991,70,75.169
1991,71,62.515
1991,72,48.984
1991,73,39.963
1991,74,38.321
1991,75,41.328
1991,76,43.544
1991,77,46.260
1991,78,46.794
1991,79,43.324
1991,80,37.355
1991,81,32.239
1991,82,27.340
1991,83,22.877
1991,84,19.294
1991,85,16.351
1991,86,13.314
1991,87,10.290
1991,88,7.781
1991,89,5.945
1991,90,4.623
1991,91,3.465
1991,92,2.504
1991,93,1.754
1991,94,1.173
1991,95,0.744
1991,96,0.453
1991,97,0.336
1991,98,0.195
1991,99,0.054
1991,100,0.186
1992,0,98.279
1992,1,99.412
1992,2,108.315
1992,3,107.802
1992,4,107.827
1992,5,108.336
1992,6,109.287
1992,7,110.504
1992,8,111.820
1992,9,113.800
1992,10,116.640
1992,11,119.926
1992,12,123.109
1992,13,126.377
1992,14,128.505
1992,15,128.848
1992,16,127.946
1992,17,127.103
1992,18,126.203
1992,19,124.785
1992,20,122.791
1992,21,120.465
1992,22,118.087
1992,23,115.570
1992,24,113.714
1992,25,112.938
1992,26,112.923
1992,27,112.887
1992,28,112.916
1992,29,113.314
1992,30,114.126
1992,31,115.226
1992,32,116.446
1992,33,117.819
1992,34,119.033
1992,35,119.915
1992,36,120.586
1992,37,121.137
1992,38,121.319
1992,39,122.065
1992,40,123.778
1992,41,125.862
1992,42,127.676
1992,43,129.777
1992,44,129.414
1992,45,125.291
1992,46,118.863
1992,47,112.824
1992,48,106.565
1992,49,101.939
1992,50,100.115
1992,51,100.219
1992,52,99.979
1992,53,99.568
1992,54,100.218
1992,55,102.217
1992,56,104.987
1992,57,107.751
1992,58,110.771
1992,59,112.386
1992,60,111.722
1992,61,109.512
1992,62,107.147
1992,63,104.078
1992,64,101.647
1992,65,100.568
1992,66,99.997
1992,67,98.965
1992,68,98.389
1992,69,94.242
1992,70,84.654
1992,71,71.872
1992,72,59.563
1992,73,46.437
1992,74,37.584
1992,75,35.727
1992,76,38.283
1992,77,40.112
1992,78,42.439
1992,79,42.749
1992,80,39.334
1992,81,33.609
1992,82,28.712
1992,83,24.039
1992,84,19.846
1992,85,16.575
1992,86,13.969
1992,87,11.284
1992,88,8.631
1992,89,6.447
1992,90,4.865
1992,91,3.742
1992,92,2.781
1992,93,2.011
1992,94,1.413
1992,95,0.935
1992,96,0.573
1992,97,0.346
1992,98,0.198
1992,99,0.053
1992,100,0.176
1993,0,87.028
1993,1,91.521
1993,2,95.540
1993,3,105.312
1993,4,105.958
1993,5,106.735
1993,6,107.651
1993,7,108.731
1993,8,109.804
1993,9,110.702
1993,10,112.363
1993,11,115.172
1993,12,118.592
1993,13,121.779
1993,14,124.986
1993,15,127.035
1993,16,127.276
1993,17,126.263
1993,18,125.311
1993,19,124.290
1993,20,122.828
1993,21,120.910
1993,22,118.733
1993,23,116.496
1993,24,114.131
1993,25,112.382
1993,26,111.633
1993,27,111.596
1993,28,111.549
1993,29,111.568
1993,30,111.949
1993,31,112.740
1993,32,113.818
1993,33,115.010
1993,34,116.350
1993,35,117.542
1993,36,118.417
1993,37,119.093
1993,38,119.649
1993,39,119.836
1993,40,120.591
1993,41,122.313
1993,42,124.410
1993,43,126.236
1993,44,128.346
1993,45,128.001
1993,46,123.911
1993,47,117.525
1993,48,111.518
1993,49,105.288
1993,50,100.672
1993,51,98.833
1993,52,98.899
1993,53,98.614
1993,54,98.152
1993,55,98.735
1993,56,100.649
1993,57,103.320
1993,58,105.976
1993,59,108.878
1993,60,110.369
1993,61,109.577
1993,62,107.235
1993,63,104.742
1993,64,101.570
1993,65,98.986
1993,66,97.676
1993,67,96.841
1993,68,95.552
1993,69,94.686
1993,70,90.435
1993,71,81.033
1993,72,68.610
1993,73,56.641
1993,74,43.912
1993,75,35.225
1993,76,33.150
1993,77,35.257
1993,78,36.703
1993,79,38.639
1993,80,38.726
1993,81,35.365
1993,82,29.881
1993,83,25.202
1993,84,20.751
1993,85,16.827
1993,86,13.865
1993,87,11.595
1993,88,9.262
1993,89,6.976
1993,90,5.118
1993,91,3.788
1993,92,2.863
1993,93,2.099
1993,94,1.520
1993,95,1.071
1993,96,0.698
1993,97,0.402
1993,98,0.209
1993,99,0.057
1993,100,0.169
1994,0,76.740
1994,1,84.010
1994,2,90.137
1994,3,95.238
1994,4,102.367
1994,5,104.172
1994,6,105.700
1994,7,107.026
1994,8,108.236
1994,9,109.163
1994,10,109.645
1994,11,110.988
1994,12,113.767
1994,13,117.324
1994,14,120.515
1994,15,123.664
1994,16,125.635
1994,17,125.773
1994,18,124.650
1994,19,123.588
1994,20,122.445
1994,21,120.938
1994,22,119.095
1994,23,117.068
1994,24,114.969
1994,25,112.754
1994,26,111.112
1994,27,110.390
1994,28,110.330
1994,29,110.271
1994,30,110.282
1994,31,110.645
1994,32,111.417
1994,33,112.472
1994,34,113.636
1994,35,114.946
1994,36,116.115
1994,37,116.985
1994,38,117.666
1994,39,118.226
1994,40,118.419
1994,41,119.182
1994,42,120.915
1994,43,123.026
1994,44,124.866
1994,45,126.985
1994,46,126.659
1994,47,122.601
1994,48,116.250
1994,49,110.272
1994,50,104.070
1994,51,99.461
1994,52,97.605
1994,53,97.632
1994,54,97.304
1994,55,96.791
1994,56,97.306
1994,57,99.136
1994,58,101.710
1994,59,104.259
1994,60,107.045
1994,61,108.412
1994,62,107.491
1994,63,105.016
1994,64,102.396
1994,65,99.117
1994,66,96.378
1994,67,94.839
1994,68,93.736
1994,69,92.193
1994,70,91.034
1994,71,86.676
1994,72,77.457
1994,73,65.385
1994,74,53.749
1994,75,41.412
1994,76,32.884
1994,77,30.591
1994,78,32.250
1994,79,33.312
1994,80,34.861
1994,81,34.724
1994,82,31.414
1994,83,26.169
1994,84,21.705
1994,85,17.473
1994,86,13.817
1994,87,11.163
1994,88,9.226
1994,89,7.244
1994,90,5.325
1994,91,3.791
1994,92,2.713
1994,93,1.985
1994,94,1.419
1994,95,1.029
1994,96,0.732
1994,97,0.461
1994,98,0.231
1994,99,0.060
1994,100,0.162
1995,0,69.220
1995,1,77.822
1995,2,85.007
1995,3,90.918
1995,4,95.702
1995,5,99.505
1995,6,102.473
1995,7,104.754
1995,8,106.490
1995,9,107.832
1995,10,108.615
1995,11,108.679
1995,12,109.706
1995,13,112.457
1995,14,116.154
1995,15,119.352
1995,16,122.445
1995,17,124.340
1995,18,124.376
1995,19,123.140
1995,20,121.967
1995,21,120.702
1995,22,119.149
1995,23,117.378
1995,24,115.499
1995,25,113.539
1995,26,111.470
1995,27,109.934
1995,28,109.240
1995,29,109.156
1995,30,109.086
1995,31,109.087
1995,32,109.434
1995,33,110.187
1995,34,111.219
1995,35,112.358
1995,36,113.637
1995,37,114.785
1995,38,115.650
1995,39,116.337
1995,40,116.902
1995,41,117.100
1995,42,117.873
1995,43,119.619
1995,44,121.745
1995,45,123.599
1995,46,125.731
1995,47,125.423
1995,48,121.392
1995,49,115.072
1995,50,109.120
1995,51,102.937
1995,52,98.334
1995,53,96.457
1995,54,96.448
1995,55,96.074
1995,56,95.509
1995,57,95.958
1995,58,97.706
1995,59,100.184
1995,60,102.628
1995,61,105.300
1995,62,106.545
1995,63,105.494
1995,64,102.883
1995,65,100.133
1995,66,96.745
1995,67,93.849
1995,68,92.076
1995,69,90.708
1995,70,88.906
1995,71,87.454
1995,72,82.986
1995,73,73.940
1995,74,62.211
1995,75,50.899
1995,76,38.942
1995,77,30.568
1995,78,28.053
1995,79,29.266
1995,80,29.945
1995,81,31.106
1995,82,30.745
1995,83,27.484
1995,84,22.473
1995,85,18.220
1995,86,14.206
1995,87,10.813
1995,88,8.466
1995,89,6.862
1995,90,5.229
1995,91,3.675
1995,92,2.466
1995,93,1.638
1995,94,1.108
1995,95,0.738
1995,96,0.538
1995,97,0.392
1995,98,0.224
1995,99,0.061
1995,100,0.157
1996,0,64.835
1996,1,69.789
1996,2,77.479
1996,3,84.126
1996,4,89.807
1996,5,94.606
1996,6,98.667
1996,7,102.139
1996,8,104.763
1996,9,106.473
1996,10,107.563
1996,11,108.218
1996,12,108.218
1996,13,109.151
1996,14,111.772
1996,15,115.319
1996,16,118.372
1996,17,121.312
1996,18,123.110
1996,19,123.134
1996,20,121.944
1996,21,120.814
1996,22,119.598
1996,23,118.102
1996,24,116.393
1996,25,114.577
1996,26,112.687
1996,27,110.693
1996,28,109.217
1996,29,108.555
1996,30,108.485
1996,31,108.427
1996,32,108.438
1996,33,108.786
1996,34,109.536
1996,35,110.559
1996,36,111.683
1996,37,112.942
1996,38,114.061
1996,39,114.884
1996,40,115.520
1996,41,116.033
1996,42,116.177
1996,43,116.899
1996,44,118.596
1996,45,120.680
1996,46,122.487
1996,47,124.565
1996,48,124.225
1996,49,120.196
1996,50,113.897
1996,51,107.956
1996,52,101.780
1996,53,97.159
1996,54,95.227
1996,55,95.133
1996,56,94.670
1996,57,94.010
1996,58,94.336
1996,59,95.926
1996,60,98.221
1996,61,100.474
1996,62,102.944
1996,63,103.994
1996,64,102.769
1996,65,99.993
1996,66,97.090
1996,67,93.586
1996,68,90.508
1996,69,88.448
1996,70,86.747
1996,71,84.635
1996,72,82.842
1996,73,78.280
1996,74,69.518
1996,75,58.306
1996,76,47.494
1996,77,36.108
1996,78,28.061
1996,79,25.455
1996,80,26.330
1996,81,26.740
1996,82,27.615
1996,83,27.167
1996,84,24.148
1996,85,19.591
1996,86,15.749
1996,87,12.150
1996,88,9.135
1996,89,7.085
