year,age,population
1990,0,364.097
1990,1,346.889
1990,2,331.195
1990,3,316.883
1990,4,303.818
1990,5,291.874
1990,6,280.916
1990,7,270.813
1990,8,261.434
1990,9,252.647
1990,10,244.509
1990,11,237.077
1990,12,229.278
1990,13,220.595
1990,14,211.473
1990,15,202.783
1990,16,194.274
1990,17,186.431
1990,18,179.556
1990,19,173.338
1990,20,167.208
1990,21,161.338
1990,22,155.217
1990,23,148.548
1990,24,141.611
1990,25,134.955
1990,26,128.451
1990,27,122.358
1990,28,116.853
1990,29,111.788
1990,30,106.865
1990,31,102.173
1990,32,97.554
1990,33,92.917
1990,34,88.362
1990,35,84.066
1990,36,79.969
1990,37,76.282
1990,38,73.126
1990,39,70.381
1990,40,67.777
1990,41,65.323
1990,42,63.117
1990,43,61.172
1990,44,59.415
1990,45,57.783
1990,46,56.309
1990,47,54.693
1990,48,52.787
1990,49,50.713
1990,50,48.755
1990,51,46.859
1990,52,45.050
1990,53,43.376
1990,54,41.809
1990,55,40.264
1990,56,38.731
1990,57,37.347
1990,58,36.157
1990,59,35.099
1990,60,34.046
1990,61,33.010
1990,62,31.938
1990,63,30.782
1990,64,29.560
1990,65,28.342
1990,66,27.129
1990,67,25.802
1990,68,24.320
1990,69,22.730
1990,70,21.140
1990,71,19.553
1990,72,17.918
1990,73,16.234
1990,74,14.529
1990,75,12.857
1990,76,11.221
1990,77,9.667
1990,78,8.226
1990,79,6.898
1990,80,5.634
1990,81,4.432
1990,82,3.415
1990,83,2.635
1990,84,2.038
1990,85,1.513
1990,86,1.066
1990,87,0.719
1990,88,0.466
1990,89,0.291
1990,90,0.171
1990,91,0.127
1990,92,0.093
1990,93,0.053
1990,94,0.014
1990,95,0.008
1990,96,0.007
1990,97,0.005
1990,98,0.004
1990,99,0.002
1990,100,0.000
1991,0,373.368
1991,1,356.411
1991,2,340.263
1991,3,325.619
1991,4,312.322
1991,5,300.213
1991,6,289.190
1991,7,279.149
1991,8,269.668
1991,9,260.493
1991,10,251.619
1991,11,243.371
1991,12,235.768
1991,13,227.792
1991,14,218.990
1991,15,209.781
1991,16,200.950
1991,17,192.268
1991,18,184.285
1991,19,177.336
1991,20,171.089
1991,21,164.928
1991,22,159.029
1991,23,152.915
1991,24,146.297
1991,25,139.442
1991,26,132.877
1991,27,126.475
1991,28,120.479
1991,29,115.059
1991,30,110.069
1991,31,105.228
1991,32,100.621
1991,33,96.083
1991,34,91.518
1991,35,87.031
1991,36,82.799
1991,37,78.764
1991,38,75.134
1991,39,72.026
1991,40,69.326
1991,41,66.762
1991,42,64.344
1991,43,62.168
1991,44,60.245
1991,45,58.504
1991,46,56.885
1991,47,55.419
1991,48,53.811
1991,49,51.911
1991,50,49.845
1991,51,47.891
1991,52,45.993
1991,53,44.180
1991,54,42.496
1991,55,40.916
1991,56,39.354
1991,57,37.803
1991,58,36.394
1991,59,35.168
1991,60,34.070
1991,61,32.974
1991,62,31.897
1991,63,30.780
1991,64,29.574
1991,65,28.301
1991,66,27.037
1991,67,25.780
1991,68,24.416
1991,69,22.903
1991,70,21.291
1991,71,19.686
1991,72,18.091
1991,73,16.469
1991,74,14.826
1991,75,13.183
1991,76,11.579
1991,77,10.014
1991,78,8.551
1991,79,7.222
1991,80,6.019
1991,81,4.882
1991,82,3.810
1991,83,2.910
1991,84,2.224
1991,85,1.707
1991,86,1.260
1991,87,0.888
1991,88,0.600
1991,89,0.386
1991,90,0.234
