year,age,population
1990,0,250.940
1990,1,238.752
1990,2,227.015
1990,3,215.727
1990,4,204.880
1990,5,194.473
1990,6,184.504
1990,7,174.962
1990,8,165.849
1990,9,157.159
1990,10,148.968
1990,11,141.352
1990,12,133.904
1990,13,126.454
1990,14,119.240
1990,15,112.544
1990,16,106.155
1990,17,101.100
1990,18,97.873
1990,19,95.930
1990,20,94.198
1990,21,92.850
1990,22,91.495
1990,23,89.819
1990,24,87.967
1990,25,86.375
1990,26,84.910
1990,27,83.445
1990,28,81.947
1990,29,80.377
1990,30,78.725
1990,31,76.984
1990,32,74.966
1990,33,72.573
1990,34,69.860
1990,35,67.135
1990,36,64.528
1990,37,61.183
1990,38,56.764
1990,39,51.761
1990,40,46.898
1990,41,41.929
1990,42,38.063
1990,43,35.946
1990,44,35.001
1990,45,34.002
1990,46,33.177
1990,47,32.313
1990,48,31.174
1990,49,29.895
1990,50,28.839
1990,51,27.919
1990,52,27.049
1990,53,26.218
1990,54,25.414
1990,55,24.643
1990,56,23.913
1990,57,23.106
1990,58,22.164
1990,59,21.136
1990,60,20.133
1990,61,19.127
1990,62,18.174
1990,63,17.320
1990,64,16.525
1990,65,15.722
1990,66,14.930
1990,67,14.108
1990,68,13.233
1990,69,12.328
1990,70,11.446
1990,71,10.577
1990,72,9.726
1990,73,8.896
1990,74,8.088
1990,75,7.302
1990,76,6.542
1990,77,5.808
1990,78,5.103
1990,79,4.431
1990,80,3.796
1990,81,3.193
1990,82,2.654
1990,83,2.190
1990,84,1.792
1990,85,1.429
1990,86,1.098
1990,87,0.829
1990,88,0.624
1990,89,0.472
1990,90,0.350
1990,91,0.259
1990,92,0.186
1990,93,0.125
1990,94,0.073
1990,95,0.040
1990,96,0.029
1990,97,0.021
1990,98,0.010
1990,99,0.003
1990,100,0.007
1991,0,253.194
1991,1,245.231
1991,2,234.147
1991,3,223.364
1991,4,212.891
1991,5,202.721
1991,6,192.871
1991,7,183.356
1991,8,174.115
1991,9,165.133
1991,10,156.441
1991,11,148.185
1991,12,140.435
1991,13,132.824
1991,14,125.209
1991,15,117.827
1991,16,110.930
1991,17,104.316
1991,18,99.069
1991,19,95.712
1991,20,93.686
1991,21,91.870
1991,22,90.441
1991,23,89.051
1991,24,87.396
1991,25,85.607
1991,26,84.087
1991,27,82.709
1991,28,81.335
1991,29,79.920
1991,30,78.430
1991,31,76.870
1991,32,75.228
1991,33,73.303
1991,34,70.994
1991,35,68.358
1991,36,65.710
1991,37,63.179
1991,38,59.912
1991,39,55.578
1991,40,50.663
1991,41,45.883
1991,42,40.993
1991,43,37.195
1991,44,35.125
1991,45,34.214
1991,46,33.245
1991,47,32.447
1991,48,31.606
1991,49,30.489
1991,50,29.229
1991,51,28.188
1991,52,27.279
1991,53,26.416
1991,54,25.589
1991,55,24.786
1991,56,24.012
1991,57,23.279
1991,58,22.467
1991,59,21.521
1991,60,20.488
1991,61,19.479
1991,62,18.467
1991,63,17.507
1991,64,16.640
1991,65,15.831
1991,66,15.015
1991,67,14.212
1991,68,13.381
1991,69,12.504
1991,70,11.600
1991,71,10.720
1991,72,9.859
1991,73,9.017
1991,74,8.203
1991,75,7.415
1991,76,6.652
1991,77,5.917
1991,78,5.215
1991,79,4.553
1991,80,3.932
1991,81,3.348
1991,82,2.798
1991,83,2.309
1991,84,1.892
1991,85,1.540
1991,86,1.221
1991,87,0.935
1991,88,0.702
1991,89,0.526
1991,90,0.393
1991,91,0.290
1991,92,0.215
1991,93,0.155
1991,94,0.104
1991,95,0.059
1991,96,0.030
1991,97,0.022
1991,98,0.012
1991,99,0.003
1991,100,0.007
1992,0,253.390
1992,1,244.090
1992,2,239.446
1992,3,229.469
1992,4,219.647
1992,5,209.991
1992,6,200.503
1992,7,191.216
1992,8,182.156
1992,9,173.220
1992,10,164.371
1992,11,155.681
1992,12,147.359
1992,13,139.480
1992,14,131.706
1992,15,123.928
1992,16,116.380
1992,17,109.284
1992,18,102.444
1992,19,97.008
1992,20,93.521
1992,21,91.412
1992,22,89.513
1992,23,88.004
1992,24,86.578
1992,25,84.943
1992,26,83.219
1992,27,81.773
1992,28,80.482
1992,29,79.198
1992,30,77.868
1992,31,76.459
1992,32,74.990
1992,33,73.447
1992,34,71.618
1992,35,69.393
1992,36,66.834
1992,37,64.266
1992,38,61.809
1992,39,58.623
1992,40,54.375
1992,41,49.549
1992,42,44.853
1992,43,40.045
1992,44,36.315
1992,45,34.293
1992,46,33.416
1992,47,32.478
1992,48,31.707
1992,49,30.889
1992,50,29.793
1992,51,28.555
1992,52,27.529
1992,53,26.630
1992,54,25.775
1992,55,24.952
1992,56,24.148
1992,57,23.375
1992,58,22.638
1992,59,21.820
1992,60,20.870
1992,61,19.833
1992,62,18.819
1992,63,17.801
1992,64,16.833
1992,65,15.954
1992,66,15.132
1992,67,14.303
1992,68,13.488
1992,69,12.650
1992,70,11.769
1992,71,10.867
1992,72,9.992
1992,73,9.135
1992,74,8.306
1992,75,7.506
1992,76,6.739
1992,77,5.998
1992,78,5.288
1992,79,4.620
1992,80,4.001
1992,81,3.431
1992,82,2.899
1992,83,2.400
1992,84,1.962
1992,85,1.595
1992,86,1.287
1992,87,1.012
1992,88,0.771
1992,89,0.575
1992,90,0.426
1992,91,0.315
1992,92,0.230
1992,93,0.170
1992,94,0.124
