year,age,population
1990,0,13.315
1990,1,13.032
1990,2,12.692
1990,3,12.304
1990,4,11.878
1990,5,11.423
1990,6,10.949
1990,7,10.464
1990,8,9.981
1990,9,9.505
1990,10,9.030
1990,11,8.547
1990,12,8.157
1990,13,7.903
1990,14,7.745
1990,15,7.586
1990,16,7.450
1990,17,7.297
1990,18,7.106
1990,19,6.889
1990,20,6.684
1990,21,6.469
1990,22,6.293
1990,23,6.172
1990,24,6.078
1990,25,5.977
1990,26,5.900
1990,27,5.693
1990,28,5.280
1990,29,4.744
1990,30,4.229
1990,31,3.682
1990,32,3.285
1990,33,3.138
1990,34,3.143
1990,35,3.129
1990,36,3.148
1990,37,3.049
1990,38,2.747
1990,39,2.324
1990,40,1.953
1990,41,1.589
1990,42,1.329
1990,43,1.235
1990,44,1.255
1990,45,1.267
1990,46,1.283
1990,47,1.348
1990,48,1.466
1990,49,1.618
1990,50,1.781
1990,51,1.961
1990,52,2.078
1990,53,2.088
1990,54,2.029
1990,55,1.975
1990,56,1.907
1990,57,1.854
1990,58,1.838
1990,59,1.840
1990,60,1.827
1990,61,1.819
1990,62,1.752
1990,63,1.600
1990,64,1.395
1990,65,1.200
1990,66,0.992
1990,67,0.849
1990,68,0.809
1990,69,0.836
1990,70,0.854
1990,71,0.875
1990,72,0.879
1990,73,0.844
1990,74,0.784
1990,75,0.735
1990,76,0.687
1990,77,0.640
1990,78,0.594
1990,79,0.550
1990,80,0.504
1990,81,0.461
1990,82,0.409
1990,83,0.343
1990,84,0.271
1990,85,0.202
1990,86,0.132
1990,87,0.080
1990,88,0.053
1990,89,0.044
1990,90,0.034
1990,91,0.029
1990,92,0.024
1990,93,0.017
1990,94,0.009
1990,95,0.003
1990,96,0.003
1990,97,0.002
1990,98,0.002
1990,99,0.001
1990,100,0.001
1991,0,13.115
1991,1,13.136
1991,2,12.876
1991,3,12.556
1991,4,12.186
1991,5,11.775
1991,6,11.334
1991,7,10.872
1991,8,10.394
1991,9,9.907
1991,10,9.422
1991,11,8.936
1991,12,8.443
1991,13,8.042
1991,14,7.779
1991,15,7.611
1991,16,7.444
1991,17,7.297
1991,18,7.141
1991,19,6.955
1991,20,6.750
1991,21,6.557
1991,22,6.356
1991,23,6.191
1991,24,6.076
1991,25,5.988
1991,26,5.893
1991,27,5.822
1991,28,5.621
1991,29,5.217
1991,30,4.688
1991,31,4.180
1991,32,3.640
1991,33,3.250
1991,34,3.109
1991,35,3.121
1991,36,3.111
1991,37,3.137
1991,38,3.040
1991,39,2.741
1991,40,2.317
1991,41,1.945
1991,42,1.580
1991,43,1.319
1991,44,1.224
1991,45,1.242
1991,46,1.253
1991,47,1.266
1991,48,1.330
1991,49,1.448
1991,50,1.598
1991,51,1.760
1991,52,1.938
1991,53,2.056
1991,54,2.065
1991,55,2.007
1991,56,1.954
1991,57,1.886
1991,58,1.833
1991,59,1.815
1991,60,1.813
1991,61,1.797
1991,62,1.786
1991,63,1.716
1991,64,1.566
1991,65,1.365
1991,66,1.173
1991,67,0.969
1991,68,0.826
1991,69,0.783
1991,70,0.802
1991,71,0.814
1991,72,0.829
1991,73,0.828
1991,74,0.789
1991,75,0.728
1991,76,0.678
1991,77,0.629
1991,78,0.581
1991,79,0.536
1991,80,0.492
1991,81,0.449
1991,82,0.406
1991,83,0.357
1991,84,0.299
1991,85,0.234
1991,86,0.174
1991,87,0.113
1991,88,0.067
1991,89,0.044
1991,90,0.036
1991,91,0.027
1991,92,0.024
1991,93,0.020
1991,94,0.015
1991,95,0.007
1991,96,0.004
1991,97,0.002
1991,98,0.001
1991,99,0.001
1991,100,0.001
1992,0,12.894
1992,1,12.884
1992,2,13.017
1992,3,12.777
1992,4,12.476
1992,5,12.123
1992,6,11.726
1992,7,11.296
1992,8,10.845
1992,9,10.370
1992,10,9.877
1992,11,9.381
1992,12,8.884
1992,13,8.377
1992,14,7.964
1992,15,7.688
1992,16,7.513
1992,17,7.335
1992,18,7.178
1992,19,7.018
1992,20,6.836
1992,21,6.642
1992,22,6.461
1992,23,6.271
1992,24,6.116
1992,25,6.010
1992,26,5.925
1992,27,5.834
1992,28,5.771
1992,29,5.576
1992,30,5.176
1992,31,4.653
1992,32,4.151
1992,33,3.615
1992,34,3.229
1992,35,3.094
1992,36,3.112
1992,37,3.109
1992,38,3.138
1992,39,3.046
1992,40,2.746
1992,41,2.320
1992,42,1.946
1992,43,1.579
1992,44,1.315
1992,45,1.218
1992,46,1.235
1992,47,1.244
1992,48,1.256
1992,49,1.318
1992,50,1.435
1992,51,1.585
1992,52,1.747
1992,53,1.926
1992,54,2.041
1992,55,2.053
1992,56,1.994
1992,57,1.940
1992,58,1.874
1992,59,1.821
1992,60,1.800
1992,61,1.795
1992,62,1.776
1992,63,1.759
1992,64,1.689
1992,65,1.539
1992,66,1.342
1992,67,1.151
1992,68,0.950
1992,69,0.807
1992,70,0.760
1992,71,0.773
1992,72,0.778
1992,73,0.787
1992,74,0.780
1992,75,0.739
1992,76,0.676
1992,77,0.623
1992,78,0.574
1992,79,0.525
1992,80,0.481
1992,81,0.437
1992,82,0.395
1992,83,0.354
1992,84,0.308
1992,85,0.256
1992,86,0.199
1992,87,0.146
1992,88,0.094
1992,89,0.055
1992,90,0.034
1992,91,0.029
1992,92,0.021
1992,93,0.019
1992,94,0.017
1992,95,0.011
1992,96,0.006
1992,97,0.004
1992,98,0.002
1992,99,0.000
1992,100,0.001
1993,0,12.670
1993,1,12.794
1993,2,12.808
1993,3,12.936
1993,4,12.717
1993,5,12.432
1993,6,12.096
1993,7,11.710
1993,8,11.290
1993,9,10.849
1993,10,10.378
1993,11,9.876
1993,12,9.368
1993,13,8.857
1993,14,8.335
1993,15,7.908
1993,16,7.622
1993,17,7.436
1993,18,7.248
1993,19,7.080
1993,20,6.915
1993,21,6.737
1993,22,6.554
1993,23,6.382
1993,24,6.205
1993,25,6.060
1993,26,5.960
1993,27,5.879
1993,28,5.794
1993,29,5.736
1993,30,5.546
1993,31,5.151
1993,32,4.633
1993,33,4.133
1993,34,3.600
1993,35,3.218
1993,36,3.088
1993,37,3.113
1993,38,3.114
1993,39,3.149
1993,40,3.061
1993,41,2.759
1993,42,2.330
1993,43,1.953
1993,44,1.582
1993,45,1.315
1993,46,1.215
1993,47,1.231
1993,48,1.240
1993,49,1.249
1993,50,1.310
1993,51,1.427
1993,52,1.577
1993,53,1.739
1993,54,1.918
1993,55,2.034
1993,56,2.045
1993,57,1.987
1993,58,1.933
1993,59,1.867
1993,60,1.813
1993,61,1.791
1993,62,1.782
1993,63,1.759
1993,64,1.739
1993,65,1.667
1993,66,1.517
1993,67,1.322
1993,68,1.133
