year,age,population
1990,0,315.123
1990,1,343.374
1990,2,358.224
1990,3,361.422
1990,4,354.724
1990,5,339.885
1990,6,318.659
1990,7,292.800
1990,8,264.063
1990,9,234.201
1990,10,201.733
1990,11,165.170
1990,12,142.462
1990,13,141.836
1990,14,155.333
1990,15,167.003
1990,16,180.325
1990,17,188.435
1990,18,186.402
1990,19,177.914
1990,20,171.725
1990,21,166.248
1990,22,160.515
1990,23,154.968
1990,24,149.540
1990,25,143.685
1990,26,137.469
1990,27,131.996
1990,28,127.743
1990,29,124.332
1990,30,120.749
1990,31,117.008
1990,32,113.859
1990,33,111.514
1990,34,109.572
1990,35,107.670
1990,36,106.181
1990,37,103.025
1990,38,97.220
1990,39,89.840
1990,40,82.841
1990,41,75.711
1990,42,70.049
1990,43,66.815
1990,44,65.202
1990,45,63.412
1990,46,61.752
1990,47,60.206
1990,48,58.567
1990,49,56.899
1990,50,55.471
1990,51,54.227
1990,52,52.845
1990,53,51.187
1990,54,49.344
1990,55,47.556
1990,56,45.786
1990,57,43.941
1990,58,41.998
1990,59,39.990
1990,60,37.972
1990,61,35.940
1990,62,33.924
1990,63,31.949
1990,64,30.004
1990,65,28.066
1990,66,26.146
1990,67,24.253
1990,68,22.392
1990,69,20.568
1990,70,18.793
1990,71,17.075
1990,72,15.395
1990,73,13.746
1990,74,12.149
1990,75,10.629
1990,76,9.176
1990,77,7.859
1990,78,6.713
1990,79,5.711
1990,80,4.781
1990,81,3.931
1990,82,3.193
1990,83,2.577
1990,84,2.065
1990,85,1.625
1990,86,1.256
1990,87,0.951
1990,88,0.702
1990,89,0.504
1990,90,0.356
1990,91,0.255
1990,92,0.177
1990,93,0.110
1990,94,0.058
1990,95,0.032
1990,96,0.028
1990,97,0.026
1990,98,0.016
1990,99,0.001
1990,100,0.006
1991,0,311.667
1991,1,323.815
1991,2,345.967
1991,3,357.056
1991,4,358.437
1991,5,351.474
1991,6,337.923
1991,7,319.544
1991,8,295.706
1991,9,266.976
1991,10,235.905
1991,11,203.005
1991,12,166.386
1991,13,143.627
1991,14,142.965
1991,15,156.433
1991,16,168.063
1991,17,181.340
1991,18,189.401
1991,19,187.316
1991,20,178.774
1991,21,172.529
1991,22,166.996
1991,23,161.208
1991,24,155.614
1991,25,150.142
1991,26,144.242
1991,27,137.983
1991,28,132.466
1991,29,128.164
1991,30,124.705
1991,31,121.076
1991,32,117.290
1991,33,114.099
1991,34,111.715
1991,35,109.737
1991,36,107.800
1991,37,106.276
1991,38,103.095
1991,39,97.277
1991,40,89.892
1991,41,82.887
1991,42,75.753
1991,43,70.080
1991,44,66.827
1991,45,65.188
1991,46,63.371
1991,47,61.683
1991,48,60.105
1991,49,58.433
1991,50,56.727
1991,51,55.259
1991,52,53.974
1991,53,52.545
1991,54,50.830
1991,55,48.925
1991,56,47.075
1991,57,45.242
1991,58,43.337
1991,59,41.337
1991,60,39.277
1991,61,37.209
1991,62,35.129
1991,63,33.070
1991,64,31.056
1991,65,29.077
1991,66,27.109
1991,67,25.163
1991,68,23.256
1991,69,21.398
1991,70,19.589
1991,71,17.832
1991,72,16.141
1991,73,14.487
1991,74,12.859
1991,75,11.281
1991,76,9.785
1991,77,8.359
1991,78,7.086
1991,79,6.004
1991,80,5.084
1991,81,4.233
1991,82,3.464
1991,83,2.800
1991,84,2.244
1991,85,1.782
1991,86,1.394
1991,87,1.073
1991,88,0.811
1991,89,0.593
1991,90,0.422
1991,91,0.295
1991,92,0.212
1991,93,0.149
1991,94,0.092
1991,95,0.047
1991,96,0.030
1991,97,0.028
1991,98,0.016
1991,99,0.001
1991,100,0.006
1992,0,319.914
1992,1,348.410
1992,2,331.655
1992,3,347.640
1992,4,354.930
1992,5,354.489
1992,6,347.276
1992,7,335.053
1992,8,319.575
1992,9,297.827
1992,10,269.180
1992,11,236.981
1992,12,203.735
1992,13,167.161
1992,14,144.410
1992,15,143.712
1992,16,157.116
1992,17,168.676
1992,18,181.871
1992,19,189.863
1992,20,187.730
1992,21,179.156
1992,22,172.874
1992,23,167.298
1992,24,161.472
1992,25,155.845
1992,26,150.342
1992,27,144.415
1992,28,138.129
1992,29,132.581
1992,30,128.244
1992,31,124.745
1992,32,121.078
1992,33,117.259
1992,34,114.034
1992,35,111.618
1992,36,109.608
1992,37,107.642
1992,38,106.088
1992,39,102.889
1992,40,97.073
1992,41,89.704
1992,42,82.712
1992,43,75.591
1992,44,69.925
1992,45,66.660
1992,46,64.999
1992,47,63.161
1992,48,61.448
1992,49,59.844
1992,50,58.141
1992,51,56.402
1992,52,54.899
1992,53,53.578
1992,54,52.104
1992,55,50.336
1992,56,48.374
1992,57,46.466
1992,58,44.577
1992,59,42.615
1992,60,40.565
1992,61,38.458
1992,62,36.344
1992,63,34.224
1992,64,32.126
1992,65,30.077
1992,66,28.070
1992,67,26.078
1992,68,24.111
1992,69,22.195
1992,70,20.345
1992,71,18.555
1992,72,16.822
1992,73,15.163
1992,74,13.538
1992,75,11.935
1992,76,10.380
1992,77,8.915
1992,78,7.519
1992,79,6.291
1992,80,5.279
1992,81,4.441
1992,82,3.673
1992,83,2.987
1992,84,2.398
1992,85,1.905
1992,86,1.495
1992,87,1.157
1992,88,0.888
1992,89,0.667
1992,90,0.484
1992,91,0.337
1992,92,0.233
1992,93,0.169
1992,94,0.120
1992,95,0.074
1992,96,0.036
1992,97,0.030
1992,98,0.016
1992,99,0.001
1992,100,0.007
1993,0,334.406
1993,1,352.589
1993,2,363.593
1993,3,338.983
1993,4,348.788
1993,5,352.280
1993,6,350.018
1993,7,342.571
1993,8,331.688
1993,9,319.129
1993,10,299.498
1993,11,270.976
1993,12,237.701
1993,13,204.160
1993,14,167.682
1993,15,144.976
1993,16,144.244
1993,17,157.563
1993,18,169.035
1993,19,182.129
1993,20,190.039
1993,21,187.864
1993,22,179.270
1993,23,172.959
1993,24,167.349
1993,25,161.494
1993,26,155.842
1993,27,150.318
1993,28,144.371
1993,29,138.068
1993,30,132.499
1993,31,128.131
1993,32,124.599
1993,33,120.901
1993,34,117.052
1993,35,113.798
1993,36,111.354
1993,37,109.316
1993,38,107.324
1993,39,105.741
1993,40,102.529
1993,41,96.726
1993,42,89.382
1993,43,82.414
1993,44,75.317
1993,45,69.665
1993,46,66.394
1993,47,64.713
1993,48,62.857
1993,49,61.122
1993,50,59.494
1993,51,57.764
1993,52,55.994
1993,53,54.457
1993,54,53.101
1993,55,51.586
1993,56,49.769
1993,57,47.752
1993,58,45.790
1993,59,43.845
1993,60,41.832
1993,61,39.734
1993,62,37.583
1993,63,35.428
1993,64,33.268
1993,65,31.136
1993,66,29.057
1993,67,27.023
1993,68,25.010
1993,69,23.025
1993,70,21.105
1993,71,19.263
1993,72,17.496
1993,73,15.789
1993,74,14.164
1993,75,12.571
1993,76,10.996
1993,77,9.467
1993,78,8.032
1993,79,6.669
1993,80,5.489
1993,81,4.547
1993,82,3.794
1993,83,3.108
1993,84,2.507
1993,85,1.993
1993,86,1.564
1993,87,1.206
1993,88,0.920
1993,89,0.701
1993,90,0.523
1993,91,0.374
1993,92,0.253
1993,93,0.171
1993,94,0.126
1993,95,0.091
1993,96,0.056
1993,97,0.024
1993,98,0.018
1993,99,0.001
1993,100,0.009
1994,0,346.973
1994,1,354.967
1994,2,359.848
1994,3,361.759
1994,4,346.650
1994,5,350.305
1994,6,350.009
1994,7,345.933
1994,8,338.240
1994,9,328.686
1994,10,319.023
1994,11,301.482
1994,12,273.055
1994,13,238.672
1994,14,204.799
1994,15,168.381
1994,16,145.694
1994,17,144.927
1994,18,158.176
1994,19,169.573
1994,20,182.580
1994,21,190.417
1994,22,188.195
1994,23,179.575
1994,24,173.227
1994,25,167.579
1994,26,161.686
1994,27,156.005
1994,28,150.454
1994,29,144.480
1994,30,138.154
1994,31,132.557
1994,32,128.155
1994,33,124.585
1994,34,120.852
1994,35,116.971
1994,36,113.684
1994,37,111.209
1994,38,109.141
1994,39,107.119
1994,40,105.509
1994,41,102.279
1994,42,96.482
1994,43,89.156
1994,44,82.203
1994,45,75.125
1994,46,69.479
1994,47,66.199
1994,48,64.497
1994,49,62.621
1994,50,60.862
1994,51,59.207
1994,52,57.449
1994,53,55.647
1994,54,54.074
1994,55,52.683
1994,56,51.124
1994,57,49.256
1994,58,47.182
1994,59,45.164
1994,60,43.163
1994,61,41.095
1994,62,38.947
1994,63,36.750
1994,64,34.551
1994,65,32.352
1994,66,30.182
1994,67,28.069
1994,68,26.008
1994,69,23.972
1994,70,21.967
1994,71,20.038
1994,72,18.206
1994,73,16.458
1994,74,14.776
1994,75,13.182
1994,76,11.621
1994,77,10.070
1994,78,8.567
1994,79,7.160
1994,80,5.829
1994,81,4.695
1994,82,3.822
1994,83,3.153
1994,84,2.548
1994,85,2.030
1994,86,1.592
1994,87,1.225
1994,88,0.919
1994,89,0.685
1994,90,0.516
1994,91,0.380
1994,92,0.264
1994,93,0.169
1994,94,0.109
1994,95,0.083
1994,96,0.062
1994,97,0.038
1994,98,0.013
1994,99,0.003
1994,100,0.009
1995,0,351.586
1995,1,353.586
1995,2,355.147
1995,3,356.042
1995,4,356.038
1995,5,354.905
1995,6,352.414
1995,7,348.333
1995,8,342.433
1995,9,334.484
1995,10,326.240
1995,11,319.457
1995,12,303.977
1995,13,275.598
1995,14,240.046
1995,15,205.787
1995,16,169.365
1995,17,146.658
1995,18,145.856
1995,19,159.057
1995,20,170.398
1995,21,183.341
1995,22,191.117
1995,23,188.847
1995,24,180.183
1995,25,173.789
1995,26,168.092
1995,27,162.154
1995,28,156.432
1995,29,150.844
1995,30,144.835
1995,31,138.474
1995,32,132.840
1995,33,128.396
1995,34,124.782
1995,35,121.008
1995,36,117.088
1995,37,113.763
1995,38,111.252
1995,39,109.151
1995,40,107.097
1995,41,105.454
1995,42,102.203
1995,43,96.401
1995,44,89.081
1995,45,82.132
1995,46,75.059
1995,47,69.412
1995,48,66.116
1995,49,64.391
1995,50,62.490
1995,51,60.705
1995,52,59.021
1995,53,57.231
1995,54,55.394
1995,55,53.784
1995,56,52.353
1995,57,50.749
1995,58,48.826
1995,59,46.693
1995,60,44.614
1995,61,42.554
1995,62,40.428
1995,63,38.226
1995,64,35.980
1995,65,33.733
1995,66,31.489
1995,67,29.279
1995,68,27.130
1995,69,25.037
1995,70,22.974
1995,71,20.946
1995,72,19.006
1995,73,17.179
1995,74,15.448
1995,75,13.788
1995,76,12.223
1995,77,10.690
1995,78,9.162
1995,79,7.680
1995,80,6.301
1995,81,4.998
1995,82,3.909
1995,83,3.104
1995,84,2.516
1995,85,1.993
1995,86,1.557
1995,87,1.194
1995,88,0.888
1995,89,0.633
1995,90,0.451
1995,91,0.331
1995,92,0.238
1995,93,0.155
1995,94,0.085
1995,95,0.048
1995,96,0.040
1995,97,0.033
1995,98,0.020
1995,99,0.002
1995,100,0.010
1996,0,345.554
1996,1,349.706
1996,2,352.295
1996,3,354.240
1996,4,355.381
1996,5,355.547
1996,6,354.356
1996,7,351.425
1996,8,347.682
1996,9,343.404
1996,10,337.768
1996,11,331.632
1996,12,327.179
1996,13,312.519
1996,14,282.576
1996,15,244.000
1996,16,206.952
1996,17,167.513
1996,18,142.941
1996,19,142.246
1996,20,156.808
1996,21,169.252
1996,22,183.361
1996,23,191.968
1996,24,189.849
1996,25,180.917
1996,26,174.407
1996,27,168.590
1996,28,162.695
1996,29,157.308
1996,30,152.204
1996,31,146.613
1996,32,140.719
1996,33,135.151
1996,34,130.149
1996,35,125.599
1996,36,120.948
1996,37,116.084
1996,38,112.162
1996,39,109.635
1996,40,107.891
1996,41,106.123
1996,42,104.787
1996,43,101.751
1996,44,95.973
1996,45,88.556
1996,46,81.561
1996,47,74.456
1996,48,68.783
1996,49,65.476
1996,50,63.749
1996,51,61.834
1996,52,60.036
1996,53,58.311
1996,54,56.440
1996,55,54.497
1996,56,52.784
1996,57,51.240
1996,58,49.560
1996,59,47.622
1996,60,45.509
1996,61,43.447
1996,62,41.412
1996,63,39.279
1996,64,37.014
1996,65,34.674
1996,66,32.345
1996,67,30.022
1996,68,27.759
1996,69,25.597
1996,70,23.521
1996,71,21.477
1996,72,19.477
1996,73,17.571
1996,74,15.774
1996,75,14.077
1996,76,12.460
1996,77,10.940
1996,78,9.484
1996,79,8.083
1996,80,6.758
1996,81,5.532
1996,82,4.387
1996,83,3.429
1996,84,2.711
1996,85,2.177
1996,86,1.711
1996,87,1.329
1996,88,1.011
1996,89,0.746
1996,90,0.527
1996,91,0.372
1996,92,0.275
1996,93,0.200
1996,94,0.129
1996,95,0.069
1996,96,0.042
1996,97,0.036
1996,98,0.021
1996,99,0.002
1996,100,0.011
1997,0,332.497
1997,1,336.933
1997,2,348.171
1997,3,351.350
1997,4,353.683
1997,5,355.070
1997,6,355.408
1997,7,354.158
1997,8,350.782
1997,9,347.374
1997,10,344.716
1997,11,341.386
1997,12,337.354
1997,13,335.230
1997,14,321.374
1997,15,289.837
1997,16,248.198
1997,17,208.322
1997,18,165.825
1997,19,139.363
1997,20,138.775
1997,21,154.714
1997,22,168.271
1997,23,183.562
1997,24,193.010
1997,25,191.039
1997,26,181.831
1997,27,175.198
1997,28,169.253
1997,29,163.397
1997,30,158.341
1997,31,153.715
1997,32,148.537
1997,33,143.105
1997,34,137.596
1997,35,132.031
1997,36,126.542
1997,37,121.007
1997,38,115.194
1997,39,110.671
1997,40,108.126
1997,41,106.737
1997,42,105.253
1997,43,104.223
1997,44,101.400
1997,45,95.639
1997,46,88.118
1997,47,81.070
1997,48,73.927
1997,49,68.221
1997,50,64.901
1997,51,63.168
1997,52,61.240
1997,53,59.426
1997,54,57.658
1997,55,55.704
1997,56,53.654
1997,57,51.835
1997,58,50.177
1997,59,48.420
1997,60,46.463
1997,61,44.371
1997,62,42.323
1997,63,40.310
1997,64,38.167
1997,65,35.838
1997,66,33.402
1997,67,30.988
1997,68,28.585
1997,69,26.264
1997,70,24.088
1997,71,22.028
1997,72,20.000
1997,73,18.028
1997,74,16.152
1997,75,14.383
1997,76,12.719
1997,77,11.145
1997,78,9.665
1997,79,8.289
1997,80,7.011
1997,81,5.842
1997,82,4.769
1997,83,3.779
1997,84,2.953
1997,85,2.319
1997,86,1.840
1997,87,1.432
1997,88,1.100
1997,89,0.831
1997,90,0.604
1997,91,0.420
1997,92,0.295
1997,93,0.219
1997,94,0.161
1997,95,0.104
1997,96,0.053
1997,97,0.040
1997,98,0.022
1997,99,0.003
1997,100,0.011
1998,0,316.036
1998,1,325.409
1998,2,333.722
1998,3,346.774
1998,4,350.549
1998,5,353.269
1998,6,354.903
1998,7,355.413
1998,8,354.104
1998,9,350.281
1998,10,347.209
1998,11,346.170
1998,12,345.151
1998,13,343.226
1998,14,343.432
1998,15,330.378
1998,16,297.231
1998,17,252.506
1998,18,209.778
1998,19,164.202
1998,20,135.836
1998,21,135.353
1998,22,152.678
1998,23,167.358
1998,24,183.839
1998,25,194.132
1998,26,192.310
1998,27,182.821
1998,28,176.061
1998,29,169.988
1998,30,164.167
1998,31,159.439
1998,32,155.293
1998,33,150.526
1998,34,145.553
1998,35,140.102
1998,36,133.971
1998,37,127.537
1998,38,121.116
1998,39,114.351
1998,40,109.221
1998,41,106.657
1998,42,105.625
1998,43,104.426
1998,44,103.700
1998,45,101.089
1998,46,95.343
1998,47,87.716
1998,48,80.611
1998,49,73.426
1998,50,67.686
1998,51,64.352
1998,52,62.613
1998,53,60.669
1998,54,58.839
1998,55,57.027
1998,56,54.989
1998,57,52.831
1998,58,50.906
1998,59,49.132
1998,60,47.298
1998,61,45.322
1998,62,43.248
1998,63,41.213
1998,64,39.222
1998,65,37.069
1998,66,34.675
1998,67,32.140
1998,68,29.642
1998,69,27.156
1998,70,24.778
1998,71,22.587
1998,72,20.539
1998,73,18.529
1998,74,16.583
1998,75,14.737
1998,76,12.996
1998,77,11.363
1998,78,9.831
1998,79,8.394
1998,80,7.092
1998,81,5.942
1998,82,4.926
1998,83,4.005
1998,84,3.173
1998,85,2.476
1998,86,1.928
1998,87,1.504
1998,88,1.151
1998,89,0.873
1998,90,0.649
1998,91,0.463
1998,92,0.314
1998,93,0.216
1998,94,0.164
1998,95,0.123
1998,96,0.078
1998,97,0.037
1998,98,0.025
1998,99,0.004
1998,100,0.012
1999,0,301.435
1999,1,314.584
1999,2,325.792
1999,3,335.118
1999,4,344.986
1999,5,349.350
1999,6,352.457
1999,7,354.337
1999,8,355.018
1999,9,353.651
1999,10,349.386
1999,11,346.651
1999,12,347.236
1999,13,348.533
1999,14,348.718
1999,15,351.258
1999,16,339.021
1999,17,304.299
1999,18,256.534
1999,19,211.001
1999,20,162.393
1999,21,132.150
1999,22,131.775
1999,23,150.468
1999,24,166.255
1999,25,183.909
1999,26,195.037
1999,27,193.366
1999,28,183.606
1999,29,176.728
1999,30,170.531
1999,31,164.753
1999,32,160.361
1999,33,156.696
1999,34,152.348
1999,35,147.840
1999,36,142.454
1999,37,135.763
1999,38,128.390
1999,39,121.089
1999,40,113.376
1999,41,107.648
1999,42,105.067
1999,43,104.392
1999,44,103.479
1999,45,103.060
1999,46,100.664
1999,47,94.940
1999,48,87.214
1999,49,80.060
1999,50,72.843
1999,51,67.075
1999,52,63.728
1999,53,61.987
1999,54,60.029
1999,55,58.185
1999,56,56.332
1999,57,54.211
1999,58,51.947
1999,59,49.919
1999,60,48.031
1999,61,46.120
1999,62,44.128
1999,63,42.075
1999,64,40.056
1999,65,38.089
1999,66,35.928
1999,67,33.472
1999,68,30.840
1999,69,28.260
1999,70,25.695
1999,71,23.263
1999,72,21.057
1999,73,19.027
1999,74,17.035
1999,75,15.117
1999,76,13.303
1999,77,11.593
1999,78,9.993
1999,79,8.504
1999,80,7.111
1999,81,5.888
1999,82,4.862
1999,83,4.004
1999,84,3.237
1999,85,2.561
1999,86,1.997
1999,87,1.535
1999,88,1.164
1999,89,0.870
1999,90,0.644
1999,91,0.467
1999,92,0.321
1999,93,0.207
1999,94,0.138
1999,95,0.108
1999,96,0.083
1999,97,0.053
1999,98,0.021
1999,99,0.004
1999,100,0.012
2000,0,292.633
2000,1,306.297
2000,2,318.027
2000,3,327.919
2000,4,336.069
2000,5,342.569
2000,6,347.515
2000,7,351.001
2000,8,353.123
2000,9,353.974
2000,10,352.551
2000,11,347.852
2000,12,345.460
2000,13,347.665
2000,14,351.270
2000,15,353.563
2000,16,358.427
2000,17,347.028
2000,18,310.798
2000,19,260.086
2000,20,211.836
2000,21,160.288
2000,22,128.230
2000,23,127.961
2000,24,147.987
2000,25,164.849
2000,26,183.643
2000,27,195.583
2000,28,194.066
2000,29,184.053
2000,30,177.070
2000,31,170.762
2000,32,165.037
2000,33,160.986
2000,34,157.811
2000,35,153.887
2000,36,149.854
2000,37,144.540
2000,38,137.303
2000,39,129.007
2000,40,120.840
2000,41,112.196
2000,42,105.880
2000,43,103.287
2000,44,102.970
2000,45,102.344
2000,46,102.233
2000,47,100.055
2000,48,94.364
2000,49,86.553
2000,50,79.365
2000,51,72.127
2000,52,66.341
2000,53,62.990
2000,54,61.248
2000,55,59.280
2000,56,57.426
2000,57,55.534
2000,58,53.336
2000,59,50.970
2000,60,48.841
2000,61,46.844
2000,62,44.860
2000,63,42.856
2000,64,40.827
2000,65,38.827
2000,66,36.888
2000,67,34.723
2000,68,32.209
2000,69,29.487
2000,70,26.829
2000,71,24.189
2000,72,21.707
2000,73,19.492
2000,74,17.482
2000,75,15.513
2000,76,13.626
2000,77,11.848
2000,78,10.170
2000,79,8.608
2000,80,7.164
2000,81,5.817
2000,82,4.674
2000,83,3.777
2000,84,3.076
2000,85,2.463
2000,86,1.947
2000,87,1.514
2000,88,1.139
2000,89,0.824
2000,90,0.587
2000,91,0.414
2000,92,0.284
2000,93,0.179
2000,94,0.100
2000,95,0.059
2000,96,0.052
2000,97,0.045
2000,98,0.027
2000,99,0.005
2000,100,0.013
2001,0,292.683
2001,1,295.571
2001,2,307.958
2001,3,319.198
2001,4,329.192
2001,5,337.842
2001,6,345.414
2001,7,352.174
2001,8,356.196
2001,9,356.655
2001,10,354.542
2001,11,350.543
2001,12,343.150
2001,13,339.305
2001,14,342.087
2001,15,347.542
2001,16,351.457
2001,17,358.076
2001,18,347.789
2001,19,311.507
2001,20,260.011
2001,21,211.198
2001,22,159.124
2001,23,126.669
2001,24,126.276
2001,25,146.362
2001,26,163.215
2001,27,181.958
2001,28,193.985
2001,29,192.753
2001,30,183.147
2001,31,176.563
