year,age,population
1990,0,487.092
1990,1,469.068
1990,2,451.283
1990,3,433.781
1990,4,416.615
1990,5,399.824
1990,6,383.461
1990,7,367.568
1990,8,352.197
1990,9,337.391
1990,10,323.061
1990,11,309.118
1990,12,296.293
1990,13,284.901
1990,14,274.588
1990,15,264.652
1990,16,255.224
1990,17,245.951
1990,18,236.584
1990,19,227.273
1990,20,218.418
1990,21,209.944
1990,22,201.692
1990,23,193.632
1990,24,185.786
1990,25,178.255
1990,26,171.050
1990,27,164.031
1990,28,157.144
1990,29,150.474
1990,30,144.109
1990,31,137.975
1990,32,132.458
1990,33,127.742
1990,34,123.624
1990,35,119.703
1990,36,116.034
1990,37,112.518
1990,38,109.060
1990,39,105.686
1990,40,102.522
1990,41,99.536
1990,42,96.598
1990,43,93.646
1990,44,90.719
1990,45,87.893
1990,46,85.152
1990,47,82.464
1990,48,79.822
1990,49,77.227
1990,50,74.682
1990,51,72.181
1990,52,69.732
1990,53,67.346
1990,54,65.002
1990,55,62.688
1990,56,60.405
1990,57,58.133
1990,58,55.856
1990,59,53.584
1990,60,51.330
1990,61,49.097
1990,62,46.859
1990,63,44.608
1990,64,42.352
1990,65,40.113
1990,66,37.895
1990,67,35.673
1990,68,33.437
1990,69,31.205
1990,70,29.006
1990,71,26.848
1990,72,24.710
1990,73,22.592
1990,74,20.508
1990,75,18.490
1990,76,16.539
1990,77,14.674
1990,78,12.911
1990,79,11.249
1990,80,9.677
1990,81,8.192
1990,82,6.853
1990,83,5.689
1990,84,4.675
1990,85,3.753
1990,86,2.922
1990,87,2.228
1990,88,1.687
1990,89,1.271
1990,90,0.930
1990,91,0.667
1990,92,0.461
1990,93,0.300
1990,94,0.179
1990,95,0.110
1990,96,0.084
1990,97,0.065
1990,98,0.038
1990,99,0.013
1990,100,0.021
1991,0,496.082
1991,1,480.275
1991,2,462.970
1991,3,445.934
1991,4,429.193
1991,5,412.772
1991,6,396.730
1991,7,381.133
1991,8,365.802
1991,9,350.679
1991,10,335.909
1991,11,321.610
1991,12,307.656
1991,13,294.812
1991,14,283.435
1991,15,273.149
1991,16,263.200
1991,17,253.728
1991,18,244.426
1991,19,235.058
1991,20,225.767
1991,21,216.923
1991,22,208.457
1991,23,200.219
1991,24,192.183
1991,25,184.368
1991,26,176.869
1991,27,169.696
1991,28,162.709
1991,29,155.853
1991,30,149.212
1991,31,142.876
1991,32,136.772
1991,33,131.279
1991,34,126.579
1991,35,122.469
1991,36,118.558
1991,37,114.895
1991,38,111.386
1991,39,107.941
1991,40,104.582
1991,41,101.430
1991,42,98.455
1991,43,95.523
1991,44,92.573
1991,45,89.642
1991,46,86.813
1991,47,84.067
1991,48,81.371
1991,49,78.724
1991,50,76.124
1991,51,73.570
1991,52,71.058
1991,53,68.596
1991,54,66.193
1991,55,63.830
1991,56,61.495
1991,57,59.190
1991,58,56.890
1991,59,54.580
1991,60,52.270
1991,61,49.978
1991,62,47.709
1991,63,45.434
1991,64,43.144
1991,65,40.851
1991,66,38.579
1991,67,36.331
1991,68,34.084
1991,69,31.831
1991,70,29.589
1991,71,27.386
1991,72,25.230
1991,73,23.108
1991,74,21.021
1991,75,18.982
1991,76,17.015
1991,77,15.120
1991,78,13.325
1991,79,11.651
1991,80,10.090
1991,81,8.621
1991,82,7.241
1991,83,6.009
1991,84,4.953
1991,85,4.045
1991,86,3.227
1991,87,2.498
1991,88,1.895
1991,89,1.423
1991,90,1.062
1991,91,0.772
1991,92,0.555
1991,93,0.386
1991,94,0.249
1991,95,0.145
1991,96,0.089
1991,97,0.067
1991,98,0.041
1991,99,0.013
1991,100,0.022
1992,0,505.497
1992,1,488.640
1992,2,473.640
1992,3,457.045
1992,4,440.755
1992,5,424.766
1992,6,409.084
1992,7,393.783
1992,8,378.948
1992,9,364.170
1992,10,349.292
1992,11,334.552
1992,12,320.277
1992,13,306.308
1992,14,293.442
1992,15,282.073
1992,16,271.812
1992,17,261.847
1992,18,252.326
1992,19,242.991
1992,20,233.621
1992,21,224.345
1992,22,215.509
1992,23,207.047
1992,24,198.820
1992,25,190.807
1992,26,183.019
1992,27,175.548
1992,28,168.406
1992,29,161.448
1992,30,154.620
1992,31,148.006
1992,32,141.696
1992,33,135.621
1992,34,130.149
1992,35,125.462
1992,36,121.362
1992,37,117.456
1992,38,113.798
1992,39,110.298
1992,40,106.862
1992,41,103.517
1992,42,100.376
1992,43,97.410
1992,44,94.484
1992,45,91.535
1992,46,88.600
1992,47,85.766
1992,48,83.012
1992,49,80.310
1992,50,77.656
1992,51,75.048
1992,52,72.486
1992,53,69.963
1992,54,67.486
1992,55,65.066
1992,56,62.682
1992,57,60.325
1992,58,57.997
1992,59,55.669
1992,60,53.325
1992,61,50.976
1992,62,48.646
1992,63,46.339
1992,64,44.026
1992,65,41.698
1992,66,39.366
1992,67,37.059
1992,68,34.782
1992,69,32.509
1992,70,30.238
1992,71,27.984
1992,72,25.777
1992,73,23.624
1992,74,21.515
1992,75,19.459
1992,76,17.464
1992,77,15.547
1992,78,13.707
1992,79,11.984
1992,80,10.395
1992,81,8.936
1992,82,7.568
1992,83,6.294
1992,84,5.168
1992,85,4.219
1992,86,3.416
1992,87,2.702
1992,88,2.077
1992,89,1.562
1992,90,1.160
1992,91,0.853
1992,92,0.615
1992,93,0.443
1992,94,0.311
1992,95,0.199
1992,96,0.111
1992,97,0.069
1992,98,0.043
1992,99,0.013
1992,100,0.024
1993,0,515.247
1993,1,498.325
1993,2,481.721
1993,3,467.119
1993,4,451.230
1993,5,435.679
1993,6,420.441
1993,7,405.492
1993,8,390.931
1993,9,376.852
1993,10,362.626
1993,11,347.988
1993,12,333.274
1993,13,319.021
1993,14,305.033
1993,15,292.141
1993,16,280.779
1993,17,270.540
1993,18,260.554
1993,19,250.986
1993,20,241.614
1993,21,232.238
1993,22,222.977
1993,23,214.146
1993,24,205.686
1993,25,197.470
1993,26,189.475
1993,27,181.714
1993,28,174.269
1993,29,167.155
1993,30,160.226
1993,31,153.424
1993,32,146.835
1993,33,140.550
1993,34,134.501
1993,35,129.051
1993,36,124.375
1993,37,120.283
1993,38,116.383
1993,39,112.729
1993,40,109.234
1993,41,105.810
1993,42,102.476
1993,43,99.347
1993,44,96.388
1993,45,93.468
1993,46,90.517
1993,47,87.580
1993,48,84.739
1993,49,81.977
1993,50,79.268
1993,51,76.606
1993,52,73.992
1993,53,71.418
1993,54,68.884
1993,55,66.393
1993,56,63.953
1993,57,61.550
1993,58,59.169
1993,59,56.819
1993,60,54.462
1993,61,52.082
1993,62,49.694
1993,63,47.326
1993,64,44.980
1993,65,42.629
1993,66,40.261
1993,67,37.891
1993,68,35.549
1993,69,33.240
1993,70,30.942
1993,71,28.652
1993,72,26.387
1993,73,24.175
1993,74,22.021
1993,75,19.929
1993,76,17.901
1993,77,15.950
1993,78,14.083
1993,79,12.299
1993,80,10.644
1993,81,9.143
1993,82,7.783
1993,83,6.518
1993,84,5.348
1993,85,4.329
1993,86,3.485
1993,87,2.789
1993,88,2.178
1993,89,1.656
1993,90,1.229
1993,91,0.898
1993,92,0.645
1993,93,0.457
1993,94,0.332
1993,95,0.235
1993,96,0.149
1993,97,0.077
1993,98,0.044
1993,99,0.015
1993,100,0.025
1994,0,525.188
1994,1,507.987
1994,2,491.325
1994,3,475.164
1994,4,460.681
1994,5,445.497
1994,6,430.683
1994,7,416.192
1994,8,401.976
1994,9,388.149
1994,10,374.826
1994,11,361.149
1994,12,346.747
1994,13,332.058
1994,14,317.824
1994,15,303.814
1994,16,290.894
1994,17,279.537
1994,18,269.316
1994,19,259.311
1994,20,249.690
1994,21,240.282
1994,22,230.899
1994,23,221.649
1994,24,212.823
1994,25,204.363
1994,26,196.155
1994,27,188.178
1994,28,180.442
1994,29,173.023
1994,30,165.935
1994,31,159.033
1994,32,152.256
1994,33,145.690
1994,34,139.431
1994,35,133.406
1994,36,127.975
1994,37,123.311
1994,38,119.226
1994,39,115.332
1994,40,111.679
1994,41,108.192
1994,42,104.775
1994,43,101.456
1994,44,98.334
1994,45,95.384
1994,46,92.469
1994,47,89.517
1994,48,86.574
1994,49,83.728
1994,50,80.958
1994,51,78.239
1994,52,75.571
1994,53,72.948
1994,54,70.364
1994,55,67.818
1994,56,65.311
1994,57,62.853
1994,58,60.427
1994,59,58.025
1994,60,55.650
1994,61,53.264
1994,62,50.849
1994,63,48.422
1994,64,46.013
1994,65,43.630
1994,66,41.239
1994,67,38.831
1994,68,36.422
1994,69,34.045
1994,70,31.704
1994,71,29.381
1994,72,27.071
1994,73,24.794
1994,74,22.576
1994,75,20.424
1994,76,18.344
1994,77,16.346
1994,78,14.440
1994,79,12.620
1994,80,10.892
1994,81,9.306
1994,82,7.892
1994,83,6.632
1994,84,5.468
1994,85,4.403
1994,86,3.490
1994,87,2.753
1994,88,2.161
1994,89,1.655
1994,90,1.234
1994,91,0.898
1994,92,0.634
1994,93,0.437
1994,94,0.299
1994,95,0.221
1994,96,0.160
1994,97,0.099
1994,98,0.043
1994,99,0.015
1994,100,0.027
1995,0,535.244
1995,1,517.677
1995,2,500.869
1995,3,484.750
1995,4,469.248
1995,5,454.293
1995,6,439.811
1995,7,425.733
1995,8,411.988
1995,9,398.503
1995,10,385.411
1995,11,372.842
1995,12,359.712
1995,13,345.546
1995,14,330.879
1995,15,316.662
1995,16,302.630
1995,17,289.679
1995,18,278.326
1995,19,268.124
1995,20,258.096
1995,21,248.423
1995,22,238.976
1995,23,229.585
1995,24,220.346
1995,25,211.523
1995,26,203.063
1995,27,194.862
1995,28,186.902
1995,29,179.190
1995,30,171.795
1995,31,164.734
1995,32,157.857
1995,33,151.105
1995,34,144.562
1995,35,138.326
1995,36,132.326
1995,37,126.914
1995,38,122.261
1995,39,118.181
1995,40,114.293
1995,41,110.643
1995,42,107.160
1995,43,103.753
1995,44,100.445
1995,45,97.333
1995,46,94.391
1995,47,91.479
1995,48,88.527
1995,49,85.578
1995,50,82.725
1995,51,79.947
1995,52,77.220
1995,53,74.543
1995,54,71.912
1995,55,69.318
1995,56,66.758
1995,57,64.236
1995,58,61.759
1995,59,59.312
1995,60,56.886
1995,61,54.487
1995,62,52.072
1995,63,49.621
1995,64,47.153
1995,65,44.706
1995,66,42.283
1995,67,39.853
1995,68,37.405
1995,69,34.957
1995,70,32.543
1995,71,30.172
1995,72,27.821
1995,73,25.492
1995,74,23.203
1995,75,20.979
1995,76,18.827
1995,77,16.762
1995,78,14.792
1995,79,12.929
1995,80,11.159
1995,81,9.485
1995,82,7.968
1995,83,6.641
1995,84,5.481
1995,85,4.419
1995,86,3.457
1995,87,2.651
1995,88,2.020
1995,89,1.534
1995,90,1.131
1995,91,0.813
1995,92,0.565
1995,93,0.372
1995,94,0.228
1995,95,0.142
1995,96,0.109
1995,97,0.085
1995,98,0.049
1995,99,0.009
1995,100,0.028
1996,0,544.827
1996,1,528.148
1996,2,511.326
1996,3,495.296
1996,4,479.964
1996,5,465.233
1996,6,451.050
1996,7,437.360
1996,8,423.858
1996,9,410.362
1996,10,396.903
1996,11,383.831
1996,12,371.236
1996,13,358.078
1996,14,343.923
1996,15,329.288
1996,16,315.056
1996,17,300.979
1996,18,287.986
1996,19,276.604
1996,20,266.382
1996,21,256.328
1996,22,246.623
1996,23,237.154
1996,24,227.752
1996,25,218.512
1996,26,209.691
1996,27,201.233
1996,28,193.041
1996,29,185.098
1996,30,177.407
1996,31,170.035
1996,32,163.003
1996,33,156.155
1996,34,149.434
1996,35,142.925
1996,36,136.723
1996,37,130.757
1996,38,125.379
1996,39,120.763
1996,40,116.719
1996,41,112.865
1996,42,109.250
1996,43,105.792
1996,44,102.398
1996,45,99.093
1996,46,95.983
1996,47,93.041
1996,48,90.130
1996,49,87.186
1996,50,84.249
1996,51,81.403
1996,52,78.630
1996,53,75.901
1996,54,73.218
1996,55,70.573
1996,56,67.965
1996,57,65.388
1996,58,62.842
1996,59,60.334
1996,60,57.849
1996,61,55.384
1996,62,52.947
1996,63,50.492
1996,64,48.000
1996,65,45.493
1996,66,43.008
1996,67,40.553
1996,68,38.095
1996,69,35.625
1996,70,33.164
1996,71,30.742
1996,72,28.371
1996,73,26.034
1996,74,23.737
1996,75,21.493
1996,76,19.324
1996,77,17.231
1996,78,15.241
1996,79,13.367
1996,80,11.612
1996,81,9.954
1996,82,8.395
1996,83,6.996
1996,84,5.789
1996,85,4.748
1996,86,3.805
1996,87,2.959
1996,88,2.256
1996,89,1.705
1996,90,1.283
1996,91,0.940
1996,92,0.677
1996,93,0.473
1996,94,0.309
1996,95,0.185
1996,96,0.114
1996,97,0.088
1996,98,0.051
1996,99,0.010
1996,100,0.029
1997,0,554.641
1997,1,536.253
1997,2,521.201
1997,3,505.120
1997,4,489.864
1997,5,475.313
1997,6,461.348
1997,7,447.933
1997,8,435.032
1997,9,422.100
1997,10,408.851
1997,11,395.415
1997,12,382.357
1997,13,369.734
1997,14,356.543
1997,15,342.397
1997,16,327.788
1997,17,313.539
1997,18,299.412
1997,19,286.373
1997,20,274.959
1997,21,264.715
1997,22,254.631
1997,23,244.893
1997,24,235.398
1997,25,225.983
1997,26,216.740
1997,27,207.917
1997,28,199.459
1997,29,191.276
1997,30,183.345
1997,31,175.674
1997,32,168.324
1997,33,161.317
1997,34,154.496
1997,35,147.807
1997,36,141.328
1997,37,135.158
1997,38,129.225
1997,39,123.881
1997,40,119.299
1997,41,115.289
