year,age,population
1990,0,379.971
1990,1,384.410
1990,2,387.215
1990,3,388.609
1990,4,388.816
1990,5,388.060
1990,6,386.565
1990,7,384.554
1990,8,382.250
1990,9,379.877
1990,10,377.483
1990,11,375.112
1990,12,373.876
1990,13,374.352
1990,14,376.233
1990,15,378.815
1990,16,382.464
1990,17,386.707
1990,18,391.320
1990,19,396.761
1990,20,402.570
1990,21,407.461
1990,22,418.154
1990,23,437.506
1990,24,461.695
1990,25,484.446
1990,26,507.499
1990,27,523.272
1990,28,527.515
1990,29,523.729
1990,30,520.080
1990,31,515.412
1990,32,508.591
1990,33,500.023
1990,34,490.106
1990,35,478.395
1990,36,464.476
1990,37,452.855
1990,38,445.573
1990,39,440.569
1990,40,434.366
1990,41,428.424
1990,42,417.848
1990,43,400.106
1990,44,377.943
1990,45,356.758
1990,46,335.605
1990,47,316.695
1990,48,301.719
1990,49,289.732
1990,50,277.744
1990,51,265.933
1990,52,257.223
1990,53,252.633
1990,54,250.904
1990,55,249.639
1990,56,249.186
1990,57,248.444
1990,58,246.571
1990,59,243.949
1990,60,241.631
1990,61,239.214
1990,62,236.624
1990,63,233.865
1990,64,230.667
1990,65,227.116
1990,66,223.638
1990,67,217.477
1990,68,207.413
1990,69,194.872
1990,70,182.304
1990,71,168.985
1990,72,157.572
1990,73,149.563
1990,74,143.633
1990,75,137.143
1990,76,130.844
1990,77,123.195
1990,78,113.230
1990,79,101.902
1990,80,91.125
1990,81,80.520
1990,82,70.801
1990,83,62.524
1990,84,55.320
1990,85,48.273
1990,86,41.556
1990,87,35.408
1990,88,29.856
1990,89,24.871
1990,90,20.351
1990,91,16.268
1990,92,12.796
1990,93,9.998
1990,94,7.762
1990,95,5.875
1990,96,4.336
1990,97,3.109
1990,98,2.135
1990,99,1.393
1990,100,2.476
1991,0,386.062
1991,1,384.030
1991,2,387.660
1991,3,389.982
1991,4,391.171
1991,5,391.400
1991,6,390.868
1991,7,389.776
1991,8,388.168
1991,9,386.169
1991,10,384.028
1991,11,381.943
1991,12,379.963
1991,13,378.895
1991,14,379.190
1991,15,380.669
1991,16,382.875
1991,17,386.113
1991,18,390.050
1991,19,394.548
1991,20,399.995
1991,21,405.772
1991,22,410.622
1991,23,421.267
1991,24,440.551
1991,25,464.658
1991,26,487.336
1991,27,510.321
1991,28,526.015
1991,29,530.164
1991,30,526.272
1991,31,522.514
1991,32,517.735
1991,33,510.792
1991,34,502.096
1991,35,492.041
1991,36,480.188
1991,37,466.120
1991,38,454.351
1991,39,446.922
1991,40,441.770
1991,41,435.423
1991,42,429.353
1991,43,418.613
1991,44,400.656
1991,45,378.251
1991,46,356.835
1991,47,335.429
1991,48,316.379
1991,49,301.434
1991,50,289.581
1991,51,277.703
1991,52,266.007
1991,53,257.331
1991,54,252.646
1991,55,250.726
1991,56,249.275
1991,57,248.624
1991,58,247.642
1991,59,245.484
1991,60,242.541
1991,61,239.890
1991,62,237.131
1991,63,234.175
1991,64,231.023
1991,65,227.421
1991,66,223.465
1991,67,219.572
1991,68,213.064
1991,69,202.756
1991,70,190.041
1991,71,177.311
1991,72,163.873
1991,73,152.280
1991,74,143.973
1991,75,137.695
1991,76,130.905
1991,77,124.324
1991,78,116.541
1991,79,106.663
1991,80,95.576
1991,81,85.053
1991,82,74.739
1991,83,65.324
1991,84,57.335
