year,age,population
1990,0,797.895
1990,1,802.112
1990,2,801.314
1990,3,796.208
1990,4,787.549
1990,5,776.096
1990,6,762.581
1990,7,747.735
1990,8,732.320
1990,9,717.080
1990,10,700.948
1990,11,682.876
1990,12,672.600
1990,13,674.468
1990,14,683.804
1990,15,691.991
1990,16,701.144
1990,17,705.047
1990,18,699.828
1990,19,688.630
1990,20,677.855
1990,21,665.501
1990,22,655.217
1990,23,649.212
1990,24,645.021
1990,25,639.216
1990,26,633.985
1990,27,620.412
1990,28,594.187
1990,29,560.284
1990,30,527.243
1990,31,492.501
1990,32,465.347
1990,33,451.026
1990,34,444.822
1990,35,437.288
1990,36,430.821
1990,37,420.945
1990,38,404.655
1990,39,384.650
1990,40,366.455
1990,41,348.689
1990,42,333.899
1990,43,323.824
1990,44,316.918
1990,45,309.797
1990,46,302.991
1990,47,296.384
1990,48,289.558
1990,49,282.601
1990,50,276.147
1990,51,270.251
1990,52,263.367
1990,53,254.863
1990,54,245.408
1990,55,236.205
1990,56,226.963
1990,57,218.509
1990,58,211.361
1990,59,205.077
1990,60,198.675
1990,61,192.336
1990,62,185.996
1990,63,179.552
1990,64,173.025
1990,65,166.640
1990,66,160.401
1990,67,153.962
1990,68,147.225
1990,69,140.314
1990,70,133.435
1990,71,126.501
1990,72,119.857
1990,73,113.674
1990,74,107.773
1990,75,101.830
1990,76,95.975
1990,77,89.734
1990,78,82.872
1990,79,75.624
1990,80,68.600
1990,81,61.751
1990,82,54.960
1990,83,48.267
1990,84,41.760
1990,85,35.496
1990,86,29.428
1990,87,24.131
1990,88,19.863
1990,89,16.406
1990,90,13.219
1990,91,10.368
1990,92,7.950
1990,93,5.922
1990,94,4.273
1990,95,2.539
1990,96,1.805
1990,97,1.238
1990,98,0.779
1990,99,0.428
1990,100,1.330
1991,0,790.323
1991,1,797.002
1991,2,799.629
1991,3,797.894
1991,4,792.415
1991,5,783.797
1991,6,772.810
1991,7,760.172
1991,8,745.897
1991,9,730.370
1991,10,714.585
1991,11,698.116
1991,12,679.872
1991,13,669.155
1991,14,670.195
1991,15,678.507
1991,16,685.713
1991,17,693.852
1991,18,697.114
1991,19,691.837
1991,20,680.985
1991,21,670.541
1991,22,658.556
1991,23,648.666
1991,24,642.998
1991,25,639.118
1991,26,633.690
1991,27,628.860
1991,28,615.704
1991,29,589.909
1991,30,556.430
1991,31,523.813
1991,32,489.497
1991,33,462.661
1991,34,448.502
1991,35,442.356
1991,36,434.871
1991,37,428.430
1991,38,418.604
1991,39,402.411
1991,40,382.540
1991,41,364.441
1991,42,346.752
1991,43,332.043
1991,44,322.049
1991,45,315.225
1991,46,308.175
1991,47,301.439
1991,48,294.832
1991,49,287.926
1991,50,280.832
1991,51,274.227
1991,52,268.165
1991,53,261.150
1991,54,252.568
1991,55,243.070
1991,56,233.806
1991,57,224.500
1991,58,215.947
