year,age,population
1990,0,108.311
1990,1,104.122
1990,2,100.148
1990,3,96.381
1990,4,92.807
1990,5,89.418
1990,6,86.200
1990,7,83.145
1990,8,80.242
1990,9,77.478
1990,10,74.847
1990,11,72.342
1990,12,69.936
1990,13,67.609
1990,14,65.364
1990,15,63.216
1990,16,61.163
1990,17,59.150
1990,18,57.148
1990,19,55.177
1990,20,53.282
1990,21,51.446
1990,22,49.699
1990,23,48.058
1990,24,46.502
1990,25,44.988
1990,26,43.522
1990,27,42.101
1990,28,40.721
1990,29,39.379
1990,30,38.079
1990,31,36.834
1990,32,35.564
1990,33,34.240
1990,34,32.897
1990,35,31.609
1990,36,30.372
1990,37,29.187
1990,38,28.068
1990,39,27.014
1990,40,26.002
1990,41,25.010
1990,42,24.185
1990,43,23.591
1990,44,23.151
1990,45,22.729
1990,46,22.354
1990,47,21.921
1990,48,21.360
1990,49,20.721
1990,50,20.119
1990,51,19.531
1990,52,18.946
1990,53,18.376
1990,54,17.813
1990,55,17.240
1990,56,16.662
1990,57,16.088
1990,58,15.517
1990,59,14.950
1990,60,14.376
1990,61,13.803
1990,62,13.206
1990,63,12.575
1990,64,11.921
1990,65,11.272
1990,66,10.623
1990,67,9.970
1990,68,9.305
1990,69,8.638
1990,70,7.981
1990,71,7.328
1990,72,6.709
1990,73,6.139
1990,74,5.606
1990,75,5.088
1990,76,4.592
1990,77,4.105
1990,78,3.622
1990,79,3.147
1990,80,2.705
1990,81,2.285
1990,82,1.908
1990,83,1.581
1990,84,1.297
1990,85,1.037
1990,86,0.801
1990,87,0.606
1990,88,0.456
1990,89,0.344
1990,90,0.252
1990,91,0.181
1990,92,0.127
1990,93,0.082
1990,94,0.048
1990,95,0.029
1990,96,0.022
1990,97,0.016
1990,98,0.008
1990,99,0.003
1990,100,0.006
1991,0,109.278
1991,1,106.247
1991,2,102.345
1991,3,98.638
1991,4,95.115
1991,5,91.762
1991,6,88.574
1991,7,85.542
1991,8,82.628
1991,9,79.805
1991,10,77.077
1991,11,74.471
1991,12,71.974
1991,13,69.578
1991,14,67.280
1991,15,65.073
1991,16,62.949
1991,17,60.913
1991,18,58.910
1991,19,56.916
1991,20,54.950
1991,21,53.056
1991,22,51.218
1991,23,49.468
1991,24,47.816
1991,25,46.248
1991,26,44.722
1991,27,43.241
1991,28,41.808
1991,29,40.419
1991,30,39.071
1991,31,37.765
1991,32,36.515
1991,33,35.242
1991,34,33.919
1991,35,32.582
1991,36,31.299
1991,37,30.068
1991,38,28.890
1991,39,27.779
1991,40,26.732
1991,41,25.728
1991,42,24.744
1991,43,23.924
1991,44,23.326
1991,45,22.880
1991,46,22.450
1991,47,22.067
1991,48,21.627
1991,49,21.059
1991,50,20.417
1991,51,19.807
1991,52,19.213
1991,53,18.621
1991,54,18.041
1991,55,17.469
1991,56,16.887
1991,57,16.299
1991,58,15.714
1991,59,15.131
1991,60,14.550
1991,61,13.964
1991,62,13.377
1991,63,12.769
1991,64,12.127
1991,65,11.462
1991,66,10.805
1991,67,10.149
1991,68,9.491
1991,69,8.823
1991,70,8.158
1991,71,7.504
1991,72,6.856
1991,73,6.244
1991,74,5.683
1991,75,5.162
1991,76,4.657
1991,77,4.176
1991,78,3.709
1991,79,3.251
1991,80,2.809
1991,81,2.397
1991,82,2.009
1991,83,1.664
1991,84,1.369
1991,85,1.117
1991,86,0.887
1991,87,0.682
1991,88,0.514
1991,89,0.383
1991,90,0.286
1991,91,0.208
1991,92,0.150
1991,93,0.106
1991,94,0.068
1991,95,0.039
1991,96,0.023
1991,97,0.016
1991,98,0.010
1991,99,0.003
1991,100,0.006
1992,0,110.283
1992,1,106.677
1992,2,104.428
1992,3,100.805
1992,4,97.356
1992,5,94.068
1992,6,90.927
1992,7,87.932
