year,age,population
1990,0,3337.396
1990,1,3275.046
1990,2,3220.395
1990,3,3172.554
1990,4,3130.623
1990,5,3093.711
1990,6,3060.906
1990,7,3031.324
1990,8,3004.072
1990,9,2978.243
1990,10,2951.402
1990,11,2921.088
1990,12,2894.163
1990,13,2872.835
1990,14,2851.542
1990,15,2826.928
1990,16,2804.915
1990,17,2750.478
1990,18,2647.544
1990,19,2514.115
1990,20,2383.358
1990,21,2247.481
1990,22,2130.753
1990,23,2048.213
1990,24,1988.239
1990,25,1923.935
1990,26,1860.474
1990,27,1798.279
1990,28,1734.786
1990,29,1671.417
1990,30,1611.307
1990,31,1552.815
1990,32,1498.304
1990,33,1448.912
1990,34,1402.489
1990,35,1357.491
1990,36,1316.342
1990,37,1265.874
1990,38,1200.055
1990,39,1125.854
1990,40,1054.960
1990,41,983.467
1990,42,925.894
1990,43,890.148
1990,44,868.781
1990,45,846.996
1990,46,828.402
1990,47,805.526
1990,48,773.361
1990,49,736.150
1990,50,702.455
1990,51,669.734
1990,52,642.861
1990,53,624.846
1990,54,612.540
1990,55,599.841
1990,56,588.076
1990,57,573.923
1990,58,555.153
1990,59,533.385
1990,60,512.447
1990,61,491.513
1990,62,470.548
1990,63,449.906
1990,64,429.274
1990,65,408.545
1990,66,388.415
1990,67,365.952
1990,68,339.898
1990,69,312.024
1990,70,284.840
1990,71,257.259
1990,72,234.473
1990,73,219.125
1990,74,208.634
1990,75,197.991
1990,76,188.463
1990,77,177.022
1990,78,161.747
1990,79,144.291
1990,80,128.217
1990,81,112.789
1990,82,98.765
1990,83,86.878
1990,84,76.599
1990,85,66.676
1990,86,57.368
1990,87,48.744
1990,88,40.707
1990,89,33.338
1990,90,26.705
1990,91,20.713
1990,92,15.746
1990,93,11.998
1990,94,9.213
1990,95,6.898
1990,96,5.093
1990,97,3.679
1990,98,2.527
1990,99,1.628
1990,100,3.711
1991,0,3357.861
1991,1,3318.910
1991,2,3261.033
1991,3,3209.227
1991,4,3162.843
1991,5,3121.229
1991,6,3083.522
1991,7,3048.837
1991,8,3017.621
1991,9,2989.647
1991,10,2963.620
1991,11,2936.107
1991,12,2904.968
1991,13,2876.964
1991,14,2854.202
1991,15,2831.349
1991,16,2805.278
1991,17,2781.720
1991,18,2726.742
1991,19,2624.785
1991,20,2493.322
1991,21,2364.469
1991,22,2230.668
1991,23,2115.631
1991,24,2034.014
1991,25,1974.478
1991,26,1910.775
1991,27,1847.939
1991,28,1786.389
1991,29,1723.614
1991,30,1660.994
1991,31,1601.556
1991,32,1543.694
1991,33,1489.727
1991,34,1440.771
1991,35,1394.694
1991,36,1350.017
1991,37,1309.134
1991,38,1258.928
1991,39,1193.380
1991,40,1119.444
1991,41,1048.773
1991,42,977.474
1991,43,920.020
1991,44,884.296
1991,45,862.877
1991,46,841.020
1991,47,822.314
1991,48,799.344
1991,49,767.138
1991,50,729.902
1991,51,696.158
1991,52,663.366
1991,53,636.365
1991,54,618.128
1991,55,605.538
1991,56,592.554
1991,57,580.497
1991,58,566.053
1991,59,547.023
1991,60,525.008
1991,61,503.825
1991,62,482.668
1991,63,461.468
1991,64,440.569
1991,65,419.683
1991,66,398.718
1991,67,378.330
1991,68,355.753
1991,69,329.791
1991,70,302.138
1991,71,275.175
1991,72,247.882
1991,73,225.205
1991,74,209.672
1991,75,198.828
1991,76,187.904
1991,77,178.115
1991,78,166.569
1991,79,151.448
1991,80,134.327
1991,81,118.593
1991,82,103.538
1991,83,89.974
1991,84,78.646
1991,85,68.997
1991,86,59.728
1991,87,51.096
1991,88,43.169
1991,89,35.842
1991,90,29.182
1991,91,23.245
1991,92,17.951
1991,93,13.575
1991,94,10.275
1991,95,7.825
1991,96,5.434
1991,97,3.890
1991,98,2.666
1991,99,1.735
1991,100,3.941
1992,0,3378.701
1992,1,3327.674
1992,2,3301.669
1992,3,3248.239
1992,4,3199.252
1992,5,3154.307
1992,6,3113.000
1992,7,3074.484
1992,8,3037.918
1992,9,3005.067
1992,10,2976.380
1992,11,2950.154
1992,12,2921.971
1992,13,2890.011
1992,14,2860.939
1992,15,2836.751
1992,16,2812.345
1992,17,2784.820
1992,18,2759.722
1992,19,2704.194
1992,20,2603.172
1992,21,2473.610
1992,22,2346.603
1992,23,2214.814
1992,24,2101.409
1992,25,2020.687
1992,26,1961.565
1992,27,1898.440
1992,28,1836.206
1992,29,1775.276
1992,30,1713.194
1992,31,1651.297
1992,32,1592.511
1992,33,1535.252
1992,34,1481.809
1992,35,1433.263
1992,36,1387.520
1992,37,1343.131
1992,38,1302.504
1992,39,1252.529
1992,40,1187.226
1992,41,1113.515
1992,42,1043.030
1992,43,971.893
1992,44,914.530
1992,45,878.814
1992,46,857.341
1992,47,835.402
1992,48,816.586
1992,49,793.515
1992,50,761.250
1992,51,723.977
1992,52,690.154
1992,53,657.287
1992,54,630.135
1992,55,611.672
1992,56,598.792
1992,57,585.521
1992,58,573.161
1992,59,558.427
1992,60,539.125
1992,61,516.856
1992,62,495.424
1992,63,474.030
1992,64,452.588
1992,65,431.423
1992,66,410.276
1992,67,389.063
1992,68,368.413
1992,69,345.713
1992,70,319.834
1992,71,292.383
1992,72,265.638
1992,73,238.615
1992,74,216.038
1992,75,200.315
1992,76,189.114
1992,77,177.907
1992,78,167.846
1992,79,156.198
1992,80,141.222
1992,81,124.424
1992,82,109.033
1992,83,94.339
1992,84,81.227
1992,85,70.455
1992,86,61.429
1992,87,52.815
1992,88,44.850
1992,89,37.617
1992,90,30.997
1992,91,25.041
1992,92,19.800
1992,93,15.195
1992,94,11.414
1992,95,8.556
1992,96,6.442
1992,97,4.118
1992,98,2.820
1992,99,1.853
1992,100,4.178
1993,0,3398.803
1993,1,3353.620
1993,2,3309.595
1993,3,3284.816
1993,4,3235.827
1993,5,3189.657
1993,6,3146.150
1993,7,3105.140
1993,8,3065.819
1993,9,3027.370
1993,10,2992.873
1993,11,2963.475
1993,12,2937.055
1993,13,2908.210
1993,14,2875.428
1993,15,2845.287
1993,16,2819.672
1993,17,2793.724
1993,18,2764.744
1993,19,2738.116
1993,20,2682.028
1993,21,2581.932
1993,22,2454.249
1993,23,2329.071
1993,24,2199.275
1993,25,2087.489
1993,26,2007.645
1993,27,1948.938
1993,28,1886.379
1993,29,1824.743
1993,30,1764.423
1993,31,1703.031
1993,32,1641.845
1993,33,1583.708
1993,34,1527.042
1993,35,1474.115
1993,36,1425.968
1993,37,1380.549
1993,38,1336.450
1993,39,1296.064
1993,40,1246.313
1993,41,1181.244
1993,42,1107.748
1993,43,1037.439
1993,44,966.450
1993,45,909.172
