year,age,population
1990,0,1545.465
1990,1,1503.683
1990,2,1461.729
1990,3,1419.842
1990,4,1378.254
1990,5,1337.212
1990,6,1296.938
1990,7,1257.689
1990,8,1219.692
1990,9,1183.186
1990,10,1147.679
1990,11,1112.671
1990,12,1082.071
1990,13,1057.578
1990,14,1037.236
1990,15,1018.396
1990,16,1002.820
1990,17,983.148
1990,18,955.855
1990,19,924.995
1990,20,896.197
1990,21,865.978
1990,22,848.778
1990,23,851.596
1990,24,866.493
1990,25,878.830
1990,26,891.889
1990,27,895.387
1990,28,882.847
1990,29,859.072
1990,30,836.048
1990,31,812.177
1990,32,783.637
1990,33,749.982
1990,34,712.622
1990,35,673.831
1990,36,633.649
1990,37,593.647
1990,38,554.992
1990,39,517.598
1990,40,481.853
1990,41,449.667
1990,42,415.488
1990,43,377.238
1990,44,339.071
1990,45,303.054
1990,46,263.795
1990,47,250.752
1990,48,277.201
1990,49,327.378
1990,50,375.326
1990,51,429.930
1990,52,456.679
1990,53,436.938
1990,54,388.272
1990,55,344.845
1990,56,297.392
1990,57,267.324
1990,58,267.965
1990,59,287.050
1990,60,300.424
1990,61,314.600
1990,62,315.540
1990,63,294.371
1990,64,259.342
1990,65,227.633
1990,66,195.886
1990,67,168.764
1990,68,150.337
1990,69,137.999
1990,70,124.347
1990,71,110.028
1990,72,100.244
1990,73,96.591
1990,74,96.831
1990,75,97.590
1990,76,100.059
1990,77,98.636
1990,78,90.359
1990,79,77.918
1990,80,66.764
1990,81,55.555
1990,82,46.799
1990,83,42.208
1990,84,40.296
1990,85,37.965
1990,86,36.005
1990,87,33.120
1990,88,28.438
1990,89,22.760
1990,90,17.720
1990,91,12.923
1990,92,9.115
1990,93,6.826
1990,94,5.593
1990,95,4.422
1990,96,3.478
1990,97,2.701
1990,98,1.969
1990,99,1.311
1990,100,2.989
1991,0,1502.665
1991,1,1524.042
1991,2,1489.278
1991,3,1451.920
1991,4,1412.590
1991,5,1371.903
1991,6,1330.138
1991,7,1287.550
1991,8,1246.539
1991,9,1208.432
1991,10,1172.789
1991,11,1137.340
1991,12,1101.937
1991,13,1071.050
1991,14,1046.489
1991,15,1026.214
1991,16,1007.388
1991,17,991.809
1991,18,972.129
1991,19,944.813
1991,20,913.917
1991,21,885.099
1991,22,854.887
1991,23,837.625
1991,24,840.266
1991,25,854.930
1991,26,867.069
1991,27,879.958
1991,28,883.354
1991,29,870.807
1991,30,847.113
1991,31,824.183
1991,32,800.397
1991,33,772.134
1991,34,739.030
1991,35,702.388
1991,36,664.312
1991,37,624.893
1991,38,585.479
1991,39,547.103
1991,40,509.794
1991,41,474.141
1991,42,441.976
1991,43,407.962
1991,44,370.129
1991,45,332.502
1991,46,296.960
1991,47,258.211
1991,48,245.297
1991,49,271.296
1991,50,320.657
1991,51,367.825
1991,52,421.567
1991,53,447.773
1991,54,428.041
1991,55,379.727
1991,56,336.588
