year,age,population
1990,0,263.836
1990,1,248.364
1990,2,234.287
1990,3,221.504
1990,4,209.910
1990,5,199.404
1990,6,189.881
1990,7,181.237
1990,8,173.373
1990,9,166.182
1990,10,159.642
1990,11,153.725
1990,12,147.940
1990,13,142.024
1990,14,136.106
1990,15,130.624
1990,16,125.536
1990,17,120.420
1990,18,115.133
1990,19,109.832
1990,20,104.803
1990,21,99.949
1990,22,95.601
1990,23,91.943
1990,24,88.795
1990,25,85.785
1990,26,82.958
1990,27,80.299
1990,28,77.740
1990,29,75.295
1990,30,72.968
1990,31,70.696
1990,32,68.606
1990,33,66.743
1990,34,64.990
1990,35,63.296
1990,36,61.814
1990,37,59.686
1990,38,56.536
1990,39,52.806
1990,40,49.246
1990,41,45.619
1990,42,42.812
1990,43,41.315
1990,44,40.674
1990,45,39.956
1990,46,39.348
1990,47,38.575
1990,48,37.406
1990,49,36.000
1990,50,34.747
1990,51,33.575
1990,52,32.411
1990,53,31.266
1990,54,30.136
1990,55,29.010
1990,56,27.890
1990,57,26.796
1990,58,25.734
1990,59,24.698
1990,60,23.665
1990,61,22.637
1990,62,21.619
1990,63,20.618
1990,64,19.621
1990,65,18.631
1990,66,17.655
1990,67,16.643
1990,68,15.572
1990,69,14.468
1990,70,13.384
1990,71,12.319
1990,72,11.268
1990,73,10.236
1990,74,9.233
1990,75,8.258
1990,76,7.311
1990,77,6.423
1990,78,5.606
1990,79,4.852
1990,80,4.143
1990,81,3.476
1990,82,2.881
1990,83,2.366
1990,84,1.919
1990,85,1.520
1990,86,1.162
1990,87,0.869
1990,88,0.647
1990,89,0.479
1990,90,0.348
1990,91,0.252
1990,92,0.176
1990,93,0.113
1990,94,0.063
1990,95,0.036
1990,96,0.028
1990,97,0.020
1990,98,0.012
1990,99,0.003
1990,100,0.007
1991,0,273.289
1991,1,258.357
1991,2,243.706
1991,3,230.387
1991,4,218.299
1991,5,207.327
1991,6,197.388
1991,7,188.389
1991,8,180.127
1991,9,172.455
1991,10,165.321
1991,11,158.805
1991,12,152.864
1991,13,147.055
1991,14,141.155
1991,15,135.272
1991,16,129.790
1991,17,124.676
1991,18,119.544
1991,19,114.259
1991,20,108.974
1991,21,103.953
1991,22,99.104
1991,23,94.763
1991,24,91.111
1991,25,87.970
1991,26,84.969
1991,27,82.151
1991,28,79.499
1991,29,76.948
1991,30,74.510
1991,31,72.191
1991,32,69.928
1991,33,67.847
1991,34,65.991
1991,35,64.245
1991,36,62.559
1991,37,61.083
1991,38,58.970
1991,39,55.850
1991,40,52.158
1991,41,48.634
1991,42,45.045
1991,43,42.263
1991,44,40.771
1991,45,40.125
1991,46,39.401
1991,47,38.784
1991,48,38.004
1991,49,36.832
1991,50,35.423
1991,51,34.166
1991,52,32.986
1991,53,31.813
1991,54,30.660
1991,55,29.519
1991,56,28.382
1991,57,27.250
1991,58,26.142
1991,59,25.063
1991,60,24.008
1991,61,22.956
1991,62,21.911
1991,63,20.875
1991,64,19.853
1991,65,18.834
1991,66,17.827
1991,67,16.834
1991,68,15.811
1991,69,14.735
1991,70,13.631
1991,71,12.552
1991,72,11.494
1991,73,10.458
1991,74,9.450
1991,75,8.478
1991,76,7.538
1991,77,6.629
1991,78,5.784
1991,79,5.015
1991,80,4.315
1991,81,3.660
1991,82,3.047
1991,83,2.507
1991,84,2.043
1991,85,1.648
1991,86,1.296
1991,87,0.988
1991,88,0.734
1991,89,0.543
1991,90,0.398
1991,91,0.287
1991,92,0.208
1991,93,0.147
1991,94,0.094
1991,95,0.051
1991,96,0.029
1991,97,0.022
1991,98,0.011
1991,99,0.003
1991,100,0.007
1992,0,283.285
1992,1,266.418
1992,2,252.998
1992,3,239.159
1992,4,226.593
1992,5,215.191
1992,6,204.837
1992,7,195.458
1992,8,186.981
1992,9,179.095
1992,10,171.611
1992,11,164.531
1992,12,158.037
1992,13,152.069
1992,14,146.235
1992,15,140.346
1992,16,134.497
1992,17,129.012
1992,18,123.870
1992,19,118.720
1992,20,113.436
1992,21,108.163
1992,22,103.148
1992,23,98.303
1992,24,93.966
1992,25,90.320
1992,26,87.184
1992,27,84.190
1992,28,81.380
1992,29,78.734
1992,30,76.191
1992,31,73.757
1992,32,71.446
1992,33,69.191
1992,34,67.118
1992,35,65.268
1992,36,63.529
1992,37,61.851
1992,38,60.378
1992,39,58.280
1992,40,55.189
1992,41,51.533
1992,42,48.044
1992,43,44.491
1992,44,41.732
1992,45,40.247
1992,46,39.594
1992,47,38.862
1992,48,38.239
1992,49,37.451
1992,50,36.273
1992,51,34.862
1992,52,33.600
1992,53,32.412
1992,54,31.231
1992,55,30.068
1992,56,28.915
1992,57,27.767
1992,58,26.623
1992,59,25.500
1992,60,24.404
1992,61,23.330
1992,62,22.259
1992,63,21.195
1992,64,20.141
1992,65,19.097
1992,66,18.058
1992,67,17.031
1992,68,16.023
1992,69,14.987
1992,70,13.905
1992,71,12.803
1992,72,11.726
1992,73,10.675
1992,74,9.654
1992,75,8.669
1992,76,7.729
1992,77,6.823
1992,78,5.951
1992,79,5.148
1992,80,4.427
1992,81,3.781
1992,82,3.179
1992,83,2.621
1992,84,2.134
1992,85,1.723
1992,86,1.376
1992,87,1.075
1992,88,0.813
1992,89,0.601
1992,90,0.439
1992,91,0.316
1992,92,0.227
1992,93,0.165
1992,94,0.117
1992,95,0.075
1992,96,0.040
1992,97,0.024
1992,98,0.014
1992,99,0.003
1992,100,0.007
1993,0,293.797
1993,1,276.167
1993,2,260.186
1993,3,247.791
1993,4,234.756
1993,5,222.934
1993,6,212.212
1993,7,202.469
1993,8,193.645
1993,9,185.682
1993,10,178.169
1993,11,170.867
1993,12,163.839
1993,13,157.362
1993,14,151.362
1993,15,145.500
1993,16,139.621
1993,17,133.801
1993,18,128.310
1993,19,123.137
1993,20,117.967
1993,21,112.680
1993,22,107.414
1993,23,102.405
1993,24,97.560
1993,25,93.225
1993,26,89.581
1993,27,86.451
1993,28,83.460
1993,29,80.657
1993,30,78.017
1993,31,75.478
1993,32,73.049
1993,33,70.742
1993,34,68.495
1993,35,66.429
1993,36,64.585
1993,37,62.850
1993,38,61.178
1993,39,59.710
1993,40,57.625
1993,41,54.560
1993,42,50.939
1993,43,47.483
1993,44,43.964
1993,45,41.226
1993,46,39.747
1993,47,39.086
1993,48,38.347
1993,49,37.715
1993,50,36.920
1993,51,35.737
1993,52,34.323
1993,53,33.054
1993,54,31.857
1993,55,30.667
1993,56,29.493
1993,57,28.330
1993,58,27.169
1993,59,26.012
1993,60,24.874
1993,61,23.759
1993,62,22.666
1993,63,21.575
1993,64,20.493
1993,65,19.419
1993,66,18.353
1993,67,17.293
1993,68,16.247
1993,69,15.220
1993,70,14.172
1993,71,13.085
1993,72,11.982
1993,73,10.909
1993,74,9.864
1993,75,8.855
1993,76,7.895
1993,77,6.985
1993,78,6.112
1993,79,5.277
1993,80,4.515
1993,81,3.844
1993,82,3.249
1993,83,2.700
1993,84,2.197
1993,85,1.763
1993,86,1.403
1993,87,1.107
1993,88,0.853
1993,89,0.640
1993,90,0.468
1993,91,0.335
1993,92,0.236
1993,93,0.166
1993,94,0.122
1993,95,0.087
1993,96,0.056
1993,97,0.029
1993,98,0.016
1993,99,0.004
1993,100,0.009
1994,0,304.797
1994,1,286.476
1994,2,269.867
1994,3,254.845
1994,4,242.784
1994,5,230.541
1994,6,219.456
1994,7,209.404
1994,8,200.264
1994,9,191.989
1994,10,184.534
1994,11,177.387
1994,12,170.263
1994,13,163.279
1994,14,156.815
1994,15,150.780
1994,16,144.883
1994,17,139.008
1994,18,133.214
1994,19,127.712
1994,20,122.505
1994,21,117.309
1994,22,112.014
1994,23,106.755
1994,24,101.744
1994,25,96.895
1994,26,92.560
1994,27,88.916
1994,28,85.786
1994,29,82.799
1994,30,80.000
1994,31,77.361
1994,32,74.827
1994,33,72.399
1994,34,70.097
1994,35,67.855
1994,36,65.793
1994,37,63.953
1994,38,62.223
1994,39,60.556
1994,40,59.089
1994,41,57.017
1994,42,53.976
1994,43,50.386
1994,44,46.960
1994,45,43.471
1994,46,40.755
1994,47,39.277
1994,48,38.610
1994,49,37.864
1994,50,37.222
1994,51,36.418
1994,52,35.230
1994,53,33.810
1994,54,32.536
1994,55,31.328
1994,56,30.128
1994,57,28.943
1994,58,27.766
1994,59,26.593
1994,60,25.421
1994,61,24.268
1994,62,23.134
1994,63,22.020
1994,64,20.909
1994,65,19.807
1994,66,18.712
1994,67,17.625
1994,68,16.541
1994,69,15.475
1994,70,14.430
1994,71,13.369
1994,72,12.275
1994,73,11.170
1994,74,10.101
1994,75,9.059
1994,76,8.064
1994,77,7.126
1994,78,6.246
1994,79,5.406
1994,80,4.607
1994,81,3.887
1994,82,3.262
1994,83,2.720
1994,84,2.224
1994,85,1.774
1994,86,1.392
1994,87,1.086
1994,88,0.837
1994,89,0.633
1994,90,0.467
1994,91,0.335
1994,92,0.232
1994,93,0.155
1994,94,0.105
1994,95,0.079
1994,96,0.059
1994,97,0.037
1994,98,0.017
1994,99,0.005
1994,100,0.009
1995,0,316.248
1995,1,297.367
1995,2,280.226
1995,3,264.701
1995,4,250.657
1995,5,237.972
1995,6,226.515
1995,7,216.156
1995,8,206.769
1995,9,198.225
1995,10,190.492
1995,11,183.541
1995,12,176.754
1995,13,169.803
1995,14,162.857
1995,15,156.399
1995,16,150.324
1995,17,144.389
1995,18,138.513
1995,19,132.738
1995,20,127.222
1995,21,121.975
1995,22,116.749
1995,23,111.443
1995,24,106.184
1995,25,101.169
1995,26,96.312
1995,27,91.972
1995,28,88.324
1995,29,85.194
1995,30,82.206
1995,31,79.409
1995,32,76.771
1995,33,74.238
1995,34,71.810
1995,35,69.509
1995,36,67.271
1995,37,65.213
1995,38,63.374
1995,39,61.647
1995,40,59.983
1995,41,58.518
1995,42,56.456
1995,43,53.436
1995,44,49.875
1995,45,46.476
1995,46,43.015
1995,47,40.316
1995,48,38.841
1995,49,38.166
1995,50,37.411
1995,51,36.760
1995,52,35.947
1995,53,34.751
1995,54,33.326
1995,55,32.043
1995,56,30.825
1995,57,29.613
1995,58,28.416
1995,59,27.225
1995,60,26.038
1995,61,24.852
1995,62,23.681
1995,63,22.527
1995,64,21.391
1995,65,20.259
1995,66,19.136
1995,67,18.021
1995,68,16.909
1995,69,15.802
1995,70,14.714
1995,71,13.651
1995,72,12.576
1995,73,11.473
1995,74,10.367
1995,75,9.298
1995,76,8.261
1995,77,7.278
1995,78,6.362
1995,79,5.511
1995,80,4.703
1995,81,3.940
1995,82,3.260
1995,83,2.682
1995,84,2.192
1995,85,1.748
1995,86,1.352
1995,87,1.023
1995,88,0.767
1995,89,0.569
1995,90,0.412
1995,91,0.294
1995,92,0.202
1995,93,0.129
1995,94,0.074
1995,95,0.045
1995,96,0.036
1995,97,0.029
1995,98,0.018
1995,99,0.006
1995,100,0.009
1996,0,326.528
1996,1,310.028
1996,2,292.280
1996,3,276.121
1996,4,261.435
1996,5,248.095
1996,6,235.996
1996,7,225.023
1996,8,215.014
1996,9,205.834
1996,10,197.387
1996,11,189.687
1996,12,182.699
1996,13,175.877
1996,14,168.938
1996,15,162.025
1996,16,155.560
1996,17,149.452
1996,18,143.489
1996,19,137.600
1996,20,131.820
1996,21,126.294
1996,22,121.033
1996,23,115.799
1996,24,110.495
1996,25,105.244
1996,26,100.237
1996,27,95.390
1996,28,91.059
1996,29,87.417
1996,30,84.291
1996,31,81.310
1996,32,78.519
1996,33,75.892
1996,34,73.372
1996,35,70.962
1996,36,68.679
1996,37,66.459
1996,38,64.420
1996,39,62.601
1996,40,60.892
1996,41,59.248
1996,42,57.799
1996,43,55.759
1996,44,52.767
1996,45,49.237
1996,46,45.867
1996,47,42.435
1996,48,39.753
1996,49,38.277
1996,50,37.588
1996,51,36.820
1996,52,36.152
1996,53,35.323
1996,54,34.115
1996,55,32.681
1996,56,31.385
1996,57,30.153
1996,58,28.925
1996,59,27.710
1996,60,26.499
1996,61,25.292
1996,62,24.088
1996,63,22.897
1996,64,21.723
1996,65,20.566
1996,66,19.417
1996,67,18.278
1996,68,17.149
1996,69,16.028
1996,70,14.914
1996,71,13.824
1996,72,12.761
1996,73,11.695
1996,74,10.615
1996,75,9.539
1996,76,8.503
1996,77,7.504
1996,78,6.564
1996,79,5.701
1996,80,4.909
1996,81,4.161
1996,82,3.459
1996,83,2.840
1996,84,2.319
1996,85,1.883
1996,86,1.493
1996,87,1.149
1996,88,0.866
1996,89,0.644
1996,90,0.472
1996,91,0.341
1996,92,0.243
1996,93,0.168
1996,94,0.107
1996,95,0.060
1996,96,0.038
1996,97,0.029
1996,98,0.019
1996,99,0.005
1996,100,0.009
1997,0,337.309
1997,1,317.953
1997,2,304.245
1997,3,287.601
1997,4,272.399
1997,5,258.528
1997,6,245.872
1997,7,234.342
1997,8,223.836
1997,9,214.163
1997,10,205.177
1997,11,196.815
1997,12,189.137
1997,13,182.104
1997,14,175.238
1997,15,168.301
1997,16,161.411
1997,17,154.933
1997,18,148.783
1997,19,142.783
1997,20,136.873
1997,21,131.082
