year,age,population
1990,0,1.680
1990,1,1.647
1990,2,1.613
1990,3,1.579
1990,4,1.545
1990,5,1.514
1990,6,1.484
1990,7,1.462
1990,8,1.443
1990,9,1.430
1990,10,1.427
1990,11,1.436
1990,12,1.451
1990,13,1.470
1990,14,1.502
1990,15,1.537
1990,16,1.565
1990,17,1.653
1990,18,1.825
1990,19,2.049
1990,20,2.261
1990,21,2.478
1990,22,2.634
1990,23,2.685
1990,24,2.670
1990,25,2.657
1990,26,2.637
1990,27,2.600
1990,28,2.546
1990,29,2.480
1990,30,2.407
1990,31,2.323
1990,32,2.252
1990,33,2.203
1990,34,2.168
1990,35,2.128
1990,36,2.080
1990,37,2.057
1990,38,2.077
1990,39,2.119
1990,40,2.158
1990,41,2.207
1990,42,2.205
1990,43,2.120
1990,44,1.986
1990,45,1.859
1990,46,1.727
1990,47,1.634
1990,48,1.611
1990,49,1.634
1990,50,1.647
1990,51,1.663
1990,52,1.663
1990,53,1.630
1990,54,1.577
1990,55,1.532
1990,56,1.487
1990,57,1.449
1990,58,1.425
1990,59,1.408
1990,60,1.388
1990,61,1.369
1990,62,1.349
1990,63,1.328
1990,64,1.308
1990,65,1.287
1990,66,1.266
1990,67,1.240
1990,68,1.197
1990,69,1.148
1990,70,1.098
1990,71,1.044
1990,72,1.003
1990,73,0.980
1990,74,0.968
1990,75,0.950
1990,76,0.935
1990,77,0.906
1990,78,0.857
1990,79,0.793
1990,80,0.732
1990,81,0.670
1990,82,0.605
1990,83,0.536
1990,84,0.465
1990,85,0.396
1990,86,0.326
1990,87,0.264
1990,88,0.216
1990,89,0.174
1990,90,0.137
1990,91,0.099
1990,92,0.071
1990,93,0.052
1990,94,0.037
1990,95,0.026
1990,96,0.019
1990,97,0.013
1990,98,0.008
1990,99,0.005
1990,100,0.008
1991,0,1.666
1991,1,1.695
1991,2,1.665
1991,3,1.633
1991,4,1.600
1991,5,1.563
1991,6,1.531
1991,7,1.497
1991,8,1.472
1991,9,1.454
1991,10,1.443
1991,11,1.440
1991,12,1.448
1991,13,1.467
1991,14,1.497
1991,15,1.544
1991,16,1.593
1991,17,1.636
1991,18,1.729
1991,19,1.893
1991,20,2.098
1991,21,2.295
1991,22,2.494
1991,23,2.636
1991,24,2.682
1991,25,2.666
1991,26,2.652
1991,27,2.629
1991,28,2.591
1991,29,2.540
1991,30,2.476
1991,31,2.407
1991,32,2.328
1991,33,2.259
1991,34,2.208
1991,35,2.170
1991,36,2.126
1991,37,2.074
1991,38,2.050
1991,39,2.075
1991,40,2.125
1991,41,2.172
1991,42,2.229
1991,43,2.231
1991,44,2.138
1991,45,1.992
1991,46,1.853
1991,47,1.708
1991,48,1.608
1991,49,1.585
1991,50,1.616
1991,51,1.633
1991,52,1.656
1991,53,1.659
1991,54,1.625
1991,55,1.568
1991,56,1.519
1991,57,1.471
1991,58,1.431
1991,59,1.406
1991,60,1.388
1991,61,1.368
1991,62,1.348
1991,63,1.326
1991,64,1.304
1991,65,1.282
1991,66,1.259
1991,67,1.237
1991,68,1.208
1991,69,1.165
1991,70,1.114
1991,71,1.063
1991,72,1.009
1991,73,0.965
1991,74,0.941
1991,75,0.925
1991,76,0.905
1991,77,0.888
1991,78,0.856
1991,79,0.806
1991,80,0.738
1991,81,0.676
1991,82,0.612
1991,83,0.547
1991,84,0.481
1991,85,0.416
1991,86,0.351
1991,87,0.287
1991,88,0.230
1991,89,0.187
1991,90,0.150
1991,91,0.117
1991,92,0.085
1991,93,0.060
1991,94,0.043
1991,95,0.031
1991,96,0.019
1991,97,0.013
1991,98,0.009
1991,99,0.004
1991,100,0.008
1992,0,1.628
1992,1,1.652
1992,2,1.708
1992,3,1.682
1992,4,1.651
1992,5,1.618
1992,6,1.580
1992,7,1.545
1992,8,1.509
1992,9,1.481
1992,10,1.463
1992,11,1.454
1992,12,1.452
1992,13,1.458
1992,14,1.482
1992,15,1.522
1992,16,1.584
1992,17,1.646
1992,18,1.705
1992,19,1.804
1992,20,1.958
1992,21,2.146
1992,22,2.326
1992,23,2.506
1992,24,2.636
1992,25,2.676
1992,26,2.659
1992,27,2.643
1992,28,2.618
1992,29,2.580
1992,30,2.530
1992,31,2.470
1992,32,2.403
1992,33,2.330
1992,34,2.264
1992,35,2.211
1992,36,2.169
1992,37,2.122
1992,38,2.065
1992,39,2.040
1992,40,2.070
1992,41,2.129
1992,42,2.183
1992,43,2.250
1992,44,2.253
1992,45,2.155
1992,46,1.995
1992,47,1.845
1992,48,1.687
1992,49,1.579
1992,50,1.559
1992,51,1.594
1992,52,1.619
1992,53,1.646
1992,54,1.653
1992,55,1.618
1992,56,1.556
1992,57,1.505
1992,58,1.454
1992,59,1.411
1992,60,1.385
1992,61,1.367
1992,62,1.346
1992,63,1.324
1992,64,1.303
1992,65,1.278
1992,66,1.254
1992,67,1.230
1992,68,1.206
1992,69,1.175
1992,70,1.130
1992,71,1.080
1992,72,1.027
1992,73,0.972
1992,74,0.927
1992,75,0.899
1992,76,0.881
1992,77,0.860
1992,78,0.839
1992,79,0.806
1992,80,0.752
1992,81,0.684
1992,82,0.618
1992,83,0.553
1992,84,0.489
1992,85,0.425
1992,86,0.366
1992,87,0.307
1992,88,0.247
1992,89,0.196
1992,90,0.158
1992,91,0.125
1992,92,0.097
1992,93,0.069
1992,94,0.050
1992,95,0.035
1992,96,0.024
1992,97,0.015
1992,98,0.009
1992,99,0.004
1992,100,0.009
1993,0,1.578
1993,1,1.638
1993,2,1.673
1993,3,1.719
1993,4,1.698
1993,5,1.668
1993,6,1.634
1993,7,1.596
1993,8,1.558
1993,9,1.519
1993,10,1.489
1993,11,1.470
1993,12,1.464
1993,13,1.462
1993,14,1.468
1993,15,1.494
1993,16,1.547
1993,17,1.622
1993,18,1.699
1993,19,1.772
1993,20,1.877
1993,21,2.022
1993,22,2.192
1993,23,2.354
1993,24,2.517
1993,25,2.633
1993,26,2.668
1993,27,2.649
1993,28,2.632
1993,29,2.605
1993,30,2.566
1993,31,2.518
1993,32,2.461
1993,33,2.399
1993,34,2.329
1993,35,2.267
1993,36,2.212
1993,37,2.166
1993,38,2.116
1993,39,2.054
1993,40,2.029
1993,41,2.063
1993,42,2.131
1993,43,2.193
1993,44,2.268
1993,45,2.274
1993,46,2.169
1993,47,1.997
1993,48,1.835
1993,49,1.664
1993,50,1.549
1993,51,1.530
1993,52,1.573
1993,53,1.602
1993,54,1.636
1993,55,1.645
1993,56,1.609
1993,57,1.544
1993,58,1.489
1993,59,1.436
1993,60,1.389
1993,61,1.362
1993,62,1.345
1993,63,1.323
1993,64,1.301
1993,65,1.277
1993,66,1.252
1993,67,1.224
1993,68,1.199
1993,69,1.174
1993,70,1.141
1993,71,1.096
1993,72,1.044
1993,73,0.990
1993,74,0.934
1993,75,0.888
1993,76,0.857
1993,77,0.836
1993,78,0.813
1993,79,0.790
1993,80,0.755
1993,81,0.699
1993,82,0.628
1993,83,0.560
1993,84,0.493
1993,85,0.430
1993,86,0.370
1993,87,0.316
1993,88,0.261
1993,89,0.207
1993,90,0.162
1993,91,0.128
1993,92,0.100
1993,93,0.078
1993,94,0.054
1993,95,0.039
1993,96,0.027
1993,97,0.017
1993,98,0.008
1993,99,0.005
1993,100,0.009
1994,0,1.538
1994,1,1.621
1994,2,1.680
1994,3,1.712
1994,4,1.731
1994,5,1.712
1994,6,1.684
1994,7,1.650
1994,8,1.611
1994,9,1.570
1994,10,1.529
1994,11,1.495
1994,12,1.478
1994,13,1.473
1994,14,1.472
1994,15,1.476
1994,16,1.507
1994,17,1.570
1994,18,1.660
1994,19,1.750
1994,20,1.839
1994,21,1.948
1994,22,2.086
1994,23,2.236
1994,24,2.382
1994,25,2.526
1994,26,2.630
1994,27,2.658
1994,28,2.639
1994,29,2.619
1994,30,2.590
1994,31,2.551
1994,32,2.506
1994,33,2.451
1994,34,2.392
1994,35,2.329
1994,36,2.268
1994,37,2.212
1994,38,2.163
1994,39,2.108
1994,40,2.042
1994,41,2.018
1994,42,2.056
1994,43,2.131
1994,44,2.201
1994,45,2.286
1994,46,2.293
1994,47,2.183
1994,48,1.997
1994,49,1.825
1994,50,1.641
1994,51,1.519
1994,52,1.500
1994,53,1.551
1994,54,1.584
1994,55,1.624
1994,56,1.637
1994,57,1.600
1994,58,1.531
1994,59,1.473
1994,60,1.416
1994,61,1.368
1994,62,1.339
1994,63,1.322
1994,64,1.300
1994,65,1.275
1994,66,1.251
1994,67,1.225
1994,68,1.195
1994,69,1.168
1994,70,1.142
1994,71,1.107
1994,72,1.060
1994,73,1.007
1994,74,0.954
1994,75,0.895
1994,76,0.848
1994,77,0.815
1994,78,0.792
1994,79,0.765
1994,80,0.741
1994,81,0.704
1994,82,0.644
1994,83,0.572
1994,84,0.503
1994,85,0.433
1994,86,0.371
1994,87,0.314
1994,88,0.265
1994,89,0.216
1994,90,0.168
1994,91,0.127
1994,92,0.099
1994,93,0.075
1994,94,0.058
1994,95,0.039
1994,96,0.028
1994,97,0.018
1994,98,0.011
1994,99,0.004
1994,100,0.010
1995,0,1.517
1995,1,1.613
1995,2,1.680
1995,3,1.722
1995,4,1.740
1995,5,1.742
1995,6,1.727
1995,7,1.700
1995,8,1.667
1995,9,1.626
1995,10,1.583
1995,11,1.538
1995,12,1.503
1995,13,1.485
1995,14,1.482
1995,15,1.482
1995,16,1.485
1995,17,1.520
1995,18,1.594
1995,19,1.698
1995,20,1.802
1995,21,1.906
1995,22,2.020
1995,23,2.149
1995,24,2.281
1995,25,2.410
1995,26,2.537
1995,27,2.626
1995,28,2.649
1995,29,2.629
1995,30,2.608
1995,31,2.576
1995,32,2.537
1995,33,2.493
1995,34,2.442
1995,35,2.387
1995,36,2.328
1995,37,2.270
1995,38,2.213
1995,39,2.159
1995,40,2.102
1995,41,2.031
1995,42,2.006
1995,43,2.049
1995,44,2.133
1995,45,2.210
1995,46,2.303
1995,47,2.314
1995,48,2.196
1995,49,1.999
1995,50,1.814
1995,51,1.619
1995,52,1.488
1995,53,1.472
1995,54,1.528
1995,55,1.567
1995,56,1.614
1995,57,1.629
1995,58,1.591
1995,59,1.518
1995,60,1.457
1995,61,1.397
1995,62,1.347
1995,63,1.316
1995,64,1.299
1995,65,1.277
1995,66,1.251
1995,67,1.226
1995,68,1.198
1995,69,1.166
1995,70,1.137
1995,71,1.110
1995,72,1.072
1995,73,1.025
1995,74,0.972
1995,75,0.916
1995,76,0.857
1995,77,0.809
1995,78,0.773
1995,79,0.747
1995,80,0.719
1995,81,0.692
1995,82,0.652
1995,83,0.591
1995,84,0.516
1995,85,0.445
1995,86,0.374
1995,87,0.312
1995,88,0.258
1995,89,0.215
1995,90,0.171
1995,91,0.128
1995,92,0.093
1995,93,0.069
1995,94,0.051
1995,95,0.038
1995,96,0.024
1995,97,0.017
1995,98,0.010
