year,age,population
1990,0,289.688
1990,1,283.340
1990,2,277.239
1990,3,271.429
1990,4,265.950
1990,5,260.849
1990,6,256.168
1990,7,251.951
1990,8,248.239
1990,9,245.078
1990,10,242.351
1990,11,239.947
1990,12,238.695
1990,13,238.952
1990,14,240.292
1990,15,241.681
1990,16,243.035
1990,17,245.043
1990,18,247.847
1990,19,250.949
1990,20,253.850
1990,21,256.835
1990,22,257.808
1990,23,255.729
1990,24,251.549
1990,25,247.276
1990,26,242.552
1990,27,237.726
1990,28,233.192
1990,29,228.744
1990,30,223.765
1990,31,218.361
1990,32,212.931
1990,33,207.614
1990,34,202.288
1990,35,196.850
1990,36,191.495
1990,37,185.439
1990,38,178.330
1990,39,170.650
1990,40,163.081
1990,41,155.329
1990,42,148.777
1990,43,144.132
1990,44,140.699
1990,45,137.216
1990,46,134.101
1990,47,130.146
1990,48,124.673
1990,49,118.363
1990,50,112.457
1990,51,106.568
1990,52,101.832
1990,53,98.893
1990,54,97.129
1990,55,95.250
1990,56,93.486
1990,57,91.505
1990,58,89.001
1990,59,86.142
1990,60,83.457
1990,61,80.904
1990,62,77.985
1990,63,74.517
1990,64,70.712
1990,65,66.943
1990,66,63.105
1990,67,59.570
1990,68,56.555
1990,69,53.874
1990,70,51.157
1990,71,48.492
1990,72,45.755
1990,73,42.853
1990,74,39.869
1990,75,36.981
1990,76,34.148
1990,77,31.449
1990,78,28.945
1990,79,26.586
1990,80,24.288
1990,81,22.102
1990,82,19.881
1990,83,17.549
1990,84,15.200
1990,85,12.985
1990,86,10.863
1990,87,9.002
1990,88,7.493
1990,89,6.261
1990,90,5.118
1990,91,4.089
1990,92,3.213
1990,93,2.486
1990,94,1.894
1990,95,1.406
1990,96,1.020
1990,97,0.716
1990,98,0.478
1990,99,0.299
1990,100,0.515
1991,0,286.045
1991,1,287.980
1991,2,282.597
1991,3,277.119
1991,4,271.645
1991,5,266.272
1991,6,261.048
1991,7,256.015
1991,8,251.548
1991,9,247.857
1991,10,244.875
1991,11,242.212
1991,12,239.811
1991,13,238.560
1991,14,238.819
1991,15,240.157
1991,16,241.544
1991,17,242.892
1991,18,244.891
1991,19,247.684
1991,20,250.772
1991,21,253.658
1991,22,256.627
1991,23,257.587
1991,24,255.502
1991,25,251.319
1991,26,247.042
1991,27,242.314
1991,28,237.482
1991,29,232.941
1991,30,228.484
1991,31,223.495
1991,32,218.081
1991,33,212.641
1991,34,207.310
1991,35,201.969
1991,36,196.516
1991,37,191.144
1991,38,185.072
1991,39,177.949
1991,40,170.255
1991,41,162.672
1991,42,154.906
1991,43,148.334
1991,44,143.663
1991,45,140.199
1991,46,136.686
1991,47,133.535
1991,48,129.551
1991,49,124.057
1991,50,117.729
1991,51,111.804
1991,52,105.893
1991,53,101.124
1991,54,98.138
1991,55,96.314
1991,56,94.375
1991,57,92.551
1991,58,90.506
1991,59,87.936
1991,60,85.008
1991,61,82.254
1991,62,79.631
1991,63,76.647
1991,64,73.123
1991,65,69.269
1991,66,65.452
1991,67,61.570
1991,68,57.988
1991,69,54.917
1991,70,52.178
1991,71,49.410
1991,72,46.697
1991,73,43.925
1991,74,41.007
1991,75,38.022
1991,76,35.139
1991,77,32.321
1991,78,29.640
1991,79,27.150
1991,80,24.807
1991,81,22.537
1991,82,20.381
1991,83,18.222
1991,84,15.997
1991,85,13.783
1991,86,11.704
1991,87,9.723
1991,88,7.997
1991,89,6.610
1991,90,5.490
1991,91,4.459
1991,92,3.543
1991,93,2.766
1991,94,2.124
1991,95,1.602
1991,96,1.083
1991,97,0.767
1991,98,0.516
1991,99,0.327
1991,100,0.564
1992,0,279.297
1992,1,280.109
1992,2,286.547
1992,3,282.123
1992,4,277.261
1992,5,272.118
1992,6,266.846
1992,7,261.494
1992,8,256.105
1992,9,251.385
1992,10,247.710
1992,11,244.905
1992,12,242.303
1992,13,239.902
1992,14,238.652
1992,15,238.911
1992,16,240.251
1992,17,241.635
1992,18,242.979
1992,19,244.973
1992,20,247.755
1992,21,250.833
1992,22,253.707
1992,23,256.663
1992,24,257.610
1992,25,255.518
1992,26,251.327
1992,27,247.043
1992,28,242.305
1992,29,237.464
1992,30,232.911
1992,31,228.440
1992,32,223.438
1992,33,218.009
1992,34,212.552
1992,35,207.203
1992,36,201.842
1992,37,196.368
1992,38,190.975
1992,39,184.880
1992,40,177.737
1992,41,170.023
1992,42,162.418
1992,43,154.629
1992,44,148.032
1992,45,143.330
1992,46,139.834
1992,47,136.284
1992,48,133.098
1992,49,129.078
1992,50,123.559
1992,51,117.209
1992,52,111.256
1992,53,105.318
1992,54,100.514
1992,55,97.476
1992,56,95.591
1992,57,93.591
1992,58,91.704
1992,59,89.594
1992,60,86.954
1992,61,83.956
1992,62,81.130
1992,63,78.435
1992,64,75.382
1992,65,71.800
1992,66,67.892
1992,67,64.024
1992,68,60.095
1992,69,56.462
1992,70,53.332
1992,71,50.534
1992,72,47.711
1992,73,44.947
1992,74,42.139
1992,75,39.201
1992,76,36.212
1992,77,33.331
1992,78,30.527
1992,79,27.860
1992,80,25.382
1992,81,23.053
1992,82,20.808
1992,83,18.681
1992,84,16.582
1992,85,14.461
1992,86,12.381
1992,87,10.435
1992,88,8.593
1992,89,7.000
1992,90,5.734
1992,91,4.723
1992,92,3.806
1992,93,3.000
1992,94,2.323
1992,95,1.764
1992,96,1.312
1992,97,0.823
1992,98,0.559
1992,99,0.355
1992,100,0.619
1993,0,270.868
1993,1,276.043
1993,2,278.960
1993,3,285.236
1993,4,281.768
1993,5,277.522
1993,6,272.709
1993,7,267.535
1993,8,262.053
1993,9,256.304
1993,10,251.329
1993,11,247.668
1993,12,245.040
1993,13,242.498
1993,14,240.097
1993,15,238.845
1993,16,239.106
1993,17,240.447
1993,18,241.830
1993,19,243.171
1993,20,245.158
1993,21,247.934
1993,22,251.001
1993,23,253.865
1993,24,256.807
1993,25,257.745
1993,26,255.643
1993,27,251.442
1993,28,247.149
1993,29,242.401
1993,30,237.548
1993,31,232.980
1993,32,228.494
1993,33,223.477
1993,34,218.029
1993,35,212.554
1993,36,207.184
1993,37,201.802
1993,38,196.304
1993,39,190.887
1993,40,184.768
1993,41,177.601
1993,42,169.863
1993,43,162.233
1993,44,154.419
1993,45,147.793
1993,46,143.059
1993,47,139.527
1993,48,135.942
1993,49,132.716
1993,50,128.661
1993,51,123.114
1993,52,116.737
1993,53,110.756
1993,54,104.789
1993,55,99.945
1993,56,96.856
1993,57,94.908
1993,58,92.846
1993,59,90.897
1993,60,88.719
1993,61,86.010
1993,62,82.939
1993,63,80.040
1993,64,77.271
1993,65,74.149
1993,66,70.506
1993,67,66.544
1993,68,62.622
1993,69,58.645
1993,70,54.959
1993,71,51.770
1993,72,48.910
1993,73,46.030
1993,74,43.216
1993,75,40.369
1993,76,37.412
1993,77,34.416
1993,78,31.537
1993,79,28.744
1993,80,26.091
1993,81,23.623
1993,82,21.309
1993,83,19.087
1993,84,16.988
1993,85,14.947
1993,86,12.930
1993,87,10.983
1993,88,9.170
1993,89,7.466
1993,90,6.005
1993,91,4.860
1993,92,3.959
1993,93,3.154
1993,94,2.458
1993,95,1.880
1993,96,1.404
1993,97,1.023
1993,98,0.603
1993,99,0.385
1993,100,0.680
1994,0,262.855
1994,1,271.555
1994,2,277.368
1994,3,280.618
1994,4,283.866
1994,5,281.357
1994,6,277.729
1994,7,273.244
1994,8,268.171
1994,9,262.559
1994,10,256.452
1994,11,251.223
1994,12,247.577
1994,13,245.125
1994,14,242.644
1994,15,240.243
