year,age,population
1990,0,30136.908
1990,1,28133.777
1990,2,26319.864
1990,3,24698.970
1990,4,23274.900
1990,5,22051.461
1990,6,21032.459
1990,7,20221.694
1990,8,19622.974
1990,9,19240.104
1990,10,18995.542
1990,11,18811.741
1990,12,19099.250
1990,13,20024.565
1990,14,21347.454
1990,15,22645.750
1990,16,23985.379
1990,17,25059.543
1990,18,25666.454
1990,19,25914.933
1990,20,26168.943
1990,21,26419.715
1990,22,26245.826
1990,23,25494.306
1990,24,24356.059
1990,25,23203.931
1990,26,21998.117
1990,27,20845.122
1990,28,19847.078
1990,29,18984.177
1990,30,18055.115
1990,31,17004.898
1990,32,16428.600
1990,33,16571.877
1990,34,17138.666
1990,35,17647.754
1990,36,18267.992
1990,37,18328.939
1990,38,17471.455
1990,39,16035.813
1990,40,14722.583
1990,41,13393.058
1990,42,12264.546
1990,43,11516.238
1990,44,11030.620
1990,45,10491.132
1990,46,9937.248
1990,47,9534.645
1990,48,9326.562
1990,49,9251.061
1990,50,9198.720
1990,51,9186.325
1990,52,9136.948
1990,53,8999.486
1990,54,8800.924
1990,55,8626.280
1990,56,8466.844
1990,57,8246.933
1990,58,7939.965
1990,59,7575.187
1990,60,7211.388
1990,61,6840.369
1990,62,6477.630
1990,63,6137.989
1990,64,5816.513
1990,65,5486.579
1990,66,5145.270
1990,67,4848.681
1990,68,4619.443
1990,69,4431.021
1990,70,4240.112
1990,71,4062.427
1990,72,3837.211
1990,73,3532.103
1990,74,3178.471
1990,75,2841.607
1990,76,2510.339
1990,77,2199.318
1990,78,1923.028
1990,79,1674.430
1990,80,1431.089
1990,81,1196.385
1990,82,988.652
1990,83,814.441
1990,84,667.855
1990,85,534.863
1990,86,416.382
1990,87,317.249
1990,88,237.845
1990,89,175.292
1990,90,125.002
1990,91,86.290
1990,92,57.044
1990,93,35.220
1990,94,19.954
1990,95,12.114
1990,96,11.127
1990,97,10.410
1990,98,6.619
1990,99,1.434
1990,100,3.167
1991,0,28012.874
1991,1,29474.369
1991,2,27877.393
1991,3,26321.910
1991,4,24836.026
1991,5,23447.850
1991,6,22161.355
1991,7,20980.504
1991,8,20054.120
1991,9,19458.598
1991,10,19149.623
1991,11,18929.286
1991,12,18744.537
1991,13,19029.288
1991,14,19949.824
1991,15,21266.635
1991,16,22558.564
1991,17,23891.418
1991,18,24959.971
1991,19,25563.355
1991,20,25809.889
1991,21,26061.899
1991,22,26310.673
1991,23,26136.605
1991,24,25387.377
1991,25,24253.085
1991,26,23104.936
1991,27,21903.255
1991,28,20754.319
1991,29,19759.918
1991,30,18900.193
1991,31,17974.529
1991,32,16928.265
1991,33,16353.448
1991,34,16494.442
1991,35,17056.698
1991,36,17561.497
1991,37,18176.808
1991,38,18235.580
1991,39,17380.488
1991,40,15950.067
1991,41,14641.259
1991,42,13315.995
1991,43,12190.757
1991,44,11443.930
1991,45,10958.414
1991,46,10418.974
1991,47,9864.933
1991,48,9460.799
1991,49,9249.395
1991,50,9169.225
1991,51,9111.826
1991,52,9093.924
1991,53,9038.475
1991,54,8894.462
1991,55,8688.992
1991,56,8507.137
1991,57,8340.197
1991,58,8113.034
1991,59,7799.347
1991,60,7428.226
1991,61,7057.969
1991,62,6680.431
1991,63,6311.508
1991,64,5966.154
1991,65,5639.278
1991,66,5304.482
1991,67,4959.428
1991,68,4657.422
1991,69,4419.926
1991,70,4222.054
1991,71,4023.066
1991,72,3837.873
1991,73,3609.483
1991,74,3307.580
1991,75,2961.764
1991,76,2633.241
1991,77,2311.313
1991,78,2011.371
1991,79,1747.748
1991,80,1513.031
1991,81,1284.328
1991,82,1064.829
1991,83,872.379
1991,84,713.147
