year,age,population
1990,0,860.389
1990,1,867.557
1990,2,871.287
1990,3,871.848
1990,4,869.513
1990,5,864.557
1990,6,857.248
1990,7,847.865
1990,8,836.675
1990,9,823.954
1990,10,810.504
1990,11,797.127
1990,12,781.446
1990,13,762.670
1990,14,742.667
1990,15,722.626
1990,16,700.558
1990,17,688.048
1990,18,690.422
1990,19,701.700
1990,20,711.107
1990,21,721.452
1990,22,723.528
1990,23,711.871
1990,24,691.030
1990,25,671.365
1990,26,651.232
1990,27,630.104
1990,28,608.899
1990,29,587.597
1990,30,565.014
1990,31,541.087
1990,32,519.387
1990,33,501.478
1990,34,485.902
1990,35,469.822
1990,36,454.041
1990,37,436.689
1990,38,416.632
1990,39,394.951
1990,40,374.086
1990,41,353.813
1990,42,333.752
1990,43,314.047
1990,44,294.969
1990,45,276.456
1990,46,258.293
1990,47,242.723
1990,48,230.784
1990,49,221.467
1990,50,212.629
1990,51,204.582
1990,52,197.078
1990,53,189.736
1990,54,182.649
1990,55,176.276
1990,56,170.516
1990,57,164.755
1990,58,158.731
1990,59,152.599
1990,60,146.713
1990,61,140.921
1990,62,135.408
1990,63,130.280
1990,64,125.350
1990,65,120.457
1990,66,115.764
1990,67,110.354
1990,68,103.795
1990,69,96.566
1990,70,89.509
1990,71,82.377
1990,72,75.998
1990,73,70.846
1990,74,66.495
1990,75,62.103
1990,76,57.905
1990,77,53.417
1990,78,48.338
1990,79,42.962
1990,80,37.896
1990,81,33.043
1990,82,28.511
1990,83,24.422
1990,84,20.725
1990,85,17.220
1990,86,13.910
1990,87,11.088
1990,88,8.863
1990,89,7.114
1990,90,5.580
1990,91,4.277
1990,92,3.219
1990,93,2.375
1990,94,1.717
1990,95,1.245
1990,96,0.939
1990,97,0.702
1990,98,0.474
1990,99,0.273
1990,100,0.622
1991,0,865.670
1991,1,861.152
1991,2,866.684
1991,3,869.464
1991,4,869.636
1991,5,867.351
1991,6,862.891
1991,7,856.536
1991,8,847.762
1991,9,836.437
1991,10,823.121
1991,11,809.302
1991,12,795.653
1991,13,779.689
1991,14,760.635
1991,15,740.360
1991,16,720.042
1991,17,697.695
1991,18,684.940
1991,19,687.114
1991,20,698.236
1991,21,707.501
1991,22,717.714
1991,23,719.730
1991,24,708.112
1991,25,687.378
1991,26,667.832
1991,27,647.839
1991,28,626.847
1991,29,605.756
1991,30,584.553
1991,31,562.085
1991,32,538.283
1991,33,516.701
1991,34,498.894
1991,35,483.410
1991,36,467.423
1991,37,451.729
1991,38,434.469
1991,39,414.514
1991,40,392.939
1991,41,372.169
1991,42,351.985
1991,43,332.001
1991,44,312.356
1991,45,293.324
1991,46,274.848
1991,47,256.716
1991,48,241.153
1991,49,229.190
1991,50,219.828
1991,51,210.936
1991,52,202.825
1991,53,195.254
1991,54,187.850
1991,55,180.703
1991,56,174.259
1991,57,168.423
1991,58,162.575
1991,59,156.454
1991,60,150.215
1991,61,144.224
1991,62,138.330
1991,63,132.701
1991,64,127.437
1991,65,122.364
1991,66,117.332
1991,67,112.497
1991,68,106.984
1991,69,100.382
1991,70,93.149
1991,71,86.093
1991,72,78.985
1991,73,72.599
1991,74,67.383
1991,75,62.940
1991,76,58.485
1991,77,54.235
1991,78,49.756
1991,79,44.773
1991,80,39.557
1991,81,34.658
1991,82,29.979
1991,83,25.664
1991,84,21.842
1991,85,18.444
1991,86,15.242
1991,87,12.243
1991,88,9.700
1991,89,7.702
1991,90,6.140
1991,91,4.790
1991,92,3.666
1991,93,2.755
1991,94,2.021
1991,95,1.443
1991,96,0.982
1991,97,0.732
1991,98,0.494
1991,99,0.283
1991,100,0.641
1992,0,873.057
1992,1,873.419
1992,2,861.446
1992,3,865.337
1992,4,867.166
1992,5,866.949
1992,6,864.715
1992,7,860.753
1992,8,855.358
1992,9,847.195
1992,10,835.744
1992,11,821.839
1992,12,807.658
1992,13,793.745
1992,14,777.506
1992,15,758.184
1992,16,737.649
1992,17,717.063
1992,18,694.451
1992,19,681.456
1992,20,683.431
1992,21,694.390
1992,22,703.507
1992,23,713.583
1992,24,715.539
1992,25,703.965
1992,26,683.350
1992,27,663.933
1992,28,644.091
1992,29,623.248
1992,30,602.279
1992,31,581.189
1992,32,558.849
1992,33,535.185
1992,34,513.731
1992,35,496.037
1992,36,480.654
1992,37,464.768
1992,38,449.170
1992,39,432.012
1992,40,412.169
1992,41,390.710
1992,42,370.050
1992,43,349.964
1992,44,330.068
1992,45,310.494
1992,46,291.518
1992,47,273.090
1992,48,254.998
1992,49,239.450
1992,50,227.472
1992,51,218.068
1992,52,209.128
