year,age,population
1990,0,16.063
1990,1,15.673
1990,2,15.256
1990,3,14.816
1990,4,14.356
1990,5,13.880
1990,6,13.395
1990,7,12.903
1990,8,12.407
1990,9,11.913
1990,10,11.421
1990,11,10.933
1990,12,10.466
1990,13,10.032
1990,14,9.622
1990,15,9.226
1990,16,8.838
1990,17,8.488
1990,18,8.186
1990,19,7.916
1990,20,7.660
1990,21,7.419
1990,22,7.186
1990,23,6.959
1990,24,6.735
1990,25,6.525
1990,26,6.319
1990,27,6.120
1990,28,5.918
1990,29,5.716
1990,30,5.520
1990,31,5.323
1990,32,5.121
1990,33,4.913
1990,34,4.695
1990,35,4.484
1990,36,4.288
1990,37,4.064
1990,38,3.803
1990,39,3.526
1990,40,3.259
1990,41,2.991
1990,42,2.790
1990,43,2.691
1990,44,2.660
1990,45,2.627
1990,46,2.607
1990,47,2.572
1990,48,2.506
1990,49,2.419
1990,50,2.344
1990,51,2.276
1990,52,2.204
1990,53,2.127
1990,54,2.046
1990,55,1.964
1990,56,1.883
1990,57,1.804
1990,58,1.730
1990,59,1.658
1990,60,1.585
1990,61,1.515
1990,62,1.442
1990,63,1.371
1990,64,1.300
1990,65,1.229
1990,66,1.158
1990,67,1.089
1990,68,1.021
1990,69,0.952
1990,70,0.886
1990,71,0.821
1990,72,0.756
1990,73,0.687
1990,74,0.620
1990,75,0.554
1990,76,0.492
1990,77,0.432
1990,78,0.375
1990,79,0.323
1990,80,0.274
1990,81,0.227
1990,82,0.184
1990,83,0.151
1990,84,0.120
1990,85,0.094
1990,86,0.070
1990,87,0.050
1990,88,0.037
1990,89,0.027
1990,90,0.019
1990,91,0.014
1990,92,0.010
1990,93,0.006
1990,94,0.005
1990,95,0.002
1990,96,0.002
1990,97,0.001
1990,98,0.000
1990,99,0.001
1990,100,0.000
1991,0,16.240
1991,1,15.927
1991,2,15.543
1991,3,15.136
1991,4,14.710
1991,5,14.264
1991,6,13.805
1991,7,13.341
1991,8,12.861
1991,9,12.370
1991,10,11.873
1991,11,11.380
1991,12,10.889
1991,13,10.422
1991,14,9.987
1991,15,9.579
1991,16,9.182
1991,17,8.793
1991,18,8.444
1991,19,8.141
1991,20,7.872
1991,21,7.617
1991,22,7.376
1991,23,7.143
1991,24,6.917
1991,25,6.695
1991,26,6.484
1991,27,6.280
1991,28,6.082
1991,29,5.880
1991,30,5.679
1991,31,5.482
1991,32,5.287
1991,33,5.085
1991,34,4.878
1991,35,4.660
1991,36,4.450
1991,37,4.254
1991,38,4.031
1991,39,3.771
1991,40,3.495
1991,41,3.230
1991,42,2.963
1991,43,2.762
1991,44,2.663
1991,45,2.631
1991,46,2.597
1991,47,2.577
1991,48,2.540
1991,49,2.473
1991,50,2.386
1991,51,2.309
1991,52,2.241
1991,53,2.168
1991,54,2.089
1991,55,2.008
1991,56,1.924
1991,57,1.843
1991,58,1.763
1991,59,1.687
1991,60,1.615
1991,61,1.540
1991,62,1.469
1991,63,1.395
1991,64,1.323
1991,65,1.251
1991,66,1.180
1991,67,1.107
1991,68,1.038
1991,69,0.970
1991,70,0.900
1991,71,0.834
1991,72,0.769
1991,73,0.704
1991,74,0.637
1991,75,0.572
1991,76,0.508
1991,77,0.447
1991,78,0.391
1991,79,0.337
1991,80,0.288
1991,81,0.243
1991,82,0.200
1991,83,0.160
1991,84,0.131
1991,85,0.103
1991,86,0.081
1991,87,0.059
1991,88,0.043
1991,89,0.031
1991,90,0.022
1991,91,0.016
1991,92,0.011
1991,93,0.009
1991,94,0.005
1991,95,0.004
1991,96,0.002
1991,97,0.001
1991,98,0.000
1991,99,0.001
1991,100,0.000
1992,0,16.417
1992,1,16.105
1992,2,15.799
1992,3,15.422
1992,4,15.026
1992,5,14.612
1992,6,14.180
1992,7,13.740
1992,8,13.293
1992,9,12.827
1992,10,12.340
1992,11,11.840
1992,12,11.345
1992,13,10.853
1992,14,10.383
1992,15,9.948
1992,16,9.541
1992,17,9.143
1992,18,8.755
1992,19,8.403
1992,20,8.101
1992,21,7.833
1992,22,7.578
1992,23,7.337
1992,24,7.105
1992,25,6.880
1992,26,6.657
1992,27,6.448
1992,28,6.245
1992,29,6.046
1992,30,5.846
1992,31,5.645
1992,32,5.449
1992,33,5.253
1992,34,5.053
1992,35,4.844
1992,36,4.629
1992,37,4.418
1992,38,4.222
1992,39,4.001
1992,40,3.742
1992,41,3.466
1992,42,3.202
1992,43,2.936
1992,44,2.736
1992,45,2.637
1992,46,2.604
1992,47,2.569
1992,48,2.547
1992,49,2.510
1992,50,2.442
1992,51,2.353
1992,52,2.277
1992,53,2.206
1992,54,2.133
1992,55,2.053
1992,56,1.970
1992,57,1.887
1992,58,1.804
1992,59,1.722
1992,60,1.646
1992,61,1.572
1992,62,1.496
1992,63,1.424
1992,64,1.349
1992,65,1.276
1992,66,1.203
1992,67,1.130
1992,68,1.059
1992,69,0.987
1992,70,0.919
1992,71,0.849
1992,72,0.782
1992,73,0.717
1992,74,0.653
1992,75,0.588
1992,76,0.524
1992,77,0.461
1992,78,0.404
1992,79,0.350
1992,80,0.298
1992,81,0.254
1992,82,0.213
1992,83,0.172
1992,84,0.137
1992,85,0.111
1992,86,0.087
1992,87,0.066
1992,88,0.049
1992,89,0.036
1992,90,0.025
1992,91,0.017
1992,92,0.013
1992,93,0.009
1992,94,0.007
1992,95,0.004
1992,96,0.003
1992,97,0.002
1992,98,0.001
1992,99,0.001
1992,100,0.000
1993,0,16.613
1993,1,16.315
1993,2,15.990
1993,3,15.677
1993,4,15.306
1993,5,14.919
1993,6,14.519
1993,7,14.102
1993,8,13.677
1993,9,13.250
1993,10,12.798
1993,11,12.313
1993,12,11.811
1993,13,11.314
1993,14,10.819
1993,15,10.348
1993,16,9.913
1993,17,9.505
1993,18,9.108
1993,19,8.718
1993,20,8.366
1993,21,8.064
1993,22,7.796
1993,23,7.541
1993,24,7.301
1993,25,7.069
1993,26,6.844
1993,27,6.622
1993,28,6.414
1993,29,6.211
1993,30,6.014
1993,31,5.812
1993,32,5.613
1993,33,5.417
1993,34,5.222
1993,35,5.021
1993,36,4.814
1993,37,4.597
1993,38,4.389
1993,39,4.192
1993,40,3.971
1993,41,3.714
1993,42,3.438
1993,43,3.175
1993,44,2.911
1993,45,2.711
1993,46,2.611
1993,47,2.577
1993,48,2.542
1993,49,2.519
1993,50,2.480
1993,51,2.411
1993,52,2.322
1993,53,2.245
1993,54,2.173
1993,55,2.098
1993,56,2.018
1993,57,1.933
1993,58,1.850
1993,59,1.764
1993,60,1.683
1993,61,1.605
1993,62,1.529
1993,63,1.453
1993,64,1.380
1993,65,1.303
1993,66,1.230
1993,67,1.155
1993,68,1.081
1993,69,1.009
1993,70,0.938
1993,71,0.868
1993,72,0.797
1993,73,0.731
1993,74,0.666
1993,75,0.602
1993,76,0.539
1993,77,0.476
1993,78,0.416
1993,79,0.360
1993,80,0.308
1993,81,0.261
1993,82,0.219
1993,83,0.182
1993,84,0.145
1993,85,0.114
1993,86,0.090
1993,87,0.071
1993,88,0.053
1993,89,0.039
1993,90,0.027
1993,91,0.019
1993,92,0.014
1993,93,0.008
1993,94,0.007
1993,95,0.005
1993,96,0.004
1993,97,0.002
1993,98,0.001
1993,99,0.001
1993,100,0.000
1994,0,16.846
1994,1,16.543
1994,2,16.222
1994,3,15.887
1994,4,15.555
1994,5,15.190
1994,6,14.813
1994,7,14.426
1994,8,14.023
1994,9,13.615
1994,10,13.208
1994,11,12.767
1994,12,12.287
1994,13,11.782
1994,14,11.283
1994,15,10.786
1994,16,10.313
1994,17,9.876
1994,18,9.470
1994,19,9.073
1994,20,8.682
1994,21,8.328
1994,22,8.027
1994,23,7.759
1994,24,7.505
1994,25,7.264
1994,26,7.033
1994,27,6.808
1994,28,6.588
1994,29,6.380
1994,30,6.177
1994,31,5.980
1994,32,5.780
1994,33,5.581
1994,34,5.385
1994,35,5.190
1994,36,4.990
1994,37,4.782
1994,38,4.568
1994,39,4.359
1994,40,4.161
1994,41,3.942
1994,42,3.685
1994,43,3.410
1994,44,3.149
1994,45,2.885
1994,46,2.686
1994,47,2.586
1994,48,2.550
1994,49,2.514
1994,50,2.491
1994,51,2.451
1994,52,2.380
1994,53,2.291
1994,54,2.212
1994,55,2.140
1994,56,2.064
1994,57,1.982
1994,58,1.897
1994,59,1.811
1994,60,1.726
1994,61,1.644
1994,62,1.563
1994,63,1.487
1994,64,1.410
1994,65,1.335
1994,66,1.258
1994,67,1.183
1994,68,1.107
1994,69,1.033
1994,70,0.959
1994,71,0.888
1994,72,0.817
1994,73,0.747
1994,74,0.679
1994,75,0.615
1994,76,0.551
1994,77,0.489
1994,78,0.428
1994,79,0.370
1994,80,0.316
1994,81,0.267
1994,82,0.223
1994,83,0.186
1994,84,0.150
1994,85,0.119
1994,86,0.090
1994,87,0.070
1994,88,0.054
1994,89,0.039
1994,90,0.029
1994,91,0.020
1994,92,0.013
1994,93,0.009
1994,94,0.005
1994,95,0.005
1994,96,0.003
1994,97,0.003
1994,98,0.001
1994,99,0.000
1994,100,0.000
1995,0,17.131
1995,1,16.800
1995,2,16.463
1995,3,16.125
1995,4,15.779
1995,5,15.430
1995,6,15.071
1995,7,14.704
1995,8,14.330
1995,9,13.941
1995,10,13.551
1995,11,13.162
1995,12,12.735
1995,13,12.259
1995,14,11.750
1995,15,11.250
1995,16,10.750
1995,17,10.276
1995,18,9.839
1995,19,9.433
1995,20,9.035
1995,21,8.644
1995,22,8.290
1995,23,7.987
1995,24,7.721
1995,25,7.467
1995,26,7.226
1995,27,6.996
1995,28,6.771
1995,29,6.552
1995,30,6.344
1995,31,6.143
1995,32,5.946
1995,33,5.746
1995,34,5.548
1995,35,5.351
1995,36,5.158
