year,age,population
1990,0,83.704
1990,1,80.934
1990,2,78.425
1990,3,76.142
1990,4,74.062
1990,5,72.152
1990,6,70.381
1990,7,68.725
1990,8,67.150
1990,9,65.629
1990,10,64.178
1990,11,62.811
1990,12,61.274
1990,13,59.449
1990,14,57.441
1990,15,55.483
1990,16,53.535
1990,17,51.610
1990,18,49.739
1990,19,47.913
1990,20,46.093
1990,21,44.281
1990,22,42.542
1990,23,40.898
1990,24,39.332
1990,25,37.802
1990,26,36.320
1990,27,34.871
1990,28,33.440
1990,29,32.041
1990,30,30.699
1990,31,29.399
1990,32,28.184
1990,33,27.073
1990,34,26.045
1990,35,25.060
1990,36,24.128
1990,37,23.224
1990,38,22.336
1990,39,21.474
1990,40,20.657
1990,41,19.878
1990,42,19.161
1990,43,18.520
1990,44,17.940
1990,45,17.382
1990,46,16.854
1990,47,16.335
1990,48,15.813
1990,49,15.291
1990,50,14.793
1990,51,14.311
1990,52,13.838
1990,53,13.370
1990,54,12.908
1990,55,12.455
1990,56,12.007
1990,57,11.564
1990,58,11.122
1990,59,10.682
1990,60,10.247
1990,61,9.815
1990,62,9.382
1990,63,8.947
1990,64,8.510
1990,65,8.076
1990,66,7.647
1990,67,7.217
1990,68,6.786
1990,69,6.356
1990,70,5.931
1990,71,5.514
1990,72,5.100
1990,73,4.687
1990,74,4.280
1990,75,3.885
1990,76,3.500
1990,77,3.130
1990,78,2.776
1990,79,2.437
1990,80,2.117
1990,81,1.813
1990,82,1.534
1990,83,1.288
1990,84,1.070
1990,85,0.870
1990,86,0.686
1990,87,0.533
1990,88,0.411
1990,89,0.315
1990,90,0.234
1990,91,0.170
1990,92,0.119
1990,93,0.079
1990,94,0.051
1990,95,0.031
1990,96,0.025
1990,97,0.018
1990,98,0.009
1990,99,0.004
1990,100,0.007
1991,0,85.403
1991,1,82.794
1991,2,80.160
1991,3,77.773
1991,4,75.602
1991,5,73.618
1991,6,71.794
1991,7,70.101
1991,8,68.503
1991,9,66.961
1991,10,65.457
1991,11,64.016
1991,12,62.648
1991,13,61.113
1991,14,59.294
1991,15,57.295
1991,16,55.339
1991,17,53.388
1991,18,51.460
1991,19,49.580
1991,20,47.744
1991,21,45.914
1991,22,44.090
1991,23,42.337
1991,24,40.679
1991,25,39.096
1991,26,37.551
1991,27,36.054
1991,28,34.593
1991,29,33.157
1991,30,31.760
1991,31,30.419
1991,32,29.122
1991,33,27.911
1991,34,26.805
1991,35,25.784
1991,36,24.807
1991,37,23.882
1991,38,22.989
1991,39,22.113
1991,40,21.265
1991,41,20.461
1991,42,19.694
1991,43,18.988
1991,44,18.350
1991,45,17.770
1991,46,17.213
1991,47,16.683
1991,48,16.163
1991,49,15.640
1991,50,15.117
1991,51,14.616
1991,52,14.131
1991,53,13.654
1991,54,13.182
1991,55,12.715
1991,56,12.257
1991,57,11.802
1991,58,11.353
1991,59,10.904
1991,60,10.454
1991,61,10.011
1991,62,9.571
1991,63,9.128
1991,64,8.686
1991,65,8.240
1991,66,7.800
1991,67,7.364
1991,68,6.927
1991,69,6.491
1991,70,6.057
1991,71,5.629
1991,72,5.209
1991,73,4.796
1991,74,4.385
1991,75,3.984
1991,76,3.596
1991,77,3.218
1991,78,2.860
1991,79,2.520
