year,age,population
1990,0,80.985
1990,1,80.849
1990,2,80.350
1990,3,79.527
1990,4,78.419
1990,5,77.063
1990,6,75.495
1990,7,73.758
1990,8,71.887
1990,9,69.920
1990,10,67.934
1990,11,66.003
1990,12,63.978
1990,13,61.829
1990,14,59.698
1990,15,57.660
1990,16,55.560
1990,17,54.388
1990,18,54.603
1990,19,55.705
1990,20,56.714
1990,21,57.786
1990,22,58.579
1990,23,58.802
1990,24,58.598
1990,25,58.433
1990,26,58.264
1990,27,57.606
1990,28,56.278
1990,29,54.471
1990,30,52.631
1990,31,50.747
1990,32,48.669
1990,33,46.387
1990,34,44.023
1990,35,41.616
1990,36,39.061
1990,37,37.152
1990,38,36.266
1990,39,36.013
1990,40,35.692
1990,41,35.505
1990,42,34.855
1990,43,33.393
1990,44,31.437
1990,45,29.637
1990,46,27.846
1990,47,26.308
1990,48,25.199
1990,49,24.377
1990,50,23.517
1990,51,22.680
1990,52,21.862
1990,53,21.026
1990,54,20.194
1990,55,19.410
1990,56,18.656
1990,57,17.941
1990,58,17.274
1990,59,16.636
1990,60,16.010
1990,61,15.410
1990,62,14.752
1990,63,14.000
1990,64,13.192
1990,65,12.405
1990,66,11.634
1990,67,10.889
1990,68,10.191
1990,69,9.534
1990,70,8.882
1990,71,8.236
1990,72,7.654
1990,73,7.159
1990,74,6.724
1990,75,6.303
1990,76,5.908
1990,77,5.484
1990,78,4.996
1990,79,4.476
1990,80,3.985
1990,81,3.514
1990,82,3.071
1990,83,2.671
1990,84,2.307
1990,85,1.960
1990,86,1.631
1990,87,1.341
1990,88,1.094
1990,89,0.884
1990,90,0.696
1990,91,0.530
1990,92,0.394
1990,93,0.289
1990,94,0.211
1990,95,0.148
1990,96,0.106
1990,97,0.070
1990,98,0.044
1990,99,0.022
1990,100,0.035
1991,0,81.137
1991,1,80.968
1991,2,80.775
1991,3,80.253
1991,4,79.435
1991,5,78.355
1991,6,77.048
1991,7,75.551
1991,8,73.875
1991,9,72.035
1991,10,70.085
1991,11,68.123
1991,12,66.221
1991,13,64.221
1991,14,62.093
1991,15,59.979
1991,16,57.956
1991,17,55.869
1991,18,54.706
1991,19,54.926
1991,20,56.029
1991,21,57.036
1991,22,58.107
1991,23,58.895
1991,24,59.110
1991,25,58.896
1991,26,58.720
1991,27,58.539
1991,28,57.869
1991,29,56.531
1991,30,54.716
1991,31,52.866
1991,32,50.972
1991,33,48.883
1991,34,46.589
1991,35,44.212
1991,36,41.793
1991,37,39.224
1991,38,37.300
1991,39,36.397
1991,40,36.126
1991,41,35.787
1991,42,35.582
1991,43,34.913
1991,44,33.431
1991,45,31.454
1991,46,29.633
1991,47,27.821
1991,48,26.264
