year,age,population
1990,0,53.976
1990,1,56.755
1990,2,59.057
1990,3,60.930
1990,4,62.412
1990,5,63.552
1990,6,64.393
1990,7,64.980
1990,8,65.355
1990,9,65.564
1990,10,65.578
1990,11,65.367
1990,12,65.343
1990,13,65.695
1990,14,66.249
1990,15,66.733
1990,16,67.312
1990,17,67.417
1990,18,66.775
1990,19,65.722
1990,20,64.791
1990,21,63.775
1990,22,63.533
1990,23,64.511
1990,24,66.273
1990,25,67.931
1990,26,69.658
1990,27,71.138
1990,28,72.115
1990,29,72.756
1990,30,73.416
1990,31,73.944
1990,32,74.579
1990,33,75.454
1990,34,76.372
1990,35,77.019
1990,36,77.477
1990,37,77.353
1990,38,76.432
1990,39,74.880
1990,40,73.386
1990,41,72.184
1990,42,69.730
1990,43,65.445
1990,44,60.230
1990,45,55.229
1990,46,49.824
1990,47,47.193
1990,48,48.906
1990,49,53.374
1990,50,57.446
1990,51,61.779
1990,52,64.946
1990,53,65.932
1990,54,65.449
1990,55,65.253
1990,56,65.036
1990,57,64.403
1990,58,63.354
1990,59,61.942
1990,60,60.213
1990,61,58.141
1990,62,55.982
1990,63,53.859
1990,64,51.666
1990,65,49.374
1990,66,47.245
1990,67,44.171
1990,68,39.678
1990,69,34.438
1990,70,29.372
1990,71,24.037
1990,72,20.552
1990,73,19.982
1990,74,21.256
1990,75,22.292
1990,76,23.554
1990,77,23.962
1990,78,22.776
1990,79,20.564
1990,80,18.680
1990,81,16.921
1990,82,15.016
1990,83,12.990
1990,84,10.922
1990,85,8.843
1990,86,6.726
1990,87,4.987
1990,88,3.827
1990,89,3.082
1990,90,2.366
1990,91,1.736
1990,92,1.236
1990,93,0.842
1990,94,0.543
1990,95,0.345
1990,96,0.241
1990,97,0.165
1990,98,0.088
1990,99,0.017
1990,100,0.074
1991,0,51.464
1991,1,54.194
1991,2,56.789
1991,3,58.984
1991,4,60.810
1991,5,62.294
1991,6,63.480
1991,7,64.416
1991,8,65.055
1991,9,65.398
1991,10,65.519
1991,11,65.469
1991,12,65.209
1991,13,65.103
1991,14,65.332
1991,15,65.736
1991,16,66.077
1991,17,66.515
1991,18,66.505
1991,19,65.796
1991,20,64.711
1991,21,63.747
1991,22,62.703
1991,23,62.468
1991,24,63.505
1991,25,65.358
1991,26,67.110
1991,27,68.941
1991,28,70.504
1991,29,71.529
1991,30,72.191
1991,31,72.879
1991,32,73.437
1991,33,74.093
1991,34,74.977
1991,35,75.897
1991,36,76.545
1991,37,76.996
1991,38,76.874
1991,39,75.967
1991,40,74.437
1991,41,72.960
1991,42,71.772
1991,43,69.331
1991,44,65.060
1991,45,59.854
1991,46,54.862
1991,47,49.462
1991,48,46.825
1991,49,48.517
1991,50,52.952
1991,51,56.988
1991,52,61.282
1991,53,64.405
1991,54,65.344
1991,55,64.810
1991,56,64.561
1991,57,64.290
1991,58,63.599
1991,59,62.491
1991,60,61.017
1991,61,59.230
1991,62,57.105
1991,63,54.891
1991,64,52.713
1991,65,50.465
1991,66,48.120
1991,67,45.926
1991,68,42.833
1991,69,38.390
1991,70,33.236
1991,71,28.252
1991,72,23.017
1991,73,19.554
1991,74,18.880
1991,75,19.977
1991,76,20.855
1991,77,21.963
1991,78,22.263
1991,79,21.047
1991,80,18.863
1991,81,17.004
1991,82,15.270
