year,age,population
1990,0,188.000
1990,1,184.344
1990,2,179.799
1990,3,174.670
1990,4,169.265
1990,5,163.897
1990,6,158.872
1990,7,154.498
1990,8,151.085
1990,9,148.941
1990,10,147.150
1990,11,144.794
1990,12,148.309
1990,13,160.456
1990,14,177.863
1990,15,194.689
1990,16,212.437
1990,17,225.435
1990,18,230.370
1990,19,229.920
1990,20,229.662
1990,21,227.997
1990,22,227.422
1990,23,229.579
1990,24,232.703
1990,25,234.464
1990,26,236.627
1990,27,232.051
1990,28,217.367
1990,29,196.623
1990,30,176.526
1990,31,154.869
1990,32,140.253
1990,33,137.357
1990,34,141.865
1990,35,145.087
1990,36,149.130
1990,37,149.949
1990,38,144.777
1990,39,135.972
1990,40,128.515
1990,41,121.238
1990,42,115.685
1990,43,113.071
1990,44,112.345
1990,45,111.206
1990,46,110.070
1990,47,108.705
1990,48,106.754
1990,49,104.390
1990,50,102.251
1990,51,100.318
1990,52,97.798
1990,53,94.394
1990,54,90.456
1990,55,86.596
1990,56,82.642
1990,57,79.228
1990,58,76.721
1990,59,74.807
1990,60,72.817
1990,61,70.891
1990,62,68.888
1990,63,66.667
1990,64,64.331
1990,65,62.107
1990,66,59.937
1990,67,57.855
1990,68,55.903
1990,69,54.036
1990,70,52.145
1990,71,50.216
1990,72,48.354
1990,73,46.592
1990,74,44.855
1990,75,43.081
1990,76,41.321
1990,77,39.241
1990,78,36.677
1990,79,33.794
1990,80,30.954
1990,81,28.118
1990,82,25.282
1990,83,22.496
1990,84,19.775
1990,85,17.107
1990,86,14.511
1990,87,12.101
1990,88,9.937
1990,89,7.999
1990,90,6.184
1990,91,4.478
1990,92,3.125
1990,93,2.231
1990,94,1.678
1990,95,1.231
1990,96,0.921
1990,97,0.683
1990,98,0.453
1990,99,0.250
1990,100,0.596
1991,0,178.118
1991,1,186.853
1991,2,183.808
1991,3,179.630
1991,4,174.670
1991,5,169.274
1991,6,163.754
1991,7,158.413
1991,8,153.809
1991,9,150.374
1991,10,148.333
1991,11,146.562
1991,12,144.193
1991,13,147.680
1991,14,159.777
1991,15,177.124
1991,16,193.895
1991,17,211.587
1991,18,224.543
1991,19,229.458
1991,20,229.002
1991,21,228.741
1991,22,227.076
1991,23,226.507
1991,24,228.675
1991,25,231.813
1991,26,233.594
1991,27,235.776
1991,28,231.230
1991,29,216.592
1991,30,195.901
1991,31,175.856
1991,32,154.255
1991,33,139.679
1991,34,136.796
1991,35,141.302
1991,36,144.520
1991,37,148.558
1991,38,149.375
1991,39,144.209
1991,40,135.415
1991,41,127.965
1991,42,120.693
1991,43,115.136
1991,44,112.507
1991,45,111.755
1991,46,110.592
1991,47,109.427
1991,48,108.040
1991,49,106.076
1991,50,103.705
1991,51,101.554
1991,52,99.608
1991,53,97.072
1991,54,93.645
1991,55,89.682
1991,56,85.794
1991,57,81.811
1991,58,78.359
1991,59,75.801
1991,60,73.828
1991,61,71.777
1991,62,69.787
1991,63,67.721
1991,64,65.446
1991,65,63.059
1991,66,60.779
1991,67,58.552
1991,68,56.408
1991,69,54.388
1991,70,52.449
1991,71,50.487
1991,72,48.496
1991,73,46.553
1991,74,44.686
1991,75,42.832
1991,76,40.953
1991,77,39.098
1991,78,36.947
1991,79,34.347
1991,80,31.458
1991,81,28.624
1991,82,25.801
1991,83,23.028
1991,84,20.366
1991,85,17.813
1991,86,15.319
1991,87,12.905
1991,88,10.687
1991,89,8.722
1991,90,6.987
1991,91,5.374
1991,92,3.873
1991,93,2.688
1991,94,1.901
1991,95,1.416
1991,96,1.000
1991,97,0.712
1991,98,0.461
1991,99,0.258
1991,100,0.642
1992,0,165.673
1992,1,174.305
1992,2,185.792
1992,3,183.356
1992,4,179.545
1992,5,174.752
1992,6,169.362
1992,7,163.686
1992,8,158.027
1992,9,153.192
1992,10,149.733
1992,11,147.792
1992,12,146.044
1992,13,143.658
1992,14,147.118
1992,15,159.173
1992,16,176.468
1992,17,193.189
1992,18,210.834
1992,19,223.756
1992,20,228.652
1992,21,228.191
1992,22,227.925
1992,23,226.261
1992,24,225.696
1992,25,227.876
1992,26,231.031
1992,27,232.832
1992,28,235.034
1992,29,230.516
1992,30,215.917
1992,31,195.270
1992,32,175.268
1992,33,153.713
1992,34,139.168
1992,35,136.299
1992,36,140.803
1992,37,144.022
1992,38,148.054
1992,39,148.869
1992,40,143.708
1992,41,134.920
1992,42,127.474
1992,43,120.204
1992,44,114.642
1992,45,111.993
1992,46,111.218
1992,47,110.029
1992,48,108.834
1992,49,107.425
1992,50,105.446
1992,51,103.067
1992,52,100.906
1992,53,98.944
1992,54,96.389
1992,55,92.940
1992,56,88.949
1992,57,85.031
1992,58,81.017
1992,59,77.525
1992,60,74.916
1992,61,72.883
1992,62,70.771
1992,63,68.713
1992,64,66.585
1992,65,64.255
1992,66,61.815
1992,67,59.478
1992,68,57.193
1992,69,54.986
1992,70,52.897
1992,71,50.884
1992,72,48.853
1992,73,46.795
1992,74,44.774
1992,75,42.799
1992,76,40.826
1992,77,38.842
1992,78,36.892
1992,79,34.669
1992,80,32.031
1992,81,29.135
1992,82,26.303
1992,83,23.496
1992,84,20.783
1992,85,18.243
1992,86,15.857
1992,87,13.538
1992,88,11.302
1992,89,9.276
1992,90,7.512
1992,91,5.977
1992,92,4.565
1992,93,3.270
1992,94,2.251
1992,95,1.573
1992,96,1.153
1992,97,0.746
1992,98,0.473
1992,99,0.270
1992,100,0.682
1993,0,152.735
1993,1,166.387
1993,2,175.382
1993,3,184.690
1993,4,182.864
1993,5,179.422
1993,6,174.796
1993,7,169.414
1993,8,163.584
1993,9,157.607
1993,10,152.542
1993,11,149.059
1993,12,147.220
1993,13,145.492
1993,14,143.091
1993,15,146.526
1993,16,158.534
1993,17,175.772
1993,18,192.442
1993,19,210.037
1993,20,222.918
1993,21,227.797
1993,22,227.330
1993,23,227.060
1993,24,225.396
1993,25,224.837
1993,26,227.028
1993,27,230.199
1993,28,232.018
1993,29,234.242
1993,30,229.753
1993,31,215.194
1993,32,194.597
1993,33,174.641
1993,34,153.137
1993,35,138.628
1993,36,135.772
1993,37,140.275
1993,38,143.491
1993,39,147.518
1993,40,148.331
1993,41,143.176
1993,42,134.397
1993,43,126.955
1993,44,119.689
1993,45,114.121
1993,46,111.456
1993,47,110.656
1993,48,109.442
1993,49,108.218
1993,50,106.785
1993,51,104.794
1993,52,102.407
1993,53,100.233
1993,54,98.259
1993,55,95.685
1993,56,92.214
1993,57,88.196
1993,58,84.250
1993,59,80.205
1993,60,76.674
1993,61,74.014
1993,62,71.921
1993,63,69.747
1993,64,67.625
1993,65,65.434
1993,66,63.048
1993,67,60.556
1993,68,58.164
1993,69,55.820
1993,70,53.551
1993,71,51.392
1993,72,49.308
1993,73,47.205
1993,74,45.084
1993,75,42.981
1993,76,40.902
1993,77,38.810
1993,78,36.720
1993,79,34.675
1993,80,32.381
1993,81,29.706
1993,82,26.802
1993,83,23.976
1993,84,21.182
1993,85,18.530
1993,86,16.115
1993,87,13.896
1993,88,11.751
1993,89,9.696
1993,90,7.862
1993,91,6.297
1993,92,4.965
1993,93,3.755
1993,94,2.665
1993,95,1.814
1993,96,1.243
1993,97,0.890
1993,98,0.493
1993,99,0.288
1993,100,0.722
1994,0,142.136
1994,1,158.928
1994,2,170.782
1994,3,178.293
1994,4,183.458
1994,5,182.244
1994,6,179.173
1994,7,174.717
1994,8,169.347
1994,9,163.366
1994,10,157.077
1994,11,151.783
1994,12,148.280
1994,13,146.544
1994,14,144.839
1994,15,142.425
1994,16,145.829
1994,17,157.783
1994,18,174.954
1994,19,191.559
1994,20,209.091
1994,21,221.925
1994,22,226.780
1994,23,226.309
1994,24,226.036
1994,25,224.372
1994,26,223.820
1994,27,226.019
1994,28,229.205
1994,29,231.042
1994,30,233.284
1994,31,228.827
1994,32,214.321
1994,33,193.787
1994,34,173.892
1994,35,152.453
1994,36,137.990
1994,37,135.150
1994,38,139.646
1994,39,142.860
1994,40,146.879
1994,41,147.689
1994,42,142.542
1994,43,133.779
1994,44,126.347
1994,45,119.089
1994,46,113.521
1994,47,110.840
1994,48,110.017
1994,49,108.776
1994,50,107.526
1994,51,106.071
1994,52,104.067
1994,53,101.675
1994,54,99.491
1994,55,97.503
1994,56,94.915
1994,57,91.423
1994,58,87.381
1994,59,83.409
1994,60,79.335
1994,61,75.770
1994,62,73.060
1994,63,70.908
1994,64,68.675
1994,65,66.488
1994,66,64.236
1994,67,61.796
1994,68,59.255
1994,69,56.808
1994,70,54.408
1994,71,52.078
1994,72,49.852
1994,73,47.696
1994,74,45.523
1994,75,43.341
1994,76,41.159
1994,77,38.974
1994,78,36.766
1994,79,34.573
1994,80,32.433
1994,81,30.070
1994,82,27.359
1994,83,24.450
1994,84,21.632
1994,85,18.852
1994,86,16.265
1994,87,13.974
1994,88,11.925
1994,89,9.955
1994,90,8.083
1994,91,6.442
1994,92,5.079
1994,93,3.949
1994,94,2.942
1994,95,2.058
1994,96,1.374
1994,97,0.913
1994,98,0.627
1994,99,0.318
1994,100,0.768
1995,0,135.850
1995,1,153.363
1995,2,166.231
1995,3,174.969
1995,4,180.080
1995,5,182.080
1995,6,181.477
1995,7,178.778
1995,8,174.497
1995,9,169.143
1995,10,163.016
1995,11,156.420
1995,12,150.903
1995,13,147.382
1995,14,145.750
1995,15,144.069
1995,16,141.643
1995,17,145.016
1995,18,156.905
1995,19,173.994
1995,20,190.522
1995,21,207.977
1995,22,220.753
1995,23,225.582
1995,24,225.106
1995,25,224.829
1995,26,223.168
1995,27,222.622
1995,28,224.829
1995,29,228.026
1995,30,229.880
1995,31,232.138
1995,32,227.718
1995,33,213.275
1995,34,192.820
1995,35,173.003
1995,36,151.647
1995,37,137.241
1995,38,134.418
1995,39,138.907
1995,40,142.113
1995,41,146.121
1995,42,146.928
1995,43,141.794
1995,44,133.053
1995,45,125.637
1995,46,118.394
1995,47,112.829
1995,48,110.136
1995,49,109.288
1995,50,108.025
1995,51,106.747
1995,52,105.272
1995,53,103.257
1995,54,100.861
1995,55,98.669
1995,56,96.670
1995,57,94.068
1995,58,90.559
1995,59,86.496
1995,60,82.501
1995,61,78.404
1995,62,74.804
1995,63,72.048
1995,64,69.839
1995,65,67.548
1995,66,65.299
1995,67,62.988
1995,68,60.497
1995,69,57.907
1995,70,55.408
1995,71,52.953
1995,72,50.565
1995,73,48.273
1995,74,46.047
1995,75,43.808
1995,76,41.564
1995,77,39.306
1995,78,37.018
1995,79,34.695
1995,80,32.400
1995,81,30.168
1995,82,27.737
1995,83,24.993
1995,84,22.082
1995,85,19.272
1995,86,16.511
1995,87,13.989
1995,88,11.825
1995,89,9.947
1995,90,8.154
1995,91,6.465
1995,92,5.019
1995,93,3.857
1995,94,2.931
1995,95,2.128
1995,96,1.450
1995,97,0.935
1995,98,0.582
1995,99,0.363
1995,100,0.824
1996,0,135.515
1996,1,139.434
1996,2,154.206
1996,3,165.356
1996,4,173.224
1996,5,178.146
1996,6,180.635
1996,7,181.204
1996,8,179.318
1996,9,174.972
1996,10,169.025
1996,11,162.648
1996,12,155.978
1996,13,150.376
1996,14,146.756
1996,15,145.018
1996,16,143.239
1996,17,140.713
1996,18,144.028
1996,19,155.923
1996,20,173.061
1996,21,189.637
1996,22,207.149
1996,23,219.980
1996,24,224.852
1996,25,224.412
1996,26,224.178
1996,27,222.563
1996,28,222.060
1996,29,224.305
1996,30,227.533
1996,31,229.419
1996,32,231.706
1996,33,227.309
1996,34,212.876
1996,35,192.425
1996,36,172.610
1996,37,151.252
1996,38,136.843
1996,39,134.016
1996,40,138.501
1996,41,141.700
1996,42,145.697
1996,43,146.495
1996,44,141.354
1996,45,132.607
1996,46,125.183
1996,47,117.928
1996,48,112.349
1996,49,109.637
1996,50,108.765
1996,51,107.477
1996,52,106.172
1996,53,104.665
1996,54,102.611
1996,55,100.172
1996,56,97.933
1996,57,95.886
1996,58,93.236
1996,59,89.685
1996,60,85.583
1996,61,81.545
1996,62,77.404
1996,63,73.755
1996,64,70.942
1996,65,68.670
1996,66,66.315
1996,67,63.999
1996,68,61.624
1996,69,59.072
1996,70,56.422
1996,71,53.863
1996,72,51.351
1996,73,48.894
1996,74,46.514
1996,75,44.189
1996,76,41.862
1996,77,39.542
1996,78,37.210
1996,79,34.847
1996,80,32.459
1996,81,30.112
1996,82,27.835
1996,83,25.416
1996,84,22.768
1996,85,20.011
1996,86,17.359
1996,87,14.767
1996,88,12.422
1996,89,10.435
1996,90,8.733
1996,91,7.121
1996,92,5.616
1996,93,4.335
1996,94,3.310
1996,95,2.496
1996,96,1.594
1996,97,1.045
1996,98,0.666
1996,99,0.424
1996,100,0.892
1997,0,139.624
1997,1,150.124
1997,2,142.725
1997,3,154.719
1997,4,164.122
1997,5,171.104
1997,6,175.825
1997,7,178.799
1997,8,180.540
1997,9,179.473
1997,10,175.072
1997,11,168.542
1997,12,161.930
1997,13,155.200
1997,14,149.524
1997,15,145.812
1997,16,143.974
1997,17,142.099
1997,18,139.478
1997,19,142.728
1997,20,154.603
1997,21,171.753
1997,22,188.343
1997,23,205.874
1997,24,218.731
1997,25,223.636
1997,26,223.234
1997,27,223.044
1997,28,221.478
1997,29,221.019
1997,30,223.296
1997,31,226.551
1997,32,228.463
1997,33,230.775
1997,34,226.409
1997,35,212.019
1997,36,191.615
1997,37,171.844
1997,38,150.531
1997,39,136.150
1997,40,133.325
1997,41,137.797
1997,42,140.981
1997,43,144.958
1997,44,145.746
1997,45,140.609
1997,46,131.875
1997,47,124.457
1997,48,117.208
1997,49,111.626
1997,50,108.901
1997,51,108.008
1997,52,106.696
1997,53,105.368
1997,54,103.831
1997,55,101.743
1997,56,99.265
1997,57,96.986
1997,58,94.893
1997,59,92.203
1997,60,88.617
1997,61,84.483
1997,62,80.412
1997,63,76.236
1997,64,72.545
1997,65,69.680
1997,66,67.351
1997,67,64.937
1997,68,62.560
1997,69,60.124
1997,70,57.516
1997,71,54.813
1997,72,52.200
1997,73,49.635
1997,74,47.115
1997,75,44.651
1997,76,42.232
1997,77,39.823
1997,78,37.431
1997,79,35.029
1997,80,32.598
1997,81,30.148
1997,82,27.754
1997,83,25.437
1997,84,23.036
1997,85,20.489
1997,86,17.894
1997,87,15.405
1997,88,12.989
1997,89,10.825
1997,90,9.020
1997,91,7.497
1997,92,6.070
1997,93,4.753
1997,94,3.641
1997,95,2.754
1997,96,2.056
1997,97,1.176
1997,98,0.772
1997,99,0.499
1997,100,0.970
1998,0,146.033
1998,1,150.446
1998,2,154.640
1998,3,145.864
1998,4,155.068
1998,5,162.720
1998,6,168.808
1998,7,173.322
1998,8,176.778
1998,9,179.689
1998,10,179.440
1998,11,174.989
1998,12,167.884
1998,13,161.043
1998,14,154.261
1998,15,148.517
1998,16,144.717
1998,17,142.780
1998,18,140.812
1998,19,138.100
1998,20,141.280
1998,21,153.124
1998,22,170.267
1998,23,186.854
1998,24,204.385
1998,25,217.256
1998,26,222.188
1998,27,221.824
1998,28,221.677
1998,29,220.164
1998,30,219.748
1998,31,222.057
1998,32,225.332
1998,33,227.269
1998,34,229.604
1998,35,225.274
1998,36,210.941
1998,37,190.606
1998,38,170.900
1998,39,149.654
1998,40,135.315
1998,41,132.496
1998,42,136.948
1998,43,140.116
1998,44,144.070
1998,45,144.846
1998,46,139.718
1998,47,131.005
1998,48,123.603
1998,49,116.367
1998,50,110.787
1998,51,108.052
1998,52,107.138
1998,53,105.805
1998,54,104.455
1998,55,102.890
1998,56,100.769
1998,57,98.257
1998,58,95.938
1998,59,93.803
1998,60,91.073
1998,61,87.458
1998,62,83.297
1998,63,79.196
1998,64,74.989
1998,65,71.261
1998,66,68.348
1998,67,65.963
1998,68,63.493
1998,69,61.057
1998,70,58.563
1998,71,55.902
1998,72,53.149
1998,73,50.484
1998,74,47.870
1998,75,45.288
1998,76,42.744
1998,77,40.233
1998,78,37.745
1998,79,35.284
1998,80,32.814
1998,81,30.317
1998,82,27.809
1998,83,25.371
1998,84,23.015
1998,85,20.635
1998,86,18.192
1998,87,15.759
1998,88,13.439
1998,89,11.198
1998,90,9.218
1998,91,7.597
1998,92,6.256
1998,93,5.014
1998,94,3.887
1998,95,2.944
1998,96,2.196
1998,97,1.614
1998,98,0.886
1998,99,0.582
1998,100,1.060
1999,0,151.587
1999,1,150.649
1999,2,151.063
1999,3,152.577
1999,4,149.041
1999,5,155.467
1999,6,161.372
1999,7,166.568
1999,8,170.879
1999,9,174.818
1999,10,178.895
1999,11,179.465
1999,12,174.961
1999,13,167.280
1999,14,160.209
1999,15,153.372
1999,16,147.559
1999,17,143.670
1999,18,141.634
1999,19,139.572
1999,20,136.767
1999,21,139.881
1999,22,151.695
1999,23,168.838
1999,24,185.427
1999,25,202.964
1999,26,215.852
1999,27,220.813
1999,28,220.486
1999,29,220.384
1999,30,218.921
1999,31,218.550
1999,32,220.888
1999,33,224.188
1999,34,226.150
1999,35,228.508
1999,36,224.212
1999,37,209.931
1999,38,189.659
1999,39,170.012
1999,40,148.825
1999,41,134.525
1999,42,131.711
1999,43,136.145
1999,44,139.297
1999,45,143.228
1999,46,143.992
1999,47,138.873
1999,48,130.179
1999,49,122.790
1999,50,115.563
1999,51,109.986
1999,52,107.239
1999,53,106.303
1999,54,104.949
1999,55,103.577
1999,56,101.983
1999,57,99.830
1999,58,97.280
1999,59,94.923
1999,60,92.744
1999,61,89.976
1999,62,86.328
1999,63,82.140
1999,64,78.007
1999,65,73.769
1999,66,70.001
1999,67,67.039
1999,68,64.600
1999,69,62.071
1999,70,59.576
1999,71,57.025
1999,72,54.309
1999,73,51.504
1999,74,48.787
1999,75,46.124
1999,76,43.479
1999,77,40.855
1999,78,38.251
1999,79,35.682
1999,80,33.151
1999,81,30.616
1999,82,28.048
1999,83,25.485
1999,84,22.999
1999,85,20.606
1999,86,18.244
1999,87,15.906
1999,88,13.635
1999,89,11.479
1999,90,9.415
1999,91,7.618
1999,92,6.179
1999,93,5.019
1999,94,3.962
1999,95,3.023
1999,96,2.249
1999,97,1.640
1999,98,1.173
1999,99,0.662
1999,100,1.168
2000,0,153.999
2000,1,149.831
2000,2,147.934
2000,3,147.957
2000,4,149.543
2000,5,152.341
2000,6,155.996
2000,7,160.159
2000,8,164.471
2000,9,168.582
2000,10,173.005
2000,11,178.253
2000,12,179.639
2000,13,175.080
2000,14,166.817
2000,15,159.510
2000,16,152.612
2000,17,146.726
2000,18,142.744
2000,19,140.607
2000,20,138.450
2000,21,135.551
2000,22,138.599
2000,23,150.395
2000,24,167.552
2000,25,184.156
2000,26,201.714
2000,27,214.630
2000,28,219.625
2000,29,219.335
2000,30,219.276
2000,31,217.863
2000,32,217.535
2000,33,219.907
2000,34,223.232
2000,35,225.221
2000,36,227.604
2000,37,223.339
2000,38,209.099
2000,39,188.872
2000,40,169.267
2000,41,148.122
2000,42,133.848
2000,43,131.036
2000,44,135.457
2000,45,138.595
2000,46,142.507
2000,47,143.261
2000,48,138.145
2000,49,129.463
2000,50,122.080
2000,51,114.857
2000,52,109.277
2000,53,106.516
2000,54,105.559
2000,55,104.182
2000,56,102.786
2000,57,101.162
2000,58,98.975
2000,59,96.387
2000,60,93.987
2000,61,91.765
2000,62,88.954
2000,63,85.272
2000,64,81.052
2000,65,76.885
2000,66,72.611
2000,67,68.802
2000,68,65.788
2000,69,63.291
2000,70,60.703
2000,71,58.146
2000,72,55.535
2000,73,52.763
2000,74,49.904
2000,75,47.133
2000,76,44.417
2000,77,41.708
2000,78,39.001
2000,79,36.303
2000,80,33.651
2000,81,31.049
2000,82,28.443
2000,83,25.807
2000,84,23.182
2000,85,20.650
2000,86,18.215
2000,87,15.872
2000,88,13.634
2000,89,11.523
2000,90,9.531
2000,91,7.641
2000,92,6.026
2000,93,4.768
2000,94,3.787
2000,95,2.913
2000,96,2.163
2000,97,1.557
2000,98,1.086
2000,99,0.733
2000,100,1.293
2001,0,152.261
2001,1,152.034
2001,2,149.048
2001,3,147.824
2001,4,148.100
2001,5,149.609
2001,6,151.995
2001,7,154.898
2001,8,158.534
2001,9,162.824
2001,10,167.223
2001,11,171.767
2001,12,177.061
2001,13,178.493
2001,14,173.965
2001,15,165.724
2001,16,158.450
2001,17,151.592
2001,18,145.737
2001,19,141.771
2001,20,139.641
2001,21,137.493
2001,22,134.602
2001,23,137.657
2001,24,149.458
2001,25,166.619
2001,26,183.226
2001,27,200.784
2001,28,213.706
2001,29,218.718
2001,30,218.449
2001,31,218.413
2001,32,217.023
2001,33,216.710
2001,34,219.078
2001,35,222.391
2001,36,224.369
2001,37,226.735
2001,38,222.472
2001,39,208.261
2001,40,188.080
2001,41,168.517
2001,42,147.414
2001,43,133.162
2001,44,130.332
2001,45,134.711
2001,46,137.811
2001,47,141.678
2001,48,142.400
2001,49,137.278
2001,50,128.603
2001,51,121.221
2001,52,113.995
2001,53,108.403
2001,54,105.610
2001,55,104.608
2001,56,103.188
2001,57,101.747
2001,58,100.075
2001,59,97.833
2001,60,95.189
2001,61,92.731
2001,62,90.446
2001,63,87.580
2001,64,83.853
2001,65,79.596
2001,66,75.389
2001,67,71.074
2001,68,67.218
2001,69,64.146
2001,70,61.584
2001,71,58.932
2001,72,56.315
2001,73,53.638
2001,74,50.790
2001,75,47.852
2001,76,45.009
2001,77,42.231
2001,78,39.465
2001,79,36.703
2001,80,33.959
2001,81,31.274
2001,82,28.649
2001,83,26.061
2001,84,23.501
2001,85,20.996
2001,86,18.591
2001,87,16.289
2001,88,14.101
2001,89,12.042
2001,90,10.124
2001,91,8.326
2001,92,6.637
2001,93,5.201
2001,94,4.088
2001,95,3.225
2001,96,2.263
2001,97,1.639
2001,98,1.155
2001,99,0.789
2001,100,1.440
2002,0,147.519
2002,1,144.334
2002,2,150.214
2002,3,148.408
2002,4,147.855
2002,5,148.384
2002,6,149.817
2002,7,151.794
2002,8,153.948
2002,9,157.060
2002,10,161.333
2002,11,166.024
2002,12,170.692
2002,13,176.040
2002,14,177.517
2002,15,173.015
2002,16,164.791
2002,17,157.541
2002,18,150.716
2002,19,144.887
2002,20,140.934
2002,21,138.809
2002,22,136.668
2002,23,133.781
2002,24,136.847
2002,25,148.663
2002,26,165.845
2002,27,182.470
2002,28,200.046
2002,29,212.986
2002,30,218.019
2002,31,217.773
2002,32,217.757
2002,33,216.391
2002,34,216.091
2002,35,218.458
2002,36,221.763
2002,37,223.730
2002,38,226.083
2002,39,221.816
2002,40,207.623
2002,41,187.467
2002,42,167.926
2002,43,146.848
2002,44,132.602
2002,45,129.753
2002,46,134.094
2002,47,137.157
2002,48,140.985
2002,49,141.676
2002,50,136.541
2002,51,127.866
2002,52,120.477
