year,age,population
1990,0,2.940
1990,1,2.876
1990,2,2.819
1990,3,2.769
1990,4,2.723
1990,5,2.684
1990,6,2.650
1990,7,2.622
1990,8,2.596
1990,9,2.576
1990,10,2.559
1990,11,2.540
1990,12,2.530
1990,13,2.533
1990,14,2.539
1990,15,2.550
1990,16,2.569
1990,17,2.561
1990,18,2.512
1990,19,2.437
1990,20,2.370
1990,21,2.296
1990,22,2.267
1990,23,2.305
1990,24,2.386
1990,25,2.456
1990,26,2.526
1990,27,2.585
1990,28,2.619
1990,29,2.638
1990,30,2.655
1990,31,2.676
1990,32,2.660
1990,33,2.592
1990,34,2.488
1990,35,2.383
1990,36,2.269
1990,37,2.173
1990,38,2.114
1990,39,2.078
1990,40,2.032
1990,41,1.988
1990,42,1.935
1990,43,1.865
1990,44,1.786
1990,45,1.709
1990,46,1.634
1990,47,1.568
1990,48,1.520
1990,49,1.481
1990,50,1.441
1990,51,1.407
1990,52,1.364
1990,53,1.309
1990,54,1.251
1990,55,1.192
1990,56,1.135
1990,57,1.088
1990,58,1.054
1990,59,1.028
1990,60,1.003
1990,61,0.978
1990,62,0.951
1990,63,0.922
1990,64,0.888
1990,65,0.856
1990,66,0.826
1990,67,0.791
1990,68,0.749
1990,69,0.706
1990,70,0.660
1990,71,0.615
1990,72,0.574
1990,73,0.536
1990,74,0.501
1990,75,0.465
1990,76,0.431
1990,77,0.398
1990,78,0.368
1990,79,0.340
1990,80,0.315
1990,81,0.289
1990,82,0.262
1990,83,0.234
1990,84,0.201
1990,85,0.173
1990,86,0.143
1990,87,0.119
1990,88,0.099
1990,89,0.082
1990,90,0.067
1990,91,0.053
1990,92,0.041
1990,93,0.033
1990,94,0.025
1990,95,0.021
1990,96,0.016
1990,97,0.012
1990,98,0.010
1990,99,0.005
1990,100,0.008
1991,0,2.851
1991,1,2.892
1991,2,2.844
1991,3,2.797
1991,4,2.752
1991,5,2.706
1991,6,2.665
1991,7,2.622
1991,8,2.588
1991,9,2.557
1991,10,2.534
1991,11,2.513
1991,12,2.489
1991,13,2.468
1991,14,2.448
1991,15,2.426
1991,16,2.409
1991,17,2.401
1991,18,2.379
1991,19,2.336
1991,20,2.282
1991,21,2.235
1991,22,2.182
1991,23,2.172
1991,24,2.225
1991,25,2.319
1991,26,2.402
1991,27,2.488
1991,28,2.557
1991,29,2.599
1991,30,2.620
1991,31,2.642
1991,32,2.664
1991,33,2.649
1991,34,2.581
1991,35,2.477
1991,36,2.371
1991,37,2.255
1991,38,2.158
1991,39,2.098
1991,40,2.062
1991,41,2.017
1991,42,1.973
1991,43,1.919
1991,44,1.848
1991,45,1.768
1991,46,1.690
1991,47,1.614
1991,48,1.548
1991,49,1.500
1991,50,1.463
1991,51,1.424
1991,52,1.392
1991,53,1.349
1991,54,1.295
1991,55,1.236
1991,56,1.177
1991,57,1.119
1991,58,1.072
1991,59,1.038
1991,60,1.011
1991,61,0.986
1991,62,0.961
1991,63,0.933
1991,64,0.903
1991,65,0.868
1991,66,0.834
1991,67,0.803
1991,68,0.767
1991,69,0.724
1991,70,0.681
1991,71,0.634
1991,72,0.590
1991,73,0.549
1991,74,0.510
1991,75,0.475
1991,76,0.440
1991,77,0.406
1991,78,0.373
1991,79,0.343
1991,80,0.315
1991,81,0.291
1991,82,0.265
1991,83,0.239
1991,84,0.212
1991,85,0.181
1991,86,0.155
1991,87,0.128
1991,88,0.104
1991,89,0.087
1991,90,0.072
1991,91,0.058
1991,92,0.045
1991,93,0.035
1991,94,0.028
1991,95,0.021
1991,96,0.017
1991,97,0.013
1991,98,0.009
1991,99,0.006
1991,100,0.009
1992,0,2.739
1992,1,2.757
1992,2,2.854
1992,3,2.820
1992,4,2.783
1992,5,2.742
1992,6,2.698
1992,7,2.653
1992,8,2.603
1992,9,2.561
1992,10,2.526
1992,11,2.499
1992,12,2.473
1992,13,2.446
1992,14,2.413
1992,15,2.370
1992,16,2.320
1992,17,2.276
1992,18,2.240
1992,19,2.204
1992,20,2.167
1992,21,2.134
1992,22,2.106
1992,23,2.074
1992,24,2.083
1992,25,2.152
1992,26,2.258
1992,27,2.356
1992,28,2.456
1992,29,2.537
1992,30,2.586
1992,31,2.611
1992,32,2.635
1992,33,2.660
1992,34,2.646
1992,35,2.579
1992,36,2.473
1992,37,2.366
1992,38,2.247
1992,39,2.149
1992,40,2.089
1992,41,2.052
1992,42,2.007
1992,43,1.963
1992,44,1.909
1992,45,1.837
1992,46,1.755
1992,47,1.676
1992,48,1.599
1992,49,1.531
1992,50,1.485
1992,51,1.449
1992,52,1.412
1992,53,1.380
1992,54,1.339
1992,55,1.284
1992,56,1.225
1992,57,1.165
1992,58,1.107
1992,59,1.059
1992,60,1.024
1992,61,0.998
1992,62,0.972
1992,63,0.946
1992,64,0.919
1992,65,0.886
1992,66,0.850
1992,67,0.815
1992,68,0.782
1992,69,0.745
1992,70,0.701
1992,71,0.658
1992,72,0.611
1992,73,0.567
1992,74,0.524
1992,75,0.487
1992,76,0.451
1992,77,0.415
1992,78,0.382
1992,79,0.348
1992,80,0.320
1992,81,0.292
1992,82,0.267
1992,83,0.242
1992,84,0.217
1992,85,0.190
1992,86,0.162
1992,87,0.138
1992,88,0.112
1992,89,0.091
1992,90,0.074
1992,91,0.061
1992,92,0.050
1992,93,0.038
1992,94,0.029
1992,95,0.023
1992,96,0.017
1992,97,0.012
1992,98,0.010
1992,99,0.006
1992,100,0.009
1993,0,2.598
1993,1,2.669
