year,age,population
1990,0,13.863
1990,1,14.059
1990,2,14.139
1990,3,14.114
1990,4,14.004
1990,5,13.819
1990,6,13.575
1990,7,13.290
1990,8,12.976
1990,9,12.649
1990,10,12.320
1990,11,11.999
1990,12,11.722
1990,13,11.512
1990,14,11.371
1990,15,11.234
1990,16,11.059
1990,17,11.144
1990,18,11.615
1990,19,12.311
1990,20,12.978
1990,21,13.704
1990,22,14.125
1990,23,14.039
1990,24,13.632
1990,25,13.264
1990,26,12.852
1990,27,12.556
1990,28,12.492
1990,29,12.563
1990,30,12.570
1990,31,12.566
1990,32,12.465
1990,33,12.206
1990,34,11.847
1990,35,11.503
1990,36,11.146
1990,37,10.835
1990,38,10.611
1990,39,10.442
1990,40,10.253
1990,41,10.060
1990,42,9.857
1990,43,9.640
1990,44,9.408
1990,45,9.182
1990,46,8.967
1990,47,8.725
1990,48,8.440
1990,49,8.134
1990,50,7.836
1990,51,7.534
1990,52,7.270
1990,53,7.068
1990,54,6.905
1990,55,6.742
1990,56,6.588
1990,57,6.431
1990,58,6.260
1990,59,6.087
1990,60,5.919
1990,61,5.751
1990,62,5.602
1990,63,5.474
1990,64,5.362
1990,65,5.245
1990,66,5.128
1990,67,4.991
1990,68,4.815
1990,69,4.614
1990,70,4.417
1990,71,4.218
1990,72,4.015
1990,73,3.806
1990,74,3.595
1990,75,3.382
1990,76,3.154
1990,77,2.955
1990,78,2.800
1990,79,2.667
1990,80,2.534
1990,81,2.413
1990,82,2.232
1990,83,1.958
1990,84,1.627
1990,85,1.313
1990,86,1.001
1990,87,0.744
1990,88,0.577
1990,89,0.474
1990,90,0.369
1990,91,0.276
1990,92,0.201
1990,93,0.142
1990,94,0.096
1990,95,0.064
1990,96,0.046
1990,97,0.033
1990,98,0.019
1990,99,0.008
1990,100,0.016
1991,0,13.983
1991,1,13.889
1991,2,14.029
1991,3,14.078
1991,4,14.041
1991,5,13.938
1991,6,13.776
1991,7,13.577
1991,8,13.331
1991,9,13.037
1991,10,12.724
1991,11,12.413
1991,12,12.099
1991,13,11.870
1991,14,11.767
1991,15,11.762
1991,16,11.754
1991,17,11.722
1991,18,11.856
1991,19,12.226
1991,20,12.731
1991,21,13.219
1991,22,13.751
1991,23,14.047
1991,24,13.961
1991,25,13.629
1991,26,13.320
1991,27,12.972
1991,28,12.715
1991,29,12.646
1991,30,12.684
1991,31,12.669
1991,32,12.645
1991,33,12.533
1991,34,12.280
1991,35,11.935
1991,36,11.603
1991,37,11.257
1991,38,10.952
1991,39,10.728
1991,40,10.552
1991,41,10.360
1991,42,10.161
1991,43,9.952
1991,44,9.720
1991,45,9.473
1991,46,9.231
1991,47,8.997
1991,48,8.744
1991,49,8.457
1991,50,8.155
1991,51,7.859
1991,52,7.561
1991,53,7.297
1991,54,7.089
1991,55,6.915
1991,56,6.744
1991,57,6.578
1991,58,6.415
1991,59,6.244
1991,60,6.073
1991,61,5.906
1991,62,5.741
1991,63,5.588
1991,64,5.445
1991,65,5.310
1991,66,5.174
1991,67,5.038
1991,68,4.883
1991,69,4.692
1991,70,4.478
1991,71,4.269
1991,72,4.052
1991,73,3.847
1991,74,3.656
1991,75,3.476
1991,76,3.292
1991,77,3.100
1991,78,2.912
1991,79,2.728
1991,80,2.544
1991,81,2.363
1991,82,2.193
1991,83,1.986
1991,84,1.723
1991,85,1.430
1991,86,1.148
1991,87,0.871
1991,88,0.643
1991,89,0.494
1991,90,0.400
1991,91,0.311
1991,92,0.231
1991,93,0.169
1991,94,0.118
1991,95,0.078
1991,96,0.047
1991,97,0.033
1991,98,0.018
1991,99,0.008
1991,100,0.017
1992,0,14.208
1992,1,14.311
1992,2,13.923
1992,3,14.008
1992,4,14.023
1992,5,13.977
1992,6,13.879
1992,7,13.742
1992,8,13.587
1992,9,13.377
1992,10,13.106
1992,11,12.806
1992,12,12.512
1992,13,12.208
1992,14,12.024
1992,15,12.026
1992,16,12.160
1992,17,12.279
1992,18,12.392
1992,19,12.573
1992,20,12.843
1992,21,13.158
1992,22,13.466
1992,23,13.805
1992,24,13.978
1992,25,13.890
1992,26,13.634
1992,27,13.384
1992,28,13.098
1992,29,12.881
1992,30,12.807
1992,31,12.812
1992,32,12.774
1992,33,12.731
1992,34,12.609
1992,35,12.360
1992,36,12.030
1992,37,11.709
1992,38,11.373
1992,39,11.076
1992,40,10.850
1992,41,10.669
1992,42,10.471
1992,43,10.269
1992,44,10.051
1992,45,9.807
1992,46,9.542
1992,47,9.285
1992,48,9.033
1992,49,8.768
1992,50,8.478
1992,51,8.180
1992,52,7.886
1992,53,7.592
1992,54,7.329
1992,55,7.113
1992,56,6.930
1992,57,6.749
1992,58,6.573
1992,59,6.402
1992,60,6.230
1992,61,6.063
1992,62,5.897
1992,63,5.735
1992,64,5.576
1992,65,5.418
1992,66,5.263
1992,67,5.105
1992,68,4.951
1992,69,4.778
1992,70,4.572
1992,71,4.345
1992,72,4.122
1992,73,3.889
1992,74,3.681
1992,75,3.509
1992,76,3.359
1992,77,3.204
1992,78,3.048
1992,79,2.871
1992,80,2.658
1992,81,2.422
1992,82,2.194
1992,83,1.975
1992,84,1.740
1992,85,1.491
1992,86,1.233
1992,87,0.985
1992,88,0.741
1992,89,0.542
1992,90,0.411
1992,91,0.328
1992,92,0.251
1992,93,0.188
1992,94,0.136
1992,95,0.094
1992,96,0.061
1992,97,0.034
1992,98,0.020
1992,99,0.007
1992,100,0.017
1993,0,14.455
1993,1,14.425
1993,2,14.364
1993,3,13.964
1993,4,13.994
1993,5,13.978
1993,6,13.920
1993,7,13.827
1993,8,13.716
1993,9,13.604
1993,10,13.433
1993,11,13.181
1993,12,12.895
1993,13,12.619
1993,14,12.321
1993,15,12.185
1993,16,12.294
1993,17,12.563
1993,18,12.812
1993,19,13.067
1993,20,13.297
1993,21,13.468
1993,22,13.591
1993,23,13.721
1993,24,13.867
1993,25,13.917
1993,26,13.826
1993,27,13.647
1993,28,13.456
1993,29,13.231
1993,30,13.054
1993,31,12.975
1993,32,12.947
1993,33,12.888
1993,34,12.823
1993,35,12.691
1993,36,12.447
1993,37,12.132
1993,38,11.822
1993,39,11.496
1993,40,11.205
1993,41,10.979
1993,42,10.791
1993,43,10.589
1993,44,10.382
1993,45,10.156
1993,46,9.899
1993,47,9.616
1993,48,9.344
1993,49,9.074
1993,50,8.797
1993,51,8.504
1993,52,8.210
1993,53,7.918
1993,54,7.628
1993,55,7.363
1993,56,7.142
1993,57,6.949
1993,58,6.758
1993,59,6.570
1993,60,6.394
1993,61,6.221
1993,62,6.054
1993,63,5.892
1993,64,5.731
1993,65,5.569
1993,66,5.394
1993,67,5.217
1993,68,5.040
1993,69,4.867
1993,70,4.676
1993,71,4.454
1993,72,4.216
1993,73,3.978
1993,74,3.728
1993,75,3.517
1993,76,3.363
1993,77,3.244
1993,78,3.118
1993,79,2.998
1993,80,2.831
1993,81,2.590
1993,82,2.301
1993,83,2.027
1993,84,1.757
1993,85,1.496
1993,86,1.259
1993,87,1.038
1993,88,0.822
1993,89,0.612
1993,90,0.441
1993,91,0.328
1993,92,0.256
1993,93,0.193
1993,94,0.143
1993,95,0.104
1993,96,0.071
1993,97,0.043
1993,98,0.020
1993,99,0.007
1993,100,0.017
1994,0,14.604
1994,1,14.482
1994,2,14.364
1994,3,14.248
1994,4,14.014
1994,5,13.989
1994,6,13.939
1994,7,13.872
1994,8,13.785
1994,9,13.696
1994,10,13.630
1994,11,13.495
1994,12,13.265
1994,13,12.992
1994,14,12.733
1994,15,12.442
1994,16,12.353
1994,17,12.569
1994,18,12.975
1994,19,13.351
1994,20,13.751
1994,21,14.029
1994,22,14.100
1994,23,14.033
1994,24,13.985
1994,25,13.936
1994,26,13.864
1994,27,13.772
1994,28,13.667
1994,29,13.535
1994,30,13.372
1994,31,13.236
1994,32,13.150
1994,33,13.089
1994,34,13.008
1994,35,12.925
1994,36,12.780
1994,37,12.542
1994,38,12.241
1994,39,11.941
1994,40,11.626
1994,41,11.340
1994,42,11.115
1994,43,10.920
1994,44,10.713
1994,45,10.501
1994,46,10.267
1994,47,9.996
1994,48,9.697
1994,49,9.409
1994,50,9.120
1994,51,8.830
1994,52,8.535
1994,53,8.244
1994,54,7.955
1994,55,7.668
1994,56,7.403
1994,57,7.175
1994,58,6.971
1994,59,6.771
1994,60,6.572
1994,61,6.388
1994,62,6.215
1994,63,6.051
1994,64,5.889
1994,65,5.732
1994,66,5.563
1994,67,5.375
1994,68,5.175
1994,69,4.977
1994,70,4.785
1994,71,4.576
1994,72,4.339
1994,73,4.088
1994,74,3.837
1994,75,3.569
1994,76,3.355
1994,77,3.220
1994,78,3.130
1994,79,3.034
1994,80,2.949
1994,81,2.794
1994,82,2.522
1994,83,2.183
1994,84,1.859
1994,85,1.541
1994,86,1.253
1994,87,1.027
1994,88,0.843
1994,89,0.660
1994,90,0.483
1994,91,0.340
1994,92,0.247
1994,93,0.183
1994,94,0.134
1994,95,0.100
1994,96,0.072
1994,97,0.046
1994,98,0.026
1994,99,0.008
1994,100,0.016
1995,0,14.570
1995,1,14.452
1995,2,14.346
1995,3,14.247
1995,4,14.155
1995,5,14.068
1995,6,13.987
1995,7,13.906
1995,8,13.827
1995,9,13.746
1995,10,13.682
1995,11,13.659
1995,12,13.562
1995,13,13.353
1995,14,13.092
1995,15,12.851
1995,16,12.568
1995,17,12.525
1995,18,12.847
1995,19,13.391
1995,20,13.896
1995,21,14.440
1995,22,14.767
1995,23,14.738
1995,24,14.479
1995,25,14.253
1995,26,14.011
1995,27,13.814
1995,28,13.721
1995,29,13.692
1995,30,13.618
1995,31,13.518
1995,32,13.421
1995,33,13.330
1995,34,13.236
1995,35,13.133
1995,36,13.029
1995,37,12.874
1995,38,12.640
1995,39,12.354
1995,40,12.065
1995,41,11.759
1995,42,11.480
1995,43,11.253
1995,44,11.052
1995,45,10.841
1995,46,10.623
1995,47,10.382
1995,48,10.096
1995,49,9.781
1995,50,9.476
1995,51,9.169
1995,52,8.867
1995,53,8.569
1995,54,8.281
1995,55,7.994
1995,56,7.710
1995,57,7.445
1995,58,7.210
1995,59,6.996
1995,60,6.786
1995,61,6.575
1995,62,6.385
1995,63,6.211
1995,64,6.049
1995,65,5.888
1995,66,5.734
1995,67,5.560
1995,68,5.356
1995,69,5.134
1995,70,4.916
1995,71,4.705
1995,72,4.478
1995,73,4.225
1995,74,3.961
1995,75,3.696
1995,76,3.411
1995,77,3.194
1995,78,3.077
1995,79,3.018
1995,80,2.950
1995,81,2.902
1995,82,2.756
1995,83,2.456
1995,84,2.064
1995,85,1.693
1995,86,1.325
1995,87,1.010
1995,88,0.795
1995,89,0.648
1995,90,0.497
1995,91,0.354
1995,92,0.240
1995,93,0.164
1995,94,0.111
1995,95,0.076
1995,96,0.055
1995,97,0.040
1995,98,0.023
1995,99,0.008
1995,100,0.016
1996,0,14.301
1996,1,14.575
1996,2,14.488
1996,3,14.392
1996,4,14.293
1996,5,14.191
1996,6,14.085
1996,7,13.972
1996,8,13.891
1996,9,13.866
1996,10,13.875
1996,11,13.887
1996,12,13.927
1996,13,13.914
1996,14,13.819
1996,15,13.683
1996,16,13.560
