year,age,population
1990,0,147.104
1990,1,133.393
1990,2,124.828
1990,3,120.764
1990,4,120.552
1990,5,123.544
1990,6,129.091
1990,7,136.547
1990,8,145.262
1990,9,154.590
1990,10,164.740
1990,11,175.924
1990,12,183.197
1990,13,184.202
1990,14,180.859
1990,15,177.900
1990,16,174.899
1990,17,170.087
1990,18,163.222
1990,19,155.190
1990,20,146.927
1990,21,138.018
1990,22,131.796
1990,23,129.943
1990,24,131.023
1990,25,131.990
1990,26,133.540
1990,27,134.798
1990,28,135.046
1990,29,134.886
1990,30,135.343
1990,31,135.867
1990,32,138.079
1990,33,142.786
1990,34,148.969
1990,35,154.679
1990,36,160.148
1990,37,164.671
1990,38,167.652
1990,39,169.265
1990,40,170.556
1990,41,171.635
1990,42,170.205
1990,43,165.327
1990,44,158.075
1990,45,150.805
1990,46,143.458
1990,47,135.514
1990,48,127.079
1990,49,118.656
1990,50,110.264
1990,51,101.441
1990,52,96.089
1990,53,96.006
1990,54,99.361
1990,55,102.567
1990,56,106.394
1990,57,109.069
1990,58,109.363
1990,59,108.173
1990,60,107.142
1990,61,105.381
1990,62,105.084
1990,63,107.335
1990,64,110.628
1990,65,113.457
1990,66,117.421
1990,67,114.806
1990,68,102.049
1990,69,83.320
1990,70,65.462
1990,71,46.002
1990,72,34.446
1990,73,35.861
1990,74,45.338
1990,75,53.259
1990,76,61.968
1990,77,66.207
1990,78,62.531
1990,79,53.818
1990,80,46.463
1990,81,39.251
1990,82,32.746
1990,83,27.884
1990,84,24.134
1990,85,19.989
1990,86,15.716
1990,87,12.090
1990,88,9.338
1990,89,7.258
1990,90,5.385
1990,91,3.760
1990,92,2.503
1990,93,1.607
1990,94,1.006
1990,95,0.623
1990,96,0.454
1990,97,0.337
1990,98,0.176
1990,99,0.009
1990,100,0.099
1991,0,145.799
1991,1,142.916
1991,2,132.169
1991,3,125.456
1991,4,122.315
1991,5,122.283
1991,6,124.713
1991,7,128.960
1991,8,135.479
1991,9,144.173
1991,10,154.031
1991,11,164.343
1991,12,175.502
1991,13,182.765
1991,14,183.774
1991,15,180.450
1991,16,177.508
1991,17,174.523
1991,18,169.735
1991,19,162.900
1991,20,154.903
1991,21,146.674
1991,22,137.799
1991,23,131.599
1991,24,129.748
1991,25,130.814
1991,26,131.766
1991,27,133.298
1991,28,134.535
1991,29,134.765
1991,30,134.587
1991,31,135.020
1991,32,135.515
1991,33,137.693
1991,34,142.351
1991,35,148.479
1991,36,154.132
1991,37,159.545
1991,38,164.007
1991,39,166.919
1991,40,168.464
1991,41,169.684
1991,42,170.695
1991,43,169.208
1991,44,164.292
1991,45,157.018
1991,46,149.719
1991,47,142.337
1991,48,134.376
1991,49,125.949
1991,50,117.545
1991,51,109.165
1991,52,100.352
1991,53,94.965
1991,54,94.781
1991,55,97.986
1991,56,101.038
1991,57,104.696
1991,58,107.205
1991,59,107.349
1991,60,106.012
1991,61,104.841
1991,62,102.974
1991,63,102.483
1991,64,104.401
1991,65,107.294
1991,66,109.734
1991,67,113.241
1991,68,110.479
1991,69,98.054
1991,70,79.939
1991,71,62.655
1991,72,43.860
1991,73,32.552
1991,74,33.532
1991,75,42.160
1991,76,49.336
1991,77,57.275
1991,78,61.039
1991,79,57.382
1991,80,49.018
1991,81,41.964
1991,82,35.067
1991,83,28.918
1991,84,24.426
1991,85,21.059
1991,86,17.331
1991,87,13.502
1991,88,10.281
1991,89,7.866
1991,90,6.069
1991,91,4.477
1991,92,3.124
1991,93,2.080
1991,94,1.327
1991,95,0.813
1991,96,0.478
1991,97,0.326
1991,98,0.172
1991,99,0.029
1991,100,0.103
1992,0,139.678
1992,1,129.965
1992,2,139.049
1992,3,131.237
1992,4,126.355
1992,5,124.128
1992,6,124.276
1992,7,126.153
1992,8,129.110
1992,9,134.708
1992,10,143.401
1992,11,153.809
1992,12,164.304
1992,13,175.466
1992,14,182.730
1992,15,183.749
1992,16,180.435
1992,17,177.504
1992,18,174.529
1992,19,169.752
1992,20,162.935
1992,21,154.954
1992,22,146.741
1992,23,137.882
1992,24,131.689
1992,25,129.835
1992,26,130.892
1992,27,131.830
1992,28,133.346
1992,29,134.566
1992,30,134.778
1992,31,134.582
1992,32,134.992
1992,33,135.461
1992,34,137.606
1992,35,142.229
1992,36,148.313
1992,37,153.923
1992,38,159.291
1992,39,163.702
1992,40,166.553
1992,41,168.030
1992,42,169.185
1992,43,170.129
1992,44,168.582
1992,45,163.619
1992,46,156.305
1992,47,148.962
1992,48,141.530
1992,49,133.534
1992,50,125.096
1992,51,116.694
1992,52,108.306
1992,53,99.484
1992,54,94.052
1992,55,93.764
1992,56,96.829
1992,57,99.733
1992,58,103.231
1992,59,105.580
1992,60,105.574
1992,61,104.088
1992,62,102.774
1992,63,100.798
1992,64,100.112
1992,65,101.702
1992,66,104.203
1992,67,106.260
1992,68,109.320
1992,69,106.403
1992,70,94.284
1992,71,76.741
1992,72,59.992
1992,73,41.820
1992,74,30.733
1992,75,31.282
1992,76,39.083
1992,77,45.530
1992,78,52.720
1992,79,56.018
1992,80,52.370
1992,81,44.338
1992,82,37.569
1992,83,30.970
1992,84,25.163
1992,85,21.031
1992,86,18.037
1992,87,14.719
1992,88,11.322
1992,89,8.501
1992,90,6.415
1992,91,4.895
1992,92,3.581
1992,93,2.497
1992,94,1.664
1992,95,1.049
1992,96,0.623
1992,97,0.345
1992,98,0.180
1992,99,0.034
1992,100,0.107
1993,0,129.977
1993,1,126.073
1993,2,123.653
1993,3,135.356
1993,4,130.469
1993,5,127.416
1993,6,126.099
1993,7,126.428
1993,8,127.751
1993,9,129.423
1993,10,134.108
1993,11,142.810
1993,12,153.781
1993,13,164.474
1993,14,175.649
1993,15,182.929
1993,16,183.954
1993,17,180.649
1993,18,177.723
1993,19,174.756
1993,20,169.985
1993,21,163.174
1993,22,155.202
1993,23,146.994
1993,24,138.139
1993,25,131.946
1993,26,130.086
1993,27,131.134
1993,28,132.061
1993,29,133.563
1993,30,134.767
1993,31,134.962
1993,32,134.747
1993,33,135.134
1993,34,135.577
1993,35,137.695
1993,36,142.285
1993,37,148.335
1993,38,153.909
1993,39,159.238
1993,40,163.602
1993,41,166.397
1993,42,167.810
1993,43,168.899
1993,44,169.778
1993,45,168.168
1993,46,163.153
1993,47,155.788
1993,48,148.393
1993,49,140.901
1993,50,132.859
1993,51,124.401
1993,52,115.990
1993,53,107.583
1993,54,98.742
1993,55,93.256
1993,56,92.866
1993,57,95.793
1993,58,98.553
1993,59,101.895
1993,60,104.088
1993,61,103.930
1993,62,102.294
1993,63,100.836
1993,64,98.747
1993,65,97.866
1993,66,99.129
1993,67,101.241
1993,68,102.918
1993,69,105.533
1993,70,102.459
1993,71,90.630
1993,72,73.637
1993,73,57.403
1993,74,39.830
1993,75,28.953
1993,76,29.069
1993,77,36.054
1993,78,41.778
1993,79,48.228
1993,80,51.063
1993,81,47.422
1993,82,39.709
1993,83,33.218
1993,84,26.909
1993,85,21.436
1993,86,17.660
1993,87,15.037
1993,88,12.122
1993,89,9.156
1993,90,6.729
1993,91,4.971
1993,92,3.728
1993,93,2.688
1993,94,1.873
1993,95,1.248
1993,96,0.774
1993,97,0.433
1993,98,0.193
1993,99,0.039
1993,100,0.112
1994,0,118.786
1994,1,120.911
1994,2,122.666
1994,3,124.159
1994,4,131.654
1994,5,129.699
1994,6,128.477
1994,7,128.074
1994,8,128.582
1994,9,129.353
1994,10,129.737
1994,11,133.504
1994,12,142.216
1994,13,153.752
1994,14,164.643
1994,15,175.833
1994,16,183.124
1994,17,184.160
1994,18,180.861
1994,19,177.943
1994,20,174.981
1994,21,170.216
1994,22,163.414
1994,23,155.448
1994,24,147.246
1994,25,138.395
1994,26,132.202
1994,27,130.338
1994,28,131.375
1994,29,132.291
1994,30,133.780
1994,31,134.968
1994,32,135.145
1994,33,134.911
1994,34,135.276
1994,35,135.692
1994,36,137.782
1994,37,142.341
1994,38,148.355
1994,39,153.893
1994,40,159.184
1994,41,163.503
1994,42,166.238
1994,43,167.588
1994,44,168.611
1994,45,169.424
1994,46,167.753
1994,47,162.683
1994,48,155.270
1994,49,147.822
1994,50,140.270
1994,51,132.182
1994,52,123.703
1994,53,115.283
1994,54,106.858
1994,55,97.998
1994,56,92.458
1994,57,91.965
1994,58,94.753
1994,59,97.370
1994,60,100.556
1994,61,102.591
1994,62,102.283
1994,63,100.495
1994,64,98.893
1994,65,96.691
1994,66,95.615
1994,67,96.550
1994,68,98.273
1994,69,99.568
1994,70,101.738
1994,71,98.505
1994,72,86.968
1994,73,70.527
1994,74,54.806
1994,75,37.837
1994,76,27.168
1994,77,26.853
1994,78,33.017
1994,79,38.019
1994,80,43.726
1994,81,46.098
1994,82,42.462
1994,83,35.071
1994,84,28.857
1994,85,22.840
1994,86,17.702
1994,87,14.282
1994,88,12.030
1994,89,9.520
1994,90,6.984
1994,91,4.954
1994,92,3.524
1994,93,2.558
1994,94,1.793
1994,95,1.248
1994,96,0.832
1994,97,0.498
1994,98,0.243
1994,99,0.046
1994,100,0.119
1995,0,107.869
1995,1,114.797
1995,2,119.992
