year,age,population
1990,0,466.511
1990,1,447.746
1990,2,430.207
1990,3,413.786
1990,4,398.382
1990,5,383.890
1990,6,370.208
1990,7,357.227
1990,8,344.849
1990,9,332.966
1990,10,321.689
1990,11,311.125
1990,12,300.108
1990,13,288.111
1990,14,275.667
1990,15,263.798
1990,16,252.257
1990,17,241.665
1990,18,232.425
1990,19,224.205
1990,20,216.235
1990,21,208.617
1990,22,201.493
1990,23,194.837
1990,24,188.592
1990,25,182.709
1990,26,177.173
1990,27,171.827
1990,28,166.575
1990,29,161.450
1990,30,156.603
1990,31,152.039
1990,32,147.474
1990,33,142.799
1990,34,138.133
1990,35,133.654
1990,36,129.255
1990,37,125.364
1990,38,122.190
1990,39,119.492
1990,40,116.813
1990,41,114.231
1990,42,111.517
1990,43,108.503
1990,44,105.284
1990,45,102.140
1990,46,99.031
1990,47,95.774
1990,48,92.310
1990,49,88.703
1990,50,85.093
1990,51,81.468
1990,52,77.827
1990,53,74.187
1990,54,70.560
1990,55,66.946
1990,56,63.357
1990,57,59.840
1990,58,56.428
1990,59,53.114
1990,60,49.858
1990,61,46.669
1990,62,43.598
1990,63,40.661
1990,64,37.849
1990,65,35.125
1990,66,32.496
1990,67,29.972
1990,68,27.556
1990,69,25.242
1990,70,23.033
1990,71,20.930
1990,72,18.922
1990,73,17.007
1990,74,15.187
1990,75,13.475
1990,76,11.862
1990,77,10.369
1990,78,8.995
1990,79,7.738
1990,80,6.578
1990,81,5.516
1990,82,4.570
1990,83,3.753
1990,84,3.049
1990,85,2.426
1990,86,1.884
1990,87,1.434
1990,88,1.077
1990,89,0.802
1990,90,0.584
1990,91,0.422
1990,92,0.298
1990,93,0.195
1990,94,0.113
1990,95,0.067
1990,96,0.054
1990,97,0.043
1990,98,0.024
1990,99,0.004
1990,100,0.013
1991,0,480.681
1991,1,461.641
1991,2,443.443
1991,3,426.433
1991,4,410.505
1991,5,395.567
1991,6,381.505
1991,7,368.214
1991,8,355.646
1991,9,343.724
1991,10,332.318
1991,11,321.480
1991,12,311.322
1991,13,300.683
1991,14,289.029
1991,15,276.889
1991,16,265.297
1991,17,254.008
1991,18,243.580
1991,19,234.384
1991,20,226.119
1991,21,218.086
1991,22,210.374
1991,23,203.142
1991,24,196.376
1991,25,190.019
1991,26,184.003
1991,27,178.315
1991,28,172.824
1991,29,167.440
1991,30,162.194
1991,31,157.222
1991,32,152.530
1991,33,147.845
1991,34,143.064
1991,35,138.299
1991,36,133.726
1991,37,129.234
1991,38,125.257
1991,39,122.000
1991,40,119.223
1991,41,116.469
1991,42,113.817
1991,43,111.035
1991,44,107.959
1991,45,104.679
1991,46,101.479
1991,47,98.316
1991,48,95.008
1991,49,91.496
1991,50,87.844
1991,51,84.191
1991,52,80.526
1991,53,76.846
1991,54,73.170
1991,55,69.508
1991,56,65.862
1991,57,62.243
1991,58,58.697
1991,59,55.253
1991,60,51.907
1991,61,48.624
1991,62,45.409
1991,63,42.316
1991,64,39.359
1991,65,36.528
1991,66,33.791
1991,67,31.154
1991,68,28.627
1991,69,26.216
1991,70,23.915
1991,71,21.723
1991,72,19.643
1991,73,17.666
1991,74,15.796
1991,75,14.031
1991,76,12.377
1991,77,10.826
1991,78,9.401
1991,79,8.103
1991,80,6.926
1991,81,5.848
1991,82,4.868
1991,83,4.003
1991,84,3.263
1991,85,2.633
1991,86,2.082
1991,87,1.610
1991,88,1.220
1991,89,0.910
1991,90,0.669
1991,91,0.484
1991,92,0.351
1991,93,0.249
1991,94,0.163
1991,95,0.091
1991,96,0.056
1991,97,0.046
1991,98,0.026
1991,99,0.004
1991,100,0.014
1992,0,494.958
1992,1,474.471
1992,2,456.876
1992,3,439.241
1992,4,422.755
1992,5,407.319
1992,6,392.841
1992,7,379.208
1992,8,366.306
1992,9,354.145
1992,10,342.679
1992,11,331.749
1992,12,321.346
1992,13,311.592
1992,14,301.329
1992,15,290.015
1992,16,278.179
1992,17,266.858
1992,18,255.822
1992,19,245.553
1992,20,236.399
1992,21,228.089
1992,22,219.989
1992,23,212.183
1992,24,204.839
1992,25,197.964
1992,26,191.492
1992,27,185.340
1992,28,179.501
1992,29,173.862
1992,30,168.346
1992,31,162.977
1992,32,157.878
1992,33,153.056
1992,34,148.253
1992,35,143.362
1992,36,138.498
1992,37,133.829
1992,38,129.244
1992,39,125.179
1992,40,121.838
1992,41,118.982
1992,42,116.152
1992,43,113.429
1992,44,110.580
1992,45,107.439
1992,46,104.099
1992,47,100.840
1992,48,97.624
1992,49,94.263
1992,50,90.703
1992,51,87.005
1992,52,83.308
1992,53,79.601
1992,54,75.883
1992,55,72.169
1992,56,68.473
1992,57,64.792
1992,58,61.143
1992,59,57.565
1992,60,54.091
1992,61,50.712
1992,62,47.399
1992,63,44.160
1992,64,41.042
1992,65,38.064
1992,66,35.216
1992,67,32.464
1992,68,29.817
1992,69,27.288
1992,70,24.881
1992,71,22.592
1992,72,20.417
1992,73,18.358
1992,74,16.415
1992,75,14.588
1992,76,12.877
1992,77,11.280
1992,78,9.791
1992,79,8.435
1992,80,7.211
1992,81,6.116
1992,82,5.119
1992,83,4.220
1992,84,3.436
1992,85,2.774
1992,86,2.217
1992,87,1.739
1992,88,1.336
1992,89,1.007
1992,90,0.741
1992,91,0.538
1992,92,0.384
1992,93,0.280
1992,94,0.200
1992,95,0.129
1992,96,0.070
1992,97,0.047
1992,98,0.028
1992,99,0.004
1992,100,0.014
1993,0,509.390
1993,1,488.369
1993,2,468.813
1993,3,452.048
1993,4,434.980
1993,5,419.021
1993,6,404.078
1993,7,390.063
1993,8,376.861
1993,9,364.350
1993,10,352.600
1993,11,341.590
1993,12,331.136
1993,13,321.172
1993,14,311.824
1993,15,301.937
1993,16,290.968
1993,17,279.434
1993,18,268.388
1993,19,257.604
1993,20,247.499
1993,21,238.386
1993,22,230.033
1993,23,221.866
1993,24,213.967
1993,25,206.513
1993,26,199.528
1993,27,192.943
1993,28,186.655
1993,29,180.665
1993,30,174.879
1993,31,169.232
1993,32,163.741
1993,33,158.514
1993,34,153.565
1993,35,148.642
1993,36,143.642
1993,37,138.681
1993,38,133.914
1993,39,129.239
1993,40,125.085
1993,41,121.660
1993,42,118.726
1993,43,115.820
1993,44,113.027
1993,45,110.110
1993,46,106.905
1993,47,103.506
1993,48,100.188
1993,49,96.919
1993,50,93.506
1993,51,89.897
1993,52,86.154
1993,53,82.414
1993,54,78.666
1993,55,74.909
1993,56,71.158
1993,57,67.427
1993,58,63.714
1993,59,60.034
1993,60,56.426
1993,61,52.919
1993,62,49.510
1993,63,46.167
1993,64,42.904
1993,65,39.762
1993,66,36.764
1993,67,33.896
1993,68,31.132
1993,69,28.476
1993,70,25.943
1993,71,23.542
1993,72,21.265
1993,73,19.107
1993,74,17.071
1993,75,15.159
1993,76,13.377
1993,77,11.720
1993,78,10.182
1993,79,8.754
1993,80,7.465
1993,81,6.319
1993,82,5.304
1993,83,4.388
1993,84,3.571
1993,85,2.869
1993,86,2.283
1993,87,1.801
1993,88,1.394
1993,89,1.062
1993,90,0.793
1993,91,0.574
1993,92,0.404
1993,93,0.285
1993,94,0.208
1993,95,0.151
1993,96,0.097
1993,97,0.048
1993,98,0.029
1993,99,0.004
1993,100,0.016
1994,0,524.054
1994,1,502.509
1994,2,482.392
1994,3,463.614
1994,4,446.934
1994,5,430.445
1994,6,415.021
1994,7,400.582
1994,8,387.041
1994,9,374.276
1994,10,362.164
1994,11,350.832
1994,12,340.287
1994,13,330.315
1994,14,320.796
1994,15,311.859
1994,16,302.357
1994,17,291.736
1994,18,280.514
1994,19,269.751
1994,20,259.225
1994,21,249.289
1994,22,240.225
1994,23,231.831
1994,24,223.605
1994,25,215.616
1994,26,208.057
1994,27,200.968
1994,28,194.272
1994,29,187.854
1994,30,181.717
1994,31,175.786
1994,32,170.012
1994,33,164.400
1994,34,159.053
1994,35,153.976
1994,36,148.938
1994,37,143.833
1994,38,138.775
1994,39,133.916
1994,40,129.152
1994,41,124.912
1994,42,121.407
1994,43,118.394
1994,44,115.416
1994,45,112.554
1994,46,109.571
1994,47,106.304
1994,48,102.846
1994,49,99.474
1994,50,96.151
1994,51,92.691
1994,52,89.035
1994,53,85.249
1994,54,81.467
1994,55,77.682
1994,56,73.887
1994,57,70.102
1994,58,66.339
1994,59,62.595
1994,60,58.886
1994,61,55.251
1994,62,51.715
1994,63,48.276
1994,64,44.906
1994,65,41.620
1994,66,38.457
1994,67,35.440
1994,68,32.556
1994,69,29.779
1994,70,27.117
1994,71,24.582
1994,72,22.188
1994,73,19.924
1994,74,17.785
1994,75,15.772
1994,76,13.894
1994,77,12.156
1994,78,10.556
1994,79,9.076
1994,80,7.712
1994,81,6.491
1994,82,5.422
1994,83,4.488
1994,84,3.655
1994,85,2.920
1994,86,2.299
1994,87,1.791
1994,88,1.383
1994,89,1.049
1994,90,0.787
1994,91,0.578
1994,92,0.406
1994,93,0.272
1994,94,0.184
1994,95,0.137
1994,96,0.101
1994,97,0.064
1994,98,0.027
1994,99,0.005
1994,100,0.017
1995,0,538.893
1995,1,516.735
1995,2,495.982
1995,3,476.560
1995,4,458.388
1995,5,441.395
1995,6,425.498
1995,7,410.626
1995,8,396.703
1995,9,383.646
1995,10,371.333
1995,11,359.630
1995,12,348.727
1995,13,338.655
1995,14,329.176
1995,15,320.109
1995,16,311.593
1995,17,302.483
1995,18,292.221
1995,19,281.321
1995,20,270.849
1995,21,260.593
1995,22,250.835
1995,23,241.828
1995,24,233.403
1995,25,225.125
1995,26,217.055
1995,27,209.398
1995,28,202.210
1995,29,195.412
1995,30,188.869
1995,31,182.590
1995,32,176.523
1995,33,170.625
1995,34,164.901
1995,35,159.435
1995,36,154.239
1995,37,149.088
1995,38,143.884
1995,39,138.735
1995,40,133.789
1995,41,128.939
1995,42,124.619
1995,43,121.036
1995,44,117.949
1995,45,114.900
1995,46,111.972
1995,47,108.926
1995,48,105.601
1995,49,102.088
1995,50,98.664
1995,51,95.293
1995,52,91.786
1995,53,88.088
1995,54,84.262
1995,55,80.443
1995,56,76.623
1995,57,72.796
1995,58,68.980
1995,59,65.187
1995,60,61.417
1995,61,57.684
1995,62,54.024
1995,63,50.462
1995,64,46.996
1995,65,43.604
1995,66,40.297
1995,67,37.117
1995,68,34.083
1995,69,31.186
1995,70,28.399
1995,71,25.733
1995,72,23.200
1995,73,20.813
1995,74,18.566
1995,75,16.447
1995,76,14.460
1995,77,12.617
1995,78,10.926
1995,79,9.383
1995,80,7.963
1995,81,6.663
1995,82,5.513
1995,83,4.521
1995,84,3.669
1995,85,2.918
1995,86,2.267
1995,87,1.728
1995,88,1.298
1995,89,0.965
1995,90,0.703
1995,91,0.512
1995,92,0.363
1995,93,0.237
1995,94,0.139
1995,95,0.084
1995,96,0.066
1995,97,0.052
1995,98,0.031
1995,99,0.005
1995,100,0.017
1996,0,556.777
1996,1,533.690
1996,2,512.160
1996,3,491.957
1996,4,473.018
1996,5,455.272
1996,6,438.642
1996,7,423.034
1996,8,408.491
1996,9,394.993
1996,10,382.404
1996,11,370.505
1996,12,359.190
1996,13,348.582
1996,14,338.669
1996,15,329.253
1996,16,320.237
1996,17,311.744
1996,18,302.635
1996,19,292.363
1996,20,281.439
1996,21,270.921
1996,22,260.598
1996,23,250.774
1996,24,241.714
1996,25,233.244
1996,26,224.911
1996,27,216.780
1996,28,209.061
1996,29,201.812
1996,30,194.953
1996,31,188.347
1996,32,182.008
1996,33,175.882
1996,34,169.929
1996,35,164.155
1996,36,158.637
1996,37,153.391
1996,38,148.197
1996,39,142.958
1996,40,137.784
1996,41,132.809
1996,42,127.934
1996,43,123.583
1996,44,119.961
1996,45,116.831
1996,46,113.739
1996,47,110.767
1996,48,107.676
1996,49,104.302
1996,50,100.739
1996,51,97.265
1996,52,93.844
1996,53,90.286
1996,54,86.539
1996,55,82.663
1996,56,78.796
1996,57,74.931
1996,58,71.059
1996,59,67.200
1996,60,63.367
1996,61,59.562
1996,62,55.797
1996,63,52.110
1996,64,48.524
1996,65,45.039
1996,66,41.635
1996,67,38.322
1996,68,35.149
1996,69,32.132
1996,70,29.267
1996,71,26.518
1996,72,23.897
1996,73,21.422
1996,74,19.109
1996,75,16.949
1996,76,14.923
1996,77,13.032
1996,78,11.293
1996,79,9.715
1996,80,8.289
1996,81,6.988
1996,82,5.807
1996,83,4.770
1996,84,3.885
1996,85,3.132
1996,86,2.476
1996,87,1.918
1996,88,1.456
1996,89,1.087
1996,90,0.800
1996,91,0.579
1996,92,0.423
1996,93,0.302
1996,94,0.197
1996,95,0.113
1996,96,0.067
1996,97,0.053
1996,98,0.032
1996,99,0.005
1996,100,0.017
1997,0,574.801
1997,1,550.699
1997,2,527.899
1997,3,507.023
1997,4,487.393
1997,5,468.958
1997,6,451.661
1997,7,435.412
1997,8,420.110
1997,9,405.916
1997,10,392.855
1997,11,380.752
1997,12,369.281
1997,13,358.368
1997,14,348.065
1997,15,338.324
1997,16,328.983
1997,17,320.025
1997,18,311.565
1997,19,302.467
1997,20,292.195
1997,21,281.261
1997,22,270.706
1997,23,260.325
1997,24,250.447
1997,25,241.344
1997,26,232.836
1997,27,224.457
1997,28,216.274
1997,29,208.503
1997,30,201.198
1997,31,194.284
1997,32,187.625
1997,33,181.229
1997,34,175.052
1997,35,169.051
1997,36,163.230
1997,37,157.668
1997,38,152.377
1997,39,147.144
1997,40,141.878
1997,41,136.682
1997,42,131.685
1997,43,126.788
1997,44,122.412
1997,45,118.755
1997,46,115.584
1997,47,112.452
1997,48,109.439
1997,49,106.307
1997,50,102.887
1997,51,99.278
1997,52,95.757
1997,53,92.289
1997,54,88.685
1997,55,84.891
1997,56,80.969
1997,57,77.060
1997,58,73.151
1997,59,69.239
1997,60,65.342
1997,61,61.472
1997,62,57.635
1997,63,53.843
1997,64,50.133
1997,65,46.526
1997,66,43.026
1997,67,39.613
1997,68,36.300
1997,69,33.134
1997,70,30.140
1997,71,27.309
1997,72,24.601
1997,73,22.027
1997,74,19.613
1997,75,17.378
1997,76,15.308
1997,77,13.376
1997,78,11.584
1997,79,9.951
1997,80,8.488
1997,81,7.183
1997,82,6.002
1997,83,4.941
1997,84,4.019
1997,85,3.242
1997,86,2.588
1997,87,2.031
1997,88,1.564
1997,89,1.183
1997,90,0.874
1997,91,0.632
1997,92,0.454
1997,93,0.333
1997,94,0.241
1997,95,0.156
1997,96,0.087
1997,97,0.056
1997,98,0.031
1997,99,0.006
1997,100,0.017
1998,0,591.585
1998,1,566.709
1998,2,543.325
1998,3,521.379
1998,4,501.186
1998,5,482.158
1998,6,464.253
1998,7,447.429
1998,8,431.584
1998,9,416.609
1998,10,402.782
1998,11,390.180
1998,12,378.579
1998,13,367.552
1998,14,357.056
1998,15,347.075
1998,16,337.518
1998,17,328.264
1998,18,319.377
1998,19,310.961
