year,age,population
1990,0,336.466
1990,1,377.204
1990,2,402.847
1990,3,415.557
1990,4,417.495
1990,5,410.822
1990,6,397.697
1990,7,380.284
1990,8,360.738
1990,9,341.224
1990,10,318.810
1990,11,290.564
1990,12,284.106
1990,13,311.774
1990,14,360.461
1990,15,404.806
1990,16,450.009
1990,17,483.061
1990,18,494.973
1990,19,491.908
1990,20,491.367
1990,21,492.656
1990,22,481.663
1990,23,454.017
1990,24,416.529
1990,25,377.583
1990,26,332.149
1990,27,305.997
1990,28,311.737
1990,29,336.304
1990,30,357.487
1990,31,383.885
1990,32,386.537
1990,33,350.126
1990,34,290.635
1990,35,236.968
1990,36,180.467
1990,37,147.642
1990,38,153.673
1990,39,184.446
1990,40,210.886
1990,41,239.086
1990,42,259.374
1990,43,264.098
1990,44,258.744
1990,45,256.345
1990,46,254.169
1990,47,251.484
1990,48,249.181
1990,49,246.495
1990,50,242.320
1990,51,237.542
1990,52,229.114
1990,53,215.625
1990,54,198.941
1990,55,182.262
1990,56,164.869
1990,57,149.771
1990,58,138.770
1990,59,130.547
1990,60,121.916
1990,61,113.423
1990,62,105.648
1990,63,98.529
1990,64,91.985
1990,65,85.969
1990,66,80.465
1990,67,75.129
1990,68,69.769
1990,69,64.482
1990,70,59.554
1990,71,54.940
1990,72,50.423
1990,73,45.927
1990,74,41.520
1990,75,37.345
1990,76,33.383
1990,77,29.631
1990,78,26.108
1990,79,22.809
1990,80,19.715
1990,81,16.824
1990,82,14.193
1990,83,11.847
1990,84,9.761
1990,85,7.872
1990,86,6.169
1990,87,4.734
1990,88,3.591
1990,89,2.696
1990,90,1.950
1990,91,1.351
1990,92,0.894
1990,93,0.559
1990,94,0.327
1990,95,0.197
1990,96,0.163
1990,97,0.138
1990,98,0.080
1990,99,0.009
1990,100,0.032
1991,0,338.332
1991,1,348.296
1991,2,380.498
1991,3,400.866
1991,4,411.011
1991,5,412.547
1991,6,407.646
1991,7,398.478
1991,8,383.857
1991,9,364.271
1991,10,343.013
1991,11,319.948
1991,12,291.570
1991,13,285.056
1991,14,312.794
1991,15,361.628
1991,16,406.097
1991,17,451.421
1991,18,484.553
1991,19,496.474
1991,20,493.368
1991,21,492.794
1991,22,494.054
1991,23,483.005
1991,24,455.266
1991,25,417.666
1991,26,378.603
1991,27,333.036
1991,28,306.799
1991,29,312.537
1991,30,337.149
1991,31,358.369
1991,32,384.816
1991,33,387.463
1991,34,350.956
1991,35,291.318
1991,36,237.514
1991,37,180.869
1991,38,147.950
1991,39,153.969
1991,40,184.781
1991,41,211.246
1991,42,239.467
1991,43,259.762
1991,44,264.463
1991,45,259.065
1991,46,256.620
1991,47,254.395
1991,48,251.635
1991,49,249.220
1991,50,246.397
1991,51,242.081
1991,52,237.160
1991,53,228.569
1991,54,214.893
1991,55,198.007
1991,56,181.130
1991,57,163.538
1991,58,148.268
1991,59,137.144
1991,60,128.831
1991,61,120.110
1991,62,111.532
1991,63,103.694
1991,64,96.542
1991,65,89.986
1991,66,83.963
1991,67,78.469
1991,68,73.116
1991,69,67.700
1991,70,62.331
1991,71,57.337
1991,72,52.668
1991,73,48.110
1991,74,43.594
1991,75,39.186
1991,76,35.019
1991,77,31.072
1991,78,27.376
1991,79,23.962
1991,80,20.811
1991,81,17.872
1991,82,15.141
1991,83,12.679
1991,84,10.504
1991,85,8.589
1991,86,6.873
1991,87,5.344
1991,88,4.067
1991,89,3.055
1991,90,2.272
1991,91,1.632
1991,92,1.133
1991,93,0.754
1991,94,0.468
1991,95,0.264
1991,96,0.177
1991,97,0.148
1991,98,0.085
1991,99,0.009
1991,100,0.035
1992,0,361.704
1992,1,392.850
1992,2,359.045
1992,3,382.566
1992,4,397.568
1992,5,405.105
1992,6,406.231
1992,7,403.126
1992,8,397.964
1992,9,386.195
1992,10,366.631
1992,11,343.693
1992,12,320.047
1992,13,291.631
1992,14,285.081
1992,15,312.799
1992,16,361.620
1992,17,406.069
1992,18,451.368
1992,19,484.473
1992,20,496.362
1992,21,493.226
1992,22,492.622
1992,23,493.847
1992,24,482.777
1992,25,455.038
1992,26,417.447
1992,27,378.393
1992,28,332.839
1992,29,306.606
1992,30,312.321
1992,31,336.899
1992,32,358.087
1992,33,384.496
1992,34,387.130
1992,35,350.646
1992,36,291.053
1992,37,237.289
1992,38,180.684
1992,39,147.776
1992,40,153.765
1992,41,184.515
1992,42,210.918
1992,43,239.070
1992,44,259.304
1992,45,263.968
1992,46,258.542
1992,47,256.060
1992,48,253.793
1992,49,250.965
1992,50,248.447
1992,51,245.495
1992,52,241.052
