year,age,population
1990,0,1470.354
1990,1,1389.423
1990,2,1314.935
1990,3,1246.510
1990,4,1183.762
1990,5,1126.309
1990,6,1073.766
1990,7,1025.749
1990,8,981.875
1990,9,941.761
1990,10,905.116
1990,11,871.650
1990,12,840.510
1990,13,811.125
1990,14,783.393
1990,15,757.727
1990,16,733.974
1990,17,710.587
1990,18,686.802
1990,19,663.034
1990,20,640.472
1990,21,618.903
1990,22,597.655
1990,23,576.519
1990,24,555.668
1990,25,535.490
1990,26,515.912
1990,27,496.956
1990,28,478.675
1990,29,461.038
1990,30,444.049
1990,31,427.799
1990,32,411.950
1990,33,396.371
1990,34,381.275
1990,35,366.786
1990,36,352.594
1990,37,340.259
1990,38,330.477
1990,39,322.392
1990,40,314.509
1990,41,307.193
1990,42,299.069
1990,43,289.321
1990,44,278.587
1990,45,268.339
1990,46,258.307
1990,47,248.429
1990,48,238.830
1990,49,229.460
1990,50,220.142
1990,51,210.902
1990,52,201.947
1990,53,193.361
1990,54,185.075
1990,55,176.918
1990,56,168.906
1990,57,161.098
1990,58,153.497
1990,59,146.075
1990,60,138.804
1990,61,131.706
1990,62,124.635
1990,63,117.520
1990,64,110.429
1990,65,103.502
1990,66,96.722
1990,67,90.089
1990,68,83.617
1990,69,77.311
1990,70,71.176
1990,71,65.235
1990,72,59.435
1990,73,53.755
1990,74,48.244
1990,75,42.978
1990,76,37.953
1990,77,33.233
1990,78,28.861
1990,79,24.826
1990,80,21.053
1990,81,17.539
1990,82,14.431
1990,83,11.794
1990,84,9.559
1990,85,7.568
1990,86,5.817
1990,87,4.376
1990,88,3.253
1990,89,2.395
1990,90,1.726
1990,91,1.240
1990,92,0.866
1990,93,0.554
1990,94,0.311
1990,95,0.191
1990,96,0.152
1990,97,0.121
1990,98,0.074
1990,99,0.020
1990,100,0.038
1991,0,1529.011
1991,1,1451.702
1991,2,1374.616
1991,3,1303.682
1991,4,1238.491
1991,5,1178.629
1991,6,1123.791
1991,7,1073.668
1991,8,1027.326
1991,9,984.143
1991,10,944.025
1991,11,907.219
1991,12,873.352
1991,13,841.833
1991,14,812.285
1991,15,784.508
1991,16,758.623
1991,17,734.537
1991,18,710.868
1991,19,686.908
1991,20,663.035
1991,21,640.345
1991,22,618.640
1991,23,597.287
1991,24,576.085
1991,25,555.197
1991,26,534.987
1991,27,515.388
1991,28,496.404
1991,29,478.077
1991,30,460.384
1991,31,443.345
1991,32,427.047
1991,33,411.150
1991,34,395.524
1991,35,380.380
1991,36,365.841
1991,37,351.600
1991,38,339.209
1991,39,329.365
1991,40,321.212
1991,41,313.260
1991,42,305.872
1991,43,297.679
1991,44,287.870
1991,45,277.077
1991,46,266.766
1991,47,256.670
1991,48,246.721
1991,49,237.044
1991,50,227.587
1991,51,218.182
1991,52,208.851
1991,53,199.799
1991,54,191.111
1991,55,182.720
1991,56,174.454
1991,57,166.334
1991,58,158.407
1991,59,150.674
1991,60,143.110
1991,61,135.703
1991,62,128.475
1991,63,121.276
1991,64,114.041
1991,65,106.837
1991,66,99.810
1991,67,92.943
1991,68,86.242
1991,69,79.725
1991,70,73.396
1991,71,67.258
1991,72,61.330
1991,73,55.582
1991,74,50.000
1991,75,44.628
1991,76,39.514
1991,77,34.654
1991,78,30.133
1991,79,25.996
1991,80,22.222
1991,81,18.714
1991,82,15.471
1991,83,12.629
1991,84,10.243
1991,85,8.245
1991,86,6.488
1991,87,4.965
1991,88,3.719
1991,89,2.743
1991,90,1.995
1991,91,1.430
1991,92,1.031
1991,93,0.722
1991,94,0.461
1991,95,0.254
1991,96,0.160
1991,97,0.128
1991,98,0.077
1991,99,0.022
1991,100,0.040
1992,0,1597.430
1992,1,1511.074
1992,2,1436.274
1992,3,1362.867
1992,4,1295.333
1992,5,1233.232
1992,6,1176.127
1992,7,1123.784
1992,8,1075.971
1992,9,1031.203
1992,10,988.617
1992,11,948.403
1992,12,911.355
1992,13,877.009
1992,14,845.041
1992,15,815.264
1992,16,787.379
1992,17,761.217
1992,18,736.744
1992,19,712.740
1992,20,688.551
1992,21,664.519
1992,22,641.651
1992,23,619.761
1992,24,598.254
1992,25,576.940
1992,26,555.967
1992,27,535.680
1992,28,516.017
1992,29,496.962
1992,30,478.548
1992,31,460.759
1992,32,443.631
1992,33,427.249
1992,34,411.271
1992,35,395.560
1992,36,380.335
1992,37,365.714
1992,38,351.390
1992,39,338.917
1992,40,328.988
1992,41,320.749
1992,42,312.711
1992,43,305.233
1992,44,296.955
1992,45,287.060
1992,46,276.185
1992,47,265.789
1992,48,255.605
1992,49,245.563
1992,50,235.784
1992,51,226.223
1992,52,216.707
1992,53,207.264
1992,54,198.095
1992,55,189.287
1992,56,180.770
1992,57,172.377
1992,58,164.132
1992,59,156.067
1992,60,148.184
1992,61,140.462
1992,62,132.903
1992,63,125.526
1992,64,118.186
1992,65,110.812
1992,66,103.479
1992,67,96.336
1992,68,89.368
1992,69,82.584
1992,70,76.006
1992,71,69.642
1992,72,63.484
1992,73,57.558
1992,74,51.848
1992,75,46.354
1992,76,41.107
1992,77,36.133
1992,78,31.430
1992,79,27.095
1992,80,23.186
1992,81,19.665
1992,82,16.415
1992,83,13.435
1992,84,10.852
1992,85,8.713
1992,86,6.949
1992,87,5.420
1992,88,4.124
1992,89,3.069
1992,90,2.238
1992,91,1.600
1992,92,1.137
1992,93,0.823
1992,94,0.581
1992,95,0.368
1992,96,0.198
1992,97,0.134
1992,98,0.081
1992,99,0.023
1992,100,0.043
1993,0,1668.294
1993,1,1578.310
1993,2,1495.436
1993,3,1420.908
1993,4,1351.187
1993,5,1287.058
1993,6,1228.056
1993,7,1173.710
1993,8,1123.868
1993,9,1078.370
1993,10,1035.177
1993,11,993.186
1993,12,952.872
1993,13,915.579
1993,14,880.751
1993,15,848.328
1993,16,818.319
1993,17,790.325
1993,18,763.883
1993,19,739.018
1993,20,714.676
1993,21,690.255
1993,22,666.062
1993,23,643.013
1993,24,620.935
1993,25,599.274
1993,26,577.845
1993,27,556.784
1993,28,536.420
1993,29,516.688
1993,30,497.563
1993,31,479.059
1993,32,461.172
1993,33,443.955
1993,34,427.487
1993,35,411.424
1993,36,395.629
1993,37,380.320
1993,38,365.616
1993,39,351.209
1993,40,338.651
1993,41,328.637
1993,42,320.310
1993,43,312.184
1993,44,304.618
1993,45,296.250
1993,46,286.272
1993,47,275.312
1993,48,264.829
1993,49,254.557
1993,50,244.421
1993,51,234.540
1993,52,224.871
1993,53,215.245
1993,54,205.688
1993,55,196.402
1993,56,187.471
1993,57,178.828
1993,58,170.307
1993,59,161.934
1993,60,153.732
1993,61,145.698
1993,62,137.816
1993,63,130.103
1993,64,122.577
1993,65,115.093
1993,66,107.581
1993,67,100.119
1993,68,92.858
1993,69,85.787
1993,70,78.919
1993,71,72.281
1993,72,65.878
1993,73,59.704
1993,74,53.776
1993,75,48.106
1993,76,42.697
1993,77,37.577
1993,78,32.744
1993,79,28.196
1993,80,24.050
1993,81,20.368
1993,82,17.100
1993,83,14.109
1993,84,11.392
1993,85,9.071
1993,86,7.178
1993,87,5.649
1993,88,4.349
1993,89,3.279
1993,90,2.417
1993,91,1.733
1993,92,1.203
1993,93,0.843
1993,94,0.614
1993,95,0.439
1993,96,0.276
1993,97,0.141
1993,98,0.084
1993,99,0.024
1993,100,0.046
1994,0,1732.300
1994,1,1639.301
1994,2,1553.749
1994,3,1475.149
1994,4,1402.769
1994,5,1336.873
1994,6,1276.281
1994,7,1220.495
1994,8,1169.020
1994,9,1121.778
1994,10,1078.687
1994,11,1037.157
1994,12,995.841
1994,13,955.507
1994,14,918.040
1994,15,882.795
1994,16,849.981
1994,17,819.797
1994,18,791.746
1994,19,765.075
1994,20,739.867
1994,21,715.233
1994,22,690.627
1994,23,666.320
1994,24,643.134
1994,25,620.911
1994,26,599.136
1994,27,577.633
1994,28,556.526
1994,29,536.123
1994,30,516.363
1994,31,497.202
1994,32,478.644
1994,33,460.695
1994,34,443.420
1994,35,426.898
1994,36,410.782
1994,37,394.934
1994,38,379.570
1994,39,364.809
1994,40,350.348
1994,41,337.730
1994,42,327.649
1994,43,319.252
1994,44,311.053
1994,45,303.412
1994,46,294.972
1994,47,284.928
1994,48,273.905
1994,49,263.356
1994,50,253.015
1994,51,242.804
1994,52,232.840
1994,53,223.083
1994,54,213.364
1994,55,203.711
1994,56,194.326
1994,57,185.290
1994,58,176.536
1994,59,167.905
1994,60,159.420
1994,61,151.095
1994,62,142.925
1994,63,134.899
1994,64,127.047
1994,65,119.387
1994,66,111.772
1994,67,104.136
1994,68,96.559
1994,69,89.195
1994,70,82.034
1994,71,75.095
1994,72,68.410
1994,73,61.982
1994,74,55.801
1994,75,49.885
1994,76,44.263
1994,77,38.952
1994,78,33.969
1994,79,29.286
1994,80,24.902
1994,81,20.952
1994,82,17.506
1994,83,14.497
1994,84,11.772
1994,85,9.325
1994,86,7.268
1994,87,5.627
1994,88,4.335
1994,89,3.269
1994,90,2.427
1994,91,1.759
1994,92,1.223
1994,93,0.803
1994,94,0.547
1994,95,0.405
1994,96,0.294
1994,97,0.184
1994,98,0.083
1994,99,0.026
1994,100,0.048
1995,0,1783.659
1995,1,1688.890
1995,2,1601.745
1995,3,1521.697
1995,4,1448.224
1995,5,1380.799
1995,6,1318.901
1995,7,1262.001
1995,8,1209.577
1995,9,1161.107
1995,10,1116.588
1995,11,1076.017
1995,12,1036.257
1995,13,995.731
1995,14,955.489
1995,15,917.950
1995,16,882.389
1995,17,849.274
1995,18,819.000
1995,19,790.971
1995,20,764.145
1995,21,738.665
1995,22,713.808
1995,23,689.085
1995,24,664.732
1995,25,641.474
1995,26,619.167
1995,27,597.339
1995,28,575.823
1995,29,554.728
1995,30,534.342
1995,31,514.608
1995,32,495.466
1995,33,476.905
1995,34,458.943
1995,35,441.659
1995,36,425.129
1995,37,409.004
1995,38,393.146
1995,39,377.771
1995,40,362.996
1995,41,348.520
1995,42,335.876
1995,43,325.757
1995,44,317.312
1995,45,309.064
1995,46,301.369
1995,47,292.882
1995,48,282.799
1995,49,271.744
1995,50,261.157
1995,51,250.777
1995,52,240.520
1995,53,230.501
1995,54,220.681
1995,55,210.898
1995,56,201.177
1995,57,191.718
1995,58,182.602
1995,59,173.763
1995,60,165.044
1995,61,156.472
1995,62,148.048
1995,63,139.765
1995,64,131.617
1995,65,123.648
1995,66,115.876
1995,67,108.152
1995,68,100.414
1995,69,92.742
1995,70,85.295
1995,71,78.066
1995,72,71.075
1995,73,64.360
1995,74,57.926
1995,75,51.755
1995,76,45.867
1995,77,40.310
1995,78,35.111
1995,79,30.277
1995,80,25.757
1995,81,21.549
1995,82,17.807
1995,83,14.603
1995,84,11.863
1995,85,9.409
1995,86,7.238
1995,87,5.451
1995,88,4.065
1995,89,3.013
1995,90,2.182
1995,91,1.571
1995,92,1.099
1995,93,0.710
1995,94,0.403
1995,95,0.250
1995,96,0.194
1995,97,0.151
1995,98,0.090
1995,99,0.026
1995,100,0.051
1996,0,1832.468
1996,1,1744.640
1996,2,1655.719
1996,3,1573.868
1996,4,1498.551
1996,5,1429.241
1996,6,1365.508
1996,7,1306.931
1996,8,1252.449
1996,9,1201.326
1996,10,1153.347
1996,11,1109.053
1996,12,1068.358
1996,13,1028.498
1996,14,988.142
1996,15,948.215
1996,16,910.755
1996,17,875.119
1996,18,841.971
1996,19,811.770
1996,20,783.881
1996,21,757.156
1996,22,731.757
1996,23,707.007
1996,24,682.429
1996,25,658.248
1996,26,635.158
1996,27,613.024
1996,28,591.356
1996,29,569.976
1996,30,549.003
1996,31,528.739
1996,32,509.127
1996,33,490.098
1996,34,471.640
1996,35,453.771
1996,36,436.575
1996,37,420.123
1996,38,404.080
1996,39,388.315
1996,40,373.036
1996,41,358.347
1996,42,343.953
1996,43,331.367
1996,44,321.268
1996,45,312.820
1996,46,304.564
1996,47,296.854
1996,48,288.350
1996,49,278.258
1996,50,267.197
1996,51,256.593
1996,52,246.191
1996,53,235.909
1996,54,225.859
1996,55,216.006
1996,56,206.186
1996,57,196.428
1996,58,186.919
1996,59,177.736
1996,60,168.818
1996,61,160.026
1996,62,151.386
1996,63,142.894
1996,64,134.540
1996,65,126.327
1996,66,118.304
1996,67,110.493
1996,68,102.753
1996,69,95.035
1996,70,87.413
1996,71,80.035
1996,72,72.892
1996,73,66.025
1996,74,59.478
1996,75,53.249
1996,76,47.299
1996,77,41.646
1996,78,36.358
1996,79,31.471
1996,80,26.975
1996,81,22.797
1996,82,18.932
1996,83,15.527
1996,84,12.643
1996,85,10.205
1996,86,8.048
1996,87,6.164
1996,88,4.622
1996,89,3.421
1996,90,2.508
1996,91,1.807
1996,92,1.304
1996,93,0.917
1996,94,0.590
1996,95,0.329
1996,96,0.202
1996,97,0.157
1996,98,0.094
1996,99,0.027
1996,100,0.053
1997,0,1869.580
1997,1,1774.496
1997,2,1701.959
1997,3,1619.074
1997,4,1542.688
1997,5,1472.262
1997,6,1407.262
1997,7,1347.356
1997,8,1292.222
1997,9,1240.273
1997,10,1190.560
1997,11,1143.172
1997,12,1099.195
1997,13,1058.462
1997,14,1018.583
1997,15,978.484
1997,16,938.954
1997,17,901.654
1997,18,866.014
1997,19,832.904
1997,20,802.840
1997,21,775.148
1997,22,748.583
1997,23,723.315
1997,24,698.724
1997,25,674.344
1997,26,650.384
1997,27,627.512
1997,28,605.596
1997,29,584.133
1997,30,562.935
1997,31,542.127
1997,32,522.029
1997,33,502.579
1997,34,483.703
1997,35,465.386
1997,36,447.649
1997,37,430.575
1997,38,414.237
1997,39,398.309
1997,40,382.670
1997,41,367.518
1997,42,352.947
1997,43,338.665
1997,44,326.163
1997,45,316.107
1997,46,307.672
1997,47,299.425
1997,48,291.715
1997,49,283.214
1997,50,273.134
1997,51,262.088
1997,52,251.492
1997,53,241.089
1997,54,230.801
1997,55,220.744
1997,56,210.877
1997,57,201.041
1997,58,191.267
1997,59,181.727
1997,60,172.496
1997,61,163.519
1997,62,154.672
1997,63,145.982
1997,64,137.439
1997,65,129.032
1997,66,120.770
1997,67,112.712
1997,68,104.875
1997,69,97.139
1997,70,89.456
1997,71,81.899
1997,72,74.605
1997,73,67.564
1997,74,60.834
1997,75,54.470
1997,76,48.460
1997,77,42.744
1997,78,37.336
1997,79,32.329
1997,80,27.763
1997,81,23.615
1997,82,19.788
1997,83,16.275
1997,84,13.214
1997,85,10.656
1997,86,8.526
1997,87,6.668
1997,88,5.077
1997,89,3.783
1997,90,2.770
1997,91,1.998
1997,92,1.427
1997,93,1.035
1997,94,0.732
1997,95,0.470
1997,96,0.255
1997,97,0.162
1997,98,0.097
1997,99,0.029
1997,100,0.056
1998,0,1902.728
1998,1,1808.365
1998,2,1721.213
1998,3,1658.461
1998,4,1581.644
1998,5,1510.752
1998,6,1445.244
1998,7,1384.578
1998,8,1328.522
1998,9,1276.853
1998,10,1227.460
1998,11,1179.180
1998,12,1132.407
1998,13,1088.769
1998,14,1048.020
1998,15,1008.145
1998,16,968.323
1998,17,929.211
1998,18,892.088
1998,19,856.468
1998,20,823.410
1998,21,793.499
1998,22,766.020
1998,23,739.626
1998,24,714.505
1998,25,690.086
1998,26,665.915
1998,27,642.188
1998,28,619.547
1998,29,597.860
1998,30,576.614
1998,31,555.608
1998,32,534.976
1998,33,515.053
1998,34,495.778
1998,35,477.062
1998,36,458.897
1998,37,441.300
1998,38,424.359
1998,39,408.141
1998,40,392.337
1998,41,376.833
1998,42,361.816
1998,43,347.370
1998,44,333.208
1998,45,320.795
1998,46,310.787
1998,47,302.371
1998,48,294.138
1998,49,286.432
1998,50,277.937
1998,51,267.875
1998,52,256.851
1998,53,246.267
1998,54,235.869
1998,55,225.583
1998,56,215.521
1998,57,205.646
1998,58,195.801
1998,59,186.014
1998,60,176.450
1998,61,167.176
1998,62,158.144
1998,63,149.247
1998,64,140.511
1998,65,131.924
1998,66,123.467
1998,67,115.161
1998,68,107.072
1998,69,99.215
1998,70,91.484
1998,71,83.842
1998,72,76.354
1998,73,69.149
1998,74,62.210
1998,75,55.624
1998,76,49.444
1998,77,43.655
1998,78,38.176
1998,79,33.016
1998,80,28.291
1998,81,24.049
1998,82,20.251
1998,83,16.776
1998,84,13.615
1998,85,10.899
1998,86,8.668
1998,87,6.846
1998,88,5.288
1998,89,3.989
1998,90,2.944
1998,91,2.119
1998,92,1.489
1998,93,1.048
1998,94,0.765
1998,95,0.547
1998,96,0.349
1998,97,0.181
1998,98,0.101
1998,99,0.030
1998,100,0.057
1999,0,1942.115
1999,1,1847.298
1999,2,1759.699
1999,3,1678.799
1999,4,1616.775
1999,5,1545.932
1999,6,1480.451
1999,7,1419.784
1999,8,1363.380
1999,9,1311.110
1999,10,1262.845
1999,11,1215.952
1999,12,1169.050
1999,13,1122.844
1999,14,1079.500
1999,15,1038.691
1999,16,998.779
1999,17,959.191
1999,18,920.456
1999,19,883.472
1999,20,847.831
1999,21,814.795
1999,22,785.002
1999,23,757.709
1999,24,731.458
1999,25,706.457
1999,26,682.183
1999,27,658.197
1999,28,634.679
1999,29,612.242
1999,30,590.763
1999,31,569.710
1999,32,548.874
1999,33,528.398
1999,34,508.627
1999,35,489.505
1999,36,470.933
1999,37,452.898
1999,38,435.423
1999,39,418.598
1999,40,402.482
1999,41,386.787
1999,42,371.399
1999,43,356.502
1999,44,342.165
1999,45,328.109
1999,46,315.772
1999,47,305.802
1999,48,297.395
1999,49,289.167
1999,50,281.458
1999,51,272.960
1999,52,262.905
1999,53,251.891
1999,54,241.309
1999,55,230.904
1999,56,220.609
1999,57,210.534
1999,58,200.640
1999,59,190.773
1999,60,180.966
1999,61,171.367
1999,62,162.039
1999,63,152.944
1999,64,143.987
1999,65,135.198
1999,66,126.555
1999,67,118.042
1999,68,109.683
1999,69,101.553
1999,70,93.669
1999,71,85.935
1999,72,78.325
1999,73,70.899
1999,74,63.773
1999,75,56.933
1999,76,50.480
1999,77,44.479
1999,78,38.905
1999,79,33.655
1999,80,28.739
1999,81,24.290
1999,82,20.367
1999,83,16.913
1999,84,13.787
1999,85,10.974
1999,86,8.600
1999,87,6.692
1999,88,5.175
1999,89,3.917
