year,age,population
1990,0,65.878
1990,1,60.886
1990,2,57.127
1990,3,54.491
1990,4,52.870
1990,5,52.151
1990,6,52.227
1990,7,52.985
1990,8,54.318
1990,9,56.111
1990,10,58.330
1990,11,60.931
1990,12,63.454
1990,13,65.645
1990,14,67.610
1990,15,69.694
1990,16,71.826
1990,17,73.711
1990,18,75.232
1990,19,76.466
1990,20,77.576
1990,21,78.511
1990,22,79.299
1990,23,79.965
1990,24,80.461
1990,25,80.824
1990,26,81.158
1990,27,80.900
1990,28,79.807
1990,29,78.201
1990,30,76.667
1990,31,75.112
1990,32,73.902
1990,33,73.289
1990,34,73.142
1990,35,72.881
1990,36,72.397
1990,37,72.834
1990,38,74.632
1990,39,77.181
1990,40,79.507
1990,41,81.889
1990,42,83.032
1990,43,82.214
1990,44,80.038
1990,45,77.951
1990,46,75.810
1990,47,73.173
1990,48,70.008
1990,49,66.544
1990,50,63.005
1990,51,59.305
1990,52,56.314
1990,53,54.475
1990,54,53.436
1990,55,52.374
1990,56,51.416
1990,57,50.668
1990,58,50.089
1990,59,49.653
1990,60,49.322
1990,61,49.019
1990,62,48.903
1990,63,49.021
1990,64,49.231
1990,65,49.404
1990,66,49.649
1990,67,49.264
1990,68,47.922
1990,69,45.950
1990,70,43.980
1990,71,41.841
1990,72,39.978
1990,73,38.668
1990,74,37.664
1990,75,36.479
1990,76,35.244
1990,77,33.703
1990,78,31.693
1990,79,29.368
1990,80,27.084
1990,81,24.811
1990,82,22.470
1990,83,20.074
1990,84,17.673
1990,85,15.309
1990,86,12.974
1990,87,10.871
1990,88,9.103
1990,89,7.599
1990,90,6.175
1990,91,4.852
1990,92,3.733
1990,93,2.852
1990,94,2.166
1990,95,1.585
1990,96,1.116
1990,97,0.751
1990,98,0.477
1990,99,0.285
1990,100,0.486
1991,0,68.058
1991,1,65.245
1991,2,60.881
1991,3,57.510
1991,4,55.065
1991,5,53.476
1991,6,52.631
1991,7,52.424
1991,8,52.980
1991,9,54.310
1991,10,56.221
1991,11,58.480
1991,12,61.080
1991,13,63.609
1991,14,65.822
1991,15,67.816
1991,16,69.926
1991,17,72.085
1991,18,73.987
1991,19,75.511
1991,20,76.736
1991,21,77.838
1991,22,78.766
1991,23,79.537
1991,24,80.178
1991,25,80.643
1991,26,80.973
1991,27,81.272
1991,28,80.986
1991,29,79.880
1991,30,78.268
1991,31,76.725
1991,32,75.162
1991,33,73.941
1991,34,73.309
1991,35,73.138
1991,36,72.856
1991,37,72.350
1991,38,72.762
1991,39,74.530
1991,40,77.045
1991,41,79.338
1991,42,81.686
1991,43,82.800
1991,44,81.956
1991,45,79.760
1991,46,77.652
1991,47,75.488
1991,48,72.831
1991,49,69.652
1991,50,66.178
1991,51,62.624
