year,age,population
1990,0,25.531
1990,1,23.040
1990,2,21.005
1990,3,19.377
1990,4,18.112
1990,5,17.157
1990,6,16.471
1990,7,15.999
1990,8,15.698
1990,9,15.520
1990,10,15.484
1990,11,15.616
1990,12,15.514
1990,13,14.985
1990,14,14.194
1990,15,13.493
1990,16,12.800
1990,17,12.225
1990,18,11.853
1990,19,11.611
1990,20,11.341
1990,21,11.064
1990,22,10.800
1990,23,10.544
1990,24,10.284
1990,25,10.035
1990,26,9.804
1990,27,9.504
1990,28,9.101
1990,29,8.632
1990,30,8.181
1990,31,7.740
1990,32,7.301
1990,33,6.866
1990,34,6.448
1990,35,6.037
1990,36,5.617
1990,37,5.311
1990,38,5.180
1990,39,5.160
1990,40,5.136
1990,41,5.141
1990,42,5.076
1990,43,4.889
1990,44,4.626
1990,45,4.387
1990,46,4.153
1990,47,3.940
1990,48,3.765
1990,49,3.614
1990,50,3.459
1990,51,3.307
1990,52,3.157
1990,53,3.013
1990,54,2.875
1990,55,2.741
1990,56,2.611
1990,57,2.486
1990,58,2.361
1990,59,2.239
1990,60,2.121
1990,61,2.006
1990,62,1.891
1990,63,1.781
1990,64,1.671
1990,65,1.565
1990,66,1.460
1990,67,1.358
1990,68,1.259
1990,69,1.160
1990,70,1.066
1990,71,0.974
1990,72,0.886
1990,73,0.799
1990,74,0.717
1990,75,0.637
1990,76,0.562
1990,77,0.492
1990,78,0.430
1990,79,0.373
1990,80,0.320
1990,81,0.272
1990,82,0.227
1990,83,0.185
1990,84,0.146
1990,85,0.112
1990,86,0.079
1990,87,0.055
1990,88,0.039
1990,89,0.029
1990,90,0.021
1990,91,0.018
1990,92,0.013
1990,93,0.009
1990,94,0.005
1990,95,0.002
1990,96,0.002
1990,97,0.001
1990,98,0.002
1990,99,0.000
1990,100,0.000
1991,0,25.800
1991,1,24.909
1991,2,22.778
1991,3,20.978
1991,4,19.479
1991,5,18.260
1991,6,17.265
1991,7,16.455
1991,8,15.896
1991,9,15.602
1991,10,15.488
1991,11,15.473
1991,12,15.604
1991,13,15.501
1991,14,14.969
1991,15,14.177
1991,16,13.471
1991,17,12.775
1991,18,12.195
1991,19,11.822
1991,20,11.580
1991,21,11.309
1991,22,11.032
1991,23,10.767
1991,24,10.511
1991,25,10.251
1991,26,10.003
1991,27,9.772
1991,28,9.473
1991,29,9.070
1991,30,8.601
1991,31,8.150
1991,32,7.709
1991,33,7.270
1991,34,6.836
1991,35,6.417
1991,36,6.006
1991,37,5.586
1991,38,5.280
1991,39,5.148
1991,40,5.129
1991,41,5.104
1991,42,5.108
1991,43,5.044
1991,44,4.856
1991,45,4.593
1991,46,4.354
1991,47,4.119
1991,48,3.906
1991,49,3.731
1991,50,3.580
1991,51,3.424
1991,52,3.272
1991,53,3.121
1991,54,2.976
1991,55,2.838
1991,56,2.703
1991,57,2.572
1991,58,2.446
1991,59,2.320
1991,60,2.196
1991,61,2.077
1991,62,1.961
1991,63,1.845
1991,64,1.733
1991,65,1.622
1991,66,1.516
1991,67,1.409
1991,68,1.307
1991,69,1.207
1991,70,1.108
1991,71,1.015
1991,72,0.922
1991,73,0.836
1991,74,0.749
1991,75,0.669
1991,76,0.592
1991,77,0.518
1991,78,0.450
1991,79,0.391
1991,80,0.338
1991,81,0.287
1991,82,0.243
1991,83,0.202
1991,84,0.163
1991,85,0.127
1991,86,0.098
1991,87,0.068
1991,88,0.047
1991,89,0.033
1991,90,0.025
1991,91,0.017
1991,92,0.015
1991,93,0.011
1991,94,0.008
1991,95,0.004
1991,96,0.003
1991,97,0.001
1991,98,0.002
1991,99,0.000
1991,100,0.000
1992,0,24.839
1992,1,23.478
1992,2,24.169
1992,3,22.412
1992,4,20.856
1992,5,19.496
1992,6,18.326
1992,7,17.296
1992,8,16.366
1992,9,15.720
1992,10,15.436
1992,11,15.385
1992,12,15.393
1992,13,15.523
1992,14,15.417
1992,15,14.886
1992,16,14.095
1992,17,13.390
1992,18,12.691
1992,19,12.112
1992,20,11.737
1992,21,11.497
1992,22,11.226
1992,23,10.949
1992,24,10.686
1992,25,10.430
1992,26,10.173
1992,27,9.925
1992,28,9.696
1992,29,9.399
1992,30,8.998
1992,31,8.531
1992,32,8.081
1992,33,7.645
1992,34,7.206
1992,35,6.774
1992,36,6.358
1992,37,5.948
1992,38,5.529
1992,39,5.225
1992,40,5.094
1992,41,5.073
1992,42,5.049
1992,43,5.053
1992,44,4.989
1992,45,4.801
1992,46,4.539
1992,47,4.300
1992,48,4.067
1992,49,3.855
1992,50,3.679
1992,51,3.529
1992,52,3.374
1992,53,3.221
1992,54,3.071
1992,55,2.926
1992,56,2.787
1992,57,2.653
1992,58,2.522
1992,59,2.394
1992,60,2.268
1992,61,2.144
1992,62,2.024
1992,63,1.906
1992,64,1.790
1992,65,1.678
1992,66,1.565
1992,67,1.458
1992,68,1.353
1992,69,1.249
1992,70,1.150
1992,71,1.051
1992,72,0.957
1992,73,0.867
1992,74,0.780
1992,75,0.698
1992,76,0.617
1992,77,0.543
1992,78,0.471
1992,79,0.407
1992,80,0.350
1992,81,0.300
1992,82,0.253
1992,83,0.213
1992,84,0.175
1992,85,0.140
1992,86,0.109
1992,87,0.082
1992,88,0.057
1992,89,0.039
1992,90,0.027
1992,91,0.020
1992,92,0.013
1992,93,0.013
1992,94,0.009
1992,95,0.006
1992,96,0.003
1992,97,0.001
1992,98,0.002
1992,99,0.000
1992,100,0.000
1993,0,23.138
1993,1,22.789
1993,2,22.324
1993,3,23.361
1993,4,21.981
1993,5,20.675
1993,6,19.457
1993,7,18.340
1993,8,17.278
1993,9,16.230
1993,10,15.499
1993,11,15.226
1993,12,15.239
1993,13,15.269
1993,14,15.397
1993,15,15.289
1993,16,14.761
1993,17,13.974
1993,18,13.270
1993,19,12.571
1993,20,11.993
1993,21,11.619
1993,22,11.380
1993,23,11.111
1993,24,10.836
1993,25,10.574
1993,26,10.320
1993,27,10.065
1993,28,9.820
1993,29,9.592
1993,30,9.298
1993,31,8.900
1993,32,8.437
1993,33,7.990
1993,34,7.557
1993,35,7.123
1993,36,6.693
1993,37,6.280
1993,38,5.873
1993,39,5.457
1993,40,5.154
1993,41,5.025
1993,42,5.004
1993,43,4.979
1993,44,4.983
1993,45,4.919
1993,46,4.733
1993,47,4.472
1993,48,4.235
1993,49,4.003
1993,50,3.792
1993,51,3.617
1993,52,3.468
1993,53,3.314
1993,54,3.162
1993,55,3.012
1993,56,2.867
1993,57,2.729
1993,58,2.595
1993,59,2.464
1993,60,2.336
1993,61,2.210
1993,62,2.085
1993,63,1.964
1993,64,1.847
1993,65,1.730
1993,66,1.617
1993,67,1.504
1993,68,1.398
1993,69,1.291
1993,70,1.188
1993,71,1.089
1993,72,0.991
1993,73,0.898
1993,74,0.808
1993,75,0.723
1993,76,0.643
1993,77,0.564
1993,78,0.493
1993,79,0.423
1993,80,0.361
1993,81,0.309
1993,82,0.261
1993,83,0.219
1993,84,0.182
1993,85,0.148
1993,86,0.116
1993,87,0.090
1993,88,0.067
1993,89,0.046
1993,90,0.031
1993,91,0.020
1993,92,0.015
1993,93,0.009
1993,94,0.010
1993,95,0.007
1993,96,0.005
1993,97,0.002
1993,98,0.002
1993,99,0.000
1993,100,0.000
1994,0,21.410
