year,age,population
1990,0,199.009
1990,1,198.865
1990,2,198.120
1990,3,196.841
1990,4,195.079
1990,5,192.902
1990,6,190.367
1990,7,187.533
1990,8,184.465
1990,9,181.218
1990,10,177.761
1990,11,174.059
1990,12,170.645
1990,13,167.767
1990,14,165.204
1990,15,162.495
1990,16,159.748
1990,17,156.789
1990,18,153.483
1990,19,149.945
1990,20,146.398
1990,21,142.787
1990,22,139.193
1990,23,135.667
1990,24,132.162
1990,25,128.573
1990,26,124.935
1990,27,121.163
1990,28,117.205
1990,29,113.115
1990,30,109.021
1990,31,104.933
1990,32,100.746
1990,33,96.430
1990,34,92.052
1990,35,87.743
1990,36,83.507
1990,37,79.372
1990,38,75.373
1990,39,71.532
1990,40,67.847
1990,41,64.331
1990,42,61.093
1990,43,58.187
1990,44,55.600
1990,45,53.162
1990,46,50.802
1990,47,49.053
1990,48,48.139
1990,49,47.759
1990,50,47.418
1990,51,47.235
1990,52,46.699
1990,53,45.516
1990,54,43.908
1990,55,42.405
1990,56,40.924
1990,57,39.358
1990,58,37.722
1990,59,36.034
1990,60,34.304
1990,61,32.537
1990,62,30.812
1990,63,29.175
1990,64,27.598
1990,65,26.019
1990,66,24.454
1990,67,22.907
1990,68,21.372
1990,69,19.860
1990,70,18.388
1990,71,16.953
1990,72,15.580
1990,73,14.278
1990,74,13.043
1990,75,11.853
1990,76,10.715
1990,77,9.634
1990,78,8.620
1990,79,7.666
1990,80,6.767
1990,81,5.926
1990,82,5.145
1990,83,4.420
1990,84,3.757
1990,85,3.147
1990,86,2.591
1990,87,2.103
1990,88,1.686
1990,89,1.336
1990,90,1.030
1990,91,0.763
1990,92,0.552
1990,93,0.392
1990,94,0.279
1990,95,0.194
1990,96,0.142
1990,97,0.101
1990,98,0.062
1990,99,0.029
1990,100,0.062
1991,0,201.068
1991,1,199.231
1991,2,198.747
1991,3,197.773
1991,4,196.358
1991,5,194.531
1991,6,192.364
1991,7,189.916
1991,8,187.111
1991,9,183.949
1991,10,180.533
1991,11,176.949
1991,12,173.143
1991,13,169.621
1991,14,166.634
1991,15,163.966
1991,16,161.158
1991,17,158.314
1991,18,155.291
1991,19,151.966
1991,20,148.443
1991,21,144.916
1991,22,141.334
1991,23,137.779
1991,24,134.300
1991,25,130.848
1991,26,127.321
1991,27,123.753
1991,28,120.048
1991,29,116.156
1991,30,112.130
1991,31,108.101
1991,32,104.080
1991,33,99.959
1991,34,95.705
1991,35,91.388
1991,36,87.138
1991,37,82.956
1991,38,78.875
1991,39,74.927
1991,40,71.135
1991,41,67.493
1991,42,64.018
1991,43,60.808
1991,44,57.914
1991,45,55.325
1991,46,52.883
1991,47,50.515
1991,48,48.751
1991,49,47.815
1991,50,47.409
1991,51,47.040
1991,52,46.824
1991,53,46.258
1991,54,45.049
1991,55,43.418
1991,56,41.891
1991,57,40.384
1991,58,38.797
1991,59,37.144
1991,60,35.440
1991,61,33.698
1991,62,31.919
1991,63,30.183
1991,64,28.533
1991,65,26.944
1991,66,25.354
1991,67,23.782
1991,68,22.229
1991,69,20.690
1991,70,19.178
1991,71,17.707
1991,72,16.276
1991,73,14.912
1991,74,13.627
1991,75,12.415
1991,76,11.249
1991,77,10.137
1991,78,9.087
1991,79,8.105
1991,80,7.188
1991,81,6.326
1991,82,5.523
1991,83,4.781
1991,84,4.094
1991,85,3.467
1991,86,2.894
1991,87,2.373
1991,88,1.918
1991,89,1.532
1991,90,1.209
1991,91,0.928
1991,92,0.687
1991,93,0.495
1991,94,0.349
1991,95,0.247
1991,96,0.175
1991,97,0.124
1991,98,0.077
1991,99,0.039
1991,100,0.080
1992,0,203.909
1992,1,202.986
1992,2,199.349
1992,3,198.523
1992,4,197.322
1992,5,195.769
1992,6,193.881
1992,7,191.725
1992,8,189.363
1992,9,186.591
1992,10,183.335
1992,11,179.752
1992,12,176.043
1992,13,172.134
1992,14,168.506
1992,15,165.413
1992,16,162.641
1992,17,159.734
1992,18,156.796
1992,19,153.709
1992,20,150.368
1992,21,146.862
1992,22,143.355
1992,23,139.805
1992,24,136.291
1992,25,132.862
1992,26,129.464
1992,27,126.002
1992,28,122.503
1992,29,118.869
1992,30,115.046
1992,31,111.084
1992,32,107.124
1992,33,103.171
1992,34,99.118
1992,35,94.929
1992,36,90.676
1992,37,86.486
1992,38,82.362
1992,39,78.334
1992,40,74.442
1992,41,70.699
1992,42,67.105
1992,43,63.671
1992,44,60.490
1992,45,57.610
1992,46,55.021
1992,47,52.576
1992,48,50.200
1992,49,48.423
1992,50,47.466
1992,51,47.034
1992,52,46.636
1992,53,46.388
1992,54,45.794
1992,55,44.558
1992,56,42.903
1992,57,41.354
1992,58,39.823
1992,59,38.215
1992,60,36.545
1992,61,34.829
1992,62,33.073
1992,63,31.284
1992,64,29.537
1992,65,27.876
1992,66,26.274
1992,67,24.676
1992,68,23.096
1992,69,21.539
1992,70,19.998
1992,71,18.484
1992,72,17.016
1992,73,15.590
1992,74,14.236
1992,75,12.969
1992,76,11.779
1992,77,10.639
1992,78,9.553
1992,79,8.534
1992,80,7.586
1992,81,6.706
1992,82,5.881
1992,83,5.118
1992,84,4.414
1992,85,3.764
1992,86,3.176
1992,87,2.638
1992,88,2.154
1992,89,1.732
1992,90,1.377
1992,91,1.081
1992,92,0.827
1992,93,0.610
1992,94,0.437
1992,95,0.307
1992,96,0.214
1992,97,0.151
1992,98,0.095
1992,99,0.053
1992,100,0.103
1993,0,206.859
1993,1,205.109
1993,2,203.282
1993,3,199.393
1993,4,198.228
1993,5,196.799
1993,6,195.110
1993,7,193.161
1993,8,191.015
1993,9,188.742
1993,10,186.002
1993,11,182.656
1993,12,178.906
1993,13,175.072
1993,14,171.063
1993,15,167.331
1993,16,164.132
1993,17,161.256
1993,18,158.254
1993,19,155.220
1993,20,152.072
1993,21,148.716
1993,22,145.226
1993,23,141.744
1993,24,138.226
1993,25,134.753
1993,26,131.375
1993,27,128.034
1993,28,124.636
1993,29,121.210
1993,30,117.647
1993,31,113.893
1993,32,109.999
1993,33,106.107
1993,34,102.226
1993,35,98.240
1993,36,94.120
1993,37,89.931
1993,38,85.802
1993,39,81.737
1993,40,77.767
1993,41,73.928
1993,42,70.240
1993,43,66.690
1993,44,63.301
1993,45,60.151
1993,46,57.285
1993,47,54.697
1993,48,52.250
1993,49,49.868
1993,50,48.077
1993,51,47.099
1993,52,46.642
1993,53,46.215
1993,54,45.936
1993,55,45.312
1993,56,44.051
1993,57,42.374
1993,58,40.802
1993,59,39.247
1993,60,37.620
1993,61,35.933
1993,62,34.203
1993,63,32.437
1993,64,30.638
1993,65,28.881
1993,66,27.208
1993,67,25.595
1993,68,23.989
1993,69,22.403
1993,70,20.841
1993,71,19.298
1993,72,17.784
1993,73,16.319
1993,74,14.898
1993,75,13.555
1993,76,12.306
1993,77,11.140
1993,78,10.024
1993,79,8.967
1993,80,7.978
1993,81,7.064
1993,82,6.221
1993,83,5.434
1993,84,4.711
1993,85,4.044
1993,86,3.435
1993,87,2.883
1993,88,2.382
1993,89,1.934
