year,description,link
1901,Boxer Rebellion ends,https://en.wikipedia.org/wiki/Boxer_Rebellion
1904,Russo-Japanese War,https://en.wikipedia.org/wiki/Russo-Japanese_War
1910,Mexican Revolution,https://en.wikipedia.org/wiki/Mexican_Revolution
1911,Xinhai Revolution,https://en.wikipedia.org/wiki/Xinhai_Revolution
1914,World War I starts,https://en.wikipedia.org/wiki/World_War_I
1915,Armenian genocide,https://en.wikipedia.org/wiki/Armenian_genocide
1917,Russian Civil War,https://en.wikipedia.org/wiki/Russian_Civil_War
1918,World War I ends,https://en.wikipedia.org/wiki/World_War_I
1920,Mexican Revolution ends,https://en.wikipedia.org/wiki/Mexican_Revolution
1921,Russia invades Georgia,https://en.wikipedia.org/wiki/Red_Army_invasion_of_Georgia
1922,Irish Civil War begins,https://en.wikipedia.org/wiki/Irish_Civil_War
1927,Chinese Civil War begins,https://en.wikipedia.org/wiki/Chinese_Civil_War
1929,Great Depression begins,https://en.wikipedia.org/wiki/Great_Depression
1931,Floods in China,https://en.wikipedia.org/wiki/1931_China_floods
1935,2nd Italo-Abyssinian War ends,https://en.wikipedia.org/wiki/Second_Italo-Abyssinian_War
1936,Spanish Civil War begins,https://en.wikipedia.org/wiki/Spanish_Civil_War
1937,Japan invades China,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
1939,World War II begins in Europe,https://en.wikipedia.org/wiki/World_War_II
1940,Battle of Britain,https://en.wikipedia.org/wiki/Battle_of_Britain
1941,Pearl Harbor attack,https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor
1943,Battle of Stalingrad ends,https://en.wikipedia.org/wiki/Battle_of_Stalingrad
1945,World War II ends in Europe,https://en.wikipedia.org/wiki/End_of_World_War_II_in_Europe
1946,1st Indochina War begins,https://en.wikipedia.org/wiki/First_Indochina_War
1947,1st Indo-Pakistani War begins,https://en.wikipedia.org/wiki/First_Indo-Pakistani_War
1948,Arab-Israeli War,https://en.wikipedia.org/wiki/1948_Arab-Israeli_War
1949,Creation of NATO,https://en.wikipedia.org/wiki/NATO
1950,Korean War begins,https://en.wikipedia.org/wiki/Korean_War
1952,Egyptian revolution,https://en.wikipedia.org/wiki/Egyptian_revolution_of_1952
1957,Space Age begins,https://en.wikipedia.org/wiki/Space_Age
