year,age,population
1990,0,8108.746
1990,1,7726.131
1990,2,7375.623
1990,3,7054.646
1990,4,6760.576
1990,5,6490.826
1990,6,6242.812
1990,7,6013.906
1990,8,5801.533
1990,9,5603.085
1990,10,5418.630
1990,11,5248.232
1990,12,5075.961
1990,13,4893.884
1990,14,4707.392
1990,15,4530.308
1990,16,4360.414
1990,17,4193.150
1990,18,4027.802
1990,19,3865.614
1990,20,3708.422
1990,21,3555.702
1990,22,3410.489
1990,23,3274.439
1990,24,3146.224
1990,25,3022.363
1990,26,2902.930
1990,27,2790.320
1990,28,2685.176
1990,29,2586.211
1990,30,2491.433
1990,31,2401.168
1990,32,2312.980
1990,33,2225.426
1990,34,2139.359
1990,35,2056.885
1990,36,1977.308
1990,37,1900.975
1990,38,1828.185
1990,39,1758.364
1990,40,1690.894
1990,41,1626.246
1990,42,1561.834
1990,43,1496.456
1990,44,1431.368
1990,45,1369.074
1990,46,1309.093
1990,47,1252.472
1990,48,1200.021
1990,49,1151.203
1990,50,1103.855
1990,51,1057.346
1990,52,1016.458
1990,53,983.048
1990,54,954.380
1990,55,926.483
1990,56,900.833
1990,57,870.138
1990,58,830.618
1990,59,785.726
1990,60,742.531
1990,61,699.373
1990,62,659.189
1990,63,624.063
1990,64,592.262
1990,65,560.126
1990,66,528.593
1990,67,496.332
1990,68,462.356
1990,69,427.619
1990,70,394.051
1990,71,361.293
1990,72,329.843
1990,73,300.132
1990,74,271.932
1990,75,244.674
1990,76,218.622
1990,77,193.520
1990,78,169.242
1990,79,146.077
1990,80,124.370
1990,81,103.954
1990,82,85.854
1990,83,70.566
1990,84,57.626
1990,85,45.922
1990,86,35.483
1990,87,26.841
1990,88,20.095
1990,89,14.923
1990,90,10.790
1990,91,7.713
1990,92,5.342
1990,93,3.437
1990,94,1.980
1990,95,1.235
1990,96,0.964
1990,97,0.755
1990,98,0.450
1990,99,0.117
1990,100,0.264
1991,0,8218.154
1991,1,7936.258
1991,2,7584.820
1991,3,7261.047
1991,4,6962.588
1991,5,6687.034
1991,6,6432.452
1991,7,6196.916
1991,8,5975.774
1991,9,5765.766
1991,10,5565.844
1991,11,5378.337
1991,12,5202.861
1991,13,5026.930
1991,14,4844.533
1991,15,4659.810
1991,16,4483.296
1991,17,4313.363
1991,18,4146.540
1991,19,3982.314
1991,20,3821.688
1991,21,3666.079
1991,22,3515.093
1991,23,3371.262
1991,24,3235.957
1991,25,3108.114
1991,26,2984.711
1991,27,2865.706
1991,28,2753.749
1991,29,2649.639
1991,30,2551.943
1991,31,2458.358
1991,32,2369.322
1991,33,2282.089
1991,34,2195.055
1991,35,2109.242
1991,36,2027.070
1991,37,1947.764
1991,38,1871.885
1991,39,1799.877
1991,40,1731.054
1991,41,1664.501
1991,42,1600.726
1991,43,1537.209
1991,44,1472.732
1991,45,1408.524
1991,46,1347.079
1991,47,1287.943
1991,48,1231.937
1991,49,1179.775
1991,50,1131.004
1991,51,1083.665
1991,52,1037.066
1991,53,996.146
1991,54,962.853
1991,55,934.370
1991,56,906.584
1991,57,881.044
1991,58,850.182
1991,59,810.063
1991,60,764.314
1991,61,720.319
1991,62,676.352
1991,63,635.566
1991,64,600.184
1991,65,568.370
1991,66,536.232
1991,67,504.727
1991,68,472.645
1991,69,439.019
1991,70,404.763
1991,71,371.764
1991,72,339.694
1991,73,308.873
1991,74,279.649
1991,75,251.868
1991,76,225.138
1991,77,199.645
1991,78,175.372
1991,79,152.322
1991,80,130.658
1991,81,110.434
1991,82,91.508
1991,83,74.912
1991,84,61.095
1991,85,49.587
1991,86,39.300
1991,87,30.258
1991,88,22.818
1991,89,16.962
1991,90,12.459
1991,91,8.958
1991,92,6.415
1991,93,4.456
1991,94,2.858
1991,95,1.611
1991,96,1.011
1991,97,0.788
1991,98,0.461
1991,99,0.124
1991,100,0.276
1992,0,8294.626
1992,1,7949.676
1992,2,7767.233
1992,3,7446.703
1992,4,7149.464
1992,5,6873.355
1992,6,6616.178
1992,7,6376.658
1992,8,6153.514
1992,9,5940.077
1992,10,5732.381
1992,11,5530.939
1992,12,5340.331
1992,13,5159.770
1992,14,4980.132
1992,15,4797.360
1992,16,4614.324
1992,17,4438.315
