year,age,population
1990,0,32642.816
1990,1,30812.703
1990,2,29139.003
1990,3,27629.699
1990,4,26292.763
1990,5,25136.196
1990,6,24167.982
1990,7,23396.098
1990,8,22828.531
1990,9,22473.268
1990,10,22244.036
1990,11,22054.568
1990,12,22384.127
1990,13,23429.216
1990,14,24915.059
1990,15,26360.944
1990,16,27851.739
1990,17,29011.079
1990,18,29598.977
1990,19,29759.746
1990,20,29932.450
1990,21,30094.945
1990,22,29840.305
1990,23,29030.861
1990,24,27849.607
1990,25,26644.143
1990,26,25377.307
1990,27,24178.520
1990,28,23158.037
1990,29,22287.291
1990,30,21351.176
1990,31,20301.200
1990,32,19708.197
1990,33,19805.584
1990,34,20310.640
1990,35,20760.704
1990,36,21312.457
1990,37,21344.248
1990,38,20520.354
1990,39,19153.692
1990,40,17900.497
1990,41,16638.684
1990,42,15521.111
1990,43,14692.891
1990,44,14070.002
1990,45,13401.660
1990,46,12712.034
1990,47,12201.019
1990,48,11934.818
1990,49,11833.198
1990,50,11744.606
1990,51,11693.196
1990,52,11603.972
1990,53,11422.237
1990,54,11175.896
1990,55,10954.479
1990,56,10748.336
1990,57,10475.747
1990,58,10107.554
1990,59,9674.666
1990,60,9241.586
1990,61,8800.707
1990,62,8359.238
1990,63,7928.996
1990,64,7509.468
1990,65,7081.997
1990,66,6642.721
1990,67,6252.270
1990,68,5936.548
1990,69,5667.747
1990,70,5396.299
1990,71,5137.136
1990,72,4842.148
1990,73,4483.976
1990,74,4087.830
1990,75,3709.030
1990,76,3339.852
1990,77,2980.957
1990,78,2639.316
1990,79,2314.913
1990,80,2000.107
1990,81,1695.617
1990,82,1422.901
1990,83,1191.670
1990,84,994.329
1990,85,811.886
1990,86,646.092
1990,87,504.913
1990,88,389.751
1990,89,296.828
1990,90,219.191
1990,91,156.135
1990,92,107.210
1990,93,70.828
1990,94,45.108
1990,95,29.230
1990,96,22.686
1990,97,17.857
1990,98,10.694
1990,99,2.930
1990,100,6.365
1991,0,30525.494
1991,1,32018.978
1991,2,30567.924
1991,3,29135.561
1991,4,27752.531
1991,5,26449.454
1991,6,25234.434
1991,7,24115.539
1991,8,23236.199
1991,9,22672.161
1991,10,22386.394
1991,11,22180.301
1991,12,21990.617
1991,13,22317.470
1991,14,23356.735
1991,15,24834.809
1991,16,26272.812
1991,17,27755.284
1991,18,28908.080
1991,19,29492.530
1991,20,29652.111
1991,21,29823.476
1991,22,29984.600
1991,23,29730.653
1991,24,28924.654
1991,25,27748.634
1991,26,26548.426
1991,27,25287.053
1991,28,24093.188
1991,29,23076.489
1991,30,22208.550
1991,31,21275.481
1991,32,20229.078
1991,33,19636.957
1991,34,19731.217
