year,age,population
1990,0,4429.813
1990,1,4544.766
1990,2,4638.888
1990,3,4713.505
1990,4,4769.963
1990,5,4809.594
1990,6,4833.736
1990,7,4843.722
1990,8,4840.898
1990,9,4826.594
1990,10,4801.304
1990,11,4765.506
1990,12,4724.789
1990,13,4682.176
1990,14,4636.464
1990,15,4590.730
1990,16,4553.127
1990,17,4490.883
1990,18,4390.841
1990,19,4273.952
1990,20,4168.455
1990,21,4061.623
1990,22,4019.961
1990,23,4077.180
1990,24,4200.984
1990,25,4318.753
1990,26,4437.052
1990,27,4566.890
1990,28,4703.820
1990,29,4839.765
1990,30,4971.496
1990,31,5100.188
1990,32,5184.610
1990,33,5204.007
1990,34,5172.959
1990,35,5130.016
1990,36,5071.326
1990,37,4976.425
1990,38,4840.222
1990,39,4671.471
1990,40,4505.299
1990,41,4360.242
1990,42,4146.304
1990,43,3830.521
1990,44,3470.377
1990,45,3120.902
1990,46,2728.622
1990,47,2580.213
1990,48,2810.344
1990,49,3270.247
1990,50,3701.569
1990,51,4186.111
1990,52,4442.672
1990,53,4314.862
1990,54,3948.788
1990,55,3627.595
1990,56,3271.419
1990,57,3067.189
1990,58,3128.929
1990,59,3348.357
1990,60,3513.675
1990,61,3679.847
1990,62,3722.690
1990,63,3563.157
1990,64,3271.452
1990,65,3006.383
1990,66,2747.630
1990,67,2480.675
1990,68,2217.953
1990,69,1967.056
1990,70,1708.053
1990,71,1426.777
1990,72,1256.983
1990,73,1257.512
1990,74,1363.928
1990,75,1459.314
1990,76,1574.602
1990,77,1612.240
1990,78,1514.271
1990,79,1329.839
1990,80,1167.748
1990,81,1008.302
1990,82,859.324
1990,83,736.298
1990,84,631.755
1990,85,521.904
1990,86,410.482
1990,87,316.624
1990,88,247.173
1990,89,196.142
1990,90,149.692
1990,91,109.360
1990,92,77.702
1990,93,54.186
1990,94,37.467
1990,95,26.249
1990,96,20.696
1990,97,16.323
1990,98,10.833
1990,99,5.208
1990,100,10.338
1991,0,4122.649
1991,1,4423.084
1991,2,4550.079
1991,3,4651.891
1991,4,4730.508
1991,5,4787.929
1991,6,4825.594
1991,7,4844.933
1991,8,4850.766
1991,9,4846.243
1991,10,4831.658
1991,11,4804.736
1991,12,4766.607
1991,13,4723.618
1991,14,4678.923
1991,15,4631.358
1991,16,4583.762
1991,17,4544.149
1991,18,4480.964
1991,19,4381.551
1991,20,4266.282
1991,21,4162.298
1991,22,4057.091
1991,23,4016.510
1991,24,4073.805
1991,25,4196.998
1991,26,4314.253
1991,27,4432.046
1991,28,4561.003
1991,29,4696.601
1991,30,4830.900
1991,31,4960.901
1991,32,5087.743
1991,33,5170.417
1991,34,5188.300
1991,35,5155.888
1991,36,5111.570
1991,37,5051.569
1991,38,4955.292
1991,39,4817.585
1991,40,4647.312
1991,41,4479.512
1991,42,4332.408
1991,43,4117.588
1991,44,3802.768
1991,45,3444.520
1991,46,3096.688
1991,47,2706.498
1991,48,2557.367
1991,49,2782.370
1991,50,3234.444
1991,51,3658.175
1991,52,4134.321
1991,53,4385.216
1991,54,4256.369
1991,55,3892.008
1991,56,3571.939
1991,57,3217.543
1991,58,3011.888
1991,59,3066.936
1991,60,3276.571
1991,61,3433.096
1991,62,3590.500
1991,63,3627.290
1991,64,3466.128
1991,65,3175.852
1991,66,2911.600
1991,67,2653.069
1991,68,2388.495
1991,69,2131.073
1991,70,1886.897
1991,71,1634.687
1991,72,1361.625
1991,73,1193.814
1991,74,1186.489
1991,75,1279.138
1991,76,1362.165
1991,77,1464.802
1991,78,1494.469
1991,79,1396.346
1991,80,1217.153
1991,81,1059.751
1991,82,905.189
1991,83,763.058
1991,84,648.999
1991,85,554.815
1991,86,455.808
1991,87,355.831
1991,88,272.198
1991,89,210.728
1991,90,166.030
1991,91,126.001
1991,92,91.958
1991,93,65.318
1991,94,45.205
1991,95,30.681
1991,96,20.867
1991,97,16.226
1991,98,10.581
1991,99,4.892
1991,100,10.317
1992,0,3738.638
1992,1,4032.458
1992,2,4419.079
1992,3,4557.965
1992,4,4667.355
1992,5,4749.897
1992,6,4808.252
1992,7,4843.938
1992,8,4858.479
1992,9,4860.198
1992,10,4854.021
1992,11,4839.206
1992,12,4810.719
1992,13,4770.336
1992,14,4725.116
1992,15,4678.333
1992,16,4628.870
1992,17,4579.369
1992,18,4537.717
1992,19,4473.542
1992,20,4374.720
1992,21,4261.040
1992,22,4158.527
1992,23,4054.916
1992,24,4015.382
1992,25,4072.738
1992,26,4195.304
1992,27,4312.039
1992,28,4429.306
1992,29,4557.404
1992,30,4691.740
1992,31,4824.491
1992,32,4952.857
1992,33,5077.941
1992,34,5158.925
1992,35,5175.310
1992,36,5141.521
1992,37,5095.796
1992,38,5034.453
1992,39,4936.762
1992,40,4797.493
1992,41,4625.640
1992,42,4456.146
1992,43,4306.943
1992,44,4091.149
1992,45,3777.133
1992,46,3420.596
1992,47,3074.223
1992,48,2685.930
1992,49,2535.988
1992,50,2755.936
1992,51,3200.372
1992,52,3616.677
1992,53,4084.610
1992,54,4329.948
1992,55,4200.027
1992,56,3837.243
1992,57,3518.187
1992,58,3165.445
1992,59,2958.293
1992,60,3006.656
1992,61,3206.563
1992,62,3354.343
1992,63,3503.005
1992,64,3533.743
1992,65,3370.883
1992,66,3081.916
1992,67,2818.365
1992,68,2559.962
1992,69,2297.639
1992,70,2045.368
1992,71,1807.750
1992,72,1562.163
1992,73,1297.151
1992,74,1131.218
1992,75,1116.044
1992,76,1194.994
1992,77,1265.726
1992,78,1355.785
1992,79,1377.509
1992,80,1279.176
1992,81,1105.113
1992,82,952.308
1992,83,802.528
1992,84,667.168
1992,85,562.009
1992,86,478.136
1992,87,389.921
1992,88,301.341
1992,89,227.889
1992,90,174.366
1992,91,135.986
1992,92,102.361
1992,93,74.594
1992,94,52.961
1992,95,36.241
1992,96,23.907
1992,97,16.059
1992,98,10.203
1992,99,4.490
1992,100,10.128
1993,0,3331.762
1993,1,3722.450
1993,2,4047.706
1993,3,4415.512
1993,4,4566.245
1993,5,4683.175
1993,6,4769.606
1993,7,4828.863
1993,8,4862.548
1993,9,4872.270
1993,10,4869.869
1993,11,4862.082
1993,12,4847.089
1993,13,4817.095
1993,14,4774.520
1993,15,4727.111
1993,16,4678.240
1993,17,4626.858
1993,18,4575.432
1993,19,4531.714
1993,20,4466.540
1993,21,4368.303
1993,22,4256.213
1993,23,4155.178
1993,24,4053.169
1993,25,4014.665
1993,26,4072.041
1993,27,4193.936
1993,28,4310.099
1993,29,4426.793
1993,30,4554.003
1993,31,4687.087
1993,32,4818.326
1993,33,4945.080
1993,34,5068.442
1993,35,5147.769
1993,36,5162.656
1993,37,5127.483
1993,38,5080.359
1993,39,5017.670
1993,40,4918.560
1993,41,4777.747
1993,42,4604.319
1993,43,4433.134
1993,44,4281.836
1993,45,4065.065
1993,46,3751.846
1993,47,3397.008
1993,48,3052.088
1993,49,2665.678
1993,50,2514.902
1993,51,2729.763
1993,52,3166.499
1993,53,3575.329
1993,54,4035.003
1993,55,4274.750
1993,56,4143.782
1993,57,3782.626
1993,58,3464.631
1993,59,3113.599
1993,60,2904.974
1993,61,2946.634
1993,62,3136.764
1993,63,3275.752
1993,64,3415.634
1993,65,3440.284
1993,66,3275.735
1993,67,2988.102
1993,68,2725.279
1993,69,2467.020
1993,70,2206.957
1993,71,1959.809
1993,72,1728.711
1993,73,1489.710
1993,74,1232.692
1993,75,1068.616
1993,76,1045.585
1993,77,1110.848
1993,78,1169.294
1993,79,1246.788
1993,80,1260.570
1993,81,1162.017
1993,82,993.064
1993,83,844.843
1993,84,699.833
1993,85,571.228
1993,86,474.974
1993,87,401.417
1993,88,323.995
1993,89,246.815
1993,90,183.550
1993,91,137.982
1993,92,105.916
1993,93,78.701
1993,94,57.217
1993,95,40.593
1993,96,27.270
1993,97,17.127
1993,98,9.833
1993,99,4.120
1993,100,9.826
1994,0,2977.551
1994,1,3429.421
1994,2,3809.220
1994,3,4122.549
1994,4,4409.240
1994,5,4571.763
1994,6,4696.197
1994,7,4786.494
1994,8,4846.636
1994,9,4878.306
1994,10,4883.209
1994,11,4876.697
1994,12,4867.309
1994,13,4852.175
1994,14,4820.707
1994,15,4775.979
1994,16,4726.413
1994,17,4675.478
1994,18,4622.189
1994,19,4568.854
1994,20,4523.077
1994,21,4456.922
1994,22,4359.327
1994,23,4248.878
1994,24,4149.369
1994,25,4049.007
1994,26,4011.550
1994,27,4068.908
1994,28,4190.035
1994,29,4305.552
1994,30,4421.600
1994,31,4547.840
1994,32,4679.598
1994,33,4809.257
1994,34,4934.340
1994,35,5055.925
1994,36,5133.550
1994,37,5146.947
1994,38,5110.415
1994,39,5061.927
1994,40,4997.939
1994,41,4897.486
1994,42,4755.206
1994,43,4580.320
1994,44,4407.558
1994,45,4254.249
1994,46,4036.639
1994,47,3724.422
1994,48,3371.507
1994,49,3028.258
1994,50,2643.992
1994,51,2492.458
1994,52,2702.039
1994,53,3130.726
1994,54,3531.750
1994,55,3982.794
1994,56,4216.758
1994,57,4084.852
1994,58,3725.620
1994,59,3408.947
1994,60,3059.919
1994,61,2849.991
1994,62,2884.905
1994,63,3065.086
1994,64,3195.155
1994,65,3326.118
1994,66,3344.648
1994,67,3178.525
1994,68,2892.454
1994,69,2630.561
1994,70,2372.648
1994,71,2115.022
1994,72,1873.143
1994,73,1648.667
1994,74,1416.366
1994,75,1167.484
1994,76,1005.336
1994,77,974.462
1994,78,1025.997
1994,79,1072.119
1994,80,1137.000
1994,81,1142.825
1994,82,1044.115
1994,83,880.376
1994,84,736.825
1994,85,596.678
1994,86,474.912
1994,87,387.619
1994,88,324.427
1994,89,257.850
1994,90,192.119
1994,91,139.086
1994,92,101.499
1994,93,75.774
1994,94,54.986
1994,95,39.800
1994,96,28.194
1994,97,18.283
1994,98,10.333
1994,99,3.786
1994,100,9.485
1995,0,2730.976
1995,1,3186.300
1995,2,3576.157
1995,3,3905.168
1995,4,4177.951
1995,5,4399.136
1995,6,4573.337
1995,7,4705.192
1995,8,4799.306
1995,9,4860.310
1995,10,4889.981
1995,11,4890.097
1995,12,4879.508
1995,13,4868.542
1995,14,4853.278
1995,15,4820.354
1995,16,4773.509
1995,17,4721.821
1995,18,4668.853
1995,19,4613.693
1995,20,4558.480
1995,21,4510.672
1995,22,4443.575
1995,23,4346.674
1995,24,4237.947
1995,25,4140.027
1995,26,4041.374
1995,27,4004.988
1995,28,4062.271
1995,29,4182.553
1995,30,4297.333
1995,31,4412.641
1995,32,4537.825
1995,33,4668.155
1995,34,4796.132
1995,35,4919.453
1995,36,5039.161
1995,37,5115.037
1995,38,5126.939
1995,39,5089.095
1995,40,5039.290
1995,41,4974.071
1995,42,4872.361
1995,43,4728.757
1995,44,4552.564
1995,45,4378.374
1995,46,4223.192
1995,47,4004.930
1995,48,3693.986
1995,49,3343.315
1995,50,3002.043
1995,51,2620.257
1995,52,2468.092
1995,53,2672.150
1995,54,3092.345
1995,55,3485.142
1995,56,3927.079
1995,57,4155.027
1995,58,4022.323
1995,59,3665.403
1995,60,3350.395
1995,61,3003.745
1995,62,2792.739
1995,63,2820.873
1995,64,2990.913
1995,65,3111.916
1995,66,3233.815
1995,67,3246.193
1995,68,3078.667
1995,69,2794.445
1995,70,2533.746
1995,71,2276.440
1995,72,2021.500
1995,73,1785.074
1995,74,1567.378
1995,75,1341.945
1995,76,1101.369
1995,77,941.267
1995,78,902.567
1995,79,940.354
1995,80,974.122
1995,81,1026.341
1995,82,1024.222
1995,83,925.434
1995,84,767.045
1995,85,628.287
1995,86,493.121
1995,87,378.292
1995,88,300.027
1995,89,247.244
1995,90,191.555
1995,91,137.320
1995,92,94.548
1995,93,64.968
1995,94,45.600
1995,95,31.251
1995,96,22.362
1995,97,15.787
1995,98,9.286
1995,99,3.537
1995,100,9.160
1996,0,2622.516
1996,1,2796.712
1996,2,3204.140
1996,3,3565.285
1996,4,3881.471
1996,5,4154.025
1996,6,4387.575
