year,age,population
1990,0,294.538
1990,1,288.731
1990,2,283.187
1990,3,277.885
1990,4,272.811
1990,5,267.951
1990,6,263.288
1990,7,258.804
1990,8,254.489
1990,9,250.320
1990,10,246.241
1990,11,242.187
1990,12,238.375
1990,13,234.883
1990,14,231.554
1990,15,228.171
1990,16,224.792
1990,17,221.026
1990,18,216.658
1990,19,211.852
1990,20,207.045
1990,21,202.220
1990,22,197.087
1990,23,191.570
1990,24,185.817
1990,25,180.045
1990,26,174.201
1990,27,168.632
1990,28,163.538
1990,29,158.769
1990,30,153.887
1990,31,148.863
1990,32,144.206
1990,33,140.094
1990,34,136.242
1990,35,132.437
1990,36,129.015
1990,37,124.242
1990,38,117.330
1990,39,109.211
1990,40,101.430
1990,41,93.467
1990,42,87.326
1990,43,84.099
1990,44,82.761
1990,45,81.251
1990,46,80.039
1990,47,78.245
1990,48,75.246
1990,49,71.534
1990,50,68.208
1990,51,65.020
1990,52,62.144
1990,53,59.764
1990,54,57.715
1990,55,55.652
1990,56,53.640
1990,57,51.614
1990,58,49.508
1990,59,47.364
1990,60,45.300
1990,61,43.294
1990,62,41.301
1990,63,39.313
1990,64,37.340
1990,65,35.414
1990,66,33.534
1990,67,31.691
1990,68,29.886
1990,69,28.126
1990,70,26.400
1990,71,24.679
1990,72,23.118
1990,73,21.783
1990,74,20.588
1990,75,19.415
1990,76,18.325
1990,77,17.052
1990,78,15.466
1990,79,13.704
1990,80,12.031
1990,81,10.390
1990,82,8.923
1990,83,7.729
1990,84,6.735
1990,85,5.772
1990,86,4.872
1990,87,4.058
1990,88,3.321
1990,89,2.663
1990,90,2.084
1990,91,1.570
1990,92,1.157
1990,93,0.848
1990,94,0.627
1990,95,0.453
1990,96,0.329
1990,97,0.234
1990,98,0.148
1990,99,0.077
1990,100,0.114
1991,0,296.216
1991,1,293.364
1991,2,287.988
1991,3,282.746
1991,4,277.635
1991,5,272.660
1991,6,267.809
1991,7,263.068
1991,8,258.522
1991,9,254.218
1991,10,250.099
1991,11,246.023
1991,12,241.946
1991,13,238.104
1991,14,234.576
1991,15,231.210
1991,16,227.785
1991,17,224.360
1991,18,220.556
1991,19,216.166
1991,20,211.348
1991,21,206.527
1991,22,201.691
1991,23,196.548
1991,24,191.024
1991,25,185.266
1991,26,179.490
1991,27,173.646
1991,28,168.076
1991,29,162.983
1991,30,158.215
1991,31,153.335
1991,32,148.315
1991,33,143.662
1991,34,139.554
1991,35,135.706
1991,36,131.904
1991,37,128.487
1991,38,123.720
1991,39,116.823
1991,40,108.722
1991,41,100.958
1991,42,93.011
1991,43,86.880
1991,44,83.652
1991,45,82.304
1991,46,80.785
1991,47,79.561
1991,48,77.758
1991,49,74.752
1991,50,71.036
1991,51,67.703
1991,52,64.508
1991,53,61.619
1991,54,59.219
1991,55,57.145
1991,56,55.057
1991,57,53.017
1991,58,50.969
1991,59,48.849
1991,60,46.694
1991,61,44.620
1991,62,42.605
1991,63,40.594
1991,64,38.575
1991,65,36.561
1991,66,34.598
1991,67,32.678
1991,68,30.807
1991,69,28.990
1991,70,27.230
1991,71,25.505
1991,72,23.792
1991,73,22.224
1991,74,20.863
1991,75,19.628
1991,76,18.426
1991,77,17.305
1991,78,16.028
1991,79,14.476
1991,80,12.776
1991,81,11.163
1991,82,9.586
1991,83,8.186
1991,84,7.051
1991,85,6.114
1991,86,5.212
1991,87,4.374
1991,88,3.622
1991,89,2.948
1991,90,2.353
1991,91,1.834
1991,92,1.378
1991,93,1.012
1991,94,0.737
1991,95,0.538
1991,96,0.370
1991,97,0.263
1991,98,0.169
1991,99,0.092
1991,100,0.135
1992,0,297.014
1992,1,293.453
1992,2,292.295
1992,3,287.351
1992,4,282.407
1992,5,277.486
1992,6,272.608
1992,7,267.765
1992,8,262.942
1992,9,258.336
1992,10,254.039
1992,11,249.968
1992,12,245.895
1992,13,241.793
1992,14,237.919
1992,15,234.355
1992,16,230.950
1992,17,227.481
1992,18,224.010
1992,19,220.167
1992,20,215.752
1992,21,210.920
1992,22,206.086
1992,23,201.235
1992,24,196.080
1992,25,190.548
1992,26,184.781
1992,27,179.002
1992,28,173.152
1992,29,167.582
1992,30,162.487
1992,31,157.718
1992,32,152.839
1992,33,147.821
1992,34,143.171
1992,35,139.064
1992,36,135.219
1992,37,131.420
1992,38,128.004
1992,39,123.245
1992,40,116.358
1992,41,108.272
1992,42,100.522
1992,43,92.589
1992,44,86.466
1992,45,83.235
1992,46,81.877
1992,47,80.348
1992,48,79.113
1992,49,77.298
1992,50,74.286
1992,51,70.563
1992,52,67.224
1992,53,64.019
1992,54,61.117
1992,55,58.695
1992,56,56.597
1992,57,54.481
1992,58,52.414
1992,59,50.342
1992,60,48.206
1992,61,46.042
1992,62,43.956
1992,63,41.931
1992,64,39.903
1992,65,37.850
1992,66,35.796
1992,67,33.794
1992,68,31.834
1992,69,29.934
1992,70,28.105
1992,71,26.344
1992,72,24.619
1992,73,22.913
1992,74,21.339
1992,75,19.949
1992,76,18.677
1992,77,17.442
1992,78,16.292
1992,79,15.010
1992,80,13.492
1992,81,11.851
1992,82,10.299
1992,83,8.787
1992,84,7.451
1992,85,6.375
1992,86,5.496
1992,87,4.654
1992,88,3.878
1992,89,3.187
1992,90,2.577
1992,91,2.043
1992,92,1.583
1992,93,1.187
1992,94,0.869
1992,95,0.626
1992,96,0.449
1992,97,0.295
1992,98,0.191
1992,99,0.108
1992,100,0.160
1993,0,297.308
1993,1,295.086
1993,2,292.340
1993,3,291.249
1993,4,286.735
1993,5,282.092
1993,6,277.358
1993,7,272.577
1993,8,267.742
1993,9,262.839
1993,10,258.169
1993,11,253.880
1993,12,249.857
1993,13,245.786
1993,14,241.658
1993,15,237.754
1993,16,234.152
1993,17,230.708
1993,18,227.196
1993,19,223.676
1993,20,219.794
1993,21,215.356
1993,22,210.510
1993,23,205.659
1993,24,200.795
1993,25,195.628
1993,26,190.085
1993,27,184.312
1993,28,178.526
1993,29,172.674
1993,30,167.101
1993,31,162.003
1993,32,157.233
1993,33,152.355
1993,34,147.338
1993,35,142.690
1993,36,138.586
1993,37,134.742
1993,38,130.947
1993,39,127.531
1993,40,122.778
1993,41,115.903
1993,42,107.831
1993,43,100.093
1993,44,92.174
1993,45,86.059
1993,46,82.824
1993,47,81.456
1993,48,79.918
1993,49,78.670
1993,50,76.845
1993,51,73.825
1993,52,70.096
1993,53,66.748
1993,54,63.536
1993,55,60.619
1993,56,58.177
1993,57,56.051
1993,58,53.910
1993,59,51.814
1993,60,49.719
1993,61,47.568
1993,62,45.393
1993,63,43.295
1993,64,41.260
1993,65,39.215
1993,66,37.127
1993,67,35.034
1993,68,32.992
1993,69,30.993
1993,70,29.062
1993,71,27.222
1993,72,25.460
1993,73,23.735
1993,74,22.034
1993,75,20.456
1993,76,19.037
1993,77,17.726
1993,78,16.459
1993,79,15.280
1993,80,13.992
1993,81,12.509
1993,82,10.927
1993,83,9.435
1993,84,7.988
1993,85,6.716
1993,86,5.701
1993,87,4.877
1993,88,4.096
1993,89,3.381
1993,90,2.753
1993,91,2.205
1993,92,1.734
1993,93,1.334
1993,94,0.994
1993,95,0.726
1993,96,0.515
1993,97,0.360
1993,98,0.217
1993,99,0.128
1993,100,0.191
1994,0,297.664
1994,1,296.537
1994,2,294.687
1994,3,292.198
1994,4,290.134
1994,5,286.052
1994,6,281.708
1994,7,277.165
1994,8,272.482
1994,9,267.655
1994,10,262.673
1994,11,257.941
1994,12,253.661
1994,13,249.688
1994,14,245.618
1994,15,241.467
1994,16,237.531
1994,17,233.894
1994,18,230.411
1994,19,226.856
1994,20,223.291
1994,21,219.370
1994,22,214.907
1994,23,210.049
1994,24,205.184
1994,25,200.307
1994,26,195.130
1994,27,189.578
