year,age,population
1990,0,1843.567
1990,1,1811.629
1990,2,1775.911
1990,3,1736.805
1990,4,1694.702
1990,5,1649.994
1990,6,1603.068
1990,7,1554.320
1990,8,1504.136
1990,9,1452.913
1990,10,1401.515
1990,11,1350.812
1990,12,1298.806
1990,13,1244.935
1990,14,1191.020
1990,15,1138.613
1990,16,1086.397
1990,17,1043.297
1990,18,1013.596
1990,19,993.042
1990,20,972.945
1990,21,954.856
1990,22,936.228
1990,23,914.860
1990,24,891.958
1990,25,870.861
1990,26,850.808
1990,27,830.574
1990,28,809.852
1990,29,788.716
1990,30,768.339
1990,31,749.432
1990,32,727.507
1990,33,700.751
1990,34,671.688
1990,35,642.918
1990,36,611.842
1990,37,590.980
1990,38,586.158
1990,39,590.607
1990,40,593.801
1990,41,600.329
1990,42,591.974
1990,43,559.395
1990,44,512.272
1990,45,468.585
1990,46,423.506
1990,47,390.788
1990,48,378.697
1990,49,380.010
1990,50,379.102
1990,51,378.920
1990,52,377.136
1990,53,370.962
1990,54,362.010
1990,55,354.687
1990,56,348.112
1990,57,340.532
1990,58,331.516
1990,59,321.352
1990,60,310.932
1990,61,300.281
1990,62,288.405
1990,63,274.960
1990,64,260.458
1990,65,245.800
1990,66,230.865
1990,67,216.252
1990,68,202.372
1990,69,189.035
1990,70,175.660
1990,71,162.383
1990,72,149.529
1990,73,137.205
1990,74,125.370
1990,75,113.907
1990,76,102.871
1990,77,92.265
1990,78,82.082
1990,79,72.378
1990,80,63.208
1990,81,54.566
1990,82,46.595
1990,83,39.373
1990,84,32.858
1990,85,26.873
1990,86,21.391
1990,87,16.733
1990,88,13.023
1990,89,10.089
1990,90,7.586
1990,91,5.519
1990,92,3.894
1990,93,2.656
1990,94,1.754
1990,95,1.165
1990,96,0.874
1990,97,0.655
1990,98,0.393
1990,99,0.134
1990,100,0.280
1991,0,1793.273
1991,1,1826.686
1991,2,1801.128
1991,3,1769.862
1991,4,1733.558
1991,5,1692.892
1991,6,1648.270
1991,7,1600.097
1991,8,1550.379
1991,9,1500.318
1991,10,1449.791
1991,11,1398.411
1991,12,1347.383
1991,13,1294.707
1991,14,1239.720
1991,15,1184.434
1991,16,1130.698
1991,17,1077.146
1991,18,1033.034
1991,19,1002.840
1991,20,982.199
1991,21,962.026
1991,22,943.848
1991,23,925.676
1991,24,905.517
1991,25,884.296
1991,26,864.873
1991,27,846.590
1991,28,827.767
1991,29,807.823
1991,30,787.027
1991,31,767.043
1991,32,748.513
1991,33,726.782
1991,34,700.011
1991,35,670.780
1991,36,641.773
1991,37,610.374
1991,38,589.224
1991,39,584.220
1991,40,588.548
